CHILDCODE	UNIIDR5	YRAPPLR5	TYPINSR5	ADMINTR5	COMDEGR5
98020	1	2011	1	1	1
98026	1	2013	2	1	2
98029	1	2013	3	0	 
98029	2	2013	3	1	3
108001	1	2013	3	0	 
108001	2	2014	4	1	3
108002	1	2014	3	1	3
108002	2	2013	4	1	2
108002	3	2012	3	0	 
108002	4	2012	3	0	 
108003	1	2015	4	1	3
108003	2	2011	4	1	2
108004	1	2014	3	0	 
108006	1	2016	2	1	3
108006	2	2012	1	1	1
108007	1	2013	3	1	3
108008	1	2014	1	1	2
108009	1	2013	5	1	1
108009	2	2012	3	0	 
108011	1	2011	3	1	3
108012	1	2013	4	1	3
108013	1	2011	4	1	3
108016	1	2014	3	1	3
108016	2	2013	3	1	2
108016	3	2012	3	1	2
108017	1	2014	3	1	3
108017	2	2013	3	0	 
108017	3	2013	3	0	 
108017	4	2012	3	0	 
108020	1	2012	3	1	3
108021	1	2013	4	1	3
108021	2	2012	3	0	 
108022	1	2013	3	1	3
108022	2	2012	3	0	 
108022	3	2012	3	0	 
108023	1	2012	3	1	3
108024	1	2012	3	1	3
108025	1	2015	2	1	3
108025	2	2013	2	1	2
108026	1	2015	2	1	3
108026	2	2015	4	1	2
108027	1	2013	4	1	2
108028	1	2013	3	1	3
108028	2	2012	3	0	 
108028	3	2012	3	0	 
108029	1	2012	3	0	 
108029	2	2011	3	0	 
108029	3	2011	4	1	3
118001	1	2012	3	1	3
118002	1	2014	4	1	3
118004	1	2011	4	1	3
118004	2	2011	4	1	2
118006	1	2013	2	1	1
118014	1	2013	2	1	1
118015	1	2013	3	0	 
118018	1	2015	4	1	3
118020	1	2015	2	1	2
118022	1	2015	2	1	2
118023	1	2014	2	1	3
118024	1	2016	2	1	3
118029	1	2015	3	0	 
118029	2	2012	3	0	 
118030	1	2012	3	1	3
128007	1	2016	2	1	3
128008	1	2012	1	1	1
128009	1	2013	4	1	3
128011	1	2014	4	1	2
128011	2	2013	2	1	2
128011	3	2012	3	0	 
128012	1	2010	4	1	1
128014	1	2013	2	1	3
128016	1	2013	2	1	2
128016	2	2016	2	1	3
128019	1	2015	4	1	3
128020	1	2016	2	1	3
128022	1	2013	2	1	1
128023	1	2015	4	1	3
128023	2	2014	2	1	2
128024	1	2011	4	1	3
128028	1	2012	4	1	2
128031	1	2012	4	1	2
128032	1	2015	4	1	3
128033	1	2012	1	0	 
128033	2	2015	1	1	3
128034	1	2014	4	1	3
128034	2	2013	2	1	2
128038	1	2010	3	0	 
128038	2	2011	3	1	3
128039	1	2010	1	0	 
128039	2	2012	1	1	1
128039	3	2015	3	1	3
128041	1	2013	5	1	1
128042	1	2013	4	1	3
128043	1	2015	7	1	3
128045	1	2012	2	1	2
128046	1	2009	3	1	1
128048	1	2011	4	1	2
128048	2	2015	4	1	3
128049	1	2013	2	1	1
128050	1	2012	2	1	1
128050	2	2015	4	1	3
138002	1	2011	3	0	 
138002	2	2011	1	1	1
138004	1	2014	2	0	 
138005	1	2013	2	1	1
138008	1	2013	3	1	3
138008	2	2012	3	0	 
138009	1	2011	4	1	3
138012	1	2013	4	1	3
138013	1	2014	3	0	 
138013	2	2013	3	1	3
138013	3	2012	3	0	 
138015	1	2012	3	1	2
138017	1	2010	1	1	1
138017	2	2010	3	0	 
138018	1	2013	2	1	1
138021	1	2013	2	1	2
138024	1	2012	2	1	3
138025	1	2014	3	1	3
138025	2	2014	2	1	2
138025	3	2013	3	0	 
138027	1	2012	3	1	3
138029	1	2012	2	1	1
138033	1	2010	1	1	1
138035	1	2011	3	0	 
138035	2	2014	4	0	 
138036	1	2012	2	1	3
138040	1	2013	2	1	2
138041	1	2016	3	1	3
138042	1	2011	6	1	2
138042	2	2011	6	1	2
138044	1	2012	2	1	1
138045	1	2013	1	1	1
138046	1	2011	4	0	 
138047	1	2013	3	1	3
138048	1	2011	1	1	1
138049	1	2012	2	1	1
138051	1	2015	1	0	 
138051	2	2014	3	1	2
148001	1	2013	3	0	 
148001	2	2014	3	0	 
148001	3	2015	2	1	2
148008	1	2011	3	1	3
148011	1	2013	2	1	1
148012	1	2013	3	0	 
148012	2	2014	4	1	3
148012	3	2016	1	1	2
148013	1	2015	4	0	 
148014	1	2012	3	1	2
148014	2	2016	2	1	3
148018	1	2013	4	1	3
148018	2	2013	3	0	 
148019	1	2015	3	0	 
148019	2	2012	1	1	1
148020	1	2015	7	0	 
148022	1	 	 	 	 
148023	1	2016	2	1	3
148029	1	2012	1	1	1
148030	1	2013	7	1	1
148031	1	2013	2	1	2
148031	2	2015	2	1	2
148033	1	2012	1	1	1
148034	1	2014	1	0	 
148039	1	2013	3	0	 
148039	2	2014	4	1	3
148044	1	2014	1	1	3
148044	2	2013	2	1	2
148046	1	2011	2	1	1
148048	1	2014	2	1	1
148051	1	2014	3	1	3
148051	2	2013	3	0	 
148051	3	2012	3	0	 
158001	1	2015	2	1	2
158006	1	2015	4	1	3
158006	2	2012	2	1	1
158007	1	2013	4	1	3
158008	1	2016	3	1	2
158008	2	2016	2	1	3
158009	1	2012	1	1	3
158010	1	2013	4	1	3
158011	1	2015	4	1	3
158013	1	2016	1	1	3
158015	1	2012	2	1	1
158016	1	2014	4	1	2
158018	1	2015	5	1	1
158019	1	2013	4	1	2
158021	1	2012	4	1	2
158022	1	 	 	 	 
158024	1	2012	1	1	2
158026	1	2012	3	1	3
158026	2	2011	3	0	 
158032	1	2013	2	1	3
158033	1	2013	1	1	2
158034	1	2013	2	1	1
158035	1	2013	1	1	1
158036	1	2016	2	1	3
158036	3	2012	1	1	2
158037	1	2012	1	1	1
158038	1	2014	1	1	3
158039	1	2013	1	1	2
158041	1	2013	2	1	1
158042	1	2013	2	1	3
158043	1	2013	1	1	2
158044	1	2011	2	1	1
158044	2	2010	3	0	 
158047	1	2013	4	1	3
158047	2	2012	3	0	 
158048	1	2012	2	1	1
158052	1	2013	2	1	2
158056	1	2012	1	1	1
168001	1	2013	3	1	2
168002	1	2012	3	1	3
168006	1	2015	3	1	2
168006	2	2014	3	0	 
168010	1	2014	3	1	3
168010	2	2013	3	0	 
168011	1	2015	2	1	3
168015	1	2012	2	1	2
168017	1	2016	3	1	3
168018	1	2016	5	1	3
168024	1	2015	2	1	3
178003	1	2012	3	0	 
178003	3	2013	4	1	3
178004	1	2010	2	1	1
178006	1	2011	1	1	1
178009	1	2013	4	1	2
178009	2	2012	3	0	 
178010	1	2016	5	1	3
178011	1	2013	2	1	2
178015	1	2013	1	1	1
178019	1	2013	3	1	2
178019	2	2015	3	0	 
178022	1	2014	3	1	3
178022	2	2011	2	1	1
178027	1	2013	2	1	1
178027	2	2012	3	0	 
178028	1	2012	3	0	 
178029	1	2015	1	1	2
178029	2	2015	1	1	3
178031	1	2015	4	1	2
178031	2	2014	2	1	2
178033	1	2016	1	1	3
178036	1	2012	4	1	3
178036	2	2011	3	0	 
188002	1	2014	4	1	2
188004	1	2016	2	1	3
188005	1	2015	3	0	 
188005	2	2016	3	0	 
188006	1	2011	5	1	2
188008	1	2014	2	1	3
188008	2	2012	3	0	 
188008	3	2011	4	1	2
188010	1	2013	3	1	3
188011	1	2012	3	1	3
188012	1	2013	1	1	1
188015	1	2013	2	1	1
188016	1	2016	2	1	3
188020	1	2012	5	1	1
188021	1	2012	1	0	 
188021	2	2011	4	1	3
188024	1	2012	2	1	1
188026	1	2012	3	1	2
198001	1	2014	6	1	2
198002	1	2011	4	0	 
198002	2	2013	6	1	2
198003	1	2013	2	1	2
198006	1	2012	4	1	2
198007	1	2011	1	1	1
198008	1	2011	1	1	1
198008	2	2014	3	0	 
198008	3	2014	3	1	3
198009	1	2014	4	1	3
198011	1	2014	1	1	3
198013	1	2011	4	1	3
198014	1	2014	1	1	2
198014	2	2014	2	1	3
198015	1	2014	6	1	2
198016	1	2013	3	1	3
198017	1	2013	1	1	1
198021	1	2013	1	1	1
198022	1	2013	6	1	2
198024	1	2013	1	1	2
198024	2	2016	1	1	3
198026	1	2015	4	1	3
198026	2	2014	2	1	1
198027	1	2012	4	1	3
198028	1	2014	4	1	3
198030	1	2010	4	1	1
198031	1	2014	5	1	1
208001	1	2012	4	1	3
208003	1	2012	3	0	 
208003	2	2012	4	1	2
208006	1	2015	4	1	3
208006	2	2012	4	1	3
208011	1	2015	3	1	3
208012	1	2013	3	0	 
208012	2	2014	4	1	3
208013	1	2011	3	1	3
208013	2	2013	4	1	2
208015	1	2010	4	1	2
208015	2	2014	4	1	2
208015	3	2014	2	0	 
208015	4	2015	4	1	3
208017	1	2012	4	1	2
208018	1	2010	4	1	3
208019	1	2012	4	1	1
208020	1	2011	3	0	 
208020	2	2012	4	1	2
208024	1	2016	7	1	3
208024	2	2013	2	1	2
208026	1	2011	4	1	3
208027	1	2012	4	1	3
208028	1	2012	3	1	3
208028	2	2011	3	0	 
208029	1	2012	4	1	3
208030	1	2013	6	1	2
208031	1	2012	3	1	3
208032	1	2011	3	0	 
208032	2	2011	4	1	1
208033	1	2011	1	1	2
208033	2	2014	7	0	 
208033	3	2015	7	1	3
208033	4	2015	3	0	 
208034	1	2012	2	1	2
208037	1	2013	4	1	3
208038	1	2013	4	1	3
208038	2	2010	4	1	2
208042	1	2011	4	1	3
208042	2	2011	3	0	 
208043	1	2015	3	1	3
208044	1	2014	3	1	3
208044	2	2013	3	0	 
208046	1	2012	4	1	3
208046	2	2010	4	1	2
208048	1	2011	4	1	1
208049	1	2011	3	1	3
208050	1	2012	3	1	3
208051	1	2015	4	1	3
