CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
18027	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	16	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18029	13	13	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18029	14	14	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18029	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	15	13	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18030	16	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18032	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18034	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18034	15	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18034	16	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18035	13	11	1	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18035	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18035	15	15	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18035	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18036	13	21	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18036	14	21	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18036	15	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
