CHILDCODE	HHDCIDR4	EVMDDCR5	MADDECR5	WHOPRVR5
28009	3	1	1	1
28009	4	1	1	6
28009	5	1	1	1
28009	6	1	1	1
28009	7	1	1	6
28009	8	1	1	6
28009	9	1	1	6
28010	1	0	1	6
28010	2	1	1	1
28010	3	0	1	6
28010	4	0	1	6
28010	5	1	1	6
28010	6	0	1	6
28010	7	0	1	6
28010	8	1	1	6
28010	9	0	1	6
28011	1	1	1	2
28011	2	1	1	2
28011	3	1	1	2
28011	4	1	1	1
28011	5	1	1	2
28011	6	1	1	1
28011	7	0	1	1
28011	8	0	1	1
28011	9	0	1	1
28012	1	1	1	3
28012	2	1	1	3
28012	3	1	1	6
28012	4	1	0	6
28012	5	1	1	6
28012	6	1	1	1
28012	7	1	1	6
28012	8	1	1	6
28012	9	1	1	6
28013	1	1	1	6
28013	2	1	1	1
28013	3	1	1	1
28013	4	1	1	1
28013	5	1	1	1
28013	6	1	1	6
28013	7	1	1	6
28013	8	1	1	6
28013	9	1	1	6
28014	1	0	1	2
28014	2	1	1	1
28014	3	1	1	1
28014	4	1	1	1
28014	5	1	1	1
28014	6	0	1	1
28014	7	0	1	1
28014	8	1	1	1
28014	9	1	1	1
28015	1	0	0	4
28015	2	1	1	8
28015	3	0	1	1
28015	4	1	1	1
28015	5	1	1	1
28015	6	1	1	1
28015	7	0	1	4
28015	8	0	1	1
28015	9	0	1	6
28016	1	1	1	6
28016	2	1	1	6
28016	3	1	1	1
28016	4	1	1	6
28016	5	1	1	6
28016	6	1	1	6
28016	7	1	1	6
28016	8	0	1	6
28016	9	0	1	6
28017	1	1	1	6
28017	2	1	1	6
28017	3	1	1	1
28017	4	1	1	1
28017	5	1	1	1
28017	6	1	1	1
28017	7	1	1	1
28017	8	0	1	6
28017	9	1	1	6
28018	1	0	1	1
28018	2	1	1	2
28018	3	0	1	1
28018	4	1	1	1
28018	5	1	1	1
28018	6	1	1	1
28018	7	0	1	1
28018	8	0	1	1
28018	9	1	1	1
28020	1	0	1	3
28020	2	1	0	3
28020	3	1	1	1
28020	4	1	1	1
28020	5	1	1	3
28020	6	1	1	1
28020	7	0	1	3
28020	8	0	1	6
28020	9	0	1	2
28021	1	1	1	1
28021	2	1	1	7
28021	3	1	1	1
28021	4	1	1	7
28021	5	1	1	1
28021	6	0	1	1
28021	7	0	1	1
28021	8	0	1	1
28021	9	0	1	1
28022	1	0	0	3
28022	2	1	1	3
28022	3	0	1	1
28022	4	0	1	1
28022	5	1	1	1
28022	6	0	1	1
28022	7	0	0	3
28022	8	0	1	1
28022	9	1	1	1
28023	1	0	1	3
28023	2	1	1	3
28023	3	1	0	3
28023	4	1	1	1
28023	5	0	1	1
28023	6	1	1	1
28023	7	0	1	1
28023	8	0	1	1
28023	9	1	1	1
28024	1	0	1	1
28024	2	1	1	1
28024	3	0	1	1
28024	4	1	1	1
28024	5	1	1	1
28024	6	1	1	1
28024	7	0	1	1
28024	8	0	1	1
28024	9	1	1	6
28025	1	0	1	2
28025	2	1	1	1
28025	3	0	1	1
28025	4	0	1	2
28025	5	1	1	2
28025	6	1	1	2
28025	7	0	1	1
28025	8	0	1	1
28025	9	0	1	1
38001	1	1	1	8
38001	2	1	1	8
38001	3	1	1	1
38001	4	1	1	1
