CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
108006	2	8	4	4	4
108007	1	1	2	2	2
108007	2	8	3	3	3
108008	1	1	2	2	2
108008	2	2	3	4	3
108008	3	8	3	3	2
108009	1	1	3	2	2
108011	1	1	2	2	2
108011	2	8	4	3	3
108012	1	1	2	2	2
108013	1	1	2	1	1
108013	2	8	3	3	4
108015	1	1	1	2	2
108016	1	1	2	2	2
108017	1	1	1	1	1
108021	1	1	1	1	1
108021	2	2	5	5	4
108022	1	1	1	1	1
108022	2	8	1	1	1
108023	1	1	2	2	2
108023	2	8	2	2	2
108024	1	1	1	1	1
108024	2	8	3	3	2
108025	1	1	2	2	2
108026	1	1	2	2	2
108027	1	1	2	2	2
108028	1	1	2	2	2
108029	1	1	1	1	1
118001	1	1	2	2	2
118001	2	8	3	3	3
118002	1	1	2	1	2
118002	2	2	3	3	4
118003	1	1	2	2	2
118004	1	1	2	2	2
118005	1	1	2	3	2
118006	1	1	1	1	1
118006	2	2	3	3	3
118006	3	8	3	3	3
118007	1	1	3	3	3
118007	2	2	2	4	4
118009	1	2	3	4	4
118009	2	1	2	2	2
118011	1	1	2	2	2
118011	2	2	3	4	4
118013	1	1	2	2	2
118014	1	1	2	2	2
118017	1	1	2	2	2
118017	2	2	1	4	4
118018	1	1	2	2	2
118018	2	2	1	3	1
118020	1	2	3	4	4
118020	2	1	2	2	2
118022	1	1	2	2	1
118022	2	2	1	2	2
118022	3	8	4	3	3
118023	1	1	2	2	2
118024	1	1	1	1	1
118027	1	1	2	2	2
118028	1	1	2	2	1
118028	2	2	4	4	3
118028	3	8	3	3	4
118029	1	2	4	4	4
118030	1	1	2	1	1
118030	2	8	3	4	4
128002	1	1	1	1	1
128003	1	1	1	1	2
128003	2	8	4	4	4
128004	1	1	2	2	2
128006	1	1	1	1	1
128006	2	8	3	2	3
128007	1	1	3	3	3
128008	1	1	2	2	2
128009	1	1	1	1	1
128009	2	8	2	2	2
128010	1	1	2	2	2
128011	1	1	2	2	2
128011	2	8	3	4	4
128012	1	8	4	2	2
128012	2	1	1	1	1
128014	1	1	1	1	1
128016	1	1	2	2	2
128016	2	8	3	3	3
128019	1	1	1	1	1
128020	1	1	2	2	2
128021	1	1	1	1	1
128022	1	1	1	1	1
128022	2	8	3	3	3
128023	1	1	1	1	1
128024	1	1	1	1	1
128024	2	8	3	3	4
128024	3	11	3	2	2
128025	1	1	2	2	2
128025	2	8	4	3	4
128026	1	1	1	1	1
128028	1	1	2	2	2
128030	1	1	3	2	3
128031	1	1	2	1	2
128032	1	1	1	1	1
128033	1	1	1	1	1
128033	2	8	4	4	4
128034	1	1	2	1	1
128037	1	1	2	2	2
128038	1	1	1	1	2
128038	2	8	4	3	5
128038	3	11	4	4	5
128039	1	1	1	2	2
128040	1	1	2	2	2
128040	2	8	4	4	4
128041	1	1	1	1	1
128042	1	1	2	1	1
128042	2	8	3	3	3
128043	1	1	2	2	2
128043	2	8	4	4	4
128045	1	1	2	2	2
128046	1	1	1	1	1
128046	2	8	3	3	3
128047	1	1	2	2	2
128048	1	1	1	1	2
128048	2	2	4	4	3
128049	1	1	1	1	1
128049	2	8	4	4	4
128050	1	1	2	2	2
128051	1	1	3	3	3
138002	1	1	1	1	1
138002	2	8	3	3	2
138004	1	1	1	1	1
138005	1	1	3	3	3
138007	1	1	1	1	1
138008	1	1	1	1	1
138008	2	8	3	2	2
138009	1	1	2	1	1
138009	2	8	3	3	3
