CHILDCODE	SCSTIDR5	FEESR5
38004	1	0
38004	2	0
38004	3	0
38004	4	0
38004	5	0
38004	6	0
38004	7	0
38004	8	0
38005	1	0
38005	2	0
38005	3	10
38005	4	0
38005	5	0
38005	6	0
38005	7	0
38005	8	100
38006	1	500
38006	2	1600
38006	3	300
38006	4	0
38006	5	200
38006	6	600
38006	7	20
38006	8	250
38008	1	100
38008	2	3840
38008	3	0
38008	4	120
38008	5	230
38008	6	160
38008	7	0
38008	8	300
38010	1	-88
38010	2	-88
38010	3	-88
38010	4	-88
38010	5	-88
38010	6	-88
38010	7	-88
38010	8	-88
38011	1	176.5
38011	2	0
38011	3	1000
38011	4	0
38011	5	570
38011	6	1300
38011	7	0
38011	8	500
38014	1	0
38014	2	0
38014	3	0
38014	4	0
38014	5	0
38014	6	0
38014	7	0
38014	8	200
38015	1	0
38015	2	540
38015	3	320
38015	4	0
38015	5	400
38015	6	192
38015	7	450
38015	8	1345
38016	1	0
38016	2	0
38016	3	0
38016	4	0
38016	5	0
38016	6	0
38016	7	0
38016	8	0
38017	1	0
38017	2	0
38017	3	0
38017	4	0
38017	5	0
38017	6	0
38017	7	0
38017	8	0
38019	1	0
38019	2	0
38019	3	0
38019	4	0
38019	5	0
38019	6	0
38019	7	0
38019	8	0
38020	1	0
38020	2	0
38020	3	0
38020	4	0
38020	5	0
38020	6	0
38020	7	0
38020	8	0
38021	1	-88
38021	2	-88
38021	3	-88
38021	4	-88
38021	5	-88
38021	6	-88
38021	7	-88
38021	8	-88
38022	1	-88
38022	2	-88
38022	3	-88
38022	4	-88
38022	5	-88
38022	6	-88
38022	7	-88
38022	8	-88
38023	1	200
38023	2	70
38023	3	0
38023	4	0
38023	5	0
38023	6	720
38023	7	0
38023	8	150
38024	1	150
38024	2	2000
38024	3	1500
38024	4	0
38024	5	0
38024	6	240
38024	7	0
38024	8	200
38025	1	180
38025	2	0
38025	3	0
38025	4	0
38025	5	0
38025	6	800
38025	7	80
38025	8	150
48001	1	-88
48001	2	-88
48001	3	-88
48001	4	-88
48001	5	-88
48001	6	-88
48001	7	-88
48001	8	-88
48002	1	0
48002	2	0
48002	3	0
48002	4	0
48002	5	0
48002	6	0
48002	7	0
48002	8	0
48003	1	0
48003	2	0
48003	3	0
48003	4	0
48003	5	0
48003	6	0
48003	7	0
48003	8	0
48004	1	250
48004	2	0
48004	3	0
48004	4	0
48004	5	0
48004	6	0
48004	7	0
48004	8	20
48005	1	700
48005	2	900
48005	3	0
48005	4	0
48005	5	960
48005	6	1680
48005	7	95
48005	8	0
48006	1	200
48006	2	500
48006	3	0
48006	4	0
48006	5	180
48006	6	200
48006	7	250
48006	8	80
48007	1	0
48007	2	0
48007	3	0
48007	4	0
48007	5	0
48007	6	0
48007	7	0
48007	8	0
48008	1	0
48008	2	0
48008	3	50
48008	4	0
48008	5	0
48008	6	0
48008	7	0
48008	8	100
48009	1	0
48009	2	0
48009	3	0
48009	4	0
48009	5	0
48009	6	0
48009	7	0
48009	8	0
48010	1	120
48010	2	3000
48010	3	0
48010	4	0
48010	5	0
48010	6	0
48010	7	0
48010	8	0
48011	1	0
48011	2	0
48011	3	0
48011	4	0
48011	5	0
48011	6	0
48011	7	0
48011	8	0
48013	1	0
48013	2	0
48013	3	80
48013	4	0
48013	5	0
48013	6	0
48013	7	0
48013	8	300
48014	1	-88
48014	2	-88
48014	3	-88
48014	4	-88
48014	5	-88
48014	6	-88
48014	7	-88
48014	8	-88
48015	1	-88
48015	2	-88
48015	3	-88
48015	4	-88
48015	5	-88
48015	6	-88
48015	7	-88
48015	8	-88
48016	1	-88
48016	2	-88
48016	3	-88
48016	4	-88
48016	5	-88
48016	6	-88
48016	7	-88
48016	8	-88
48017	1	120
48017	2	0
48017	3	0
48017	4	0
48017	5	0
48017	6	1200
48017	7	0
48017	8	120
48018	1	-88
48018	2	-88
48018	3	-88
48018	4	-88
48018	5	-88
48018	6	-88
48018	7	-88
48018	8	-88
48019	1	300
48019	2	60
48019	3	0
48019	4	0
48019	5	0
48019	6	192
48019	7	0
48019	8	0
48020	1	0
48020	2	0
48020	3	0
48020	4	0
48020	5	0
48020	6	0
48020	7	0
48020	8	500
48021	1	-88
48021	2	-88
48021	3	-88
48021	4	-88
48021	5	-88
48021	6	-88
48021	7	-88
48021	8	-88
48022	1	20
48022	2	0
48022	3	40
48022	4	0
48022	5	0
48022	6	0
48022	7	0
48022	8	50
48023	1	-88
48023	2	-88
48023	3	-88
48023	4	-88
48023	5	-88
48023	6	-88
48023	7	-88
48023	8	-88
48024	1	-88
48024	2	-88
48024	3	-88
48024	4	-88
48024	5	-88
48024	6	-88
48024	7	-88
48024	8	-88
48025	1	30
48025	2	0
48025	3	0
48025	4	0
48025	5	0
48025	6	0
48025	7	17
48025	8	0
48026	1	90
48026	2	4200
48026	3	200
48026	4	0
48026	5	1000
48026	6	500
48026	7	775
48026	8	410
58002	1	0
58002	2	0
58002	3	0
58002	4	0
58002	5	0
58002	6	0
58002	7	0
58002	8	0
58003	1	280
58003	2	800
58003	3	0
58003	4	0
58003	5	0
58003	6	112
58003	7	0
58003	8	135
58004	1	250
58004	2	3680
58004	3	0
58004	4	0
58004	5	480
58004	6	144
58004	7	830
58004	8	250
58007	1	40
58007	2	40
58007	3	0
58007	4	0
58007	5	0
58007	6	0
58007	7	0
58007	8	0
58008	1	0
58008	2	0
58008	3	1200
58008	4	0
58008	5	220
58008	6	660
58008	7	0
58008	8	5540
58011	1	0
58011	2	0
58011	3	0
58011	4	0
58011	5	0
58011	6	0
58011	7	0
58011	8	0
58012	1	0
58012	2	0
58012	3	0
58012	4	0
58012	5	0
58012	6	0
58012	7	0
58012	8	0
58013	1	-88
58013	2	-88
58013	3	-88
58013	4	-88
58013	5	-88
58013	6	-88
58013	7	-88
58013	8	-88
58014	1	400
58014	2	0
58014	3	0
58014	4	0
58014	5	210
58014	6	0
58014	7	1500
58014	8	1000
58015	1	0
58015	2	0
58015	3	0
58015	4	0
58015	5	0
58015	6	0
58015	7	0
58015	8	0
58016	1	65
58016	2	360
58016	3	0
58016	4	0
58016	5	180
58016	6	360
58016	7	0
58016	8	580
58017	1	-88
58017	2	-88
58017	3	-88
58017	4	-88
58017	5	-88
58017	6	-88
58017	7	-88
58017	8	-88
58019	1	600
58019	2	1200
58019	3	0
58019	4	0
58019	5	0
58019	6	0
58019	7	0
58019	8	0
58020	1	-88
58020	2	-88
58020	3	-88
58020	4	-88
58020	5	-88
58020	6	-88
58020	7	-88
58020	8	-88
58021	1	-88
58021	2	-88
58021	3	-88
58021	4	-88
58021	5	-88
58021	6	-88
58021	7	-88
58021	8	-88
58022	1	0
58022	2	0
58022	3	0
58022	4	0
58022	5	0
58022	6	0
58022	7	0
58022	8	0
58025	1	380
58025	2	0
58025	3	0
58025	4	0
58025	5	300
58025	6	621
58025	7	0
58025	8	100
58026	1	300
58026	2	0
58026	3	0
58026	4	0
58026	5	480
58026	6	480
58026	7	0
58026	8	600
58027	1	80
58027	2	1200
58027	3	0
58027	4	0
58027	5	0
58027	6	0
58027	7	0
58027	8	100
58028	1	-88
58028	2	-88
58028	3	-88
58028	4	-88
58028	5	-88
58028	6	-88
58028	7	-88
58028	8	-88
58029	1	-88
58029	2	-88
58029	3	-88
58029	4	-88
58029	5	-88
58029	6	-88
58029	7	-88
58029	8	-88
58030	1	-88
58030	2	-88
58030	3	-88
58030	4	-88
58030	5	-88
58030	6	-88
58030	7	-88
58030	8	0
68001	1	400
68001	2	640
68001	3	0
68001	4	0
68001	5	640
68001	6	960
68001	7	0
68001	8	0
68002	1	520
68002	2	3000
68002	3	650
68002	4	0
68002	5	800
68002	6	400
68002	7	0
68002	8	0
68004	1	264
68004	2	0
68004	3	0
68004	4	200
68004	5	600
68004	6	300
68004	7	1700
68004	8	600
68005	1	350
68005	2	450
68005	3	10
68005	4	0
68005	5	0
68005	6	0
68005	7	2000
68005	8	250
68006	1	381
68006	2	0
68006	3	0
68006	4	0
68006	5	0
68006	6	400
68006	7	5000
68006	8	200
68007	1	140
68007	2	1600
68007	3	200
68007	4	0
68007	5	1000
68007	6	200
68007	7	0
68007	8	157
68008	1	760
68008	2	0
68008	3	0
68008	4	0
68008	5	0
68008	6	1400
68008	7	0
68008	8	100
68009	1	240
68009	2	0
68009	3	0
68009	4	0
68009	5	0
68009	6	120
68009	7	500
68009	8	1200
68010	1	500
68010	2	3600
68010	3	250
68010	4	0
68010	5	200
68010	6	576
68010	7	250
68010	8	120
68011	1	120
68011	2	1500
68011	3	0
68011	4	0
68011	5	0
68011	6	600
68011	7	0
68011	8	70
68012	1	-88
68012	2	-88
68012	3	-88
68012	4	-88
68012	5	-88
68012	6	-88
68012	7	-88
68012	8	-88
68013	1	120
68013	2	1500
68013	3	0
68013	4	0
68013	5	0
68013	6	0
68013	7	0
68013	8	500
68015	1	-88
68015	2	-88
68015	3	-88
68015	4	-88
68015	5	-88
68015	6	-88
68015	7	-88
68015	8	-88
68016	1	0
68016	2	0
68016	3	0
68016	4	0
68016	5	0
68016	6	0
68016	7	0
68016	8	0
68017	1	0
68017	2	0
68017	3	0
68017	4	0
68017	5	0
68017	6	0
68017	7	0
68017	8	0
68019	1	600
68019	2	2500
68019	3	20
68019	4	0
68019	5	0
68019	6	200
68019	7	1280
68019	8	0
68020	1	540
68020	2	1500
68020	3	0
68020	4	0
68020	5	0
68020	6	400
68020	7	1900
68020	8	0
68021	1	120
68021	2	1400
68021	3	60
68021	4	0
68021	5	400
68021	6	1200
68021	7	0
68021	8	480
68022	1	50
68022	2	0
68022	3	0
68022	4	0
68022	5	320
68022	6	532
68022	7	0
68022	8	205
68023	1	0
68023	2	0
68023	3	0
68023	4	0
68023	5	0
68023	6	0
68023	7	0
68023	8	0
68024	1	259
68024	2	0
68024	3	60
68024	4	0
68024	5	0
68024	6	0
68024	7	0
68024	8	0
68025	1	0
68025	2	0
68025	3	0
68025	4	0
68025	5	0
68025	6	0
68025	7	0
68025	8	0
78001	1	3650
78001	2	12800
78001	3	0
78001	4	0
78001	5	1416
78001	6	384
78001	7	3298
78001	8	60
78002	1	611
78002	2	3060
78002	3	0
78002	4	0
78002	5	40
78002	6	37.7999992370605
78002	7	0
78002	8	28
78003	1	1000
78003	2	6000
78003	3	0
78003	4	0
78003	5	0
78003	6	896
78003	7	1000
78003	8	1000
78005	1	310
78005	2	310
78005	3	0
78005	4	0
78005	5	0
78005	6	200
78005	7	2500
78005	8	130
78006	1	375
78006	2	4750
78006	3	300
78006	4	0
78006	5	2000
78006	6	490
78006	7	2000
78006	8	100
78008	1	500
78008	2	3600
78008	3	0
78008	4	0
78008	5	500
78008	6	175
78008	7	0
78008	8	100
78009	1	-88
78009	2	-88
78009	3	-88
78009	4	-88
78009	5	-88
78009	6	-88
78009	7	-88
78009	8	-88
78010	1	480
78010	2	20880
78010	3	500
78010	4	750
78010	5	7500
78010	6	2700
78010	7	3500
78010	8	2000
78011	1	52
78011	2	0
78011	3	0
78011	4	0
78011	5	0
78011	6	1000
78011	7	200
78011	8	100
78012	1	190
78012	2	1260
78012	3	0
78012	4	0
78012	5	840
78012	6	420
78012	7	0
78012	8	500
78013	1	450
78013	2	350
78013	3	0
78013	4	0
78013	5	400
78013	6	250
78013	7	4000
78013	8	0
78014	1	800
78014	2	3200
78014	3	0
78014	4	0
78014	5	0
78014	6	200
78014	7	0
78014	8	180
78015	1	200
78015	2	1400
78015	3	700
78015	4	0
78015	5	0
78015	6	0
78015	7	2200
78015	8	300
78016	1	0
78016	2	0
78016	3	0
78016	4	0
78016	5	0
78016	6	0
78016	7	0
78016	8	0
78017	1	280
78017	2	280
78017	3	70
78017	4	0
78017	5	0
78017	6	2
78017	7	45
78017	8	130
78018	1	50
78018	2	320
78018	3	0
78018	4	0
78018	5	0
78018	6	0
78018	7	100
78018	8	30
78019	1	400
78019	2	2400
78019	3	0
78019	4	0
78019	5	576
78019	6	259.200012207031
78019	7	3096
78019	8	300
78020	1	130
78020	2	0
78020	3	0
78020	4	0
78020	5	0
78020	6	0
78020	7	0
78020	8	240
78021	1	500
78021	2	2880
78021	3	0
78021	4	0
78021	5	320
78021	6	240
78021	7	2030
78021	8	0
78022	1	 
78022	2	 
78022	3	 
78022	4	 
78022	5	 
78022	6	 
78022	7	 
78022	8	 
78024	1	300
78024	2	3650
78024	3	0
78024	4	0
78024	5	0
78024	6	1000
78024	7	0
78024	8	250
78026	1	55
78026	2	0
78026	3	13.5
78026	4	0
78026	5	240
78026	6	240
78026	7	0
78026	8	100
78027	1	0
78027	2	0
78027	3	0
78027	4	0
78027	5	0
78027	6	0
78027	7	0
78027	8	0
78028	1	55
78028	2	0
78028	3	0
78028	4	0
78028	5	0
78028	6	400
78028	7	50
78028	8	1000
78029	1	430
78029	2	1100
78029	3	0
78029	4	0
78029	5	960
78029	6	768
78029	7	4120
78029	8	200
78030	1	60
78030	2	480
78030	3	0
78030	4	0
78030	5	160
78030	6	0
78030	7	0
78030	8	60
78031	1	30
78031	2	0
78031	3	0
78031	4	0
78031	5	0
78031	6	225
78031	7	0
78031	8	0
78032	1	585
78032	2	3080
78032	3	800
78032	4	0
78032	5	200
78032	6	640
78032	7	65
78032	8	100
78033	1	54
78033	2	0
78033	3	25
78033	4	0
78033	5	320
78033	6	256
78033	7	0
78033	8	0
78034	1	55
78034	2	0
78034	3	30
78034	4	0
78034	5	350
78034	6	280
78034	7	1100
78034	8	180
78035	1	720
78035	2	1800
78035	3	30
78035	4	300
78035	5	0
78035	6	1000
78035	7	500
78035	8	0
78036	1	0
78036	2	0
78036	3	0
78036	4	0
78036	5	0
78036	6	0
78036	7	0
78036	8	0
78037	1	110
78037	2	0
78037	3	0
78037	4	0
78037	5	240
78037	6	0
78037	7	0
78037	8	40
78038	1	200
78038	2	0
78038	3	0
78038	4	0
78038	5	1200
78038	6	360
78038	7	0
78038	8	0
78039	1	0
78039	2	300
78039	3	0
78039	4	0
78039	5	0
78039	6	450
78039	7	0
78039	8	50
78040	1	150
78040	2	2700
78040	3	0
78040	4	0
78040	5	0
78040	6	240
78040	7	0
78040	8	200
78041	1	 
78041	2	 
78041	3	 
78041	4	 
78041	5	 
78041	6	 
78041	7	 
78041	8	 
78042	1	55
78042	2	0
78042	3	0
78042	4	0
78042	5	200
78042	6	320
78042	7	0
78042	8	200
78043	1	430
78043	2	1400
78043	3	0
78043	4	0
78043	5	1000
78043	6	200
78043	7	0
78043	8	150
78044	1	420
78044	2	3000
78044	3	0
78044	4	0
78044	5	0
78044	6	100
78044	7	0
78044	8	200
78045	1	220
78045	2	0
78045	3	30
78045	4	0
78045	5	0
78045	6	0
78045	7	0
78045	8	0
78046	1	200
78046	2	400
78046	3	0
78046	4	0
78046	5	0
78046	6	0
78046	7	150
78046	8	150
78047	1	200
78047	2	3000
78047	3	0
78047	4	0
78047	5	0
78047	6	600
78047	7	2000
78047	8	200
78048	1	-88
78048	2	-88
78048	3	-88
78048	4	-88
78048	5	-88
78048	6	-88
78048	7	-88
78048	8	-88
78049	1	460
78049	2	3100
78049	3	0
78049	4	0
78049	5	0
78049	6	0
78049	7	1200
78049	8	1200
78051	1	100
78051	2	1940
78051	3	0
78051	4	0
78051	5	0
78051	6	0
78051	7	4000
78051	8	100
78052	1	70
78052	2	0
78052	3	0
78052	4	0
78052	5	0
78052	6	1200
78052	7	0
78052	8	55
88001	1	-88
88001	2	-88
88001	3	-88
88001	4	-88
88001	5	-88
88001	6	-88
88001	7	-88
88001	8	-88
88002	1	-88
88002	2	-88
88002	3	-88
88002	4	-88
88002	5	-88
88002	6	-88
88002	7	-88
88002	8	-88
88003	1	 
88003	2	 
88003	3	 
88003	4	 
88003	5	 
88003	6	 
88003	7	 
88003	8	 
88004	1	100
88004	2	0
88004	3	500
88004	4	0
88004	5	0
88004	6	1000
88004	7	5000
88004	8	200
88005	1	0
88005	2	0
88005	3	0
88005	4	0
88005	5	0
88005	6	0
88005	7	0
88005	8	0
88007	1	0
88007	2	0
88007	3	0
88007	4	0
88007	5	0
88007	6	0
88007	7	0
88007	8	0
88008	1	-88
88008	2	-88
88008	3	-88
88008	4	-88
88008	5	-88
88008	6	-88
88008	7	-88
88008	8	-88
88010	1	-88
88010	2	-88
88010	3	-88
88010	4	-88
88010	5	-88
88010	6	-88
88010	7	-88
88010	8	-88
88011	1	0
88011	2	0
88011	3	0
88011	4	0
88011	5	0
88011	6	0
88011	7	0
88011	8	0
88012	1	400
88012	2	0
88012	3	0
88012	4	0
88012	5	0
88012	6	0
88012	7	0
88012	8	4500
88013	1	0
88013	2	0
88013	3	0
88013	4	0
88013	5	0
88013	6	0
88013	7	0
88013	8	0
88014	1	0
88014	2	0
88014	3	0
88014	4	0
88014	5	0
88014	6	0
88014	7	0
88014	8	0
88015	1	240
88015	2	270
88015	3	100
88015	4	0
88015	5	504
88015	6	270
88015	7	453
88015	8	180
88016	1	0
88016	2	0
88016	3	0
88016	4	0
88016	5	0
88016	6	0
88016	7	0
88016	8	0
88017	1	310
88017	2	310
88017	3	0
88017	4	0
88017	5	40
88017	6	50
88017	7	1500
88017	8	300
88020	1	30
88020	2	0
88020	3	300
88020	4	0
88020	5	300
88020	6	0
88020	7	10
88020	8	60
88021	1	400
88021	2	1790
88021	3	0
88021	4	0
88021	5	0
88021	6	800
88021	7	0
88021	8	180
88022	1	200
88022	2	3800
88022	3	200
88022	4	0
88022	5	0
88022	6	400
88022	7	0
88022	8	0
88023	1	500
88023	2	3600
88023	3	0
88023	4	0
88023	5	240
88023	6	144
88023	7	2050
88023	8	200
88024	1	2000
88024	2	6400
88024	3	0
88024	4	0
88024	5	0
88024	6	2560
88024	7	1388
88024	8	0
88025	1	-88
88025	2	-88
88025	3	-88
88025	4	-88
88025	5	-88
88025	6	-88
88025	7	-88
88025	8	-88
88026	1	200
88026	2	3750
88026	3	20
88026	4	0
88026	5	400
88026	6	350
88026	7	0
88026	8	100
88027	1	0
88027	2	0
88027	3	0
88027	4	0
88027	5	0
88027	6	0
88027	7	0
88027	8	0
88029	1	700
88029	2	1400
88029	3	0
88029	4	0
88029	5	2100
88029	6	700
88029	7	500
88029	8	0
88031	1	300
88031	2	1120
88031	3	0
88031	4	0
88031	5	400
88031	6	240
88031	7	30
88031	8	160
98001	1	0
98001	2	0
98001	3	0
98001	4	0
98001	5	0
98001	6	0
98001	7	0
98001	8	0
98006	1	-88
98006	2	-88
98006	3	-88
98006	4	-88
98006	5	-88
98006	6	-88
98006	7	-88
98006	8	-88
98007	1	100
98007	2	2700
98007	3	0
98007	4	0
98007	5	700
98007	6	700
98007	7	0
98007	8	180
98008	1	90
98008	2	0
98008	3	1000
98008	4	0
98008	5	1200
98008	6	50
98008	7	0
98008	8	1000
98010	1	500
98010	2	2500
98010	3	0
98010	4	0
98010	5	0
98010	6	600
98010	7	0
98010	8	200
98011	1	0
98011	2	135
98011	3	0
98011	4	0
98011	5	0
98011	6	0
98011	7	0
98011	8	395
98012	1	-88
98012	2	-88
98012	3	-88
98012	4	-88
98012	5	-88
98012	6	-88
98012	7	-88
98012	8	-88
98013	1	600
98013	2	150
98013	3	0
98013	4	0
98013	5	0
98013	6	0
98013	7	0
98013	8	140
98014	1	42
98014	2	0
98014	3	15
98014	4	0
98014	5	0
98014	6	0
98014	7	0
98014	8	250
98016	1	-88
98016	2	-88
98016	3	-88
98016	4	-88
98016	5	-88
98016	6	-88
