CHILDID	PASSID	ASSETR3	NUMOWNR3	VALASTR3	ASTACTR3
VN031011	2	2	1	1000	11
VN031011	3	4	2	300	11
VN031011	4	23	5	3000	23
VN031012	1	1	5	160	11
VN031012	2	4	2	400	11
VN031012	3	8	8	1500	11
VN031013	1	1	8	100	11
VN031018	1	1	5	200	11
VN031018	2	4	1	200	11
VN031018	3	8	3	800	11
VN031020	1	1	5	160	11
VN031020	2	8	6	1500	11
VN031020	3	13	3	150	7
VN031021	1	1	12	200	11
VN031021	2	13	4	100	7
VN031021	3	8	1	500	11
VN031023	1	1	10	230	11
VN031023	2	4	2	800	11
VN031023	3	2	1	3000	11
VN031023	4	8	3	1000	11
VN031024	1	1	5	120	11
VN031024	2	8	3	750	11
VN031025	1	1	5	400	11
VN031025	2	2	1	1500	11
VN031025	3	8	6	380	11
VN031025	4	4	1	370	11
VN031027	1	1	6	100	11
VN031027	2	4	2	320	11
VN031027	3	8	1	600	11
VN031028	1	1	5	300	11
VN031028	2	4	1	450	11
VN031028	3	8	5	1200	11
VN031029	1	1	10	100	11
VN031029	2	4	3	500	11
VN031029	3	8	4	4000	11
VN031031	1	1	10	100	11
VN031031	2	8	1	500	11
VN031032	1	1	4	40	11
VN031032	2	4	1	200	11
VN031032	3	8	2	3500	11
VN031033	1	1	4	20	11
VN031033	2	2	1	1000	11
VN031033	3	3	1	150	11
VN031033	4	4	1	150	11
VN031033	5	8	1	800	11
VN031034	1	1	6	120	11
VN031034	2	4	1	200	11
VN031034	3	8	1	400	11
VN031035	1	1	6	250	11
VN031035	2	2	1	1500	11
VN031035	3	4	2	450	11
VN031035	4	8	7	1200	11
VN031036	1	1	3	120	11
VN031036	2	2	1	1200	11
VN031036	3	8	5	700	11
VN031038	1	1	10	150	11
VN031038	2	4	1	250	11
VN031038	3	2	1	1500	11
VN031038	4	8	2	1500	11
VN031039	1	23	5	500	23
VN031039	2	24	1	30000	23
VN031039	3	25	1	3000	24
VN031040	1	13	2	50	7
VN031041	1	1	3	60	11
VN031041	2	25	1	1000	9
VN031041	3	9	7	6000	2
VN031041	4	8	1	300	11
VN031043	1	1	3	80	11
VN031043	2	3	1	50	11
VN031043	3	4	1	60	11
VN031043	4	8	1	2000	11
VN031044	1	13	5	150	7
VN031044	2	1	6	50	11
VN031044	3	4	2	400	11
VN031046	1	22	4	250	28
VN031046	2	40	2	10000	28
VN031046	3	8	1	200	11
VN031047	1	1	5	100	11
VN031047	2	2	1	1000	11
VN031047	3	8	1	300	11
VN031048	1	23	20	8000	12
VN031048	2	24	1	300000	12
VN031048	3	15	5	3000	12
VN031049	1	1	10	100	11
VN031049	2	2	1	1000	11
VN031049	3	4	3	600	11
VN031049	4	8	1	1000	11
VN031050	1	1	5	140	11
VN031050	2	4	1	200	11
VN031050	3	2	1	850	11
VN031050	4	8	6	1200	11
VN031052	1	1	15	300	11
VN031052	2	4	2	5	11
VN031052	3	8	1	2000	11
VN031052	4	2	1	2000	11
VN031058	1	1	5	50	11
VN031059	1	1	5	80	11
VN031059	2	8	3	60	11
VN031060	1	1	7	100	11
VN031060	2	4	1	300	11
VN031060	3	2	1	1200	24
VN031060	4	8	1	1000	11
VN031079	1	1	5	120	11
VN031079	2	2	1	1500	11
VN031079	3	4	1	200	11
VN031079	4	8	6	600	11
VN031096	1	1	12	300	11
VN031096	2	8	2	3000	11
VN031096	3	4	2	400	11
VN031098	1	1	17	350	11
VN031098	2	2	1	5000	11
VN031098	3	4	2	600	11
VN031098	4	3	1	100	11
VN031098	5	8	4	1600	11
VN031108	1	1	10	400	11
VN031108	2	4	2	480	11
VN031108	3	8	5	600	11
VN031108	4	2	1	700	11
VN031134	1	1	7	150	11
VN031134	2	4	2	400	11
VN031134	3	8	1	800	11
VN031134	4	11	8	2000	4
VN031134	5	24	1	10000	4
VN041001	1	30	1	5000	30
VN041001	2	40	1	5000	30
VN041001	3	40	2	100	30
VN041002	1	30	1	15000	30
VN041002	2	40	4	4000	40
VN041003	1	40	6	4000	30
VN041003	2	8	3	3000	11
VN041003	3	30	1	1500	30
VN041004	1	24	1	60000	23
VN041006	1	30	1	15000	30
VN041006	2	40	6	5000	30
VN041006	3	40	1	1000	30
VN041007	1	30	1	70000	30
VN041007	2	40	30	30000	30
VN041007	3	40	11	8000	11
VN041007	4	40	1	7000	11
VN041007	5	40	1	3000	11
VN041008	1	15	13	1200	12
VN041009	1	30	1	50000	30
VN041009	2	40	30	30000	30
VN041009	3	40	12	12000	30
VN041009	4	40	1	7000	30
VN041009	5	40	2	1000	30
VN041010	1	40	20	30000	30
VN041010	2	30	1	20000	30
VN041010	3	40	10	15000	30
VN041010	4	40	1	3000	30
VN041011	1	30	1	15000	30
VN041011	2	40	10	10000	30
VN041011	3	40	2	10000	40
VN041011	4	40	1	2000	30
VN041012	1	30	1	10000	30
VN041012	2	40	2	200	30
VN041013	1	40	1	500	30
VN041013	2	40	9	90	30
VN041014	1	30	1	10000	30
VN041014	2	40	1	2000	30
VN041015	1	40	5	5000	30
VN041015	2	40	1	300	30
VN041016	1	24	1	100000	23
VN041016	2	14	4	3300	9
VN041016	3	23	2	1700	23
VN041017	1	40	2	1500	30
VN041017	2	30	1	1000	30
VN041017	3	15	-77	1000	12
VN041017	4	40	1	500	30
VN041019	1	40	5	1000	30
VN041019	2	40	1	300	30
VN041020	1	13	5	150	7
VN041021	1	30	1	5000	30
