CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	DTHEXPR3	ADULTEDC	GRADE	HSSTRR3	STRAGER3	GRADER3	STILLR3	WHYNOTR3	AGEGRDR3	PERFR3	FEESR3	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3	SLEEPR3	CHCARER3	HHCHRER3	NPYWRKR3	PAYWRKR3	SCHOOLR3	STUDYR3	PLAYR3
VN011010	4	19	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011010	0	14	1	0	1	88	88	88	1	6	8	1	88	88	3	580	0	15	12	20	2	9	0	2	0	0	5	4	4
VN011010	1	72	2	6	1	88	0	3	 	 	 	 	 	 	 	 	0	1	6	15	6	 	 	 	 	 	 	 	 
VN011010	2	43	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	12	10	26	9	 	 	 	 	 	 	 	 
VN011010	3	39	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	12	10	25	9	 	 	 	 	 	 	 	 
VN011010	5	17	2	7	1	88	88	88	1	6	11	1	88	88	2	720	0	15	12	20	2	8	0	2	0	0	5	6	3
VN011011	0	14	2	0	1	88	88	88	1	6	8	1	88	88	2	930	0	15	12	20	4	9	0	3	1	0	5	2	4
VN011011	1	51	2	1	1	88	0	2	 	 	 	 	 	 	 	 	0	9	12	25	6	 	 	 	 	 	 	 	 
VN011012	3	27	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011012	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	1800	0	4	10	20	2	8	0	1	2	0	6	3	4
VN011012	1	54	1	1	1	88	0	10	 	 	 	 	 	 	 	 	0	20	10	20	8	 	 	 	 	 	 	 	 
VN011012	2	52	2	1	1	88	0	6	 	 	 	 	 	 	 	 	0	10	11	25	6	 	 	 	 	 	 	 	 
VN011012	4	20	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	15	12	20	1	 	 	 	 	 	 	 	 
VN011013	3	30	1	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	4	27	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	5	25	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	0	15	1	0	1	88	88	88	1	6	8	0	1	15	88	-88	0	4	12	20	3	9	1	2	4	0	0	0	8
VN011013	1	56	1	1	1	88	0	5	 	 	 	 	 	 	 	 	0	4	12	15	4	 	 	 	 	 	 	 	 
VN011013	2	55	2	1	1	88	0	5	 	 	 	 	 	 	 	 	4	15	11	15	2	 	 	 	 	 	 	 	 
VN011013	6	22	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	1	12	20	5	 	 	 	 	 	 	 	 
VN011013	7	18	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	20	6	22	8	 	 	 	 	 	 	 	 
VN011013	8	14	2	7	1	88	88	88	1	6	8	1	88	88	1	180	0	15	12	22	3	9	0	4	0	0	5	2	4
VN011014	0	15	1	0	1	88	88	88	1	6	9	0	31	15	88	-88	0	15	12	20	2	8	0	4	0	0	0	0	12
VN011014	1	44	1	1	1	88	0	12	 	 	 	 	 	 	 	 	0	20	12	25	10	 	 	 	 	 	 	 	 
VN011014	2	42	2	1	1	88	0	7	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011014	3	20	1	7	1	88	1	12	 	 	 	 	 	 	 	 	0	19	 	 	 	 	 	 	 	 	 	 	 
VN011014	4	19	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	15	3	20	6	 	 	 	 	 	 	 	 
VN011015	1	73	1	6	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011015	4	34	2	13	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011015	0	15	1	0	1	88	88	88	1	6	9	1	88	88	2	780	0	15	12	20	1	9	0	1	0	0	6	4	4
VN011015	2	39	1	1	1	88	0	12	 	 	 	 	 	 	 	 	0	20	8	25	10	 	 	 	 	 	 	 	 
VN011015	3	38	2	1	1	88	0	10	 	 	 	 	 	 	 	 	0	4	12	28	3	 	 	 	 	 	 	 	 
VN011015	17	9	2	7	1	88	88	88	1	6	3	1	88	88	3	0	0	15	12	15	1	10	0	1	0	0	4	2	7
VN011016	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	1080	0	15	12	25	2	9	0	2	0	0	6	3	4
VN011016	2	46	1	1	1	88	0	5	 	 	 	 	 	 	 	 	0	9	8	25	10	 	 	 	 	 	 	 	 
VN011016	3	43	2	1	1	88	0	4	 	 	 	 	 	 	 	 	0	9	8	25	10	 	 	 	 	 	 	 	 
VN011016	4	22	1	7	1	88	1	12	 	 	 	 	 	 	 	 	0	19	 	 	 	 	 	 	 	 	 	 	 
VN011016	5	20	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	19	 	 	 	 	 	 	 	 	 	 	 
VN011016	6	17	2	7	1	88	88	88	1	6	11	1	88	88	2	1200	0	1	3	20	2	9	0	1	0	0	6	3	5
VN011016	7	13	1	7	1	88	88	88	1	6	7	1	88	88	2	520	0	15	12	20	1	10	0	0	0	0	5	2	7
VN011016	17	9	1	7	1	88	88	88	1	6	3	1	88	88	2	0	0	19	 	 	 	11	0	1	0	0	5	0	7
VN011016	1	73	2	6	3	99	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011017	3	19	1	7	3	1	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011017	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	520	0	15	12	20	3	8	0	3	0	0	5	5	3
VN011017	1	44	1	1	1	88	0	10	 	 	 	 	 	 	 	 	0	9	10	26	9	 	 	 	 	 	 	 	 
VN011017	2	42	2	1	1	88	0	12	 	 	 	 	 	 	 	 	0	9	12	28	9	 	 	 	 	 	 	 	 
VN011017	17	9	2	7	1	88	88	88	1	6	3	1	88	88	2	280	0	15	10	15	2	9	0	2	0	0	5	4	4
VN011018	0	14	1	0	1	88	88	88	1	6	8	1	88	88	3	300	0	4	6	20	2	10	0	0	2	0	5	3	4
VN011018	1	41	1	1	1	88	0	4	 	 	 	 	 	 	 	 	0	20	12	25	10	 	 	 	 	 	 	 	 
VN011018	2	37	2	1	1	88	0	4	 	 	 	 	 	 	 	 	0	11	10	20	10	 	 	 	 	 	 	 	 
VN011018	3	13	2	7	1	88	88	88	1	6	6	1	88	88	3	300	0	4	6	20	2	10	0	0	2	0	5	3	4
VN011018	4	6	2	7	1	88	88	88	1	6	0	1	88	88	3	100	0	15	10	25	1	11	0	1	0	0	4	2	6
VN011019	0	14	2	0	1	88	88	88	1	6	9	1	88	88	1	3085	0	15	9	15	1	8	0	1	0	0	5	6	4
VN011019	1	72	2	6	1	88	0	2	 	 	 	 	 	 	 	 	0	19	88	88	88	 	 	 	 	 	 	 	 
VN011019	2	46	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	20	7	20	8	 	 	 	 	 	 	 	 
VN011019	3	42	2	1	1	88	0	14	 	 	 	 	 	 	 	 	0	13	9	22	8	 	 	 	 	 	 	 	 
VN011019	4	19	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	19	88	88	88	 	 	 	 	 	 	 	 
VN011019	5	17	2	7	1	88	88	88	1	6	11	1	88	88	2	2350	0	15	4	20	1	8	0	1	0	0	5	6	4
VN011019	6	12	1	7	1	88	88	88	1	6	6	1	88	88	2	1072	0	19	88	88	88	11	0	0	0	0	5	4	4
VN011020	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	500	0	15	12	20	3	8	0	3	0	0	6	2	5
VN011020	1	46	1	1	1	88	0	12	 	 	 	 	 	 	 	 	0	4	12	25	6	 	 	 	 	 	 	 	 
VN011020	2	46	2	1	1	88	0	12	 	 	 	 	 	 	 	 	0	9	12	20	9	 	 	 	 	 	 	 	 
VN011020	3	26	2	7	1	88	0	13	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN011020	4	24	1	7	1	88	0	12	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN011021	0	15	2	0	1	88	88	88	1	6	9	1	88	88	3	1505	0	15	9	15	1	8	0	1	0	0	5	6	4
VN011021	1	37	1	1	1	88	0	6	 	 	 	 	 	 	 	 	0	20	12	20	8	 	 	 	 	 	 	 	 
VN011021	2	37	2	1	1	88	0	8	 	 	 	 	 	 	 	 	0	13	10	20	8	 	 	 	 	 	 	 	 
VN011021	17	11	1	7	1	88	88	88	1	6	4	1	88	88	2	60	0	15	10	15	1	11	0	1	0	0	5	2	5
VN011022	3	26	2	7	2	88	0	9	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011022	4	24	2	7	2	88	0	9	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011022	5	22	1	7	2	88	0	9	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011022	0	14	1	0	1	88	88	88	1	6	9	1	88	88	2	1370	0	15	8	15	2	8	0	2	0	0	5	6	3
VN011022	1	48	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	1	6	18	6	 	 	 	 	 	 	 	 
VN011022	2	49	2	1	1	88	0	5	 	 	 	 	 	 	 	 	0	9	12	20	10	 	 	 	 	 	 	 	 
VN011024	3	32	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011024	0	14	2	0	1	88	88	88	1	6	8	1	88	88	2	350	0	15	12	20	3	8	0	3	0	0	5	5	3
VN011024	1	64	1	1	1	88	0	5	 	 	 	 	 	 	 	 	0	12	10	25	9	 	 	 	 	 	 	 	 
VN011024	2	59	2	1	1	88	0	2	 	 	 	 	 	 	 	 	0	1	10	20	9	 	 	 	 	 	 	 	 
VN011024	4	25	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	26	9	 	 	 	 	 	 	 	 
VN011024	5	20	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	12	10	26	9	 	 	 	 	 	 	 	 
VN011025	3	25	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011025	0	14	2	0	1	88	88	88	1	6	8	1	88	88	2	280	0	16	10	20	3	8	0	2	1	0	5	4	4
VN011025	1	50	2	1	1	88	0	3	 	 	 	 	 	 	 	 	0	1	10	20	9	 	 	 	 	 	 	 	 
VN011025	2	44	1	1	1	88	0	5	 	 	 	 	 	 	 	 	0	4	10	20	9	 	 	 	 	 	 	 	 
VN011025	4	18	1	7	1	88	0	10	 	 	 	 	 	 	 	 	0	12	10	25	9	 	 	 	 	 	 	 	 
VN011025	5	17	2	7	1	88	88	88	1	6	11	1	88	88	2	750	0	16	12	20	4	8	0	2	3	0	5	4	2
VN011026	0	15	2	0	1	88	88	88	1	6	9	0	31	15	88	-88	0	15	12	20	6	7	6	2	3	0	0	0	6
VN011026	1	51	1	1	1	88	0	6	 	 	 	 	 	 	 	 	0	9	9	20	8	 	 	 	 	 	 	 	 
VN011026	2	49	2	1	1	88	0	6	 	 	 	 	 	 	 	 	0	1	6	20	5	 	 	 	 	 	 	 	 
VN011026	3	23	2	7	1	88	0	9	 	 	 	 	 	 	 	 	0	1	6	20	5	 	 	 	 	 	 	 	 
VN011026	4	21	2	7	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	25	8	 	 	 	 	 	 	 	 
VN011026	5	17	2	7	1	88	88	88	1	6	11	1	88	88	2	354	0	15	12	30	2	6	1	2	0	0	6	7	2
VN011028	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	2000	0	19	88	88	88	9	0	0	0	0	5	4	6
VN011028	1	39	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	20	12	15	8	10	0	1	2	0	5	4	2
VN011028	2	37	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	1	6	22	8	 	 	 	 	 	 	 	 
VN011028	3	14	2	7	1	88	88	88	1	6	8	1	88	88	3	1800	0	88	4	10	4	 	 	 	 	 	 	 	 
VN011029	0	15	1	0	1	88	88	88	1	6	9	1	88	88	2	790	0	15	10	20	3	8	0	3	0	0	6	5	3
VN011029	1	35	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	12	10	25	9	 	 	 	 	 	 	 	 
VN011029	2	38	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	4	12	27	9	 	 	 	 	 	 	 	 
VN011029	3	14	2	7	1	88	88	88	1	6	8	1	88	88	3	680	0	15	12	20	3	8	0	2	0	0	4	6	4
VN011029	17	10	2	7	1	88	88	88	1	6	4	1	88	88	2	420	0	15	10	20	2	9	0	2	0	0	4	5	4
VN011030	0	15	1	0	1	88	88	88	1	6	9	1	88	99	2	210	0	15	12	28	2	9	0	2	0	0	6	3	4
VN011030	1	43	1	1	1	88	0	8	 	 	 	 	 	 	 	 	0	20	8	15	10	 	 	 	 	 	 	 	 
VN011030	2	41	2	1	1	88	0	12	 	 	 	 	 	 	 	 	0	13	12	28	11	 	 	 	 	 	 	 	 
VN011030	3	18	1	7	1	88	1	14	 	 	 	 	 	 	 	 	0	1	3	20	4	 	 	 	 	 	 	 	 
VN011030	17	11	1	7	1	88	88	88	1	6	6	1	88	88	3	200	0	15	12	25	1	9	0	1	0	0	5	2	7
VN011031	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	630	0	15	12	30	2	10	1	1	0	0	6	4	2
VN011031	1	85	2	6	1	88	0	0	 	 	 	 	 	 	 	 	3	2	6	15	1	 	 	 	 	 	 	 	 
VN011031	2	42	1	1	1	88	0	7	 	 	 	 	 	 	 	 	0	20	9	20	8	 	 	 	 	 	 	 	 
VN011031	3	38	2	1	1	88	0	1	 	 	 	 	 	 	 	 	0	1	8	10	4	 	 	 	 	 	 	 	 
VN011031	4	17	2	7	1	88	88	88	1	6	9	0	25	15	88	-99	0	9	9	20	6	7	0	1	0	12	0	0	4
VN011031	5	13	1	7	1	88	88	88	1	6	7	1	88	88	2	630	0	1	6	10	1	9	1	2	1	0	6	3	2
VN011031	6	5	2	7	1	88	88	88	0	88	88	88	88	88	88	-99	4	19	 	 	 	10	1	0	0	0	4	1	8
VN011032	0	14	2	0	1	88	88	88	1	6	9	1	88	88	2	450	0	15	12	20	3	8	0	3	0	0	5	5	3
VN011032	1	53	2	1	1	88	0	5	 	 	 	 	 	 	 	 	0	12	10	26	9	 	 	 	 	 	 	 	 
VN011032	2	24	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	24	8	 	 	 	 	 	 	 	 
VN011033	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	1180	0	15	12	20	2	8	1	1	1	0	5	5	3
VN011033	1	48	1	1	1	88	0	14	 	 	 	 	 	 	 	 	0	13	11	26	8	 	 	 	 	 	 	 	 
VN011033	2	43	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	10	12	28	10	 	 	 	 	 	 	 	 
VN011033	3	20	1	7	1	88	0	0	 	 	 	 	 	 	 	 	5	19	88	88	88	 	 	 	 	 	 	 	 
VN011033	4	18	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	15	10	15	1	 	 	 	 	 	 	 	 
VN011033	17	9	2	7	1	88	88	88	1	6	2	1	88	88	1	40	0	99	12	20	1	10	0	1	1	0	4	2	6
VN011034	0	14	1	0	1	88	88	88	1	6	9	1	88	88	1	2880	0	16	12	8	2	7	0	0	2	0	8	4	3
VN011034	1	40	1	1	1	88	0	11	 	 	 	 	 	 	 	 	0	20	12	20	9	 	 	 	 	 	 	 	 
VN011034	2	37	2	1	1	88	0	11	 	 	 	 	 	 	 	 	0	10	12	28	10	 	 	 	 	 	 	 	 
VN011034	17	10	1	7	1	88	88	88	1	6	4	1	88	88	2	210	0	16	12	6	1	10	0	0	1	0	4	3	6
VN011035	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	1170	0	19	 	 	 	8	0	0	0	0	8	2	6
VN011035	1	39	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	1	8	20	8	 	 	 	 	 	 	 	 
VN011035	2	38	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	20	12	20	8	 	 	 	 	 	 	 	 
VN011035	3	18	2	7	1	88	1	14	 	 	 	 	 	 	 	 	0	19	 	 	 	 	 	 	 	 	 	 	 
VN011037	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	1380	0	15	4	4	2	8	0	2	0	0	5	5	4
VN011037	1	37	1	1	1	88	0	6	 	 	 	 	 	 	 	 	0	4	12	25	6	 	 	 	 	 	 	 	 
VN011037	2	35	2	1	1	88	0	7	 	 	 	 	 	 	 	 	0	4	9	22	3	 	 	 	 	 	 	 	 
VN011037	17	11	1	7	1	88	88	88	1	6	5	1	88	88	2	260	0	15	7	15	1	9	0	1	0	0	5	4	5
VN011037	18	61	2	6	1	88	0	3	 	 	 	 	 	 	 	 	0	15	8	20	2	 	 	 	 	 	 	 	 
VN011037	19	5	1	7	1	88	88	88	0	88	88	88	88	88	88	-88	0	19	 	 	 	12	0	0	0	0	4	1	7
VN011038	1	98	1	18	99	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011038	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	1250	0	15	12	20	3	7	0	2	0	0	5	5	3
VN011038	2	68	2	6	1	88	0	3	 	 	 	 	 	 	 	 	0	16	10	20	4	 	 	 	 	 	 	 	 
VN011038	3	43	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	10	10	22	8	 	 	 	 	 	 	 	 
VN011038	4	42	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	4	10	20	9	 	 	 	 	 	 	 	 
VN011038	5	22	2	7	1	88	1	12	 	 	 	 	 	 	 	 	0	16	3	20	7	 	 	 	 	 	 	 	 
VN011038	6	21	1	7	1	88	1	12	 	 	 	 	 	 	 	 	0	16	3	20	6	 	 	 	 	 	 	 	 
VN011039	3	29	1	7	99	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011039	0	15	2	0	1	88	88	88	1	6	8	0	1	13	88	-88	0	13	12	26	10	8	0	0	0	10	88	88	6
VN011039	1	57	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	1	7	15	3	 	 	 	 	 	 	 	 
VN011039	2	54	2	1	1	88	0	5	 	 	 	 	 	 	 	 	0	1	6	20	5	 	 	 	 	 	 	 	 
VN011039	4	22	2	7	1	88	0	8	 	 	 	 	 	 	 	 	0	13	12	22	10	 	 	 	 	 	 	 	 
VN011039	5	20	1	7	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	25	8	 	 	 	 	 	 	 	 
VN011040	1	37	1	1	99	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011040	0	15	1	0	1	88	88	88	1	6	9	0	31	15	88	-88	0	4	12	20	4	8	1	2	4	0	0	0	8
VN011040	2	40	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	25	8	 	 	 	 	 	 	 	 
VN011040	3	18	2	7	1	88	0	9	 	 	 	 	 	 	 	 	0	13	12	25	8	 	 	 	 	 	 	 	 
VN011040	4	6	1	7	1	88	88	88	1	6	0	1	88	88	3	0	0	19	 	 	 	10	0	0	0	0	5	3	6
VN011041	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	2100	0	15	12	26	2	7	0	2	0	0	6	6	3
VN011041	1	41	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	1	10	26	6	 	 	 	 	 	 	 	 
VN011041	2	37	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	9	12	28	10	 	 	 	 	 	 	 	 
VN011041	3	18	1	7	1	88	1	12	 	 	 	 	 	 	 	 	0	15	12	25	3	 	 	 	 	 	 	 	 
VN011041	4	4	1	7	1	88	88	88	 	 	 	 	 	 	 	 	0	19	 	 	 	 	 	 	 	 	 	 	 
VN011042	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	780	0	15	8	15	2	8	0	2	1	0	5	5	4
VN011042	1	86	1	5	1	88	0	7	 	 	 	 	 	 	 	 	0	15	10	15	1	 	 	 	 	 	 	 	 
VN011042	2	39	2	1	1	88	0	1	 	 	 	 	 	 	 	 	0	13	12	26	10	 	 	 	 	 	 	 	 
VN011043	3	27	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011043	0	15	1	0	1	88	88	88	1	6	7	0	21	13	88	-88	0	20	9	22	8	9	0	0	0	8	0	0	7
VN011043	1	57	1	1	1	88	0	6	 	 	 	 	 	 	 	 	0	5	9	25	8	 	 	 	 	 	 	 	 
VN011043	2	48	2	1	1	88	0	6	 	 	 	 	 	 	 	 	0	5	7	22	8	 	 	 	 	 	 	 	 
