COMMID	payid	tuition	repairs	otherfee
IN074	3	650	400	300
IN074	4	750	450	350
IN075	1	250	200	100
IN075	2	400	300	100
IN075	3	600	400	400
IN075	4	1000	900	600
IN076	1	120	150	100
IN076	2	180	200	150
IN076	3	200	300	180
IN076	4	250	500	250
IN077	1	120	160	50
IN077	2	180	250	80
IN077	3	260	400	100
IN077	4	280	500	200
IN078	1	130	150	30
IN078	2	200	300	50
IN078	3	250	500	80
IN078	4	300	600	150
IN079	1	80	80	50
IN079	2	100	250	100
IN079	3	160	300	150
IN079	4	250	500	200
IN080	1	80	60	40
IN080	2	100	200	80
IN080	3	240	400	100
IN080	4	600	400	200
IN081	1	0	0	0
IN081	2	0	0	0
IN081	3	10	0	0
IN081	4	10	0	0
IN082	1	0	0	0
IN082	2	400	300	600
IN082	3	400	400	600
IN082	4	1300	500	600
IN083	1	3	150	0
IN083	2	3	300	0
IN083	3	15	400	0
IN083	4	250	500	300
IN084	1	300	250	0
IN084	2	500	300	300
IN084	3	800	350	300
IN084	4	1080	400	400
IN085	1	500	250	0
IN085	2	700	300	600
IN085	3	1000	350	250
IN085	4	1200	400	400
IN086	1	500	300	600
IN086	2	200	400	600
IN086	3	1500	400	600
IN086	4	2000	600	600
IN087	1	200	300	300
IN087	2	500	400	400
IN087	3	1500	400	500
IN087	4	2000	600	500
IN088	1	200	300	300
IN088	2	5000	400	400
IN088	3	1500	400	500
IN088	4	2000	600	500
IN089	1	200	200	200
IN089	2	250	400	300
IN089	3	400	500	300
IN089	4	1200	600	800
IN090	1	300	600	200
IN090	2	500	800	300
IN090	3	700	900	400
IN090	4	1000	1000	500
IN091	1	200	200	100
IN091	2	500	400	200
IN091	3	500	800	40
IN091	4	800	800	800
IN092	1	720	900	500
IN092	2	42	800	250
IN092	3	200	1000	500
IN092	4	200	1500	900
IN093	1	500	800	500
IN093	2	12	1200	750
IN093	3	500	1500	850
IN093	4	250	1000	1000
IN096	1	500	300	600
IN096	2	400	400	600
IN096	3	900	500	0
IN096	4	1500	600	0
IN097	1	1000	800	600
IN097	2	11	800	600
IN097	3	50	100	750
IN097	4	300	1500	1500
IN099	1	500	500	500
IN099	2	11	750	250
IN099	3	30	1000	500
IN099	4	300	1000	1000
IN098	1	500	1000	200
IN098	2	100	100	200
IN098	3	700	800	100
IN098	4	800	1200	1500
IN101	1	960	500	600
IN101	2	1200	750	900
IN101	3	1440	900	1440
IN101	4	1680	1000	1800
IN102	1	960	500	600
IN102	2	1200	750	900
IN102	3	1440	900	1440
IN102	4	1680	1000	1800
