COMMID	monid	sufood	litwork	lotwrk	movwork
IN009	12	0	0	1	0
IN010	1	0	0	1	0
IN010	2	0	0	1	0
IN010	5	1	0	0	0
IN010	6	1	0	0	0
IN010	7	1	0	0	0
IN010	9	0	1	0	0
IN010	10	0	1	0	0
IN010	11	0	1	0	0
IN010	12	0	1	0	0
IN011	1	0	1	0	0
IN011	2	0	1	0	0
IN011	3	0	0	0	0
IN011	4	0	0	0	0
IN011	5	0	0	0	0
IN011	6	1	0	0	1
IN011	7	1	0	0	1
IN011	8	1	0	0	1
IN011	9	0	1	1	0
IN011	10	0	1	1	0
IN011	11	0	1	1	0
IN011	12	0	1	0	0
IN012	1	0	0	0	0
IN012	2	0	0	0	1
IN012	3	0	0	0	1
IN012	4	0	0	0	1
IN012	5	0	0	0	1
IN012	6	0	0	0	1
IN012	7	0	1	0	0
IN012	8	0	1	0	0
IN012	9	1	1	0	0
IN012	10	1	0	0	0
IN012	11	1	0	0	0
IN012	12	1	0	0	0
IN013	1	0	0	0	1
IN013	2	0	0	0	1
IN013	3	0	0	0	1
IN013	4	0	0	0	1
IN013	5	0	0	0	1
IN013	6	0	1	0	0
IN013	7	1	1	0	0
IN013	8	1	0	0	1
IN013	9	1	0	0	1
IN013	10	1	0	0	1
IN013	11	1	0	0	1
IN013	12	1	0	0	1
IN014	6	0	1	0	0
IN014	7	0	1	0	1
IN014	8	0	1	0	1
IN014	11	0	1	0	1
IN014	12	0	1	0	1
IN015	1	0	0	0	1
IN015	6	0	1	0	0
IN015	7	0	1	0	1
IN015	8	0	0	0	1
IN015	9	0	0	0	1
IN015	10	1	0	0	1
IN015	11	1	0	0	1
IN015	12	0	1	0	1
IN017	1	0	0	0	1
IN017	2	0	0	0	1
IN017	3	0	0	0	1
IN017	4	0	0	0	1
IN017	5	0	0	0	1
IN017	6	0	1	0	0
IN017	7	0	1	0	0
IN017	8	0	1	0	0
IN017	9	0	1	0	0
IN017	10	0	0	0	0
IN017	11	1	1	0	0
IN017	12	1	1	0	0
IN018	8	0	1	0	0
IN018	11	1	1	0	0
IN018	12	1	1	0	0
IN019	1	0	1	0	0
IN019	2	0	1	0	0
IN019	3	0	0	0	0
IN019	4	0	1	0	0
IN019	5	0	1	0	0
IN019	6	0	0	0	1
IN019	7	0	1	0	1
IN019	8	0	1	0	0
IN019	9	0	1	0	0
IN019	10	1	0	0	0
IN019	11	1	1	0	0
IN019	12	0	1	0	0
IN020	1	0	0	0	1
IN020	2	0	0	0	1
IN020	3	0	0	0	1
IN020	4	0	0	0	1
IN020	5	0	0	0	1
IN020	6	0	1	0	1
IN020	7	0	1	0	1
IN020	8	0	0	0	1
IN020	9	0	0	0	1
IN020	10	0	0	0	1
IN020	11	1	1	0	1
IN020	12	1	1	0	1
IN021	7	0	1	0	0
IN021	8	0	1	0	0
IN021	10	1	0	0	0
IN021	11	1	1	0	0
IN021	12	1	1	0	0
IN022	1	0	0	0	0
IN022	2	0	0	0	1
IN022	3	0	0	0	1
IN022	4	0	1	0	0
IN022	5	0	1	0	0
IN022	6	0	0	0	1
IN022	7	0	0	0	1
IN022	8	0	1	0	1
IN022	9	0	0	0	1
IN022	10	1	0	0	1
IN022	11	1	0	0	1
IN022	12	0	1	0	1
IN023	1	0	1	0	0
IN023	2	1	0	0	0
IN023	3	1	0	0	0
IN023	4	1	0	0	0
IN023	5	1	0	0	0
IN023	6	1	0	0	0
IN023	7	1	0	0	0
IN023	8	0	1	0	0
IN023	9	0	1	0	0
IN023	10	0	1	0	0
IN023	11	0	1	0	0
IN023	12	0	1	0	0
IN027	1	1	0	0	1
IN027	2	1	0	0	1
IN027	3	1	0	0	0
IN027	4	1	0	0	0
IN027	5	1	0	0	0
IN027	6	1	0	0	0
IN027	10	0	1	0	0
IN027	11	0	1	0	0
IN027	12	1	0	0	1
IN028	1	0	0	1	1
IN028	2	0	0	1	0
IN028	3	1	0	0	0
IN028	4	1	0	0	0
IN028	5	1	0	0	0
IN028	6	1	0	0	0
IN028	10	0	1	1	0
IN028	11	0	1	1	0
IN028	12	0	1	1	1
IN029	1	0	1	1	0
IN029	2	0	1	0	0
IN029	3	0	1	0	0
IN029	4	0	1	0	0
IN029	8	1	0	0	0
IN029	12	0	1	0	0
IN030	1	0	1	1	0
IN030	2	0	1	1	0
IN030	3	0	1	1	0
IN030	4	1	0	0	0
IN030	5	1	0	0	0
IN030	6	1	0	0	0
IN030	8	0	1	0	0
IN030	9	0	1	0	0
IN030	10	0	1	0	0
IN030	11	0	1	0	0
IN030	12	0	1	0	0
IN031	3	0	1	0	0
IN031	4	0	1	0	0
IN031	6	0	1	1	0
IN031	7	0	1	1	0
IN031	8	1	0	0	1
IN031	9	1	0	0	1
IN031	10	0	0	0	1
IN032	1	0	1	0	0
IN032	2	0	1	0	0
IN032	4	1	0	0	0
IN032	5	1	0	0	0
IN032	6	1	0	0	0
IN032	7	1	0	0	0
IN032	11	0	1	0	0
IN032	12	0	1	0	0
IN033	1	0	1	1	0
IN033	2	0	1	1	0
IN033	3	0	1	1	0
IN033	4	1	0	0	0
IN033	5	1	0	0	0
IN033	6	1	0	0	0
IN033	10	0	1	0	0
IN033	11	0	1	1	0
IN033	12	0	1	1	0
IN034	1	1	0	0	0
IN034	2	0	1	1	0
IN034	3	0	1	1	0
IN034	4	0	1	1	0
IN034	5	0	1	1	0
IN034	6	1	0	0	0
IN034	7	1	0	0	0
IN034	8	1	0	1	0
IN034	9	1	0	1	0
IN034	10	0	1	0	0
IN034	11	0	1	0	0
IN034	12	0	1	0	0
IN035	1	0	1	0	1
IN035	2	0	1	1	1
IN035	3	1	0	0	0
IN035	4	1	0	0	0
IN035	5	1	0	0	0
IN035	6	1	0	0	0
IN035	7	0	1	0	0
IN035	12	0	1	0	0
IN036	1	0	1	0	0
IN036	2	0	1	0	1
IN036	3	0	1	0	0
IN036	4	1	0	0	1
IN036	5	1	0	0	1
IN036	6	1	0	0	1
IN036	8	0	0	0	1
IN036	9	0	0	0	1
IN036	10	0	1	0	1
IN036	11	0	1	0	1
IN036	12	0	0	0	1
IN037	1	0	1	1	0
IN037	2	0	0	0	1
IN037	3	0	0	0	1
IN037	4	1	0	0	1
IN037	5	1	0	0	1
IN037	6	1	0	0	1
IN037	7	0	0	0	1
IN037	10	0	1	1	0
IN037	11	0	1	1	0
IN037	12	0	1	1	0
IN038	1	0	1	0	0
IN038	2	0	1	0	0
IN038	3	0	0	0	1
IN038	4	1	0	0	1
IN038	5	1	0	0	1
IN038	7	0	1	0	0
IN038	8	0	1	0	1
IN038	9	0	0	0	1
IN038	10	0	1	1	0
IN038	11	0	1	1	0
IN038	12	0	1	1	0
IN040	2	0	0	0	1
IN040	3	1	0	0	1
IN040	4	1	0	0	1
IN040	5	1	0	0	1
IN040	6	1	0	0	0
IN040	7	1	0	0	0
IN040	10	0	1	0	0
IN040	11	0	1	0	0
IN041	1	0	0	0	1
IN041	2	0	0	0	1
IN041	3	0	0	0	1
IN041	4	1	0	0	0
IN041	5	1	0	0	0
IN041	6	1	0	0	0
IN041	8	0	1	0	0
IN041	9	0	1	0	0
IN041	11	0	1	1	0
IN041	12	0	1	1	0
IN042	2	0	0	0	1
IN042	3	0	1	0	1
IN042	4	1	1	0	0
IN042	5	1	0	0	0
IN042	9	0	1	0	0
IN042	10	0	1	0	1
IN042	11	0	1	0	1
IN042	12	0	1	0	1
IN043	1	0	1	1	0
IN043	3	0	0	0	1
IN043	4	1	0	0	1
IN043	5	1	0	0	0
IN043	8	0	1	1	1
IN043	9	0	1	1	1
IN043	11	0	1	1	0
IN043	12	0	1	1	0
IN044	1	0	1	0	1
IN044	3	1	0	0	1
IN044	4	1	0	0	1
IN044	6	0	1	0	0
IN044	7	0	1	0	0
IN044	10	0	0	0	1
IN044	12	0	1	0	1
IN045	1	0	1	0	0
IN045	2	0	1	0	0
IN045	4	1	0	0	1
IN045	5	1	0	0	1
IN045	9	0	1	0	0
IN045	11	0	1	0	0
IN045	12	0	1	0	0
IN046	1	0	1	0	0
IN046	2	1	0	0	0
IN046	3	1	0	0	1
IN046	4	1	0	0	1
IN046	5	1	0	0	1
IN046	6	1	1	0	0
IN046	7	0	1	0	0
IN046	11	0	1	0	1
IN046	12	0	1	0	1
IN047	1	0	0	1	0
IN047	2	0	0	1	0
IN047	3	0	0	1	0
IN047	4	0	0	1	0
IN047	5	0	0	1	0
IN047	6	0	0	1	0
IN047	7	0	0	1	0
IN047	8	0	0	1	0
IN047	9	0	0	1	0
IN047	10	0	0	1	0
IN047	11	0	0	1	0
IN047	12	0	0	1	0
IN050	9	0	1	0	1
IN050	10	1	1	0	1
IN050	11	1	1	0	1
IN050	12	1	1	0	1
IN051	9	0	1	0	1
IN051	10	1	1	0	1
IN051	11	1	1	0	1
IN051	12	1	1	0	1
IN052	1	1	1	1	0
IN052	2	0	1	1	0
IN052	8	1	1	0	0
IN052	9	1	1	0	1
IN052	10	1	0	0	1
IN052	11	1	0	0	0
IN052	12	1	1	1	0
IN053	1	0	0	1	1
IN053	2	0	0	1	1
IN053	3	1	0	0	0
IN053	4	1	0	0	0
IN053	5	1	1	0	1
IN053	6	1	1	0	1
IN053	7	1	0	0	0
IN053	8	1	1	0	1
IN053	9	1	1	1	1
IN053	10	0	0	1	0
IN054	1	0	1	1	1
IN054	2	0	0	0	0
IN054	3	1	1	1	1
IN054	4	1	0	0	1
IN054	5	1	0	0	0
IN054	6	1	0	0	0
IN054	7	1	0	0	0
IN054	8	1	0	0	0
IN054	9	1	0	0	0
IN054	10	1	0	0	0
IN054	11	0	0	0	0
IN054	12	0	1	1	1
IN055	3	1	0	0	0
IN055	4	1	0	0	0
IN055	5	1	0	0	0
IN055	8	1	0	0	0
IN055	9	1	0	0	0
IN055	10	1	0	0	0
IN055	11	1	0	0	0
IN055	12	1	0	0	0
IN056	3	1	0	0	0
IN056	4	1	0	0	0
IN056	5	1	0	0	0
IN056	6	1	0	0	0
IN056	7	1	0	0	0
IN056	8	1	0	0	0
IN056	9	1	0	0	0
IN056	10	1	0	0	0
IN056	11	1	0	0	0
IN057	1	1	1	0	1
IN057	2	0	0	0	0
IN057	3	0	0	0	0
IN057	4	1	1	0	1
IN057	5	1	1	0	1
IN057	6	1	1	0	1
IN057	7	1	1	0	1
IN057	8	1	1	0	1
IN057	9	1	1	0	1
IN057	10	1	1	0	1
IN057	11	1	1	0	1
IN057	12	1	1	0	1
IN058	3	1	0	0	0
IN058	4	1	0	0	0
IN058	5	1	0	0	0
IN058	8	1	0	0	0
IN058	9	1	0	0	0
IN058	10	1	0	0	0
IN058	11	1	0	0	0
IN058	12	1	0	0	0
IN059	1	1	0	0	0
IN059	3	1	0	0	0
IN059	6	0	1	0	1
IN059	7	0	1	0	1
IN059	8	0	1	0	1
IN059	9	0	1	0	1
IN059	10	1	0	0	0
IN060	4	1	0	0	0
IN060	5	1	0	0	0
IN060	6	1	0	0	0
IN060	7	1	0	0	0
IN060	8	1	0	0	0
IN060	9	1	0	0	0
IN060	10	1	0	0	0
IN060	11	1	0	0	0
IN060	12	1	0	0	0
IN061	1	0	0	0	1
IN061	2	0	0	0	1
IN061	3	0	0	0	1
IN061	4	1	0	0	1
IN061	5	1	0	0	1
IN061	6	0	1	0	0
IN061	7	1	1	0	0
IN061	8	1	1	0	0
IN061	9	0	1	0	0
IN061	10	0	1	0	0
IN061	11	0	0	0	0
IN061	12	0	0	0	1
IN062	1	0	1	0	0
IN062	2	0	0	0	0
IN062	3	0	0	0	1
IN062	4	0	1	0	1
IN062	5	1	0	0	1
IN062	6	1	1	0	1
IN062	7	1	1	0	1
IN062	8	1	1	0	0
IN062	9	0	0	0	0
IN062	10	0	0	0	0
IN062	11	0	0	0	0
IN062	12	0	0	0	0
IN063	1	0	1	0	1
IN063	2	0	0	0	1
IN063	3	0	1	0	1
IN063	4	1	1	0	1
IN063	5	1	0	0	1
IN063	6	0	1	0	1
IN063	7	0	1	0	1
IN063	8	1	1	0	1
IN063	9	1	1	0	1
IN063	10	0	1	0	1
IN063	11	0	1	0	1
IN063	12	0	0	0	1
IN064	1	0	1	0	1
IN064	2	0	0	0	1
IN064	3	0	0	0	1
IN064	4	1	0	0	1
IN064	5	0	0	0	1
IN064	6	0	1	0	1
IN064	7	1	1	0	1
IN064	8	1	1	0	1
IN064	9	1	1	0	1
IN064	10	0	1	0	1
IN064	11	0	0	0	1
IN064	12	0	0	0	1
IN065	1	0	0	0	1
IN065	2	0	0	0	1
IN065	3	0	0	0	1
IN065	4	0	0	0	1
IN065	5	0	0	0	1
IN065	6	0	1	0	1
IN065	7	1	1	0	1
IN065	8	1	1	0	1
IN065	9	1	1	0	1
IN065	10	1	1	0	1
IN065	11	0	1	0	1
IN065	12	0	1	0	1
IN066	1	0	1	0	1
IN066	2	0	0	0	1
IN066	3	1	0	0	1
IN066	4	1	0	0	1
IN066	5	1	0	0	1
IN066	6	1	1	0	1
IN066	7	0	1	0	1
IN066	8	0	1	0	1
IN066	9	0	1	0	1
IN066	10	0	0	0	1
IN066	11	0	1	0	1
IN066	12	0	0	0	1
IN067	1	0	0	0	1
IN067	2	1	0	0	1
IN067	3	1	0	0	1
IN067	4	1	0	0	1
IN067	5	1	0	0	1
IN067	6	0	1	0	1
IN067	7	0	1	0	1
IN067	8	1	1	0	1
IN067	9	0	1	0	1
IN067	10	0	1	0	1
IN067	11	0	1	0	1
IN067	12	0	1	0	1
IN068	1	0	0	0	1
IN068	2	0	0	0	1
IN068	3	0	0	0	1
IN068	4	1	0	1	1
IN068	5	1	1	1	1
IN068	6	1	1	0	1
IN068	7	0	0	0	0
IN068	8	0	1	0	0
IN068	9	0	0	0	0
IN068	10	1	1	0	1
IN068	11	1	0	0	1
IN068	12	0	1	0	1
IN069	1	0	1	0	1
IN069	2	0	0	0	1
IN069	3	0	0	0	1
IN069	4	0	0	0	1
IN069	5	1	0	0	1
IN069	6	1	0	0	1
IN069	7	1	0	0	0
IN069	8	0	0	0	0
IN069	9	0	1	0	0
IN069	10	0	0	0	1
IN069	11	0	1	0	1
IN069	12	0	1	0	1
IN070	1	0	0	0	1
IN070	2	0	0	0	1
IN070	3	0	0	0	1
IN070	4	0	0	0	1
IN070	5	1	0	0	1
IN070	6	1	1	0	1
IN070	7	0	1	0	1
IN070	8	0	1	0	1
IN070	9	0	0	0	1
IN070	10	0	0	0	1
IN070	11	0	0	0	1
IN070	12	0	0	0	1
IN071	1	1	1	0	1
IN071	2	0	1	0	1
IN071	3	0	1	0	1
IN071	4	0	1	0	1
IN071	5	0	0	0	1
IN071	6	0	0	0	1
IN071	7	0	1	0	0
IN071	8	1	1	0	0
IN071	9	1	1	0	0
IN071	10	1	1	0	0
IN071	11	1	1	0	0
IN071	12	1	1	0	0
IN072	1	1	1	1	1
IN072	2	1	1	1	1
IN072	3	1	1	1	1
IN072	4	1	1	1	1
IN072	5	1	1	0	0
IN072	6	0	0	0	0
IN072	7	0	1	0	0
IN072	8	0	1	0	0
IN072	9	0	1	0	0
IN072	10	0	1	0	0
IN072	11	0	1	0	0
IN072	12	1	1	0	0
IN073	1	1	1	0	1
IN073	2	1	1	0	1
IN073	3	0	1	0	0
IN073	4	0	1	0	0
IN073	5	0	0	0	0
IN073	6	0	0	0	0
IN073	7	0	0	0	0
IN073	8	0	0	0	0
IN073	9	0	0	0	0
IN073	10	0	0	0	0
IN073	11	0	1	0	0
IN073	12	1	1	0	0
IN074	1	0	0	0	1
IN074	2	0	0	0	1
IN074	3	0	0	0	1
IN074	4	0	1	0	1
IN074	5	0	1	0	0
IN074	6	0	0	0	0
IN074	7	1	1	0	0
IN074	8	1	1	0	0
IN074	9	1	1	0	0
IN074	10	0	1	0	0
IN074	11	0	1	0	0
IN074	12	0	1	0	1
IN075	1	0	1	0	1
IN075	2	1	1	0	1
IN075	3	1	1	0	1
IN075	4	1	1	0	1
IN075	5	1	1	0	1
IN075	6	1	1	0	1
IN075	7	0	1	0	0
IN075	8	0	1	0	0
IN075	9	0	1	0	0
IN075	10	0	1	0	0
IN075	11	0	1	0	0
IN075	12	0	1	0	1
IN076	1	0	1	1	1
IN076	2	0	1	1	1
IN076	3	0	0	0	0
IN076	4	1	0	0	0
IN076	5	1	0	0	0
IN076	6	0	1	0	0
IN076	7	0	1	0	0
IN076	8	0	0	0	0
IN076	9	0	0	0	0
IN076	10	0	0	0	0
IN076	11	0	1	1	1
IN076	12	0	1	1	1
IN077	1	1	1	0	1
IN077	2	1	0	0	1
IN077	3	1	0	0	1
IN077	4	1	0	0	1
IN077	5	1	0	0	1
IN077	6	1	1	0	1
IN077	7	0	1	1	1
IN077	8	0	1	1	1
IN077	9	0	1	0	1
IN077	10	0	1	0	1
IN077	11	0	1	0	1
IN077	12	0	1	0	1
IN078	1	1	1	0	1
IN078	2	1	0	0	1
IN078	3	1	0	0	1
IN078	4	1	0	0	1
IN078	5	1	0	0	1
IN078	6	1	1	0	1
IN078	7	0	1	0	1
IN078	8	0	0	0	1
IN078	9	0	1	0	1
IN078	10	0	1	0	1
IN078	11	0	1	0	1
IN078	12	0	1	0	1
IN079	1	0	0	0	1
IN079	2	0	0	0	1
IN079	3	0	0	0	1
IN079	4	1	0	0	1
IN079	5	1	0	0	1
IN079	6	1	1	0	1
IN079	7	1	1	0	1
IN079	8	0	1	0	1
IN079	9	0	1	0	1
IN079	10	0	0	0	1
IN079	11	0	0	0	1
IN079	12	0	0	0	1
IN080	1	0	0	0	1
IN080	2	0	0	0	1
IN080	3	0	0	0	1
IN080	4	1	0	0	1
IN080	5	1	0	0	1
IN080	6	1	0	0	1
IN080	7	1	0	0	0
IN080	8	1	1	0	0
IN080	9	1	1	0	0
IN080	10	1	1	0	1
IN080	11	0	1	0	1
IN080	12	0	1	0	1
IN081	3	0	0	0	1
IN081	4	0	0	0	1
IN081	5	0	0	0	1
IN081	7	1	1	0	0
IN081	8	1	1	0	0
IN081	9	1	1	0	0
IN081	10	1	1	0	0
IN081	11	1	1	0	0
IN082	3	0	1	0	1
IN082	4	0	1	0	1
IN082	5	0	1	0	0
IN082	6	1	0	0	0
IN082	7	1	1	0	0
IN082	8	1	1	0	1
IN082	9	1	1	0	1
IN082	10	0	1	0	1
IN082	11	0	1	0	0
IN083	1	0	1	0	1
IN083	2	0	0	0	0
IN083	3	1	1	0	1
IN083	4	1	0	0	0
IN083	5	1	1	0	0
IN083	6	1	0	0	0
IN083	7	0	1	0	0
IN083	8	0	1	0	0
IN083	9	0	1	0	1
IN083	10	0	1	0	1
IN083	11	0	1	0	1
IN083	12	0	1	0	1
IN084	2	0	0	0	1
IN084	3	0	1	0	1
IN084	4	0	1	0	1
IN084	5	0	1	0	0
IN084	7	0	1	0	0
IN084	8	1	1	0	0
IN084	9	1	1	0	0
IN084	10	1	1	0	0
IN084	11	0	1	0	0
IN085	3	0	1	0	0
IN085	4	0	1	0	0
IN085	5	0	1	0	0
IN085	7	0	1	0	0
IN085	8	1	1	0	0
IN085	9	1	1	0	0
IN085	10	1	1	0	0
IN085	11	0	1	0	0
IN086	1	0	1	1	0
IN086	2	0	1	1	0
IN086	3	0	1	1	0
IN086	4	0	1	1	0
IN086	5	0	1	1	0
IN086	8	1	0	0	0
IN086	9	1	0	0	0
IN086	10	1	0	0	0
IN086	11	1	0	0	0
IN087	3	0	1	0	0
IN087	4	0	1	0	0
IN087	5	0	1	0	0
IN088	1	0	1	0	0
IN088	2	0	1	0	0
IN088	3	1	1	0	0
IN088	4	1	1	0	0
IN088	5	1	1	0	0
IN088	6	1	0	0	0
IN089	1	0	0	0	1
IN089	2	0	0	0	1
IN089	3	1	1	0	1
IN089	4	1	1	0	1
IN089	5	1	1	0	1
IN089	6	1	0	0	1
IN089	7	1	0	0	1
IN089	8	0	0	0	1
IN089	9	1	1	0	1
IN089	10	1	1	0	1
IN089	11	0	0	0	1
IN089	12	0	0	0	1
IN090	1	1	0	0	1
IN090	2	1	0	0	1
IN090	3	1	1	0	1
IN090	4	1	1	0	1
IN090	5	1	1	0	1
IN090	6	1	0	0	1
IN090	7	1	1	0	1
IN090	8	1	1	0	1
IN090	9	1	1	0	1
IN090	10	1	1	0	1
IN090	11	0	0	0	1
IN090	12	0	0	0	1
IN091	1	0	0	0	1
IN091	2	1	1	0	1
IN091	3	1	1	0	1
IN091	4	1	1	0	1
IN091	5	1	1	0	1
IN091	6	1	1	0	1
IN091	7	1	1	0	1
IN091	8	0	0	0	1
IN091	9	0	0	0	1
IN091	10	1	1	1	1
IN091	11	1	1	1	1
IN091	12	1	1	1	1
IN092	1	0	1	0	0
IN092	2	0	0	0	0
IN092	3	0	1	0	0
IN092	4	0	1	0	0
IN092	5	0	1	0	0
IN092	6	0	1	0	0
IN092	7	0	1	0	1
IN092	8	0	1	0	1
IN092	9	1	0	0	1
IN092	10	1	1	0	0
IN092	11	1	1	0	0
IN092	12	0	1	0	0
IN093	1	0	1	0	0
IN093	2	0	1	0	0
IN093	3	0	1	0	0
IN093	4	1	0	0	0
IN093	5	1	0	0	0
IN093	6	1	0	0	0
IN093	7	1	0	0	0
IN093	8	0	1	0	0
IN093	9	0	1	0	0
IN093	10	0	1	0	0
IN093	11	0	1	0	0
IN093	12	0	1	0	0
IN096	1	1	0	0	0
IN096	4	0	1	0	1
IN096	5	0	1	0	0
IN096	7	0	1	0	0
IN096	8	0	1	0	0
IN096	9	1	1	0	0
IN096	10	1	1	0	0
IN096	11	1	1	0	0
IN096	12	1	0	0	0
IN097	1	0	1	0	0
IN097	2	0	0	0	1
IN097	3	0	0	0	1
IN097	4	0	0	0	1
IN097	5	1	0	0	1
IN097	6	1	1	0	0
IN097	7	1	1	0	0
IN097	8	1	1	0	0
IN097	9	1	0	0	1
IN097	10	1	0	0	1
IN097	11	1	1	0	1
IN097	12	1	1	0	1
IN099	2	0	0	0	1
IN099	3	1	0	0	1
IN099	4	1	0	0	1
IN099	5	0	0	0	1
IN099	6	0	1	0	0
IN099	7	0	1	0	0
IN099	8	0	1	0	0
IN099	11	0	1	0	0
IN099	12	0	1	0	1
IN098	1	1	0	0	0
IN098	2	0	1	0	0
IN098	3	0	1	0	0
IN098	4	0	1	0	0
IN098	5	0	0	0	1
IN098	6	1	0	0	1
IN098	7	1	0	0	1
IN098	8	1	0	0	0
IN098	9	0	1	1	0
IN098	10	0	1	1	0
IN098	11	0	1	1	0
IN098	12	0	1	1	0
IN101	7	1	0	0	0
IN101	8	1	0	0	0
