COMMID	prid	progex
IN028	2	 
IN028	3	1
IN028	4	1
IN028	5	1
IN029	1	1
IN029	2	1
IN029	4	1
IN029	5	1
IN030	1	 
IN030	2	1
IN030	3	 
IN030	4	1
IN030	5	1
IN031	1	 
IN031	2	1
IN031	3	 
IN031	4	1
IN031	5	1
IN032	1	1
IN032	2	1
IN032	3	2
IN032	4	1
IN032	5	1
IN033	1	 
IN033	2	 
IN033	3	1
IN033	4	1
IN033	5	1
IN034	1	 
IN034	2	 
IN034	3	1
IN034	4	1
IN034	5	1
IN035	1	2
IN035	2	1
IN035	3	1
IN035	4	1
IN035	5	1
IN036	1	2
IN036	2	2
IN036	3	2
IN036	4	1
IN036	5	1
IN036	6	1
IN037	1	1
IN037	2	1
IN037	3	1
IN037	4	1
IN037	5	1
IN038	1	1
IN038	2	1
IN038	3	2
IN038	4	1
IN038	5	1
IN040	1	1
IN040	2	1
IN040	3	2
IN040	4	1
IN040	5	1
IN041	1	1
IN041	2	1
IN041	3	1
IN041	4	1
IN041	5	1
IN041	6	1
IN042	1	1
IN042	2	1
IN042	3	1
IN042	4	1
IN042	5	1
IN042	6	1
IN043	1	1
IN043	2	1
IN043	3	2
IN043	4	1
IN043	5	1
IN044	1	1
IN044	2	1
IN044	3	1
IN044	4	1
IN044	5	1
IN045	1	1
IN045	2	1
IN045	3	1
IN045	4	1
IN045	5	1
IN046	1	2
IN046	2	1
IN046	3	2
IN046	4	1
IN046	5	1
IN047	1	2
IN047	2	1
IN047	3	2
IN047	4	1
IN047	5	2
IN048	1	1
IN048	2	1
IN048	3	2
IN048	4	1
IN048	5	1
IN049	1	1
IN049	2	1
IN049	3	 
IN049	4	1
IN049	5	1
IN050	1	2
IN050	2	1
IN050	3	1
IN050	4	1
IN050	5	1
IN051	1	1
IN051	2	1
IN051	3	1
IN051	4	1
IN051	5	1
IN052	1	1
IN052	2	1
IN052	3	2
IN052	4	1
IN052	5	1
IN053	1	1
IN053	2	1
IN053	3	1
IN053	4	1
IN053	5	1
IN054	1	1
IN054	2	1
IN054	3	2
IN054	4	1
IN054	5	1
IN055	1	1
IN055	2	1
IN055	3	1
IN055	4	1
IN055	5	1
IN056	1	1
IN056	2	1
IN056	3	2
IN056	4	1
IN056	5	1
IN057	1	1
IN057	2	1
IN057	3	1
IN057	4	1
IN057	5	1
IN058	1	1
IN058	2	1
IN058	3	1
IN058	4	1
IN058	5	2
IN059	1	1
IN059	2	1
IN059	3	1
IN059	4	2
IN059	5	1
IN060	1	1
IN060	2	1
IN060	3	1
IN060	4	1
IN060	5	2
IN061	1	1
IN061	2	1
IN061	3	2
IN061	4	1
IN061	5	2
IN062	1	1
IN062	2	1
IN062	3	1
IN062	4	1
IN062	5	1
IN063	1	1
IN063	2	1
IN063	3	1
IN063	4	1
IN063	5	1
IN064	1	1
IN064	2	1
IN064	3	1
IN064	4	1
IN064	5	1
IN065	1	2
IN065	2	1
IN065	3	2
IN065	4	1
IN065	5	1
IN066	1	1
IN066	2	1
IN066	3	1
IN066	4	1
IN066	5	1
IN067	1	1
IN067	2	1
IN067	3	2
IN067	4	1
IN067	5	1
IN068	1	2
IN068	2	1
IN068	3	1
IN068	4	1
IN069	1	1
IN069	2	2
IN069	3	1
IN069	4	1
IN069	5	1
IN070	1	1
IN070	2	1
IN070	3	2
IN070	4	1
IN070	5	1
IN071	1	1
IN071	2	1
IN071	3	2
IN071	4	1
IN071	5	1
IN072	1	1
IN072	2	1
IN072	3	2
IN072	4	1
IN072	5	1
IN073	1	1
IN073	2	1
IN073	3	2
IN073	4	1
IN073	5	1
IN074	1	1
IN074	2	1
IN074	3	1
IN074	4	1
IN074	5	1
IN075	1	1
IN075	2	1
IN075	3	1
IN075	4	1
IN075	5	1
IN076	1	2
IN076	2	2
IN076	3	1
IN076	4	1
IN076	5	1
IN077	1	1
IN077	2	1
IN077	3	2
IN077	4	1
IN077	5	1
IN078	1	1
IN078	2	1
IN078	3	1
IN078	4	1
IN078	5	1
IN079	1	1
IN079	2	1
IN079	3	2
IN079	4	1
IN079	5	1
IN080	1	2
IN080	2	1
IN080	3	2
IN080	4	1
IN080	5	1
IN081	1	1
IN081	2	1
IN081	3	1
IN081	4	1
IN081	5	1
IN082	1	1
IN082	2	1
IN082	3	2
IN082	4	1
IN082	5	1
IN083	1	1
IN083	2	1
IN083	3	1
IN083	4	1
IN083	5	1
IN084	1	1
IN084	2	1
IN084	3	1
IN084	4	1
IN084	5	1
IN085	1	1
IN085	2	1
IN085	3	1
IN085	4	1
IN085	5	1
IN086	1	2
IN086	2	2
IN086	3	2
IN086	4	1
IN086	5	1
IN087	1	1
IN087	2	1
IN087	3	2
IN087	4	1
IN087	5	2
IN088	1	1
IN088	2	1
IN088	3	2
IN088	4	1
IN088	5	2
IN090	4	1
IN090	5	1
IN091	1	2
IN091	2	2
IN091	3	2
IN091	4	1
IN091	5	1
IN091	6	1
IN092	1	1
IN092	2	1
IN092	3	1
IN092	4	1
IN092	5	1
IN092	6	1
IN093	3	1
IN093	4	1
IN093	5	1
IN096	1	1
IN096	2	1
IN096	3	1
IN096	4	1
IN096	5	1
IN097	1	1
IN097	2	1
IN097	3	1
IN097	4	1
IN097	5	1
IN097	6	1
IN099	1	1
IN099	2	1
IN099	3	2
IN099	4	1
IN099	5	1
IN099	6	2
IN098	1	 
IN098	2	1
IN098	3	1
IN098	4	1
IN098	5	1
IN101	1	2
IN101	2	2
IN101	3	2
IN101	4	1
IN101	5	2
IN101	6	2
IN102	1	2
IN102	2	2
IN102	3	2
IN102	4	1
IN102	5	2
IN102	6	1
