COMMID	id	price1	vendor1	price2	vendor2
IN011	3	4500	1	5500	7
IN011	4	3750	1	4500	7
IN011	5	950	1	950	8
IN011	6	4000	1	5000	8
IN011	7	105	1	1200	7
IN011	8	350	1	350	9
IN011	9	6000	1	6500	9
IN011	10	3750	1	3600	9
IN011	11	1150	1	1150	9
IN011	12	210	13	 	 
IN011	13	420	13	455	13
IN011	14	240	13	245	13
IN011	15	1400	1	1750	7
IN011	16	1080	1	1080	7
IN011	17	6	1	8	7
IN011	18	30	1	32	8
IN011	19	1300	11	1400	8
IN011	20	1280	2	1280	8
IN011	21	5500	8	5500	7
IN011	22	500	8	700	7
IN011	23	440	3	440	7
IN011	24	2000	7	2200	7
IN011	25	15	2	12	11
IN012	1	5	1	6	1
IN012	2	100	1	 	 
IN012	3	150	1	 	 
IN012	4	200	1	 	 
IN012	5	7	1	 	 
IN012	6	50	1	 	 
IN012	7	70	1	 	 
IN012	8	17	9	17	9
IN012	9	40	9	50	9
IN012	10	150	9	344	9
IN012	11	10	9	0	15
IN012	12	205	13	240	14
IN012	13	470	13	472	14
IN012	14	240	13	244	14
IN012	15	8	1	10	14
IN012	16	12	1	13	14
IN012	17	6	1	6	14
IN012	18	25	1	28	14
IN012	19	12	1	13	14
IN012	20	15	1	16	14
IN012	21	45	1	48	14
IN012	22	5	1	6	14
IN012	23	24	1	26	14
IN012	24	9	1	10	14
IN012	25	15	1	16	14
IN013	1	3	1	 	 
IN013	2	150	1	 	 
IN013	3	130	1	 	 
IN013	4	150	1	 	 
IN013	5	 	1	 	 
IN013	6	100	1	 	 
IN013	7	80	1	 	 
IN013	8	17	9	 	 
IN013	9	40	9	 	 
IN013	10	150	9	 	 
IN013	11	30	9	 	 
IN013	12	205	13	240	14
IN013	13	470	13	474	14
IN013	14	240	13	244	14
IN013	15	8	1	10	14
IN013	16	12	1	13	14
IN013	17	6	1	7	14
IN013	18	25	1	28	14
IN013	19	12	1	 	 
IN013	20	15	1	16	14
IN013	21	45	1	48	14
IN013	22	5	1	6	14
IN013	23	24	1	26	14
IN013	24	9	1	10	14
IN013	25	15	1	16	14
IN014	1	5	1	 	 
IN014	2	100	1	 	 
IN014	3	150	1	 	 
IN014	4	200	1	 	 
IN014	5	7	1	 	 
IN014	6	50	1	 	 
IN014	7	70	1	 	 
IN014	8	17	9	 	 
IN014	9	40	9	 	 
IN014	10	150	9	 	 
IN014	11	30	9	 	 
IN014	12	205	13	240	14
IN014	13	470	13	474	14
IN014	14	240	13	250	14
IN014	15	8	1	10	14
IN014	16	12	1	13	14
IN014	17	6	1	7	14
IN014	18	25	1	28	14
IN014	19	12	1	0	 
IN014	20	15	1	16	14
IN014	21	45	1	48	14
IN014	22	5	1	6	14
IN014	23	24	1	26	14
IN014	24	10	1	10	14
IN014	25	15	1	16	14
IN015	1	5	1	 	 
IN015	2	100	1	 	 
IN015	3	150	1	 	 
IN015	4	200	1	 	 
IN015	5	7	1	 	 
IN015	6	50	1	 	 
IN015	7	70	1	 	 
IN015	8	17	9	 	 
IN015	9	40	9	 	 
IN015	10	150	9	 	 
IN015	11	30	9	 	 
IN015	12	205	13	240	14
IN015	13	470	13	474	14
IN015	14	240	13	244	14
IN015	15	8	1	10	14
IN015	16	12	1	13	14
IN015	17	6	1	7	14
IN015	18	25	1	28	14
IN015	19	12	1	13	14
IN015	20	15	1	16	14
IN015	21	45	1	48	14
IN015	22	5	1	6	14
IN015	23	24	1	26	14
IN015	24	9	1	10	14
IN015	25	15	1	16	14
IN016	1	5	1	 	 
IN016	2	100	1	 	 
IN016	3	150	1	 	 
IN016	4	200	1	 	 
IN016	5	7	1	 	 
IN016	6	50	1	 	 
IN016	7	70	 	 	 
IN016	8	17	9	 	 
IN016	9	40	9	 	 
IN016	10	150	9	 	 
IN016	11	30	9	 	 
IN016	12	205	13	240	14
IN016	13	470	13	74	14
IN016	14	240	13	244	14
IN016	15	8	1	10	14
IN016	16	12	1	13	14
IN016	17	6	1	7	14
IN016	18	25	1	28	14
IN016	19	12	1	0	 
IN016	20	15	1	16	14
IN016	21	45	1	48	14
IN016	22	5	1	6	14
IN016	23	24	1	26	14
IN016	24	9	1	10	14
IN016	25	15	1	16	14
IN017	1	5	1	 	 
IN017	2	100	1	 	 
IN017	3	150	1	 	 
IN017	4	200	1	 	 
IN017	5	7	1	 	 
IN017	6	50	1	 	 
IN017	7	70	1	 	 
IN017	8	17	9	 	 
IN017	9	40	9	 	 
IN017	10	150	9	 	 
IN017	11	30	9	 	 
IN017	12	205	13	240	14
IN017	13	470	13	474	14
IN017	14	240	13	240	14
IN017	15	8	1	10	14
IN017	16	12	1	13	14
IN017	17	6	1	7	14
IN017	18	25	1	28	14
IN017	19	12	1	 	 
IN017	20	15	1	16	14
IN017	21	45	1	48	14
IN017	22	5	1	6	14
IN017	23	24	1	26	14
IN017	24	9	1	10	14
IN017	25	15	1	16	14
IN018	1	4	1	5	14
IN018	2	250	1	260	14
IN018	3	150	1	170	14
IN018	4	150	1	160	14
IN018	5	7	1	 	 
IN018	6	100	1	 	 
IN018	7	200	1	 	 
IN018	8	11	9	12	14
IN018	9	25	9	50	14
IN018	10	200	9	225	14
IN018	11	10	9	15	14
IN018	12	220	13	230	14
IN018	13	465	13	485	14
IN018	14	245	13	260	14
IN018	15	8	1	9	14
IN018	16	12	1	13	14
IN018	17	6	1	7	14
IN018	18	30	1	35	14
IN018	19	13	1	0	 
IN018	20	15	1	16	14
IN018	21	45	1	48	14
IN018	22	5	1	6	14
IN018	23	44	4	26	14
IN018	24	9	1	10	14
IN018	25	15	1	16	14
IN019	1	4	1	5	14
IN019	2	250	1	260	14
IN019	3	150	1	 	 
IN019	4	150	1	 	 
IN019	5	7	1	 	 
IN019	6	100	1	 	 
IN019	7	200	1	 	 
IN019	8	11	9	13	14
IN019	9	25	9	50	14
IN019	10	200	9	225	14
IN019	11	10	9	11	14
IN019	12	220	13	235	14
IN019	13	470	13	475	14
IN019	14	240	13	246	14
IN019	15	8	1	9	14
IN019	16	12	1	13	14
IN019	17	6	1	7	14
IN019	18	30	1	35	14
IN019	19	12	1	 	 
IN019	20	15	1	16	14
IN019	21	45	1	48	14
IN019	22	5	1	6	14
IN019	23	44	1	46	14
IN019	24	9	1	10	14
IN019	25	15	1	16	14
IN020	1	4	1	5	14
IN020	2	250	1	260	14
IN020	3	150	1	170	14
IN020	4	150	1	160	14
IN020	5	7	1	 	 
IN020	6	100	1	 	 
IN020	7	200	1	 	 
IN020	8	11	9	12	14
IN020	9	25	9	50	14
IN020	10	200	9	225	14
IN020	11	10	9	15	14
IN020	12	220	13	230	14
IN020	13	465	13	485	14
IN020	14	245	13	260	14
IN020	15	8	1	9	14
IN020	16	12	1	13	14
IN020	17	6	1	7	14
IN020	18	30	1	35	14
IN020	19	13	1	 	 
IN020	20	15	1	16	14
IN020	21	45	1	48	14
IN020	22	5	1	6	14
IN020	23	44	1	46	14
IN020	24	9	1	10	14
IN020	25	15	1	16	14
IN021	1	4	1	5	14
IN021	2	250	1	260	14
IN021	3	150	1	 	 
IN021	4	150	1	 	 
IN021	5	7	1	 	 
IN021	6	100	1	 	 
IN021	7	200	1	 	 
IN021	8	11	9	12	14
IN021	9	25	9	50	14
IN021	10	200	9	225	14
IN021	11	10	9	11	14
IN021	12	220	13	235	14
IN021	13	470	13	475	14
IN021	14	240	13	246	14
IN021	15	8	1	9	14
IN021	16	12	1	13	14
IN021	17	6	1	7	14
IN021	18	30	1	35	14
IN021	19	12	1	 	 
IN021	20	15	1	16	14
IN021	21	45	1	48	14
IN021	22	5	1	6	14
IN021	23	44	1	46	14
IN021	24	9	1	10	14
IN021	25	15	1	16	14
IN022	1	4	1	5	14
IN022	2	250	1	260	14
IN022	3	150	1	 	 
IN022	4	150	1	 	 
IN022	5	7	1	 	 
IN022	6	100	1	 	 
IN022	7	200	1	 	 
IN022	8	11	9	12	14
IN022	9	25	9	50	14
IN022	10	200	9	225	14
IN022	11	10	9	11	14
IN022	12	220	13	235	14
IN022	13	470	13	475	14
IN022	14	240	13	246	14
IN022	15	8	1	9	14
IN022	16	12	1	13	14
IN022	17	6	1	7	14
IN022	18	30	1	35	14
IN022	19	12	1	 	 
IN022	20	15	1	16	14
IN022	21	45	1	48	14
IN022	22	5	1	6	14
IN022	23	44	1	46	14
IN022	24	9	1	10	14
IN022	25	15	1	16	14
IN023	1	4	1	5	14
IN023	2	250	1	260	14
IN023	3	150	1	170	14
IN023	4	150	1	160	14
IN023	5	7	1	 	 
IN023	6	100	1	 	 
IN023	7	200	1	 	 
IN023	8	11	9	12	14
IN023	9	25	9	50	14
IN023	10	200	9	225	14
IN023	11	10	9	15	14
IN023	12	220	13	230	14
IN023	13	465	13	485	14
IN023	14	245	13	260	14
IN023	15	8	1	9	14
IN023	16	12	1	13	14
IN023	17	6	1	7	14
IN023	18	30	1	35	14
IN023	19	13	1	 	 
IN023	20	15	1	16	14
IN023	21	45	1	48	14
IN023	22	5	1	6	14
IN023	23	44	1	46	14
IN023	24	9	1	10	14
IN023	25	15	1	16	14
IN024	1	2	1	3	1
IN024	2	150	1	180	1
IN024	3	80	1	90	1
IN024	4	100	1	100	1
IN024	5	7	1	7	1
IN024	6	150	1	150	1
IN024	7	80	1	90	1
IN024	8	21	9	22	9
IN024	9	40	9	50	9
IN024	10	360	9	380	9
IN024	11	12	9	14	9
IN024	12	205	13	210	13
IN024	13	470	13	475	13
IN024	14	240	13	245	13
IN024	15	13	1	15	1
IN024	16	11	1	12	1
IN024	17	6	1	8	1
IN024	18	30	1	35	1
IN024	19	13	1	14	1
IN024	20	15	1	16	1
IN024	21	48	1	50	1
IN024	22	6	1	7	1
IN024	23	44	1	46	1
IN024	24	9	7	 	 
IN024	25	15	11	16	1
IN025	1	2	1	3	1
IN025	2	150	1	180	1
IN025	3	80	1	90	1
IN025	4	100	1	100	1
IN025	5	7	1	7	1
IN025	6	150	1	150	1
IN025	7	80	1	90	1
IN025	8	21	9	22	9
IN025	9	40	9	50	9
IN025	10	360	9	380	9
IN025	11	12	9	14	9
IN025	12	205	13	210	13
IN025	13	470	13	475	13
IN025	14	240	13	245	13
IN025	15	13	1	15	1
IN025	16	11	1	12	1
IN025	17	6	1	8	1
IN025	18	30	1	350	1
IN025	19	13	1	14	1
IN025	20	15	1	16	1
IN025	21	48	1	50	1
IN025	22	6	1	7	1
IN025	23	44	1	46	1
IN025	24	9	7	 	 
IN025	25	15	11	16	1
IN026	1	2	1	3	1
IN026	2	150	1	180	1
IN026	3	80	1	90	1
IN026	4	100	1	100	1
IN026	5	7	1	7	1
IN026	6	150	1	150	1
IN026	7	80	1	90	1
IN026	8	21	9	23	9
IN026	9	40	9	50	9
IN026	10	360	9	380	9
IN026	11	12	9	14	9
IN026	12	205	13	210	13
IN026	13	470	13	475	13
IN026	14	240	13	245	13
IN026	15	13	1	15	1
IN026	16	11	1	12	1
IN026	17	6	1	8	1
IN026	18	30	1	35	1
IN026	19	13	1	14	1
IN026	20	15	1	16	1
IN026	21	48	1	50	1
IN026	22	6	1	7	1
IN026	23	44	1	46	1
IN026	24	9	7	 	 
IN026	25	15	11	16	1
IN027	1	500	1	650	7
IN027	2	7000	1	7500	7
IN027	3	4500	1	5500	7
IN027	4	3750	1	4500	7
IN027	5	950	1	950	7
IN027	6	4000	1	5000	7
IN027	7	105	1	120	7
IN027	8	350	1	350	9
IN027	9	6000	1	6500	9
IN027	10	3750	1	3600	9
IN027	11	1150	1	1150	9
IN027	12	210	13	 	15
IN027	13	420	13	455	13
IN027	14	240	13	245	13
IN027	15	1400	7	1750	7
IN027	16	1100	7	1200	7
IN027	17	10	1	8	2
IN027	18	30	1	35	8
IN027	19	1300	7	1400	7
IN027	20	1380	7	1280	7
IN027	21	5500	7	5000	7
IN027	22	500	7	700	7
IN027	23	40	1	44	4
IN027	24	2000	7	2000	7
IN027	25	12	1	14	8
IN028	1	500	1	650	7
IN028	2	6500	1	1500	7
IN028	3	4500	1	5500	7
IN028	4	3750	1	4500	7
IN028	5	950	1	950	8
IN028	6	4000	1	5000	8
IN028	7	105	1	1200	8
IN028	8	350	1	350	9
IN028	9	6000	1	6500	9
IN028	10	3750	1	3600	9
IN028	11	1150	1	1150	9
IN028	12	210	13	 	 
IN028	13	420	13	455	13
IN028	14	240	13	245	13
IN028	15	1400	1	1750	7
IN028	16	1080	1	80	7
IN028	17	6	1	9	8
IN028	18	30	1	35	7
IN028	19	1300	11	1000	3
IN028	20	1280	2	1280	2
IN028	21	5500	8	5500	8
IN028	22	500	7	500	7
IN028	23	44	1	40	4
IN028	24	2000	8	2000	8
IN028	25	14	1	12	2
IN029	1	2	1	3	2
IN029	2	300	1	330	7
IN029	3	150	1	175	8
IN029	4	150	1	180	2
IN029	5	7	1	8	1
IN029	6	300	1	320	2
IN029	7	250	1	275	2
IN029	8	11	9	11	9
IN029	9	40	9	38	9
IN029	10	340	9	320	10
IN029	11	66	9	66	9
IN029	12	205	13	210	14
IN029	13	450	13	475	14
IN029	14	245	13	250	14
IN029	15	6	1	9	2
IN029	16	12	1	12	2
IN029	17	6	1	7	2
IN029	18	30	1	35	7
IN029	19	13	1	14	8
IN029	20	15	1	16	8
IN029	21	45	1	46	7
IN029	22	5	1	6	3
IN029	23	44	1	46	4
IN029	24	4	1	10	8
IN029	25	14	1	12	2
IN030	1	500	1	650	7
IN030	2	6500	1	7500	7
IN030	3	4500	1	5500	7
IN030	4	3750	1	4500	7
IN030	5	950	1	950	8
IN030	6	4000	1	5000	8
IN030	7	105	1	1200	8
IN030	8	350	1	350	9
IN030	9	6000	1	6500	9
IN030	10	3750	1	3600	9
IN030	11	1150	1	1150	9
IN030	12	210	13	 	15
IN030	13	420	13	465	13
IN030	14	240	13	245	13
IN030	15	1400	1	1200	2
IN030	16	1080	1	1000	2
IN030	17	6	1	8	7
IN030	18	35	1	30	2
IN030	19	13000	11	1000	3
IN030	20	1280	2	1250	2
IN030	21	5500	8	2800	2
IN030	22	500	8	700	7
IN030	23	40	1	44	4
IN030	24	2000	8	2000	7
IN030	25	12	1	14	8
IN031	1	2	1	3	2
IN031	2	300	1	330	7
IN031	3	150	1	175	8
IN031	4	130	1	180	2
IN031	5	7	1	8	1
IN031	6	300	1	320	2
IN031	7	250	1	275	2
IN031	8	11	9	11	9
IN031	9	40	9	38	9
IN031	10	340	9	320	10
IN031	11	66	9	66	9
IN031	12	205	13	210	14
IN031	13	450	13	475	14
IN031	14	245	13	250	14
IN031	15	6	1	9	2
IN031	16	12	1	12	2
IN031	17	6	1	7	2
IN031	18	30	1	35	7
IN031	19	13	1	14	8
IN031	20	15	1	16	7
IN031	21	45	1	48	3
IN031	22	5	1	6	4
IN031	23	42	1	46	4
IN031	24	9	1	10	8
IN031	25	12	1	12	2
IN032	1	500	1	650	7
IN032	2	7000	1	7500	7
IN032	3	4500	1	5500	7
IN032	4	3750	1	4500	 
IN032	5	950	1	950	 
IN032	6	4000	1	5000	 
IN032	7	105	1	120	 
IN032	8	350	1	350	9
IN032	9	6000	1	6500	9
IN032	10	3750	1	3600	9
IN032	11	1150	1	1150	9
IN032	12	210	13	 	15
IN032	13	420	13	455	13
IN032	14	240	13	245	13
IN032	15	1400	1	1750	7
IN032	16	1080	1	1080	7
IN032	17	6	1	7	8
IN032	18	30	1	35	7
IN032	19	1300	11	1400	7
IN032	20	1280	2	1280	7
IN032	21	5500	8	5000	7
IN032	22	500	8	700	7
IN032	23	 	 	 	 
IN032	24	2000	8	2000	7
IN032	25	1	14	14	2
IN033	1	4	1	3	8
IN033	2	850	1	300	8
IN033	3	150	1	185	7
IN033	4	135	1	150	7
IN033	5	8	1	8	5
IN033	6	300	1	325	7
IN033	7	250	1	200	2
IN033	8	11	9	10	10
IN033	9	40	9	40	10
IN033	10	340	9	225	10
IN033	11	66	9	66	10
IN033	12	205	13	220	14
IN033	13	450	13	475	13
IN033	14	245	13	260	13
IN033	15	6	1	6	1
IN033	16	12	1	10	7
IN033	17	6	1	7	8
IN033	18	30	1	35	8
IN033	19	13	1	14	8
IN033	20	15	1	16	7
IN033	21	45	1	50	7
IN033	22	7	1	8	8
IN033	23	44	1	46	4
IN033	24	9	1	10	8
IN033	25	14	1	16	11
IN034	1	3	1	2	8
IN034	2	250	1	300	8
IN034	3	150	1	185	7
IN034	4	135	1	50	7
IN034	5	8	1	8	8
IN034	6	300	1	325	7
IN034	7	250	1	200	2
IN034	8	11	9	10	10
IN034	9	40	9	40	10
IN034	10	340	9	325	10
IN034	11	66	9	66	10
IN034	12	205	13	220	14
IN034	13	450	13	475	14
IN034	14	245	13	260	14
IN034	15	6	1	14	7
IN034	16	12	1	10	7
IN034	17	6	1	7	8
IN034	18	30	1	35	14
IN034	19	13	1	14	14
IN034	20	15	1	16	8
IN034	21	45	1	50	8
IN034	22	7	1	8	7
IN034	23	44	1	46	8
IN034	24	9	1	10	7
IN034	25	14	1	16	14
IN035	1	6	1	5	1
IN035	2	55	1	60	1
IN035	3	110	1	105	1
IN035	4	200	1	180	1
IN035	5	10	1	9	1
IN035	6	55	1	60	1
IN035	7	80	1	70	1
IN035	8	20	9	19	9
IN035	9	40	9	42	9
IN035	10	590	9	600	9
IN035	11	10	9	9	9
IN035	12	235	13	240	13
IN035	13	460	13	465	13
IN035	14	250	13	260	13
IN035	15	13	1	10	1
IN035	16	11	1	10	1
IN035	17	8	1	10	1
IN035	18	160	1	150	1
IN035	19	16	1	15	1
IN035	20	16	1	15	1
IN035	21	45	1	40	1
IN035	22	5	1	3	1
IN035	23	20	1	20	1
IN035	24	25	1	20	1
IN035	25	15	1	20	1
IN036	1	6	1	4	1
IN036	2	50	1	80	1
IN036	3	100	1	75	1
IN036	4	190	1	90	1
IN036	5	8	1	9	1
IN036	6	50	1	52	1
IN036	7	75	1	79	1
IN036	8	17	9	18	9
IN036	10	40	9	35	9
IN036	11	600	9	590	9
IN036	12	235	13	240	13
IN036	13	460	13	450	13
IN036	14	250	13	250	13
IN036	15	12	1	10	1
IN036	16	10	1	11	1
IN036	17	7	1	7	1
IN036	18	150	1	140	1
IN036	19	15	4	14	1
IN036	20	15	1	15	1
IN036	21	49	1	50	1
IN036	22	5	1	3	1
IN036	23	20	1	20	1
IN036	24	20	1	20	1
IN036	25	20	1	22	1
IN037	1	6	1	4	1
IN037	2	50	1	60	1
IN037	3	100	1	75	1
IN037	4	190	1	190	1
IN037	5	8	1	9	1
IN037	6	50	1	55	1
IN037	7	75	1	75	1
IN037	8	17	9	18	9
IN037	9	40	9	65	9
IN037	10	600	9	550	9
IN037	11	10	9	10	9
IN037	12	235	13	240	13
IN037	13	460	13	465	13
IN037	14	250	13	260	13
IN037	15	12	1	10	1
IN037	16	10	1	8	1
IN037	17	7	1	6	1
IN037	18	150	1	100	1
IN037	19	15	4	12	14
IN037	20	15	1	16	1
IN037	21	40	1	43	1
IN037	22	3	1	8	1
IN037	23	20	1	30	1
IN037	24	20	1	30	1
IN037	25	20	1	18	1
IN038	1	5	1	4	1
IN038	2	60	1	55	1
IN038	3	100	1	90	1
IN038	4	180	1	200	1
IN038	5	10	1	9	1
IN038	6	50	1	53	1
IN038	7	75	1	74	1
IN038	8	17	9	18	9
IN038	9	40	9	36	9
IN038	10	6	10	8	9
IN038	11	10	9	9	9
IN038	12	235	13	235	13
IN038	13	460	13	465	13
IN038	14	250	13	245	13
IN038	15	12	1	10	1
IN038	16	10	1	10	1
IN038	17	8	1	7	1
IN038	18	140	1	150	1
IN038	19	14	1	12	1
IN038	20	14	1	16	1
IN038	21	45	1	50	1
IN038	22	6	1	6	1
IN038	23	25	1	20	1
IN038	24	20	1	20	1
IN038	25	15	1	18	1
IN040	1	6	1	4	1
IN040	2	50	1	80	1
IN040	3	100	1	75	1
IN040	4	190	1	190	1
IN040	5	8	1	9	1
IN040	6	50	1	55	1
IN040	7	75	1	75	1
IN040	8	17	9	18	9
IN040	9	40	9	35	9
IN040	10	600	9	550	9
IN040	11	10	9	10	9
IN040	12	235	13	240	13
IN040	13	460	13	465	13
IN040	14	250	13	260	13
IN040	15	12	1	10	1
IN040	16	10	1	8	1
IN040	17	7	1	6	11
IN040	18	150	1	100	1
IN040	19	15	4	12	4
IN040	20	15	1	16	1
IN040	21	40	1	43	1
IN040	22	3	1	8	1
IN040	23	20	1	30	1
IN040	24	20	1	30	1
IN040	25	20	1	18	1
IN041	1	6	1	4	1
IN041	2	50	1	52	1
IN041	3	100	1	110	1
IN041	4	200	1	180	1
IN041	5	8	1	10	1
IN041	6	50	1	45	1
IN041	7	76	1	69	1
IN041	8	20	9	18	9
IN041	9	40	9	45	9
IN041	10	450	9	500	9
IN041	11	10	9	9	9
IN041	12	250	13	255	13
IN041	13	450	13	460	13
IN041	14	250	13	240	13
IN041	15	14	1	12	1
IN041	16	10	1	11	1
IN041	17	7	1	6	1
IN041	18	120	1	130	1
IN041	19	15	1	16	1
IN041	20	14	1	15	1
IN041	21	49	1	52	1
IN041	22	3	1	4	1
IN041	23	20	1	30	1
IN041	24	30	1	25	1
IN041	25	18	1	16	1
IN042	1	6	1	5	1
IN042	2	60	1	55	1
IN042	3	120	1	96	1
IN042	4	200	1	180	1
IN042	5	10	1	9	1
IN042	6	60	1	55	1
IN042	7	70	1	60	1
IN042	8	18	9	16	9
IN042	9	40	9	38	9
IN042	10	550	9	600	9
IN042	11	10	9	10	9
IN042	12	215	13	230	13
IN042	13	475	13	460	13
