COMMID	CLUSTID	DISTRID	suprdate	area	unit	arable	irigland	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	pestmen	specpol	shanty	semi	perm	story	bigmult	smalmult	shansc	shanst	shanbc	shanoc	semisc	semist	semibc	semioc	permsc	permst	permbc	permoc	storsc	storst	storbc	storoc	bigmsc	bigmst	bigmbc	bigmoc	smalsc	smalst	smalbc	smaloc	lang1	lang2	lang3	lang4	lang5	lang6	lang7	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	rel5	rel6	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	grievpol	chief	chiefsc	chiefst	chiefbc	chiefoc	chfhowsc	chfhowst	chfhowbc	chfhowoc	chflivsc	chflivst	chflivbc	chflivoc	chfvissc	chfvisst	chfvisbc	chfvisoc	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	irigsrc	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
IN055	9	3	11/25/2002	1500	ACRES	950	700	1716	1	1	0	1	0	0	0	0	0	1	0	2	 	50	3	99	99	99	99	1	88	1	1	1	 	 	 	69	42	13	68	 	 	3	 	49	 	6	27	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	1	1	1	1	4	2	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	2	0	1	1	0	1	0	6	2	 	0	0	0	0	0	0	0	 	2	2	130	75	35	30	2	1	2	2	2	2	1	RUPEE
IN056	9	3	10/25/2002	2600	ACRES	900	500	1800	1	1	0	1	0	0	0	0	0	1	0	99	 	40	 	99	99	99	99	 	88	1	1	1	 	 	 	37	6	 	40	0	 	 	 	46	 	12	41	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	1	4	3	0	1	0	1	0	0	4	2	 	1	1	1	2	2	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	1	1	0	0	1	0	0	0	0	1	2	0	0	1	1	1	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	2	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	0	2	2	 	130	75	35	20	2	1	2	1	2	2	1	RUPEE
IN057	9	3	11/7/2002	450	ACRES	275	250	1500	1	1	0	1	0	0	0	0	0	1	0	2	 	50	4	99	99	99	99	1	88	1	1	1	 	 	 	50	 	30	50	 	 	 	 	65	 	50	30	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	1	3	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	 	0	1	0	0	0	0	0	0	1	1	 	1	 	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	 	2	0	0	1	0	1	0	 	1	1	0	0	1	0	0	0	0	2	2	2	130	75	35	30	 	 	 	 	 	 	 	RUPEE
IN058	9	3	11/12/2002	1182	ACRES	1057	807	1266	1	1	0	1	0	0	0	0	0	0	0	2	 	50	4	3	3	3	3	1	88	 	 	 	 	 	 	23	 	20	10	 	 	10	20	60	 	11	79	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	4	1	3	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	 	2	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	1	2	2	2	130	75	35	30	2	1	2	2	2	2	1	RUPEE
IN059	9	3	 	1470.90002441406	 	847.599975585938	120.699996948242	1270	99	1	0	1	0	0	0	0	0	0	0	2	 	60	1	3	3	3	3	3	3	1	1	1	 	 	 	105	 	15	50	10	 	10	20	10	 	5	50	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	1	3	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	1	 	0	0	0	1	0	0	0	0	0	0	0	1	 	0	0	1	1	1	0	1	0	0	0	 	1	0	0	0	0	0	0	0	0	2	2	1	 	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	 	1	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	1	2	2	2	130	75	35	30	2	1	2	2	2	2	1	RUPEE
IN060	9	3	11/9/2002	1000	ACRES	700	300	780	1	1	0	1	0	0	0	0	0	0	0	2	 	55	1	3	3	3	3	1	3	 	 	 	 	 	 	70	 	64	 	 	 	1	 	 	 	 	12	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	3	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	1	0	0	0	0	0	0	0	0	 	2	 	 	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	 	2	0	1	0	0	1	0	2	1	1	1	0	0	0	0	1	0	2	2	 	130	75	35	30	2	1	2	2	2	2	1	RUPEE
IN061	17	2	9/22/2002	991	ACRES	600	50	979	1	1	0	1	0	0	0	0	0	0	0	2	 	33	3	3	3	3	3	1	3	2	1	1	2	2	2	5	8	4	0	20	62	58	10	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	7	1	1	1	0	2	1	3	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	1	2	1	2	2	8	4	8	8	8	1	8	8	8	1	8	8	2	2	2	1	1	2	0	1	0	1	0	0	1	0	0	0	1	1	2	0	0	0	1	1	0	1	1	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	10	 	2	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	2	2	2	130	75	30	2	1	2	2	2	2	2	2	RUPEES
IN062	17	2	9/18/2002	1314	ACRES	904	240	1036	1	1	0	1	0	0	0	0	0	0	0	2	 	22	3	3	3	3	3	1	3	1	1	1	2	2	2	10	3	25	3	50	7	104	20	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	7	2	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	10	5	2	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	2	2	2	130	75	34	30	2	2	2	1	2	1	2	RUPEES
IN063	17	2	10/1/2002	1478	ACRES	1444	129	1963	1	1	0	1	0	0	0	0	0	0	0	2	 	18	3	3	3	2	3	1	3	1	1	1	2	2	2	8	10	30	0	40	14	270	20	0	0	14	8	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	3	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	2	1	2	2	1	2	8	8	4	8	8	8	1	8	8	8	 	8	1	2	2	2	1	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	 	0	1	0	0	1	0	1	0	0	1	 	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	10	7	2	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	2	1	1	130	75	34	30	1	1	2	2	2	2	1	RUPEES
IN064	17	2	10/6/2002	2850	ACRES	1400	300	2317	1	1	0	1	1	0	0	1	0	0	0	2	 	24	3	3	3	3	3	2	3	1	1	1	2	2	2	20	10	30	2	80	30	200	20	10	5	36	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	1	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	6	7	2	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	2	2	2	130	75	33	30	2	1	2	2	2	2	1	rupees
IN065	17	2	9/27/2002	756	ACRES	736	100	930	1	1	0	1	1	0	0	0	0	0	0	2	 	14	3	3	3	3	3	2	3	1	1	1	2	2	2	10	5	10	0	40	15	82	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	1	1	0	3	1	2	0	0	0	1	0	0	4	 	 	1	1	1	2	1	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	10	1	6	2	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	2	1	2	130	75	30	25	1	2	2	2	2	2	1	RUPEE
IN066	18	2	10/26/2002	2724	ACRES	719	203	1687	1	1	0	1	0	0	0	0	0	0	0	2	 	31	3	3	3	2	3	1	3	1	1	1	2	2	2	18	0	35	3	20	0	130	20	18	0	50	12	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	1	2	7	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	1	1	1	1	2	2	1	2	8	8	1	8	8	8	1	8	8	8	 	8	2	2	2	1	2	2	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	 	1	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	10	6	2	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	2	2	2	130	75	33	30	2	1	2	2	2	2	1	RUPEES
IN067	18	2	11/3/2002	1157	ACRES	600	265	1537	1	1	0	1	0	0	0	0	0	1	0	2	 	28	3	3	3	3	3	1	3	1	1	1	2	2	2	10	0	20	10	50	0	50	50	10	0	34	30	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	1	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	 	0	1	0	0	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	2	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	2	2	1	130	75	34	25	2	1	2	2	2	2	1	RUPEE
IN068	18	2	10/19/2002	3004	ACRES	990	323	1418	1	0	0	1	0	0	0	0	1	1	0	2	 	21	3	3	3	2	3	1	88	1	1	1	2	2	2	24	0	25	1	26	0	120	20	2	0	60	8	 	 	 	1	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	1	1	1	0	1	1	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	5	7	2	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	 	 	2	130	75	35	30	2	1	2	2	2	2	1	RUPEES
IN069	18	2	10/22/2002	1751	ACRES	1091	205	1098	1	1	0	1	0	0	0	0	0	1	0	2	 	30	3	3	3	3	3	1	3	1	1	1	2	2	2	4	 	5	0	30	 	90	20	10	 	59	15	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	0	0	0	1	2	4	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	5	7	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	2	2	2	130	75	34	25	2	2	2	1	2	2	1	RUPEES
IN070	18	2	11/11/2002	2419	ACRES	1073	413	1789	1	1	0	1	0	0	0	0	0	1	0	2	 	40	3	3	3	3	3	1	3	1	1	1	2	2	2	30	0	58	5	40	0	160	10	10	0	40	30	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	1	0	1	2	3	1	1	1	1	3	4	1	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	1	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	 	0	1	0	1	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	10	5	2	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	2	2	2	130	75	33	30	1	1	2	2	2	2	1	RUPEES
IN071	16	2	11/28/2002	995	ACRES	880	11.3500003814697	886	1	1	0	1	0	0	0	0	0	0	0	2	 	96	3	3	3	3	3	1	88	1	1	1	2	2	2	80	5	10	5	20	2	10	10	0	23	10	5	0	0	0	0	 	0	0	0	0	 	0	0	1	1	0	0	0	0	0	1	2	 	1	1	1	0	1	2	3	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	1	1	1	1	9	3	3	3	 	1	1	1	9	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	 	1	0	0	0	0	0	0	0	0	2	2	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	1	0	1	0	1	0	 	1	1	1	0	0	0	0	0	0	2	2	2	130	75	33	10	1	1	2	1	2	2	1	RUPEE
IN072	16	2	12/2/2002	1481	ACRES	1086	49	1292	1	1	0	1	0	0	0	0	0	0	0	2	 	145	3	3	3	3	3	1	88	1	1	1	2	2	2	16	100	20	20	0	0	0	0	 	150	10	130	 	0	0	0	 	0	0	0	 	0	0	0	1	0	0	0	0	0	1	1	8	 	0	1	1	1	2	4	3	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	 	1	1	1	1	4	4	4	4	1	1	1	1	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	0	0	1	0	1	0	 	1	1	1	0	0	0	0	0	0	2	2	2	130	75	33	10	2	1	2	1	2	2	1	RUPEE
IN073	16	2	12/12/2002	6473	 	1099	200	919	1	1	0	1	0	0	0	0	0	0	0	2	 	140	3	3	3	3	3	1	88	1	1	1	2	2	2	22	8	50	15	0	0	0	0	4	20	50	15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	7	2	0	1	1	1	3	4	2	1	1	0	1	0	0	4	2	1	1	1	1	2	1	1	1	2	1	1	2	8	4	4	8	8	 	 	8	8	 	 	8	2	2	2	2	2	 	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	0	0	1	0	1	0	6	1	1	1	0	0	0	0	0	0	2	2	2	 	 	 	20	2	1	1	1	2	2	 	RUPEE
IN074	16	2	12/19/2002	3826	 	3600	248	5600	1	1	0	1	0	0	0	0	0	0	0	2	 	108	3	3	3	3	3	1	88	1	1	1	 	 	 	50	30	50	40	50	30	20	20	200	120	80	90	0	0	 	0	0	 	0	0	0	 	0	0	1	1	0	0	0	0	1	1	7	2	1	1	1	0	1	2	3	1	1	0	1	0	0	4	2	1	1	1	1	2	1	1	 	1	1	1	1	4	4	4	4	1	1	1	1	 	 	 	 	1	2	2	2	2	 	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	2	7	2	1	0	1	0	1	0	2	 	1	0	0	0	0	0	0	1	2	2	2	130	75	33	10	1	1	2	1	2	2	 	RUPEE
IN075	16	2	11/24/2002	877	 	857	15	1428	1	1	0	1	0	0	0	0	0	0	0	2	 	110	3	3	3	3	3	1	88	1	1	1	2	2	2	15	25	50	5	0	0	0	0	35	22	100	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	2	3	1	1	1	0	3	2	1	0	1	0	1	0	0	4	2	 	1	1	1	2	2	1	1	1	1	1	1	4	4	4	4	1	1	1	1	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	1	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	2	7	2	1	0	1	1	1	0	2	 	1	1	0	0	0	0	1	0	2	2	2	130	75	33	15	2	1	2	1	2	2	1	RUPEE
IN076	19	2	11/29/2002	1035	ACRES	989	435	560	1	1	0	1	1	0	0	0	0	0	0	2	 	108	3	3	3	2	3	1	3	1	1	2	2	2	2	 	 	40	1	 	 	48	15	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	0	0	0	1	2	4	0	0	1	1	3	4	 	0	1	0	1	0	0	4	2	 	1	1	1	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	2	0	1	1	1	1	0	1	0	0	0	 	0	1	0	0	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	10	6	2	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	2	2	2	130	75	33	15	2	1	1	2	2	2	1	RUPEES
IN077	19	2	11/28/2002	1447	ACRES	1301	305	1738	1	1	0	1	0	0	0	0	0	1	0	2	 	94	3	3	3	2	3	1	3	1	1	1	2	2	2	5	 	20	 	45	 	100	 	50	 	77	2	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	0	0	0	1	4	2	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	 	0	1	1	0	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	2	1	0	1	0	1	0	1	1	1	1	1	0	0	0	1	0	2	2	2	130	75	33	20	2	1	1	2	2	2	1	RUPEES
IN078	19	2	12/5/2002	1839	ACRES	1738	342	2320	1	1	0	1	0	0	0	0	0	1	0	2	 	125	3	3	3	3	3	2	3	1	1	1	2	2	2	20	0	13	0	30	1	260	0	60	 	40	3	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	0	0	0	1	4	2	1	1	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	1	1	1	1	0	0	0	0	 	0	1	0	0	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	1	0	0	1	0	1	0	2	1	1	1	0	0	1	0	1	0	2	2	2	130	75	33	20	2	1	1	2	2	2	1	RUPEES
IN079	19	2	11/20/2002	2219	ACRES	1865	365	962	1	1	0	1	0	0	0	0	0	0	0	2	 	90	3	3	3	3	3	2	3	1	1	1	2	2	2	15	 	10	0	40	 	90	4	5	 	10	0	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	0	0	0	1	2	4	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	2	1	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	 	1	0	0	0	0	0	0	0	0	 	2	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	10	 	2	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	2	2	2	130	75	33	30	2	1	2	1	2	2	1	RUPEES
IN080	19	2	12/12/2002	2478	ACRES	2407	410	1748	1	1	0	1	0	0	0	1	0	0	0	2	 	120	3	3	3	3	3	1	3	1	1	1	2	2	2	10	0	50	10	80	3	200	10	0	0	24	15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	4	1	1	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	 	1	2	1	1	4	8	4	4	1	8	1	1	 	8	 	 	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	 	0	1	0	0	1	0	1	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	10	5	2	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	2	2	2	130	75	33	15	1	2	2	1	2	2	1	RUPEES
IN081	15	4	10/1/2002	1029.97998046875	ACRES	996.25	84.379997253418	943	1	1	0	1	0	0	0	0	0	1	0	2	 	99	3	3	3	3	3	2	88	1	1	2	2	2	2	30	1	20	1	70	1	70	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	1	3	4	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	1	2	2	2	4	8	8	8	1	8	8	8	 	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	0	0	0	1	0	0	0	0	2	8	8	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	0	0	1	0	1	0	3	 	1	1	0	1	0	0	1	0	2	2	2	130	75	35	25	2	1	2	2	2	2	1	RUPEE
IN082	15	4	10/8/2002	1649.30004882813	 	1437.09997558594	30.1000003814697	912	1	1	0	1	0	0	0	0	0	0	0	2	 	95	3	3	3	3	3	2	88	1	1	1	2	2	2	70	10	53	13	44	 	59	47	 	 	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	1	3	4	0	1	0	1	0	0	4	2	 	1	1	1	1	 	 	1	1	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	1	0	1	0	1	0	2	1	1	1	0	1	0	0	1	0	2	2	 	130	75	33	20	2	1	2	1	2	2	1	RUPEE
IN083	15	4	9/15/2002	2206	 	1967	105.379997253418	1687	1	1	0	1	0	0	0	0	0	0	1	1	 	90	3	3	3	3	3	1	88	1	1	1	2	2	2	20	4	50	5	40	6	250	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	4	1	0	1	0	1	0	0	4	2	 	1	1	1	1	 	 	1	1	1	1	1	3	3	3	 	1	1	1	1	 	 	 	 	1	2	2	2	2	 	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	2	6	2	1	1	1	0	0	0	2	1	1	1	0	1	0	0	1	0	2	2	2	130	75	33	25	1	1	2	1	2	2	1	RUPEE
IN084	15	4	9/26/2002	894	 	622	171.229995727539	1019	2	1	0	1	0	0	0	0	0	0	0	2	 	91	3	3	3	3	99	2	88	1	1	1	2	2	2	45	3	15	2	110	4	49	13	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	1	1	1	1	3	4	1	0	0	1	0	0	4	1	 	1	1	2	1	 	 	1	1	1	1	1	4	4	4	4	1	1	1	1	1	1	1	1	2	2	2	2	2	 	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	 	1	0	0	0	0	0	0	0	0	 	3	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	0	0	1	0	1	0	2	1	1	1	1	0	0	0	1	0	2	2	2	130	75	33	20	2	1	2	1	2	2	1	RUPEE
