COMMID	helid	facility	heldis	heltme
IN011	4	1	1	1
IN011	5	1	1	1
IN011	6	2	4	3
IN011	7	2	4	3
IN011	8	1	1	1
IN011	9	2	 	3
IN012	1	1	3	2
IN012	2	1	3	2
IN012	3	1	3	2
IN012	4	1	3	2
IN012	5	1	3	2
IN012	6	1	3	2
IN012	7	1	4	3
IN012	8	1	3	2
IN012	9	2	4	4
IN013	1	1	3	2
IN013	2	1	3	2
IN013	3	1	3	2
IN013	4	1	3	2
IN013	5	1	3	2
IN013	6	2	3	2
IN013	7	1	4	3
IN013	8	1	3	2
IN013	9	2	3	2
IN014	1	1	3	2
IN014	2	1	3	2
IN014	3	1	3	2
IN014	4	1	3	2
IN014	5	1	3	2
IN014	6	1	3	2
IN014	7	1	3	2
IN014	8	1	3	2
IN014	9	1	3	2
IN015	1	1	4	2
IN015	2	1	4	2
IN015	3	1	2	1
IN015	4	1	2	1
IN015	5	1	4	2
IN015	6	1	4	2
IN015	7	1	3	1
IN015	8	1	1	 
IN015	9	1	2	1
IN016	1	1	3	3
IN016	2	1	3	3
IN016	3	1	3	3
IN016	4	1	3	3
IN016	5	1	3	3
IN016	6	1	3	2
IN016	7	1	3	3
IN016	8	1	3	3
IN016	9	1	3	3
IN017	1	1	2	 
IN017	2	1	2	2
IN017	3	1	2	2
IN017	4	1	2	2
IN017	5	1	2	2
IN017	6	1	2	2
IN017	7	1	4	3
IN017	8	1	2	2
IN017	9	1	2	2
IN018	1	1	3	2
IN018	2	1	3	2
IN018	3	1	1	1
IN018	4	1	1	1
IN018	5	1	1	1
IN018	6	1	1	1
IN018	7	1	3	2
IN018	8	1	1	1
IN018	9	1	1	1
IN019	1	1	4	2
IN019	2	1	3	1
IN019	3	1	3	1
IN019	4	1	3	1
IN019	5	1	1	1
IN019	6	1	1	1
IN019	7	1	4	2
IN019	8	1	3	1
IN019	9	1	3	1
IN020	1	1	4	4
IN020	2	1	4	4
IN020	3	1	2	2
IN020	4	1	2	2
IN020	5	1	2	2
IN020	6	1	2	2
IN020	7	1	4	4
IN020	8	1	3	2
IN020	9	1	2	2
IN021	1	2	4	3
IN021	2	2	4	3
IN021	3	2	2	2
IN021	4	2	2	2
IN021	5	2	2	2
IN021	6	1	1	1
IN021	7	2	4	3
IN021	8	2	2	2
IN021	9	2	2	2
IN022	1	2	4	3
IN022	2	2	2	2
IN022	3	2	2	2
IN022	4	2	2	2
IN022	5	2	2	2
IN022	6	2	2	2
IN022	7	2	2	2
IN022	8	2	2	2
IN022	9	2	2	2
IN023	1	1	4	2
IN023	2	1	4	2
IN023	3	1	2	1
IN023	4	1	2	1
IN023	5	1	1	1
IN023	6	1	4	2
IN023	7	1	4	2
IN023	8	1	2	1
IN023	9	1	2	1
IN024	1	1	2	1
IN024	2	1	1	1
IN024	3	1	1	1
IN024	4	1	1	1
IN024	5	1	1	1
IN024	6	1	1	1
IN024	7	1	1	1
IN024	8	1	1	1
IN024	9	1	1	1
IN025	1	1	2	1
IN025	2	1	1	1
IN025	3	1	1	1
IN025	4	1	1	1
IN025	5	1	1	1
IN025	6	1	1	1
IN025	7	1	1	1
IN025	8	1	1	1
IN025	9	1	1	1
IN026	1	1	1	1
IN026	2	1	1	1
IN026	3	1	1	1
IN026	4	1	1	1
IN026	5	1	1	1
IN026	6	1	1	1
IN026	7	1	1	1
IN026	8	1	1	1
IN026	9	1	1	1
IN027	3	1	3	2
IN027	8	2	2	2
IN028	1	2	3	2
IN028	2	2	3	3
IN028	3	1	1	1
IN028	4	2	3	2
IN028	5	2	4	2
IN028	6	2	3	2
IN028	7	2	3	3
IN028	8	2	3	2
IN028	9	2	 	 
IN029	1	2	4	3
IN029	2	2	3	2
IN029	3	2	4	3
IN029	4	2	4	3
IN029	5	1	4	3
IN029	6	2	3	2
IN029	7	2	3	3
IN029	8	1	2	2
IN029	9	2	4	3
IN030	1	2	4	3
IN030	2	2	2	2
IN030	3	2	3	3
IN030	4	2	2	2
IN030	5	2	3	2
IN030	8	2	2	2
IN031	1	1	4	2
IN031	2	2	2	1
IN031	3	1	4	2
IN031	4	2	2	1
IN031	5	2	4	2
IN031	6	2	4	2
IN031	7	2	4	2
IN031	8	1	2	1
IN031	9	2	4	2
IN032	1	2	3	2
IN032	2	2	3	3
IN032	3	2	3	2
IN032	4	2	2	2
IN032	5	1	3	2
IN032	6	2	2	2
IN032	7	2	4	4
IN032	8	2	3	3
IN032	9	2	4	4
IN033	1	1	1	1
IN033	2	1	1	1
IN033	3	1	1	1
IN033	4	1	1	1
IN033	5	1	1	1
IN033	6	1	1	1
IN033	7	1	1	1
IN033	8	1	1	1
IN033	9	1	1	1
IN034	1	1	1	1
IN034	2	1	1	1
IN034	3	1	1	1
IN034	4	1	1	1
IN034	5	1	1	1
IN034	6	1	1	1
IN034	7	1	1	1
IN034	8	1	1	1
IN034	9	1	1	1
IN035	1	2	3	1
IN035	2	2	3	1
IN035	3	2	3	1
IN035	4	2	3	1
IN035	5	2	3	1
IN035	6	2	3	1
IN035	7	2	3	1
IN035	8	2	3	1
IN035	9	2	3	1
IN036	1	2	4	2
IN036	2	2	4	2
IN036	3	2	4	2
IN036	4	2	4	2
IN036	5	2	4	2
IN036	6	2	4	2
IN036	7	2	4	2
IN036	8	2	4	2
IN036	9	2	4	2
IN037	1	2	3	1
IN037	2	2	3	1
IN037	3	2	1	1
IN037	4	2	3	1
IN037	5	2	3	2
IN037	6	 	 	 
IN037	7	2	3	1
IN037	8	2	3	1
IN037	9	2	3	1
IN038	1	1	 	 
IN038	2	2	3	2
IN038	3	2	4	2
IN038	4	2	4	2
IN038	5	2	3	1
IN038	6	1	 	 
IN038	7	2	4	2
IN038	8	2	3	1
IN038	9	2	4	2
IN040	1	2	3	1
IN040	2	2	3	1
IN040	3	2	3	1
IN040	4	2	3	1
IN040	5	2	3	1
IN040	6	2	3	1
IN040	7	2	3	1
IN040	8	2	3	1
IN040	9	2	4	4
IN041	1	2	4	3
IN041	2	2	3	2
IN041	3	1	1	1
IN041	4	1	1	1
IN041	5	2	 	 
IN041	6	1	1	1
IN041	7	2	4	3
IN041	8	1	1	1
IN041	9	2	4	3
IN042	1	2	4	3
IN042	2	2	4	2
IN042	3	2	4	2
IN042	4	1	4	2
IN042	5	1	 	 
IN042	6	1	 	 
IN042	7	2	4	3
IN042	8	1	 	 
IN042	9	2	4	3
IN043	1	2	2	1
IN043	2	2	2	1
IN043	3	2	2	1
IN043	4	2	2	1
IN043	5	1	 	 
IN043	6	2	2	1
IN043	7	1	 	 
IN043	8	2	2	1
IN044	1	1	 	 
IN044	2	2	4	1
IN044	3	1	3	1
IN044	4	2	4	2
IN044	5	1	1	 
IN044	6	1	1	1
IN044	7	1	3	1
IN044	8	1	1	 
IN044	9	2	4	2
IN045	1	2	3	2
IN045	2	2	3	2
IN045	3	2	3	2
IN045	4	2	3	2
IN045	5	1	2	1
IN045	6	1	2	1
IN045	7	2	3	2
IN045	8	1	2	1
IN045	9	2	3	2
IN046	1	2	4	2
IN046	2	2	4	2
IN046	3	2	3	2
IN046	4	2	4	2
IN046	5	2	2	1
IN046	6	2	4	2
IN046	7	2	4	2
IN046	8	2	3	2
IN046	9	2	4	2
IN047	1	2	1	1
IN047	2	1	 	 
IN047	3	2	 	 
IN047	4	1	 	 
IN047	5	2	 	 
IN047	6	1	 	 
IN047	7	1	 	 
IN047	8	1	 	 
IN047	9	2	1	 
IN048	1	2	2	1
IN048	2	2	1	1
IN048	3	2	1	1
IN048	4	2	1	1
IN048	5	2	1	1
IN048	6	1	 	 
IN048	7	2	1	1
IN048	8	2	1	1
IN048	9	2	1	1
IN049	1	2	2	2
IN049	2	2	2	2
IN049	3	2	 	 
IN049	4	2	 	 
IN049	5	1	 	 
IN049	6	2	2	2
IN049	7	2	2	2
IN050	1	2	2	1
IN050	2	2	2	1
IN050	3	2	2	2
IN050	4	2	2	1
IN050	5	2	2	1
IN050	6	2	2	1
IN050	7	2	2	1
IN050	8	2	2	1
IN050	9	2	2	1
IN051	1	1	4	3
IN051	2	1	4	3
IN051	3	1	2	2
IN051	4	1	2	2
IN051	5	2	 	 
IN051	6	2	 	 
IN051	7	2	 	 
IN051	8	1	4	3
IN051	9	1	2	2
IN052	1	1	4	2
IN052	2	1	4	2
IN052	3	1	2	1
IN052	4	1	2	1
IN052	5	1	1	1
IN052	6	2	 	 
IN052	7	2	 	 
IN052	8	1	4	2
IN052	9	2	 	 
IN053	1	2	3	1
IN053	2	2	3	1
IN053	3	1	 	 
IN053	4	2	 	 
IN053	5	2	 	 
IN053	6	2	 	 
IN053	7	2	 	 
IN053	8	 	3	1
IN054	1	2	3	2
IN054	2	2	3	2
IN054	3	2	2	2
IN054	4	2	2	2
IN054	5	1	 	 
IN054	6	2	2	2
IN054	7	2	3	2
IN054	8	2	2	2
IN054	9	2	3	2
IN055	1	2	2	2
IN055	2	2	2	2
IN055	3	2	4	2
IN055	4	2	2	2
IN055	5	2	2	2
IN055	6	2	2	2
IN055	7	2	2	2
IN055	8	2	2	2
IN055	9	2	2	2
IN056	1	2	2	1
IN056	2	2	4	2
IN056	3	2	2	1
IN056	4	2	4	2
IN056	5	1	 	 
IN056	6	2	 	 
IN056	7	2	2	1
IN056	8	2	4	2
IN056	9	2	4	2
IN057	1	2	3	3
IN057	2	2	3	3
IN057	3	2	2	2
IN057	4	2	3	3
IN057	5	1	 	 
IN057	6	2	3	3
IN057	7	2	3	3
IN057	8	2	3	3
IN057	9	2	3	3
IN058	1	2	2	2
IN058	2	2	2	2
IN058	3	2	2	2
IN058	4	2	2	2
IN058	5	1	 	 
IN058	6	2	2	2
IN058	7	2	2	2
IN058	8	2	2	2
IN058	9	2	2	2
IN059	1	2	4	3
IN059	2	2	4	3
IN059	3	2	4	2
IN059	4	2	4	3
IN059	5	2	4	3
IN059	6	2	4	3
IN059	7	2	4	3
IN059	8	2	4	3
IN059	9	2	4	3
IN060	1	2	2	2
IN060	2	2	2	2
IN060	3	1	 	 
IN060	4	2	2	3
IN060	5	2	2	3
IN060	6	2	2	3
IN060	7	2	2	3
IN060	8	2	2	3
IN060	9	2	2	3
IN061	1	2	4	4
IN061	2	2	4	4
IN061	3	2	2	1
IN061	4	2	2	1
IN061	5	2	4	4
IN061	6	2	2	4
IN061	7	2	4	4
IN061	8	2	4	4
IN061	9	2	4	4
IN062	1	2	2	1
IN062	2	2	2	1
IN062	3	2	2	1
IN062	4	2	2	1
IN062	5	2	4	2
IN062	6	2	4	2
IN062	7	2	4	2
IN062	8	2	4	2
IN062	9	2	4	2
IN063	1	2	2	1
IN063	2	2	2	1
IN063	3	1	2	1
IN063	4	2	2	2
IN063	5	2	4	4
IN063	6	2	2	1
IN063	7	2	4	2
IN063	8	2	4	4
IN063	9	2	2	1
IN064	1	2	4	2
IN064	2	2	4	2
IN064	3	2	4	2
IN064	4	2	4	2
IN064	5	2	4	2
IN064	6	2	4	2
IN064	7	2	4	2
IN064	8	2	4	2
IN064	9	2	4	2
IN065	1	2	4	2
IN065	2	2	4	2
IN065	3	2	2	2
IN065	4	2	2	1
IN065	5	2	4	2
IN065	6	2	4	2
IN065	7	2	4	2
IN065	8	2	4	2
IN065	9	2	4	2
IN066	1	2	4	2
IN066	2	2	4	2
IN066	3	2	4	2
IN066	4	2	4	2
IN066	5	2	4	2
IN066	6	2	4	2
IN066	7	2	4	2
IN066	8	2	4	2
IN066	9	2	4	2
IN067	1	2	3	1
IN067	2	2	3	1
IN067	3	2	3	1
IN067	4	2	3	1
IN067	5	2	3	1
IN067	6	2	3	1
IN067	7	2	3	1
IN067	8	2	3	1
IN067	9	2	3	1
IN068	1	2	2	1
IN068	2	2	2	1
IN068	3	2	2	1
IN068	4	2	2	1
IN068	5	2	2	1
IN068	6	2	2	1
IN068	7	2	2	1
IN068	8	2	2	1
IN068	9	2	2	1
IN069	1	2	2	1
IN069	2	2	2	1
IN069	3	2	2	1
IN069	4	2	2	1
IN069	5	2	2	1
IN069	6	2	2	1
IN069	7	2	2	1
IN069	8	2	2	1
IN069	9	2	2	1
IN070	1	2	2	1
IN070	2	2	2	1
IN070	3	2	2	1
IN070	4	2	2	1
IN070	5	2	4	2
IN070	6	2	4	2
IN070	7	2	4	2
IN070	8	2	4	2
IN070	9	2	4	2
IN071	1	2	4	2
IN071	2	2	4	2
IN071	3	2	4	1
IN071	4	2	4	3
IN071	5	2	4	9
IN071	6	2	4	9
IN071	7	2	4	3
IN071	8	2	2	2
IN071	9	2	4	9
IN072	1	2	4	2
IN072	2	2	4	2
IN072	3	2	4	2
IN072	4	2	4	2
IN072	5	2	4	2
IN072	6	2	4	9
IN072	7	2	4	4
IN072	8	2	4	2
IN072	9	2	4	9
IN073	1	1	4	2
IN073	2	1	4	2
IN073	3	2	4	2
IN073	4	2	4	2
IN073	5	2	4	9
IN073	6	2	4	2
IN073	7	2	4	2
IN073	8	2	4	2
IN073	9	2	4	9
IN074	1	2	4	2
IN074	2	1	4	2
IN074	3	1	1	1
IN074	4	1	4	2
IN074	5	1	4	2
IN074	6	1	4	2
IN074	7	1	4	2
IN074	8	1	1	1
IN074	9	2	 	 
IN075	1	1	4	2
IN075	2	2	4	2
IN075	3	2	4	2
IN075	4	2	4	2
IN075	5	2	4	2
IN075	6	2	4	2
IN075	7	2	4	2
IN075	8	2	4	2
IN075	9	2	4	9
IN076	1	2	4	3
IN076	2	2	2	1
IN076	3	2	3	2
IN076	4	2	2	1
IN076	5	2	4	3
IN076	6	2	4	3
IN076	7	2	4	3
IN076	8	2	4	3
IN076	9	2	4	3
IN077	1	2	4	2
IN077	2	2	4	2
IN077	3	2	3	1
IN077	4	1	1	1
IN077	5	2	4	2
IN077	6	2	4	2
IN077	7	2	3	1
IN077	8	2	4	2
IN077	9	2	4	2
IN078	1	2	4	2
IN078	2	2	3	2
IN078	3	2	3	2
IN078	4	2	3	2
IN078	5	2	4	2
IN078	6	2	4	2
IN078	7	2	4	2
IN078	8	2	4	2
IN078	9	2	4	2
IN079	1	2	4	2
IN079	2	2	4	2
IN079	3	2	3	1
IN079	4	2	4	2
IN079	5	2	4	2
IN079	6	2	4	2
IN079	7	2	4	2
IN079	8	2	4	2
IN079	9	2	4	2
IN080	1	2	4	2
IN080	2	2	4	2
IN080	3	2	3	1
IN080	4	2	4	2
IN080	5	2	4	2
IN080	6	2	4	2
IN080	7	2	4	2
IN080	8	2	4	2
IN080	9	2	4	2
IN081	1	1	4	2
IN081	2	1	4	2
IN081	3	1	4	2
IN081	4	1	1	1
IN081	5	1	4	2
IN081	6	2	4	9
IN081	7	1	4	4
IN081	8	1	4	2
IN081	9	2	4	9
IN082	1	2	4	3
IN082	2	2	3	2
IN082	3	2	3	2
IN082	4	2	4	2
IN082	5	2	4	2
IN082	6	2	4	9
IN082	7	2	4	3
IN082	8	2	3	2
IN082	9	2	4	9
IN083	1	2	4	3
IN083	2	2	1	1
IN083	3	2	1	1
IN083	4	1	1	1
IN083	5	2	4	9
IN083	6	2	4	4
IN083	7	2	2	2
IN083	8	1	2	1
IN083	9	2	4	9
IN084	1	1	2	2
IN084	2	1	2	2
IN084	3	1	2	2
IN084	4	2	3	2
IN084	5	2	3	2
IN084	6	2	3	2
IN084	7	1	2	2
IN084	8	1	2	2
IN084	9	2	4	9
IN085	1	2	4	2
IN085	2	2	2	1
IN085	3	2	2	1
IN085	4	2	2	2
IN085	5	2	2	2
IN085	6	2	4	9
IN085	7	2	2	1
IN085	8	2	2	1
IN085	9	2	4	9
IN086	1	1	2	1
IN086	2	1	1	1
IN086	3	1	1	1
IN086	4	2	1	1
IN086	5	2	1	1
IN086	6	2	1	1
IN086	7	1	1	1
IN086	8	1	1	1
IN086	9	2	4	3
IN087	1	1	1	1
IN087	2	1	1	1
IN087	3	1	2	1
IN087	4	1	1	1
IN087	5	1	3	2
IN087	6	1	2	2
IN087	7	1	1	1
IN087	8	1	1	1
IN087	9	1	2	1
IN088	1	1	1	1
IN088	2	1	1	1
IN088	3	1	1	1
IN088	4	1	1	1
IN088	5	1	2	2
IN088	6	1	2	2
IN088	7	1	1	1
IN088	8	1	1	1
IN088	9	1	3	2
IN089	1	2	2	2
IN089	2	2	2	2
IN089	3	1	1	1
IN089	4	1	1	1
IN089	5	2	2	2
IN089	6	2	2	2
IN089	7	2	2	2
IN089	8	1	1	1
IN089	9	2	2	2
IN090	1	1	 	 
IN090	2	2	2	2
IN090	3	2	2	2
IN090	4	1	1	1
IN090	5	1	1	1
IN090	6	2	2	2
IN090	7	2	3	2
IN090	8	2	2	2
IN090	9	2	2	2
IN091	1	2	2	2
IN091	2	1	1	1
IN091	3	1	1	1
IN091	4	1	1	1
IN091	5	2	2	2
IN091	6	2	1	1
IN091	7	2	2	2
IN091	8	1	1	1
IN091	9	2	2	2
IN092	1	2	2	1
IN092	2	2	2	1
IN092	3	2	2	1
IN092	4	2	2	1
IN092	5	2	2	1
IN092	6	2	2	1
IN092	7	2	2	1
IN092	8	2	2	1
IN092	9	2	2	1
IN093	1	2	3	3
IN093	2	1	1	1
IN093	3	1	1	1
IN093	4	1	1	1
IN093	5	1	1	1
IN093	6	1	1	1
IN093	7	2	 	 
IN093	8	1	1	1
IN093	9	2	 	 
IN096	1	2	4	2
IN096	2	1	1	1
IN096	3	1	1	1
IN096	4	2	 	 
IN096	5	2	 	 
IN096	6	2	 	 
IN096	7	2	4	3
IN096	8	1	1	1
IN096	9	2	4	4
IN097	1	1	4	3
IN097	2	1	4	3
IN097	3	1	4	3
IN097	4	1	3	2
IN097	5	1	4	3
IN097	6	1	3	2
IN097	7	1	4	3
IN097	8	1	3	2
IN097	9	1	4	3
IN099	1	1	3	2
IN099	2	1	3	2
IN099	3	1	3	2
IN099	4	1	3	2
IN099	5	1	3	2
IN099	6	1	3	2
IN099	7	1	3	2
IN099	8	1	2	1
IN099	9	1	3	2
IN098	1	1	1	1
IN098	2	1	1	1
IN098	3	1	1	1
IN098	4	1	2	2
IN098	5	1	2	2
IN098	6	1	1	1
IN098	7	1	1	1
IN098	8	1	1	1
IN098	9	1	1	 
IN101	1	1	2	1
IN101	2	1	1	1
IN101	3	1	1	1
IN101	4	1	1	1
IN101	5	1	1	1
IN101	6	1	1	1
IN101	7	1	1	1
IN101	8	1	1	1
IN101	9	1	1	1
IN102	1	1	1	1
IN102	2	1	1	1
IN102	3	1	1	1
IN102	4	1	1	1
IN102	5	1	1	1
IN102	6	1	1	1
IN102	7	1	1	1
IN102	8	1	1	1
IN102	9	1	1	1
