CHILDCODE	MATHTEST	MATHDAY	MATHMTH	MATHYEAR	MTHITM01	MTHITM02	MTHITM03	MTHITM04	MTHITM05	MTHITM06	MTHITM07	MTHITM08	MTHITM09	MTHITM10	MTHITM11	MTHITM12	MTHITM13	MTHITM14	MTHITM15	MTHITM16	MTHITM17	MTHITM18	MTHITM19	MTHITM20	MTHITM21	MTHITM22	MTHITM23	MTHITM24	MTHITM25	MTHITM26	MTHITM27	MTHITM28	MTHITM29	MTHITM30	MTHITM31	MATHEND	READTEST	RDGCMP01	RDGCMP02	RDGCMP03	RDGCMP04	RDGCMP05	RDGCMP06	RDGCMP07	RDGCMP08	RDGCMP09	RDGCMP10	RDGCMP11	RDGCMP12	RDGCMP13	RDGCMP14	RDGCMP15	RDGCMP16	RDGCMP17	RDGCMP18	RDGCMP19	RDGCMP20	RDGCMP21	RDGCMP22	RDGCMP23	RDGCMP24	RDGCMP25	RDGCMP26	READEND	correct01maths	correct02maths	correct03maths	correct04maths	correct05maths	correct06maths	correct08maths	correct09maths	correct10maths	correct11maths	correct12maths	correct13maths	correct14maths	correct15maths	correct16maths	correct17maths	correct18maths	correct19maths	correct20maths	correct21maths	correct22maths	correct23maths	correct24maths	correct26maths	correct27maths	correct29maths	correct07maths	correct25maths	correct28maths	correct30maths	correct31maths	maths_raw	maths_perco	correct01read	correct02read	correct03read	correct04read	correct05read	correct06read	correct07read	correct08read	correct09read	correct10read	correct11read	correct12read	correct13read	correct14read	correct15read	correct16read	correct17read	correct18read	correct19read	correct20read	correct21read	correct22read	correct23read	correct24read	correct25read	correct26read	read_raw	read_perco
10014	1	11	11	2016	60	4	2	32	3	18.0300006866455	3/4	4	30	4	1	1	2	3	1	3	1	1	2	2	2	3	2	1	28	2	4	4920	3	2	2.5	 	1	4	3	1	4	3	1	4	3	2	2	1	3	4	2	4	1	1	4	1	2	3	2	3	4	1	99	 	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	22	70.9677429199219	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	14	53.8461532592773
10015	1	2	11	2016	20	5	2	43	2	18.0300006866455	11	4	10	3	3	1	4	2	1	2	2	1	4	3	2	1	1	2	30	2	1	5000	2	5	50	 	1	4	3	1	1	3	1	2	2	4	2	4	3	3	4	4	1	1	3	1	2	3	4	1	3	1	4	 	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	22.5806446075439	1	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	13	50
10016	1	25	11	2016	960	5	2	20	3	18.0300006866455	3/4	2	30	3	2	2	3	2	2	1	2	3	2	1	1	1	2	1	17/18	2	4	4800	3	-99	25	 	1	4	3	1	2	2	2	4	3	2	4	2	4	4	2	3	4	1	1	4	2	1	4	4	1	4	1	 	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	 	0	11	35.4838714599609	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	19.230770111084
10017	1	3	11	2016	24	5	2	22	3	18.2099990844727	18/21	3	6.5	1	2	2	3	3	3	1	4	1	3	2	1	2	2	3	1	2	4	4800	2	8	199400	 	1	4	1	4	1	2	2	4	1	2	4	2	1	4	1	3	4	3	4	1	2	3	2	3	1	1	4	 	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	8	25.8064517974854	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	12	46.1538467407227
10018	1	7	11	2016	60	2	1	21	3	18.0300006866455	3/4	4	30	1	1	1	2	4	4	2	4	2	3	2	3	2	4	3	28	2	4	120	1	6	2.5	 	1	4	3	1	1	2	2	4	1	3	2	4	1	3	1	2	1	1	1	1	3	3	1	3	3	2	4	 	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	18	58.0645179748535	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	15	57.6923065185547
10019	1	3	11	2016	60	4	1	32	3	18.0300006866455	18/24	4	12	1	1	1	2	2	4	3	1	2	4	2	3	1	2	1	28	2	4	120	3	8H30	25	 	1	4	3	1	2	3	2	1	4	3	2	4	1	4	4	3	1	3	2	3	2	1	3	3	4	1	4	 	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	22	70.9677429199219	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	18	69.2307662963867
10020	1	26	11	2016	60	2	1	242	3	18.0300006866455	16/8	4	.600000023841858	1	2	2	1	3	1	4	3	1	2	4	1	2	3	1	648	4	1	7/2	5	252/5	2500	 	1	4	3	1	3	2	4	3	3	1	2	3	4	2	2	2	1	4	1	1	2	4	2	3	1	1	1	 	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	7	22.5806446075439	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	12	46.1538467407227
10021	1	26	12	2016	60	3	2	19	3	18.0300006866455	3/4	4	30	3	1	1	2	4	1	3	1	1	1	4	3	2	2	2	35	2	4	120	3	4	40	 	1	4	3	4	1	2	2	4	1	4	2	3	1	4	1	2	1	2	1	1	1	3	3	3	4	1	4	 	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	24	77.4193572998047	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	14	53.8461532592773
10022	1	12	11	2016	60	4	2	32	3	18.0300006866455	3/4	4	12	3	1	1	2	4	1	3	1	1	2	2	3	2	2	1	28	2	4	120	3	11	40	 	1	4	3	1	4	3	2	3	1	3	2	1	1	3	3	2	1	3	4	1	2	3	2	3	4	1	4	 	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	28	90.3225784301758	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	23	88.461540222168
10024	1	10	11	2016	60	4	2	20	3	18.0300006866455	3/4	4	30	3	1	1	2	4	4	2	1	1	3	2	1	2	2	1	28	2	1	120	3	2	0.025	 	1	4	3	4	4	2	2	4	1	4	2	3	1	3	4	2	1	1	4	1	3	3	2	3	3	1	4	 	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	24	77.4193572998047	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	17	65.3846130371094
10025	1	8	11	2016	60	4	2	41	3	18.0300006866455	3/4	4	30	4	3	1	2	4	1	3	2	1	4	2	1	4	2	2	12	2	1	1920	3	6	-99	 	1	4	3	4	1	2	2	4	2	3	2	4	1	4	3	4	4	3	4	1	2	2	3	3	4	1	4	 	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	 	17	54.8387107849121	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	17	65.3846130371094
10026	1	9	11	2016	62	4	2	23	3	18.0300006866455	3/4	4	30	3	3	1	2	4	4	2	1	2	2	2	3	2	1	1	60	2	4	4925	3	6	2.5	 	1	4	3	1	4	3	2	3	2	4	2	4	1	2	3	2	1	4	4	1	2	3	3	3	4	1	4	 	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	20	64.5161285400391	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	20	76.9230804443359
10027	1	9	11	2016	60	4	2	32	3	18.0300006866455	3/4	4	30	3	1	1	2	2	4	3	3	1	2	1	3	2	2	1	15	2	4	130	1	11	40	 	1	4	3	1	4	3	4	3	1	3	2	3	3	3	2	2	1	3	4	1	2	3	2	3	4	1	4	 	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	24	77.4193572998047	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	21	80.7692337036133
10029	1	25	11	2016	60	4	2	22	3	18.2999992370605	18/24	3	3	1	2	1	3	3	2	2	2	1	1	2	4	2	1	1	10	2	4	2	2	7	5	 	1	4	3	1	2	2	2	1	1	4	1	4	1	1	1	2	1	1	4	2	2	1	2	1	4	1	2	 	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	13	41.9354820251465	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	14	53.8461532592773
10030	1	25	11	2016	-99	4	2	22	3	18.0300006866455	0.4	2	6	1	2	3	2	1	1	1	1	3	3	1	2	1	2	1	5	2	1	5.3	1	2	12	 	1	4	2	1	3	1	1	1	2	4	1	4	1	2	2	4	1	1	2	1	2	3	3	1	4	1	4	 	 	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	9	29.0322589874268	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	11	42.3076934814453
10031	1	12	11	2016	60	4	2	20	3	18.0300006866455	3/4	4	30	3	3	1	2	4	1	2	3	4	3	2	3	2	2	4	3.5	2	1	11125	1	7	202500	 	1	4	3	1	4	3	2	2	1	3	2	3	1	3	3	2	1	3	4	1	2	3	2	3	2	2	4	 	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	17	54.8387107849121	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	20	76.9230804443359
10032	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10033	1	12	11	2016	9.60000038146973	5	2	-99	3	18.0300006866455	3/4	4	120	1	1	1	2	2	1	3	3	1	3	2	1	3	4	2	10.5	2	4	192	3	7H30	0.25	 	1	4	3	1	4	2	2	2	1	3	2	2	1	3	4	4	1	3	1	4	4	2	1	3	4	1	4	 	0	0	1	 	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	14	45.1612892150879	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	18	69.2307662963867
10034	1	25	11	2016	180	5	4	43	3	18.0300006866455	3/4	2	1.20000004768372	2	3	2	3	1	4	3	4	1	4	2	4	1	2	2	4000	3	2	2.5	4	16.5	202.500	 	1	4	3	1	4	3	2	2	1	2	1	3	2	4	2	3	2	3	1	1	4	2	3	2	1	3	2	 	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	8	25.8064517974854	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	11	42.3076934814453
10035	1	25	12	2016	60	4	2	22	3	18.0300006866455	3/4	2	30	3	1	1	2	4	1	2	4	2	3	2	3	1	2	2	3	2	1	-99	3	5	250	 	1	4	3	4	1	2	2	4	1	4	2	3	1	4	1	2	1	1	1	1	1	3	3	3	4	1	4	 	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	 	0	0	17	54.8387107849121	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	14	53.8461532592773
10036	1	26	11	2016	265	2	4	51	3	18.0300006866455	2254	3	75	2	1	2	3	1	4	2	3	1	3	4	2	1	4	2	22	1	2	1.5	1	29.5	22509	 	1	1	1	1	2	1	1	4	1	2	2	2	3	2	1	4	1	1	4	2	4	2	1	4	4	1	4	 	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16.1290321350098	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	9	34.6153831481934
10037	1	17	11	2016	80	3	2	21	3	18.0300006866455	27/16	4	4	1	4	3	2	2	2	2	1	3	4	2	1	2	1	1	7	4	1	7.5	1	7	25	 	1	4	1	1	2	3	3	3	2	4	3	1	1	2	1	2	1	4	3	1	2	1	2	1	4	1	4	 	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	9	29.0322589874268	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	13	50
10038	1	25	11	2016	60	4	2	20	3	18.0300006866455	4/3	4	12	3	2	2	3	2	2	1	2	3	2	1	3	1	2	1	7	2	4	-99	3	-99	25	 	1	4	3	1	99	2	2	4	4	2	4	3	4	1	2	1	3	2	4	1	3	2	4	1	3	2	4	 	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	 	 	0	13	41.9354820251465	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	8	30.769229888916
10039	1	13	11	2016	-99	3	4	43	3	18.0300006866455	3/4	4	6	1	1	1	2	2	1	3	1	3	2	1	3	4	4	2	7	2	1	5	2	6	9	 	1	4	3	1	4	2	4	2	1	1	2	4	3	1	2	1	3	2	4	2	99	1	2	4	1	4	3	 	 	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	11	35.4838714599609	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	9	34.6153831481934
10040	1	19	11	2016	60	1	1	22	3	18.2099990844727	18/24	3	30	3	1	1	2	4	1	2	3	1	3	2	1	3	3	1	28	2	1	120	1	4	4	 	1	4	3	4	1	4	3	4	1	2	2	2	4	3	1	4	1	3	4	4	2	2	2	3	4	1	4	 	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	15	48.3870964050293	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	15	57.6923065185547
10041	1	23	11	2016	60	4	1	32	3	18.0300006866455	0.75	4	30	3	1	1	2	2	1	3	3	1	2	3	3	2	1	4	3.5	2	1	120	5	12	40	 	1	4	3	1	4	3	2	4	4	1	2	4	1	3	1	2	3	3	1	2	2	2	3	3	4	1	2	 	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	19	61.2903213500977	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	18	69.2307662963867
10042	1	13	11	2016	23.75	4	1	-99	3	18.0300006866455	3/4	4	30	2	4	1	2	4	1	3	3	1	2	2	3	2	2	4	0.4	2	2	120	3	6	40	 	1	4	1	1	4	3	2	4	1	1	2	3	3	3	1	4	4	1	4	1	2	2	1	3	3	1	2	 	0	1	0	 	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	19	61.2903213500977	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	14	53.8461532592773
10043	1	13	11	2016	6	2	4	20	3	18.0300006866455	3/4	4	30	3	4	1	2	2	4	3	3	2	2	2	1	3	4	4	1.5	2	1	180000	2	36	25	 	1	4	3	4	4	3	3	4	1	1	2	4	1	4	4	4	1	4	2	3	2	4	2	1	4	1	4	 	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	12	38.7096786499023	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	15	57.6923065185547
10044	1	13	11	2016	60	4	1	43	3	18.0300006866455	0.75	4	30	3	1	1	2	4	4	3	3	2	3	2	3	2	2	1	48	2	1	111.25	1	5	25	 	1	4	3	1	2	1	1	4	2	2	2	3	1	2	3	1	1	1	1	1	2	2	3	3	4	1	4	 	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	20	64.5161285400391	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	14	53.8461532592773
10045	1	12	11	2016	10.4099998474121	5	1	20	3	18.0300006866455	3/4	2	9	3	4	1	2	2	1	2	4	2	3	2	1	4	4	3	 	 	 	 	 	 	 	 	1	4	3	4	4	2	2	4	1	3	4	2	1	4	3	3	1	1	4	1	2	3	3	3	4	1	4	 	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	 	 	 	1	 	 	 	 	7	22.5806446075439	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	16	61.538459777832
10046	1	16	12	2016	2425	2	2	33	145	18.0300006866455	27/10	2	.100000001490116	1	3	1	2	4	1	1	2	1	2	3	1	4	3	4	68	2	1	4825	5	3.3	2295	 	1	4	3	1	4	3	2	1	2	2	4	4	1	3	2	1	4	3	4	4	1	2	2	1	3	1	4	 	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	22.5806446075439	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	15	57.6923065185547
