PLACEID	DWAGIDR5	EARNMALE	EARNFMLE
8181	4	40	-1111
8184	1	20	20
8184	2	20	20
8184	3	-1111	-1111
8184	4	-1111	-1111
8185	1	-8888	-8888
8185	2	-8888	-8888
8185	3	40	-1111
8185	4	-8888	-8888
8186	1	-1111	-1111
8186	2	35	25
8186	3	-1111	-1111
8186	4	-1111	-1111
8187	1	-1111	-1111
8187	2	-1111	-1111
8187	3	-7777	-1111
8187	4	-1111	-1111
8188	1	-8888	-8888
8188	2	-8888	-8888
8188	3	90	-1111
8188	4	70	-1111
8189	1	80	80
8189	2	40	40
8189	3	80	-1111
8189	4	40	-1111
8193	1	-8888	-8888
8193	2	-8888	-8888
8193	3	40	-8888
8193	4	-1111	-1111
8195	1	-1111	-1111
8195	2	-1111	-1111
8195	3	-7777	-7777
8195	4	-7777	-7777
8196	1	-1111	-1111
8196	2	-1111	-1111
8196	3	100	-1111
8196	4	50	40
8197	1	-1111	-1111
8197	2	-1111	-1111
8197	3	100	-1111
8197	4	45	30
8198	1	-1111	-1111
8198	2	25	25
8198	3	-8888	-8888
8198	4	-8888	-8888
8199	1	-1111	-1111
8199	2	-1111	-1111
8199	3	50	-1111
8199	4	50	40
8202	1	-1111	-1111
8202	2	40	-1111
8202	3	60	60
8202	4	30	-1111
8203	1	-1111	-1111
8203	2	50	50
8203	3	80	-1111
8203	4	25	20
8204	1	-1111	-1111
8204	2	25	-1111
8204	3	25	-1111
8204	4	30	-1111
8205	1	-1111	-1111
8205	2	30	20
8205	3	40	-1111
8205	4	-8888	-8888
8207	1	-1111	-1111
8207	2	25	25
8207	3	30	-1111
8207	4	-8888	-8888
8209	1	25	25
8209	2	25	25
8209	3	-8888	-8888
8209	4	-8888	-8888
8212	1	-1111	-1111
8212	2	-8888	-8888
8212	3	60	-1111
8212	4	40	-1111
8215	1	70	90
8215	2	50	30
8215	3	-8888	-8888
8215	4	-8888	-8888
8216	1	-8888	-8888
8216	2	-8888	-8888
8216	3	45	45
8216	4	-7777	-7777
8219	1	-1111	-1111
8219	2	35	30
8219	3	40	30
8219	4	-1111	-1111
8220	1	60	60
8220	2	30	25
8220	3	50	25
8220	4	-1111	-1111
8223	1	-8888	-8888
8223	2	-8888	-8888
8223	3	-1111	-1111
8223	4	-1111	-1111
8226	1	-8888	-8888
8226	2	-8888	-8888
8226	3	60	-1111
8226	4	20	20
8227	1	-88	-88
8227	2	-88	-88
8227	3	60	50
8227	4	-88	-88
8228	1	80	80
8228	2	50	30
8228	3	70	-1111
8228	4	-1111	-1111
8236	1	-1111	-1111
8236	2	30	30
8236	3	50	-1111
8236	4	30	-1111
8237	1	50	50
8237	2	-7777	-7777
8237	3	30	50
8237	4	-7777	-7777
8244	1	-1111	-1111
8244	2	-1111	-1111
8244	3	30	-1111
8244	4	30	30
8245	1	-7777	-7777
8245	2	30	20
8245	3	40	-1111
8245	4	-7777	-7777
8248	1	50	-1111
8248	2	25	-1111
8248	3	40	-1111
8248	4	-1111	-1111
8252	1	250	200
8252	2	300	200
8252	3	30	-7777
8252	4	20	20
8254	1	-8888	-888
8254	2	-8888	-8888
8254	3	-8888	-8888
8254	4	-1111	-1111
8255	1	-1111	-1111
8255	2	40	40
8255	3	70	70
8255	4	30	30
8257	1	-8888	-8888
8257	2	-8888	-8888
8257	3	-1111	-1111
8257	4	30	30
8258	1	-1111	-1111
8258	2	-1111	-1111
8258	3	90	-1111
8258	4	25	25
8259	1	-8888	-8888
8259	2	-8888	-8888
8259	3	80	-1111
8259	4	-1111	-1111
8260	1	-1111	1111
8260	2	35	35
8260	3	50	-1111
8260	4	-1111	-1111
8262	1	-1111	-1111
8262	2	30	30
8262	3	-1111	-1111
8262	4	-1111	-1111
8264	1	-1111	-1111
8264	2	40	30
8264	3	50	30
8264	4	30	-1111
8267	1	-8888	-8888
8267	2	-8888	-8888
8267	3	60	-1111
8267	4	40	-1111
8269	1	-8888	-8888
8269	2	-8888	-8888
8269	3	500	-1111
8269	4	300	400
8273	1	-8888	-8888
8273	2	-8888	-8888
8273	3	80	-1111
8273	4	40	-1111
8274	1	-8888	-8888
8274	2	-8888	-8888
8274	3	40	-1111
8274	4	50	-1111
8277	1	-2222	-2222
8277	2	35	35
8277	3	-1111	-1111
8277	4	30	-1111
8278	1	35	30
8278	2	40	40
8278	3	35	35
8278	4	30	30
8279	1	-1111	-1111
8279	2	-1111	-1111
8279	3	50	-1111
8279	4	-1111	-8888
8281	1	-8888	-8888
8281	2	30	30
8281	3	-1111	-1111
8281	4	-8888	-8888
8285	1	-1111	0
8285	2	-1111	-1111
8285	3	80	-1111
8285	4	40	-1111
8286	1	-1111	-1111
8286	2	-1111	-1111
8286	3	80	80
8286	4	60	60
8287	1	-1111	-8888
8287	2	-8888	-8888
8287	3	-1111	-1111
8287	4	-1111	-1111
8290	1	-1111	-1111
8290	2	-1111	-1111
8290	3	50	-1111
8290	4	30	-1111
8293	1	-1111	-1111
8293	2	-1111	-1111
8293	3	50	-1111
8293	4	35	-1111
8297	1	-8888	-8888
8297	2	-8888	-8888
8297	3	150	-8888
8297	4	60	-8888
8302	1	-1111	-1111
8302	2	-1111	-1111
8302	3	80	-1111
8302	4	50	50
8305	1	-1111	-1111
8305	2	-1111	-1111
8305	3	80	-1111
8305	4	50	-1111
8306	1	-8888	-8888
8306	2	-8888	-8888
8306	3	90	-8888
8306	4	-8888	-8888
8310	1	-1111	-1111
8310	2	-1111	-1111
8310	3	100	-1111
8310	4	80	-1111
8311	1	-1111	-1111
8311	2	-1111	-1111
8311	3	80	-1111
8311	4	60	-1111
8316	1	-8888	-8888
8316	2	30	1111
8316	3	30	-1111
8316	4	15	-1111
8317	1	60	40
8317	2	60	40
8317	3	50	-1111
8317	4	30	-1111
8318	1	40	30
8318	2	40	30
8318	3	50	40
8318	4	25	-1111
8319	1	40	25
8319	2	35	25
8319	3	50	-1111
8319	4	25	-1111
8320	1	-8888	-8888
8320	2	-8888	-8888
8320	3	70	-7777
8320	4	30	30
8321	1	-8888	-8888
8321	2	-8888	-8888
8321	3	60	-1111
8321	4	50	-1111
8322	1	-8888	-8888
8322	2	-8888	-8888
8322	3	50	-1111
8322	4	30	-1111
8323	1	-8888	-8888
8323	2	-8888	-8888
8323	3	40	-1111
8323	4	30	-1111
8325	1	-8888	-8888
8325	2	-8888	-8888
8325	3	50	-1111
8325	4	40	10
8327	1	1.70000004768372	1.70000004768372
8327	2	-8888	-8888
8327	3	90	90
8327	4	40	40
8328	1	50	-1111
8328	2	30	25
8328	3	60	-1111
8328	4	30	30
8332	1	-1111	-1111
8332	2	35	20
8332	3	50	-1111
8332	4	35	-1111
8333	1	-1111	-1111
8333	2	20	20
8333	3	-8888	-8888
8333	4	-8888	-8888
8334	1	-1111	-1111
8334	2	25	25
8334	3	20	-1111
8334	4	-8888	-8888
8340	1	-8888	-8888
8340	2	-8888	-8888
8340	3	-8888	-8888
8340	4	-8888	-8888
8345	1	-8888	-8888
8345	2	20	-1111
8345	3	-1111	-1111
8345	4	-8888	-8888
8348	1	-1111	-1111
8348	2	35	35
8348	3	45	-1111
8348	4	25	20
8349	1	-1111	0
8349	2	30	-1111
8349	3	40	-1111
8349	4	30	-1111
8350	1	-8888	-8888
8350	2	20	20
8350	3	30	-1111
8350	4	20	-1111
8353	1	-8888	-8888
8353	2	-8888	-8888
8353	3	70	-1111
8353	4	30	30
8354	1	-8888	-8888
8354	2	-8888	-8888
8354	3	60	-1111
8354	4	30	30
8357	1	-1111	-1111
8357	2	35	30
8357	3	-1111	-1111
8357	4	40	-1111
8358	1	-1111	-1111
8358	2	40	30
8358	3	-1111	-1111
8358	4	-1111	-1111
8361	1	50	50
8361	2	30	30
8361	3	-8888	-8888
8361	4	-8888	-8888
8363	1	-1111	-1111
8363	2	-1111	-1111
8363	3	120	-1111
8363	4	60	-1111
8364	1	-7777	-7777
8364	2	-7777	-7777
8364	3	70	60
8364	4	-7777	-7777
8369	1	-1111	-1111
8369	2	-1111	-1111
8369	3	50	-1111
8369	4	40	-1111
8370	1	-8888	-8888
8370	2	-8888	-8888
8370	3	50	40
8370	4	25	20
8371	1	-1111	-1111
8371	2	-1111	-1111
8371	3	100	-1111
8371	4	80	-1111
8372	1	-1111	-1111
8372	2	-1111	-1111
8372	3	100	80
8372	4	80	80
8374	1	-7777	-7777
8374	2	-7777	-7777
8374	3	80	-7777
8374	4	40	30
8377	1	-8888	-8888
8377	2	-8888	-8888
8377	3	-8888	-8888
8377	4	-8888	-8888
8379	1	-88	-88
8379	2	-88	-88
8379	3	80	70
8379	4	-1111	-1111
8380	1	-1111	-1111
8380	2	-1111	-1111
8380	3	50	-1111
8380	4	10	-1111
8381	1	-2222	-2222
8381	2	30	30
8381	3	-7777	-7777
8381	4	-1111	-1111
8383	1	-1111	-1111
8383	2	-1111	-1111
8383	3	40	-1111
8383	4	-1111	-1111
8384	1	-1111	-1111
8384	2	-1111	-1111
8384	3	50	-1111
8384	4	-1111	-1111
8386	1	-1111	-1111
8386	2	-1111	-1111
8386	3	50	-1111
8386	4	40	40
8389	1	-1111	-1111
8389	2	-1111	-1111
8389	3	100	60
8389	4	80	40
8390	1	-1111	-1111
8390	2	-1111	-1111
8390	3	120	-1111
8390	4	80	50
8393	1	-8888	-8888
8393	2	-8888	-8888
8393	3	-7777	-7777
8393	4	-7777	-7777
8394	1	-1111	-1111
8394	2	-1111	-1111
8394	3	30	30
8394	4	40	40
8395	1	-1111	-1111
8395	2	-1111	-1111
8395	3	25	-1111
8395	4	-1111	-1111
8396	1	-1111	-1111
8396	2	-1111	-1111
8396	3	80	80
8396	4	-1111	-1111
8399	1	-8888	-8888
8399	2	-8888	-8888
8399	3	-7777	-7777
8399	4	40	40
8402	1	30	-1111
8402	2	35	25
8402	3	50	-1111
8402	4	30	30
8403	1	-1111	-1111
8403	2	30	30
