PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
8431	2	13	2014	3	6	7	1	1	88	 
8431	3	13	2015	3	6	7	1	1	88	 
8431	4	13	2016	3	6	7	1	1	88	 
8431	5	16	2016	4	8	6	2	1	88	 
8450	1	13	2014	2	6	88	2	1	88	 
8450	2	13	2014	2	6	88	2	1	88	 
8450	3	13	2015	2	6	88	2	1	88	 
8450	4	13	2016	2	6	88	2	1	88	 
8451	1	13	2015	3	6	88	1	1	88	 
8453	1	13	2015	3	6	88	1	1	88	 
8455	1	13	2013	1	6	7	3	1	88	 
8457	1	13	2016	2	6	88	1	1	88	 
8458	1	13	2014	4	6	88	1	1	88	 
8459	1	13	2013	1	6	7	1	1	88	 
8459	2	13	2014	1	6	7	1	1	88	 
8459	3	13	2015	1	6	7	1	1	88	 
8460	1	13	2015	6	6	88	1	1	88	 
8462	1	13	2016	3	6	88	2	1	88	 
8468	1	16	2015	2	6	10	4	1	88	 
8468	2	4	2015	3	10	8	4	1	88	 
8468	3	10	2013	2	10	6	3	1	88	 
8469	1	10	2013	8	10	88	1	0	 	 
8469	2	10	2014	3	10	88	2	0	 	 
8471	1	4	2014	3	13	88	1	0	 	 
8471	2	13	2014	6	13	88	1	0	 	 
8471	3	13	2015	4	13	88	3	0	 	 
8474	1	11	2015	11	8	10	1	0	 	 
8476	1	13	2014	3	6	88	1	1	88	 
8477	1	16	2014	8	19	88	2	0	 	 
8477	2	10	2013	4	10	88	3	1	88	 
8477	3	10	2015	4	10	88	3	1	88	 
8478	1	14	2015	4	12	8	1	1	3	88
8479	1	6	2013	12	1	9	3	1	88	 
8479	2	16	2013	12	1	9	3	1	88	 
8480	1	13	2014	5	6	88	1	1	88	 
8480	2	13	2015	6	6	88	1	1	88	 
8480	3	13	2016	5	6	88	1	1	88	 
8481	1	10	2015	3	14	88	2	0	 	 
8481	2	12	2016	4	15	88	2	0	 	 
8502	1	6	2016	4	12	6	1	1	4	88
8507	1	3	2014	10	6	88	3	0	 	 
8507	2	6	2014	3	12	4	1	1	88	 
8509	1	6	2014	3	12	88	3	1	3	5
8509	2	6	2015	3	12	88	3	1	3	5
8509	3	6	2016	3	12	88	3	1	3	5
8510	1	6	2014	3	12	88	2	1	3	5
8510	2	6	2015	3	12	88	2	1	3	5
8510	3	6	2016	3	12	88	2	1	3	5
8513	1	13	2014	4	13	88	1	1	88	 
8524	1	3	2016	4	10	88	3	0	 	 
8529	1	6	2015	3	10	5	1	0	 	 
8536	1	7	2016	11	10	88	3	0	 	 
8536	2	3	2016	4	10	88	3	0	 	 
8539	1	13	2014	8	13	6	2	1	3	2
8539	2	2	2016	9	9	8	2	1	3	88
8539	3	12	2014	5	6	88	2	3	88	 
8539	4	13	2016	7	13	6	2	3	1	88
8606	1	7	16	6	6	88	3	1	2	88
8606	2	6	14	1	11	13	2	1	2	88
8609	1	16	2015	1	6	88	3	1	0	 
8612	1	16	2015	3	6	88	1	0	 	 
8617	1	4	2016	2	11	12	1	1	88	 
8617	2	7	2016	5	10	11	2	1	4	88
8634	1	7	2015	4	10	5	3	1	3	5
8634	2	3	2015	1	10	5	3	1	3	5
8636	1	11	2016	6	10	88	3	1	88	 
8638	1	88	 	 	 	 	 	 	 	 
8640	1	7	2015	3	16	88	1	0	 	 
8644	1	11	2016	7	8	88	1	0	 	 
8646	1	88	 	 	 	 	 	 	 	 
8647	1	16	2014	11	8	88	2	3	88	 
8658	1	8	2016	8	10	88	1	1	3	88
8659	1	7	2015	5	7	88	2	1	88	 
8665	1	11	2016	11	8	88	1	0	 	 
8730	1	13	2014	7	13	88	3	1	88	 
8730	2	13	2015	6	13	88	3	1	88	 
8750	1	11	2014	2	13	88	2	0	 	 
