PLACEID	WTSPIDR5	CONNTYPE	WATERTRT	TREATFRQ
1232	2	0	 	 
1232	3	0	 	 
1233	1	1	 	 
1233	2	0	 	 
1233	3	0	 	 
1234	1	1	 	 
1234	2	0	 	 
1234	3	0	 	 
1235	1	1	 	 
1235	2	0	 	 
1235	3	0	 	 
1236	1	1	 	 
1236	2	0	 	 
1236	3	0	 	 
1237	1	1	 	 
1237	2	0	 	 
1237	3	0	 	 
1301	1	1	 	 
1301	2	0	 	 
1301	3	0	 	 
1304	1	1	 	 
1304	2	0	 	 
1304	3	0	 	 
1305	1	1	 	 
1305	2	0	 	 
1305	3	0	 	 
1306	1	 	 	 
1306	2	 	 	 
1306	3	 	 	 
1308	1	1	 	 
1308	2	0	 	 
1308	3	0	 	 
1309	1	1	 	 
1309	2	0	 	 
1309	3	0	 	 
1310	1	1	 	 
1310	2	0	 	 
1310	3	0	 	 
1401	1	1	 	 
1401	2	0	 	 
1401	3	0	 	 
1404	1	1	 	 
1404	2	0	 	 
1404	3	0	 	 
1405	1	1	 	 
1405	2	0	 	 
1405	3	0	 	 
1406	1	1	 	 
1406	2	0	 	 
1406	3	0	 	 
1407	1	1	 	 
1407	2	0	 	 
1407	3	0	 	 
1408	1	1	 	 
1408	2	0	 	 
1408	3	0	 	 
1409	1	1	 	 
1409	2	0	 	 
1409	3	0	 	 
1410	1	1	 	 
1410	2	0	 	 
1410	3	0	 	 
1411	1	1	 	 
1411	2	0	 	 
1411	3	0	 	 
1412	1	1	 	 
1412	2	0	 	 
1412	3	0	 	 
1413	1	1	 	 
1413	2	0	 	 
1413	3	0	 	 
1414	1	1	 	 
1414	2	0	 	 
1414	3	1	1	77
1504	1	1	 	 
1504	2	0	 	 
1504	3	0	 	 
1505	1	0	 	 
1505	2	0	 	 
1505	3	1	1	4
1507	1	 	 	 
1507	2	 	 	 
1507	3	 	 	 
1508	1	 	 	 
1508	2	 	 	 
1508	3	 	 	 
1509	1	1	 	 
1509	2	0	 	 
1509	3	0	 	 
1510	1	1	 	 
1510	2	0	 	 
1510	3	0	 	 
1511	1	0	 	 
1511	2	0	 	 
1511	3	1	1	8
1601	1	0	 	 
1601	2	0	 	 
1601	3	1	1	3
1603	1	0	 	 
1603	2	0	 	 
1603	3	1	1	4
1604	1	0	 	 
1604	2	0	 	 
1604	3	1	1	4
1702	1	 	 	 
1702	2	 	 	 
1702	3	 	 	 
1801	1	0	 	 
1801	2	0	 	 
1801	3	1	1	4
2002	1	1	 	 
2002	2	0	 	 
2002	3	0	 	 
2004	1	1	 	 
2004	2	0	 	 
2004	3	0	 	 
2005	1	1	 	 
2005	2	0	 	 
2005	3	0	 	 
2007	1	1	 	 
2007	2	0	 	 
2007	3	0	 	 
2008	1	 	 	 
2008	2	 	 	 
2008	3	 	 	 
2009	1	1	 	 
2009	2	0	 	 
2009	3	0	 	 
2010	1	 	 	 
2010	2	 	 	 
2010	3	 	 	 
2011	1	1	 	 
2011	2	0	 	 
2011	3	0	 	 
2012	1	1	 	 
2012	2	0	 	 
2012	3	0	 	 
2014	1	 	 	 
2014	2	 	 	 
2014	3	 	 	 
2015	1	 	 	 
2015	2	 	 	 
2015	3	 	 	 
2016	1	 	 	 
2016	2	 	 	 
2016	3	 	 	 
2017	1	1	 	 
2017	2	0	 	 
2017	3	0	 	 
2018	1	1	 	 
2018	2	0	 	 
2018	3	0	 	 
2019	1	 	 	 
2019	2	 	 	 
2019	3	 	 	 
2020	1	1	 	 
2020	2	0	 	 
2020	3	0	 	 
2021	1	1	 	 
2021	2	0	 	 
2021	3	0	 	 
2022	1	 	 	 
2022	2	 	 	 
2022	3	 	 	 
2024	1	1	 	 
2024	2	0	 	 
2024	3	0	 	 
2025	1	1	 	 
2025	2	0	 	 
2025	3	0	 	 
8007	1	1	 	 
8007	2	0	 	 
8007	3	0	 	 
8008	1	0	 	 
8008	2	1	1	5
8008	3	0	 	 
8012	1	1	 	 
8012	2	0	 	 
8012	3	0	 	 
8013	1	0	 	 
8013	2	0	 	 
8013	3	1	1	4
8014	1	0	 	 
8014	2	0	 	 
8014	3	1	1	4
8015	1	 	 	 
8015	2	 	 	 
8015	3	 	 	 
8018	1	1	 	 
8018	2	0	 	 
8018	3	0	 	 
8020	1	1	 	 
8020	2	0	 	 
8020	3	0	 	 
8024	1	1	 	 
8024	2	0	 	 
8024	3	0	 	 
8029	1	0	 	 
8029	2	1	1	4
8029	3	0	 	 
8032	1	1	 	 
8032	2	0	 	 
8032	3	0	 	 
8034	1	0	 	 
8034	2	0	 	 
8034	3	1	1	4
8037	1	0	 	 
8037	2	0	 	 
8037	3	1	1	6
8038	1	1	 	 
8038	2	0	 	 
8038	3	0	 	 
8039	1	1	 	 
8039	2	0	 	 
8039	3	0	 	 
8046	1	1	 	 
8046	2	0	 	 
8046	3	0	 	 
8048	1	0	 	 
8048	2	1	1	4
8048	3	0	 	 
8049	1	 	 	 
8049	2	 	 	 
8049	3	 	 	 
8059	1	0	 	 
8059	2	1	1	4
8059	3	0	 	 
8060	1	1	 	 
8060	2	0	 	 
8060	3	0	 	 
8062	1	0	 	 
8062	2	1	1	5
8062	3	0	 	 
8064	1	1	 	 
8064	2	0	 	 
8064	3	0	 	 
8066	1	0	 	 
8066	2	0	 	 
8066	3	1	0	 
8070	1	0	 	 
8070	2	0	 	 
8070	3	1	1	3
8071	1	0	 	 
8071	2	0	 	 
8071	3	1	1	3
8079	1	1	 	 
8079	2	0	 	 
8079	3	0	 	 
8084	1	1	 	 
8084	2	0	 	 
8084	3	0	 	 
8085	1	1	 	 
8085	2	0	 	 
8085	3	0	 	 
8088	1	1	 	 
8088	2	0	 	 
8088	3	0	 	 
8090	1	1	 	 
8090	2	1	1	2
8090	3	0	 	 
8092	1	1	 	 
8092	2	0	 	 
8092	3	0	 	 
8094	1	1	 	 
8094	2	0	 	 
8094	3	0	 	 
8097	1	1	 	 
8097	2	0	 	 
8097	3	0	 	 
8098	1	1	 	 
8098	2	0	 	 
8098	3	0	 	 
8099	1	1	 	 
8099	2	0	 	 
8099	3	0	 	 
8101	1	1	 	 
8101	2	0	 	 
8101	3	0	 	 
8103	1	 	 	 
8103	2	 	 	 
8103	3	 	 	 
8107	1	 	 	 
8107	2	 	 	 
8107	3	 	 	 
8108	1	1	 	 
8108	2	0	 	 
8108	3	0	 	 
8110	1	1	 	 
8110	2	0	 	 
8110	3	0	 	 
8112	1	 	 	 
8112	2	 	 	 
8112	3	 	 	 
8113	1	1	 	 
8113	2	0	 	 
8113	3	0	 	 
8114	1	1	 	 
8114	2	0	 	 
8114	3	0	 	 
8115	1	1	 	 
8115	2	0	 	 
8115	3	0	 	 
8119	1	1	 	 
8119	2	0	 	 
8119	3	0	 	 
8123	1	1	 	 
8123	2	0	 	 
8123	3	0	 	 
8126	1	1	 	 
8126	2	0	 	 
8126	3	0	 	 
8127	1	1	 	 
8127	2	0	 	 
8127	3	0	 	 
8128	1	 	 	 
8128	2	 	 	 
8128	3	 	 	 
8129	1	0	 	 
8129	2	0	 	 
8129	3	1	1	4
8130	1	0	 	 
8130	2	1	1	1
8130	3	0	 	 
8132	1	 	 	 
8132	2	 	 	 
8132	3	 	 	 
8134	1	 	 	 
8134	2	 	 	 
8134	3	 	 	 
8135	1	 	 	 
8135	2	 	 	 
8135	3	 	 	 
8138	1	0	 	 
8138	2	1	1	4
8138	3	0	 	 
8140	1	1	 	 
8140	2	0	 	 
8140	3	0	 	 
8141	1	0	 	 
8141	2	1	1	1
8141	3	0	 	 
8142	1	0	 	 
8142	2	0	 	 
8142	3	1	1	3
8143	1	0	 	 
8143	2	1	1	1
8143	3	0	 	 
8145	1	1	 	 
8145	2	0	 	 
8145	3	0	 	 
8146	1	1	 	 
8146	2	0	 	 
8146	3	0	 	 
8147	1	1	 	 
8147	2	0	 	 
8147	3	0	 	 
8148	1	0	 	 
8148	2	1	1	4
8148	3	0	 	 
8151	1	1	 	 
8151	2	0	 	 
8151	3	0	 	 
8152	1	 	 	 
8152	2	 	 	 
8152	3	 	 	 
8160	1	0	 	 
8160	2	0	 	 
8160	3	1	1	3
8162	1	0	 	 
8162	2	1	1	4
8162	3	0	 	 
8166	1	1	 	 
8166	2	0	 	 
8166	3	0	 	 
8169	1	0	 	 
8169	2	0	 	 
8169	3	1	0	 
8170	1	0	 	 
8170	2	0	 	 
8170	3	1	1	4
8172	1	0	 	 
8172	2	1	0	 
8172	3	0	 	 
8177	1	0	 	 
8177	2	1	1	5
8177	3	0	 	 
8180	1	1	 	 
8180	2	0	 	 
8180	3	0	 	 
8181	1	1	 	 
8181	2	0	 	 
8181	3	0	 	 
8184	1	 	 	 
8184	2	 	 	 
8184	3	 	 	 
8185	1	1	 	 
8185	2	0	 	 
8185	3	0	 	 
8186	1	 	 	 
8186	2	 	 	 
8186	3	 	 	 
8187	1	 	 	 
8187	2	 	 	 
8187	3	 	 	 
8188	1	0	 	 
8188	2	0	 	 
8188	3	1	1	6
8189	1	1	 	 
8189	2	0	 	 
8189	3	0	 	 
8193	1	1	 	 
8193	2	0	 	 
8193	3	0	 	 
8195	1	1	 	 
8195	2	0	 	 
8195	3	0	 	 
8196	1	1	 	 
8196	2	0	 	 
8196	3	0	 	 
8197	1	1	 	 
8197	2	0	 	 
8197	3	0	 	 
8198	1	0	 	 
8198	2	0	 	 
8198	3	1	1	4
8199	1	1	 	 
8199	2	0	 	 
8199	3	0	 	 
8202	1	1	 	 
8202	2	0	 	 
8202	3	0	 	 
8203	1	0	 	 
8203	2	1	1	2
8203	3	0	 	 
8204	1	0	 	 
8204	2	0	 	 
8204	3	1	1	2
8205	1	0	 	 
8205	2	1	1	5
8205	3	0	 	 
8207	1	0	 	 
8207	2	0	 	 
8207	3	1	1	6
8209	1	 	 	 
8209	2	 	 	 
8209	3	 	 	 
8212	1	1	 	 
8212	2	0	 	 
8212	3	0	 	 
8215	1	0	 	 
8215	2	1	1	2
8215	3	0	 	 
8216	1	1	 	 
8216	2	0	 	 
8216	3	0	 	 
8219	1	1	 	 
8219	2	0	 	 
8219	3	0	 	 
8220	1	0	 	 
8220	2	1	1	3
8220	3	1	1	4
8223	1	1	 	 
8223	2	0	 	 
8223	3	0	 	 
8226	1	0	 	 
8226	2	1	1	1
8226	3	0	 	 
8227	1	0	 	 
8227	2	1	1	4
8227	3	0	 	 
8228	1	0	 	 
8228	2	1	1	4
8228	3	0	 	 
8236	1	 	 	 
8236	2	 	 	 
8236	3	 	 	 
8237	1	 	 	 
8237	2	 	 	 
8237	3	 	 	 
8244	1	1	 	 
8244	2	0	 	 
8244	3	0	 	 
8245	1	1	 	 
8245	2	0	 	 
8245	3	0	 	 
8248	1	0	 	 
8248	2	1	1	4
8248	3	0	 	 
8252	1	1	 	 
8252	2	0	 	 
8252	3	0	 	 
8254	1	1	 	 
8254	2	0	 	 
8254	3	0	 	 
8255	1	1	 	 
8255	2	0	 	 
8255	3	0	 	 
8257	1	 	 	 
8257	2	 	 	 
8257	3	 	 	 
8258	1	1	 	 
8258	2	0	 	 
8258	3	0	 	 
8259	1	 	 	 
8259	2	 	 	 
8259	3	 	 	 
8260	1	1	 	 
8260	2	0	 	 
8260	3	0	 	 
8262	1	1	 	 
8262	2	0	 	 
8262	3	0	 	 
8264	1	1	 	 
8264	2	0	 	 
8264	3	1	1	6
8267	1	1	 	 
8267	2	0	 	 
8267	3	0	 	 
8269	1	1	 	 
8269	2	0	 	 
8269	3	0	 	 
8273	1	1	 	 
8273	2	0	 	 
8273	3	0	 	 
8274	1	 	 	 
8274	2	 	 	 
8274	3	 	 	 
8277	1	1	 	 
8277	2	0	 	 
8277	3	0	 	 
8278	1	1	 	 
8278	2	0	 	 
8278	3	0	 	 
8279	1	0	 	 
8279	2	1	1	3
8279	3	0	 	 
8281	1	0	 	 
8281	2	1	1	3
8281	3	0	 	 
8285	1	0	 	 
8285	2	0	 	 
8285	3	1	1	7
8286	1	1	 	 
8286	2	0	 	 
8286	3	0	 	 
8287	1	1	 	 
8287	2	0	 	 
8287	3	0	 	 
8290	1	1	 	 
8290	2	0	 	 
8290	3	0	 	 
8293	1	1	 	 
8293	2	0	 	 
8293	3	0	 	 
8297	1	1	 	 
8297	2	0	 	 
8297	3	0	 	 
8302	1	1	 	 
8302	2	0	 	 
8302	3	0	 	 
8305	1	1	 	 
8305	2	0	 	 
8305	3	0	 	 
8306	1	1	 	 
8306	2	0	 	 
8306	3	0	 	 
8310	1	1	 	 
8310	2	0	 	 
8310	3	0	 	 
8311	1	1	 	 
8311	2	0	 	 
8311	3	0	 	 
8316	1	1	 	 
8316	2	0	 	 
8316	3	0	 	 
8317	1	1	 	 
8317	2	0	 	 
8317	3	0	 	 
8318	1	 	 	 
8318	2	 	 	 
8318	3	 	 	 
8319	1	 	 	 
8319	2	 	 	 
8319	3	 	 	 
8320	1	0	 	 
8320	2	1	1	2
8320	3	0	 	 
8321	1	1	 	 
8321	2	0	 	 
8321	3	0	 	 
8322	1	1	 	 
8322	2	0	 	 
8322	3	0	 	 
8323	1	1	 	 
8323	2	0	 	 
8323	3	0	 	 
8325	1	1	 	 
8325	2	0	 	 
8325	3	0	 	 
8327	1	1	 	 
8327	2	0	 	 
8327	3	0	 	 
8328	1	 	 	 
8328	2	 	 	 
8328	3	 	 	 
8332	1	0	 	 
8332	2	1	1	4
8332	3	0	 	 
8333	1	0	 	 
8333	2	1	0	 
8333	3	0	 	 
8334	1	0	 	 
8334	2	0	 	 
8334	3	1	0	 
8340	1	1	 	 
8340	2	0	 	 
8340	3	0	 	 
8345	1	 	 	 
8345	2	 	 	 
8345	3	 	 	 
8348	1	0	 	 
8348	2	1	1	2
8348	3	0	 	 
8349	1	0	 	 
8349	2	0	 	 
8349	3	1	0	 
8350	1	0	 	 
8350	2	1	1	2
8350	3	0	 	 
8353	1	1	 	 
8353	2	0	 	 
8353	3	0	 	 
8354	1	1	 	 
8354	2	0	 	 
8354	3	0	 	 
8357	1	1	 	 
8357	2	0	 	 
8357	3	0	 	 
8358	1	0	 	 
8358	2	0	 	 
8358	3	1	1	1
8361	1	0	 	 
8361	2	1	1	4
8361	3	0	 	 
8363	1	1	 	 
8363	2	0	 	 
8363	3	0	 	 
8364	1	1	 	 
8364	2	0	 	 
8364	3	0	 	 
8369	1	1	 	 
8369	2	0	 	 
8369	3	0	 	 
8370	1	1	 	 
8370	2	0	 	 
8370	3	0	 	 
8371	1	1	 	 
8371	2	0	 	 
8371	3	0	 	 
8372	1	 	 	 
8372	2	 	 	 
8372	3	 	 	 
8374	1	1	 	 
8374	2	0	 	 
8374	3	0	 	 
8377	1	1	 	 
8377	2	0	 	 
8377	3	0	 	 
8379	1	1	 	 
8379	2	0	 	 
8379	3	0	 	 
8380	1	0	 	 
8380	2	1	1	2
8380	3	0	 	 
8381	1	1	 	 
8381	2	0	 	 
8381	3	0	 	 
8383	1	1	 	 
8383	2	0	 	 
8383	3	0	 	 
8384	1	1	 	 
8384	2	0	 	 
8384	3	0	 	 
8386	1	1	 	 
8386	2	0	 	 
8386	3	0	 	 
8389	1	1	 	 
8389	2	0	 	 
8389	3	0	 	 
8390	1	1	 	 
8390	2	0	 	 
8390	3	0	 	 
8393	1	1	 	 
8393	2	0	 	 
8393	3	0	 	 
8394	1	1	 	 
8394	2	0	 	 
8394	3	0	 	 
8395	1	1	 	 
8395	2	0	 	 
8395	3	0	 	 
8396	1	1	 	 
8396	2	0	 	 
8396	3	0	 	 
8399	1	1	 	 
8399	2	0	 	 
8399	3	0	 	 
8402	1	1	 	 
8402	2	0	 	 
8402	3	0	 	 
8403	1	 	 	 
8403	2	 	 	 
8403	3	 	 	 
8404	1	0	 	 
8404	2	0	 	 
8404	3	1	1	3
8405	1	1	 	 
8405	2	0	 	 
8405	3	0	 	 
8406	1	 	 	 
8406	2	 	 	 
8406	3	 	 	 
8407	1	 	 	 
8407	2	 	 	 
8407	3	 	 	 
8408	1	1	 	 
8408	2	0	 	 
8408	3	0	 	 
8409	1	1	 	 
8409	2	0	 	 
8409	3	0	 	 
8410	1	1	 	 
8410	2	0	 	 
8410	3	0	 	 
8411	1	1	 	 
8411	2	0	 	 
8411	3	0	 	 
8412	1	1	 	 
8412	2	0	 	 
8412	3	0	 	 
8413	1	1	 	 
8413	2	0	 	 
8413	3	0	 	 
8415	1	0	 	 
8415	2	1	0	 
8415	3	0	 	 
8418	1	0	 	 
8418	2	0	 	 
8418	3	1	1	7
8419	1	0	 	 
8419	2	1	1	4
8419	3	0	 	 
8420	1	0	 	 
8420	2	0	 	 
8420	3	1	1	6
8421	1	1	 	 
8421	2	0	 	 
8421	3	0	 	 
8422	1	 	 	 
8422	2	 	 	 
8422	3	 	 	 
8424	1	1	 	 
8424	2	0	 	 
8424	3	0	 	 
8426	1	0	 	 
8426	2	1	1	1
8426	3	0	 	 
8427	1	0	 	 
8427	2	0	 	 
8427	3	1	1	2
8429	1	 	 	 
8429	2	 	 	 
8429	3	 	 	 
8431	1	1	 	 
8431	2	0	 	 
8431	3	0	 	 
8433	1	 	 	 
8433	2	 	 	 
8433	3	 	 	 
8434	1	1	 	 
8434	2	0	 	 
8434	3	0	 	 
8435	1	1	 	 
8435	2	0	 	 
8435	3	0	 	 
8436	1	1	 	 
8436	2	0	 	 
8436	3	0	 	 
8440	1	1	 	 
8440	2	0	 	 
8440	3	0	 	 
8441	1	 	 	 
8441	2	 	 	 
8441	3	 	 	 
8442	1	1	 	 
8442	2	0	 	 
8442	3	0	 	 
8443	1	1	 	 
8443	2	0	 	 
8443	3	0	 	 
8444	1	1	 	 
8444	2	0	 	 
8444	3	0	 	 
8447	1	1	 	 
8447	2	0	 	 
8447	3	0	 	 
8448	1	1	 	 
8448	2	0	 	 
8448	3	0	 	 
8449	1	1	 	 
8449	2	0	 	 
8449	3	0	 	 
8450	1	1	 	 
8450	2	0	 	 
8450	3	0	 	 
8451	1	1	 	 
8451	2	0	 	 
8451	3	0	 	 
8452	1	1	 	 
8452	2	0	 	 
8452	3	0	 	 
8453	1	 	 	 
8453	2	 	 	 
8453	3	 	 	 
8454	1	1	 	 
8454	2	0	 	 
8454	3	0	 	 
8455	1	1	 	 
8455	2	0	 	 
8455	3	0	 	 
8456	1	1	 	 
8456	2	0	 	 
8456	3	0	 	 
8457	1	0	 	 
8457	2	1	1	5
8457	3	0	 	 
8458	1	1	 	 
8458	2	0	 	 
8458	3	0	 	 
8459	1	 	 	 
8459	2	 	 	 
8459	3	 	 	 
8460	1	1	 	 
8460	2	0	 	 
8460	3	0	 	 
8461	1	1	 	 
8461	2	0	 	 
8461	3	0	 	 
8462	1	 	 	 
8462	2	 	 	 
8462	3	 	 	 
8463	1	1	 	 
8463	2	0	 	 
8463	3	0	 	 
8464	1	1	 	 
8464	2	0	 	 
8464	3	0	 	 
8465	1	1	 	 
8465	2	0	 	 
8465	3	0	 	 
8466	1	1	 	 
8466	2	0	 	 
8466	3	0	 	 
8467	1	0	 	 
8467	2	0	 	 
8467	3	1	0	 
8468	1	0	 	 
8468	2	1	0	 
8468	3	0	 	 
8469	1	1	 	 
8469	2	0	 	 
8469	3	0	 	 
8470	1	1	 	 
8470	2	0	 	 
8470	3	0	 	 
8471	1	0	 	 
8471	2	0	 	 
8471	3	1	1	3
8472	1	0	 	 
8472	2	0	 	 
8472	3	1	0	 
8473	1	1	 	 
8473	2	0	 	 
8473	3	0	 	 
8474	1	1	 	 
8474	2	0	 	 
8474	3	0	 	 
8475	1	0	 	 
8475	2	1	0	 
8475	3	0	 	 
8476	1	0	 	 
8476	2	0	 	 
8476	3	1	0	 
8477	1	0	 	 
8477	2	0	 	 
8477	3	1	0	 
8478	1	0	 	 
8478	2	1	1	3
8478	3	0	 	 
8479	1	 	 	 
8479	2	 	 	 
8479	3	 	 	 
8480	1	 	 	 
8480	2	 	 	 
8480	3	 	 	 
8481	1	1	 	 
8481	2	0	 	 
8481	3	0	 	 
8502	1	1	 	 
8502	2	0	 	 
8502	3	0	 	 
8503	1	0	 	 
8503	2	0	 	 
8503	3	1	1	6
8504	1	0	 	 
8504	2	1	1	6
8504	3	0	 	 
8505	1	1	 	 
8505	2	0	 	 
8505	3	0	 	 
8506	1	1	 	 
8506	2	0	 	 
8506	3	0	 	 
8507	1	0	 	 
8507	2	1	1	3
8507	3	0	 	 
8508	1	0	 	 
8508	2	1	1	4
8508	3	0	 	 
8509	1	1	 	 
8509	2	0	 	 
8509	3	0	 	 
8510	1	1	 	 
8510	2	0	 	 
8510	3	0	 	 
8512	1	0	 	 
8512	2	1	1	3
8512	3	0	 	 
8513	1	1	 	 
8513	2	0	 	 
8513	3	0	 	 
8514	1	1	 	 
8514	2	0	 	 
8514	3	0	 	 
8515	1	1	 	 
8515	2	0	 	 
8515	3	0	 	 
8516	1	0	 	 
8516	2	1	0	 
8516	3	0	 	 
8520	1	1	 	 
8520	2	0	 	 
8520	3	0	 	 
8521	1	1	 	 
8521	2	0	 	 
8521	3	0	 	 
8524	1	 	 	 
8524	2	 	 	 
8524	3	 	 	 
8525	1	0	 	 
8525	2	0	 	 
8525	3	1	0	 
8526	1	1	 	 
8526	2	0	 	 
8526	3	0	 	 
8527	1	0	 	 
8527	2	0	 	 
8527	3	1	1	2
8528	1	 	 	 
8528	2	 	 	 
8528	3	 	 	 
8529	1	 	 	 
8529	2	 	 	 
8529	3	 	 	 
8530	1	1	 	 
8530	2	0	 	 
8530	3	0	 	 
8531	1	 	 	 
8531	2	 	 	 
8531	3	 	 	 
8532	1	 	 	 
8532	2	 	 	 
8532	3	 	 	 
8533	1	1	 	 
8533	2	0	 	 
8533	3	0	 	 
8534	1	 	 	 
8534	2	 	 	 
8534	3	 	 	 
8535	1	1	 	 
8535	2	0	 	 
8535	3	0	 	 
8536	1	0	 	 
8536	2	0	 	 
8536	3	1	1	7
8537	1	0	 	 
8537	2	0	 	 
8537	3	1	1	4
8538	1	0	 	 
8538	2	1	0	 
8538	3	0	 	 
8539	1	 	 	 
8539	2	 	 	 
8539	3	 	 	 
8540	1	1	 	 
8540	2	1	1	4
8540	3	0	 	 
8541	1	1	 	 
8541	2	0	 	 
8541	3	0	 	 
8542	1	 	 	 
8542	2	 	 	 
8542	3	 	 	 
8601	1	1	 	 
8601	2	0	 	 
8601	3	0	 	 
8602	1	0	 	 
8602	2	0	 	 
8602	3	1	1	4
8604	1	0	 	 
8604	2	1	1	4
8604	3	0	 	 
8606	1	0	 	 
8606	2	1	1	2
8606	3	0	 	 
8609	1	1	 	 
8609	2	0	 	 
8609	3	0	 	 
8611	1	1	 	 
8611	2	0	 	 
8611	3	0	 	 
8612	1	1	 	 
8612	2	0	 	 
8612	3	0	 	 
8613	1	1	 	 
8613	2	0	 	 
8613	3	0	 	 
8614	1	1	 	 
8614	2	0	 	 
8614	3	0	 	 
8617	1	0	 	 
8617	2	1	0	 
8617	3	0	 	 
8620	1	 	 	 
8620	2	 	 	 
8620	3	 	 	 
8624	1	 	 	 
8624	2	 	 	 
8624	3	 	 	 
8625	1	 	 	 
8625	2	 	 	 
8625	3	 	 	 
8626	1	1	 	 
8626	2	0	 	 
8626	3	0	 	 
8628	1	 	 	 
8628	2	 	 	 
8628	3	 	 	 
8629	1	0	 	 
8629	2	1	1	4
8629	3	0	 	 
8630	1	1	 	 
8630	2	0	 	 
8630	3	0	 	 
8632	1	1	 	 
8632	2	0	 	 
8632	3	0	 	 
8634	1	0	 	 
8634	2	1	1	1
8634	3	0	 	 
8636	1	0	 	 
8636	2	0	 	 
8636	3	1	1	4
8637	1	0	 	 
8637	2	0	 	 
8637	3	1	1	4
8638	1	1	 	 
8638	2	0	 	 
8638	3	0	 	 
8640	1	0	 	 
