PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1
313	8	.219999998807907	16	3
313	9	.300000011920929	16	3
313	10	.100000001490116	16	3
313	11	1.5	1	2
313	12	2.40000009536743	1	2
313	13	0	16	2
313	15	1	1	2
313	16	3.20000004768372	1	2
313	17	2.5	1	2
313	18	0	16	2
313	19	1	1	2
313	20	6	16	2
313	21	1.5	1	2
313	23	.300000011920929	1	2
313	24	2	1	2
313	25	1	1	2
313	27	9	1	2
313	28	10	1	2
313	29	8	16	2
313	30	3	1	2
313	32	10	1	2
313	33	6.5	1	2
313	34	1	1	2
313	35	2	16	2
313	36	5	1	2
313	37	1	16	2
313	38	0	16	2
313	39	.5	1	2
313	40	1	1	2
313	41	2	16	2
313	42	0	16	2
313	43	1.20000004768372	16	2
313	44	3	16	2
313	45	7	16	2
313	46	38	16	2
313	61	5.59999990463257	1	2
313	70	6	1	2
314	1	1.79999995231628	16	1
314	2	40	16	1
314	3	15	16	1
314	4	15	16	1
314	5	40	16	1
314	6	40	16	1
314	7	.5	16	4
314	8	.219999998807907	16	4
314	9	.300000011920929	16	4
314	10	.100000001490116	16	4
314	11	2	1	1
314	12	2.20000004768372	1	1
314	13	0	16	1
314	15	1	1	1
314	16	3.20000004768372	1	1
314	17	2.79999995231628	1	1
314	18	0	16	1
314	19	.5	1	1
314	20	3.5	1	1
314	21	1	1	1
314	23	.200000002980232	1	1
314	24	1.29999995231628	16	1
314	25	1	16	1
314	27	10	1	1
314	28	12	16	1
314	29	3	16	1
314	30	2	1	1
314	32	12	16	1
314	33	6	1	1
314	34	1	1	1
314	35	2	16	1
314	36	5	1	1
314	37	1	16	1
314	38	0	16	1
314	39	.300000011920929	1	1
314	40	1	1	1
314	41	2	16	1
314	42	0	16	1
314	43	1	1	1
314	44	3	16	1
314	45	7	16	1
314	46	40	16	1
314	61	5.59999990463257	1	1
314	70	6	16	1
404	1	1.5	16	3
404	2	60	16	3
404	3	25	16	3
404	4	25	16	3
404	5	45	16	3
404	6	40	16	3
404	7	.300000011920929	16	3
404	8	.0299999993294477	16	3
404	9	.150000005960464	16	3
404	10	.0799999982118607	16	3
404	11	2	16	3
404	12	2.79999995231628	16	3
404	13	3	16	3
404	15	1	16	2
404	16	3	16	3
404	17	2.79999995231628	16	2
404	18	0	16	2
404	19	1	16	2
404	20	9	16	2
404	21	1.60000002384186	16	2
404	23	.200000002980232	16	2
404	24	4	16	3
404	25	1	16	3
404	27	9	16	3
404	28	12	16	3
404	29	8	16	3
404	30	1.20000004768372	16	3
404	32	10	16	3
404	33	6.5	16	2
404	34	1	16	2
404	35	2	16	2
404	36	5	16	2
404	37	1	16	2
404	38	0	16	2
404	39	.300000011920929	16	2
404	40	2	16	2
404	41	2	16	2
404	42	0	16	2
404	43	1.20000004768372	16	2
404	44	3	16	2
404	45	5	16	2
404	46	34	16	2
404	61	5.40000009536743	16	3
404	70	6	16	3
405	1	1.79999995231628	16	3
405	2	4	16	3
405	3	15	16	3
405	4	15	16	3
405	5	35	16	3
405	6	32	16	3
405	7	.899999976158142	16	4
405	8	.150000005960464	16	4
405	9	.300000011920929	16	4
405	10	.25	16	4
405	11	2	1	3
405	12	3	1	3
405	13	3	16	3
405	15	.800000011920929	1	3
405	16	3.20000004768372	1	3
405	17	2.79999995231628	1	3
405	18	0	16	3
405	19	1	1	3
405	20	5	1	3
405	21	1.20000004768372	1	3
405	23	.300000011920929	1	3
405	24	4	16	3
405	25	1	1	3
405	27	10	16	3
405	28	9	16	3
405	29	8	16	3
405	30	3	1	3
405	32	12	1	3
405	33	6	1	3
405	34	1	1	3
405	35	2	1	3
405	36	5	1	3
405	37	1	1	3
405	38	0	16	3
405	39	.25	1	3
405	40	1.5	1	3
405	41	1.5	1	3
405	42	5	16	3
405	43	1.20000004768372	1	3
405	44	2	16	3
405	45	6	16	3
405	46	36	1	3
405	61	5.30000019073486	1	3
405	70	6	1	3
406	1	1.5	16	3
406	2	40	16	3
406	3	20	16	3
406	4	20	16	3
406	5	35	16	3
406	6	35	15	3
406	7	.300000011920929	16	3
406	8	.0299999993294477	16	3
406	9	.150000005960464	16	3
406	10	.0799999982118607	16	3
406	11	2	1	3
406	12	2.5	16	3
406	13	3	16	3
406	15	1	1	3
406	16	3.20000004768372	1	3
406	17	2.79999995231628	16	3
406	18	0	16	3
406	19	1.20000004768372	1	3
406	20	9	1	3
406	21	1.20000004768372	1	3
406	23	.300000011920929	1	3
406	24	1	1	3
406	25	1	1	3
406	27	9.5	16	3
406	28	10	16	3
406	29	10	16	3
406	30	3	1	3
406	32	12	16	3
406	33	6.5	1	3
406	34	1	1	3
406	35	2	16	3
406	36	5	1	3
406	37	1.20000004768372	16	3
406	38	0	16	3
406	39	.300000011920929	1	3
406	40	1.5	16	3
406	41	1	16	3
406	42	4	16	3
406	43	1	16	3
406	44	2.5	16	3
406	45	6	16	3
406	46	33	16	3
406	61	5	1	3
406	70	6	16	3
503	1	1.79999995231628	16	3
503	2	55	16	3
503	3	23	16	3
503	4	20	16	3
503	5	40	16	3
503	6	38	16	3
503	7	.529999971389771	16	4
503	8	.100000001490116	16	4
503	9	.150000005960464	16	4
503	10	.0900000035762787	16	4
503	11	2.5	1	3
503	12	2.79999995231628	1	3
503	13	0	16	3
503	15	.800000011920929	1	3
503	16	3.5	1	3
503	17	2.79999995231628	1	3
503	18	0	16	3
503	19	1.20000004768372	1	3
503	20	4.5	1	3
503	21	1	1	3
503	23	.300000011920929	1	3
503	24	6	16	3
503	25	1	1	3
503	27	10	1	3
503	28	10	16	3
503	29	10	16	3
503	30	3	1	3
503	32	10	1	3
503	33	5	1	3
503	34	1	1	3
503	35	2	16	3
503	36	6	1	3
503	37	1	1	3
503	38	0	16	3
503	39	.300000011920929	1	3
503	40	1.5	16	3
503	41	1.5	16	3
503	42	0	16	3
503	43	1	1	3
503	44	3	16	3
503	45	5	16	3
503	46	35	16	3
503	61	4	1	3
503	70	6	16	3
505	1	1.5	16	3
505	2	50	16	3
505	3	25	16	3
505	4	25	16	3
505	5	30	16	3
505	6	30	16	3
505	7	.5	16	6
505	8	.100000001490116	16	6
505	9	.5	16	6
505	10	.25	16	6
505	11	2.5	1	6
505	12	2.70000004768372	1	6
505	13	3	1	6
505	15	1	1	6
505	16	3.5	1	6
505	17	2.5	1	6
505	18	0	16	6
505	19	1.20000004768372	1	6
505	20	11	16	6
505	21	1.20000004768372	1	6
505	23	.25	1	6
505	24	4	16	6
505	25	1	1	6
505	27	10	1	6
505	28	10	16	6
505	29	9	16	6
505	30	3	1	6
505	32	12	16	6
505	33	5	1	6
505	34	1	1	6
505	35	2	1	6
505	36	5	1	6
505	37	1	1	6
505	38	0	16	6
