PLACEID	GBGEIDR5	GBGEPLAC	GRBCLCT	CMNGARB
1220	8	0	 	 
1220	9	0	 	 
1223	1	1	30	1
1223	2	0	 	 
1223	3	0	 	 
1223	4	0	 	 
1223	5	0	 	 
1223	6	0	 	 
1223	7	0	 	 
1223	8	0	 	 
1223	9	0	 	 
1224	1	1	15	1
1224	2	1	 	2
1224	3	0	 	 
1224	4	0	 	 
1224	5	0	 	 
1224	6	0	 	 
1224	7	0	 	 
1224	8	0	 	 
1224	9	0	 	 
1225	1	1	16	1
1225	2	0	 	 
1225	3	0	 	 
1225	4	0	 	 
1225	5	0	 	 
1225	6	0	 	 
1225	7	0	 	 
1225	8	0	 	 
1225	9	0	 	 
1226	1	1	30	1
1226	2	0	 	 
1226	3	0	 	 
1226	4	0	 	 
1226	5	0	 	 
1226	6	0	 	 
1226	7	0	 	 
1226	8	0	 	 
1226	9	0	 	 
1227	1	1	30	1
1227	2	1	 	2
1227	3	1	 	3
1227	4	0	 	 
1227	5	0	 	 
1227	6	0	 	 
1227	7	0	 	 
1227	8	0	 	 
1227	9	0	 	 
1228	1	1	1	1
1228	2	1	 	2
1228	3	0	 	 
1228	4	1	 	3
1228	5	0	 	 
1228	6	0	 	 
1228	7	0	 	 
1228	8	1	 	2
1228	9	0	 	 
1229	1	1	15	1
1229	2	0	 	 
1229	3	0	 	 
1229	4	0	 	 
1229	5	0	 	 
1229	6	0	 	 
1229	7	0	 	 
1229	8	0	 	 
1229	9	0	 	 
1230	1	1	30	1
1230	2	1	 	2
1230	3	0	 	 
1230	4	0	 	 
1230	5	0	 	 
1230	6	0	 	 
1230	7	0	 	 
1230	8	0	 	 
1230	9	0	 	 
1231	1	1	15	1
1231	2	1	 	2
1231	3	0	 	 
1231	4	0	 	 
1231	5	0	 	 
1231	6	0	 	 
1231	7	0	 	 
1231	8	0	 	 
1231	9	0	 	 
1232	1	1	15	1
1232	2	1	 	2
1232	3	0	 	 
1232	4	0	 	 
1232	5	0	 	 
1232	6	0	 	 
1232	7	0	 	 
1232	8	0	 	 
1232	9	0	 	 
1233	1	1	25	1
1233	2	1	 	2
1233	3	0	 	 
1233	4	0	 	 
1233	5	0	 	 
1233	6	0	 	 
1233	7	0	 	 
1233	8	0	 	 
1233	9	0	 	 
1234	1	1	30	1
1234	2	0	 	 
1234	3	0	 	 
1234	4	0	 	 
1234	5	0	 	 
1234	6	0	 	 
1234	7	0	 	 
1234	8	0	 	 
1234	9	0	 	 
1235	1	1	30	1
1235	2	1	 	2
1235	3	0	 	 
1235	4	0	 	 
1235	5	0	 	 
1235	6	0	 	 
1235	7	0	 	 
1235	8	0	 	 
1235	9	0	 	 
1236	1	1	15	1
1236	2	0	 	 
1236	3	0	 	 
1236	4	0	 	 
1236	5	0	 	 
1236	6	0	 	 
1236	7	0	 	 
1236	8	0	 	 
1236	9	0	 	 
1237	1	1	30	1
1237	2	0	 	 
1237	3	0	 	 
1237	4	0	 	 
1237	5	0	 	 
1237	6	0	 	 
1237	7	0	 	 
1237	8	0	 	 
1237	9	0	 	 
1301	1	1	1	1
1301	2	0	 	 
1301	3	1	 	2
1301	4	0	 	 
1301	5	0	 	 
1301	6	0	 	 
1301	7	0	 	 
1301	8	0	 	 
1301	9	0	 	 
1304	1	1	15	1
1304	2	1	 	2
1304	3	1	 	3
1304	4	0	 	 
1304	5	0	 	 
1304	6	0	 	 
1304	7	0	 	 
1304	8	0	 	 
1304	9	0	 	 
1305	1	1	30	1
1305	2	1	 	2
1305	3	0	 	 
1305	4	0	 	 
1305	5	0	 	 
1305	6	0	 	 
1305	7	0	 	 
1305	8	1	 	3
1305	9	0	 	 
1306	1	1	12	1
1306	2	0	 	 
1306	3	0	 	 
1306	4	0	 	 
1306	5	0	 	 
1306	6	0	 	 
1306	7	0	 	 
1306	8	0	 	 
1306	9	0	 	 
1308	1	1	30	1
1308	2	1	 	2
1308	3	0	 	 
1308	4	0	 	 
1308	5	0	 	 
1308	6	0	 	 
1308	7	0	 	 
1308	8	0	 	 
1308	9	0	 	 
1309	1	1	15	1
1309	2	0	 	 
1309	3	1	 	2
1309	4	0	 	 
1309	5	0	 	 
1309	6	0	 	 
1309	7	0	 	 
1309	8	0	 	 
1309	9	0	 	 
1310	1	1	15	1
1310	2	0	 	 
1310	3	1	 	2
1310	4	0	 	 
1310	5	0	 	 
1310	6	0	 	 
1310	7	0	 	 
1310	8	0	 	 
1310	9	0	 	 
1401	1	1	12	1
1401	2	1	 	2
1401	3	0	 	 
1401	4	0	 	 
1401	5	0	 	 
1401	6	0	 	 
1401	7	0	 	 
1401	8	1	 	3
1401	9	0	 	 
1404	1	1	15	1
1404	2	0	 	 
1404	3	0	 	 
1404	4	0	 	 
1404	5	0	 	 
1404	6	0	 	 
1404	7	0	 	 
1404	8	0	 	 
1404	9	0	 	 
1405	1	1	7	1
1405	2	1	 	2
1405	3	0	 	 
1405	4	0	 	 
1405	5	0	 	 
1405	6	0	 	 
1405	7	0	 	 
1405	8	1	 	3
1405	9	0	 	 
1406	1	1	10	1
1406	2	0	 	 
1406	3	0	 	 
1406	4	0	 	 
1406	5	0	 	 
1406	6	0	 	 
1406	7	0	 	 
1406	8	0	 	 
1406	9	0	 	 
1407	1	1	10	1
1407	2	1	 	2
1407	3	1	 	2
1407	4	0	 	 
1407	5	0	 	 
1407	6	0	 	 
1407	7	0	 	 
1407	8	1	 	3
1407	9	0	 	 
1408	1	1	8	1
1408	2	0	 	 
1408	3	0	 	 
1408	4	0	 	 
1408	5	0	 	 
1408	6	0	 	 
1408	7	0	 	 
1408	8	1	 	2
1408	9	0	 	 
1409	1	1	2	1
1409	2	0	 	 
1409	3	0	 	 
1409	4	0	 	 
1409	5	0	 	 
1409	6	0	 	 
1409	7	0	 	 
1409	8	1	 	0
1409	9	0	 	 
1410	1	1	12	1
1410	2	1	 	3
1410	3	0	 	 
1410	4	0	 	 
1410	5	0	 	 
1410	6	0	 	 
1410	7	0	 	 
1410	8	0	 	 
1410	9	0	 	 
1411	1	1	12	1
1411	2	1	 	2
1411	3	0	 	 
1411	4	0	 	 
1411	5	0	 	 
1411	6	0	 	 
1411	7	0	 	 
1411	8	1	 	3
1411	9	0	 	 
1412	1	1	4	1
1412	2	0	 	 
1412	3	0	 	 
1412	4	0	 	 
1412	5	0	 	 
1412	6	0	 	 
1412	7	0	 	 
1412	8	1	 	2
1412	9	0	 	 
1413	1	1	1	1
1413	2	1	 	2
1413	3	0	 	 
1413	4	0	 	 
1413	5	0	 	 
1413	6	0	 	 
1413	7	0	 	 
1413	8	0	 	 
1413	9	0	 	 
1414	1	1	8	1
1414	2	1	 	3
1414	3	0	 	 
1414	4	0	 	 
1414	5	0	 	 
1414	6	0	 	 
1414	7	0	 	 
1414	8	1	 	2
1414	9	0	 	 
1504	1	1	8	1
1504	2	1	 	2
1504	3	1	 	0
1504	4	1	 	0
1504	5	1	 	0
1504	6	1	 	0
1504	7	1	 	0
1504	8	1	 	3
1504	9	0	 	 
1505	1	1	-77	1
1505	2	0	 	 
1505	3	0	 	 
1505	4	0	 	 
1505	5	0	 	 
1505	6	0	 	 
1505	7	0	 	 
1505	8	1	 	2
1505	9	0	 	 
1507	1	0	 	 
1507	2	0	 	 
1507	3	0	 	 
1507	4	0	 	 
1507	5	0	 	 
1507	6	0	 	 
1507	7	0	 	 
1507	8	1	 	1
1507	9	0	 	 
1508	1	0	 	 
1508	2	0	 	 
1508	3	0	 	 
1508	4	1	 	1
1508	5	0	 	 
1508	6	1	 	2
1508	7	0	 	 
1508	8	1	 	3
1508	9	0	 	 
1509	1	1	16	1
1509	2	0	 	 
1509	3	0	 	 
1509	4	0	 	 
1509	5	0	 	 
1509	6	0	 	 
1509	7	0	 	 
1509	8	0	 	 
1509	9	0	 	 
1510	1	1	8	1
1510	2	1	 	2
1510	3	1	 	0
1510	4	0	 	 
1510	5	1	 	0
1510	6	1	 	0
1510	7	1	 	0
1510	8	1	 	3
1510	9	0	 	 
1511	1	0	 	 
1511	2	0	 	 
1511	3	0	 	 
1511	4	0	 	 
1511	5	1	 	1
1511	6	0	 	 
1511	7	1	 	2
1511	8	1	 	3
1511	9	0	 	 
1601	1	0	 	 
1601	2	1	 	1
1601	3	0	 	 
1601	4	0	 	 
1601	5	0	 	 
1601	6	0	 	 
1601	7	1	 	2
1601	8	1	 	3
1601	9	0	 	 
1603	1	0	 	 
1603	2	1	 	2
1603	3	0	 	 
1603	4	0	 	 
1603	5	0	 	 
1603	6	1	 	1
1603	7	1	 	0
1603	8	1	 	3
1603	9	0	 	 
1604	1	0	 	 
1604	2	1	 	3
1604	3	0	 	 
1604	4	0	 	 
1604	5	0	 	 
1604	6	1	 	2
1604	7	1	 	1
1604	8	1	 	0
1604	9	0	 	 
1702	1	0	 	 
1702	2	1	 	0
1702	3	1	 	1
1702	4	0	 	 
1702	5	0	 	 
1702	6	0	 	 
1702	7	1	 	2
1702	8	1	 	3
1702	9	0	 	 
1801	1	0	 	 
1801	2	0	 	 
1801	3	0	 	 
1801	4	0	 	 
1801	5	0	 	 
1801	6	0	 	 
1801	7	1	 	1
1801	8	1	 	2
1801	9	0	 	 
2002	1	1	4	1
2002	2	1	 	2
2002	3	1	 	0
2002	4	0	 	 
2002	5	0	 	 
2002	6	0	 	 
2002	7	0	 	 
2002	8	1	 	3
2002	9	0	 	 
2004	1	1	30	1
2004	2	1	 	2
2004	3	1	 	3
2004	4	0	 	 
2004	5	0	 	 
2004	6	0	 	 
2004	7	0	 	 
2004	8	0	 	 
2004	9	0	 	 
2005	1	1	4	2
2005	2	1	 	1
2005	3	0	 	 
2005	4	0	 	 
2005	5	0	 	 
2005	6	0	 	 
2005	7	0	 	 
2005	8	1	 	3
2005	9	0	 	 
2007	1	1	4	1
2007	2	0	 	 
2007	3	0	 	 
2007	4	0	 	 
2007	5	0	 	 
2007	6	0	 	 
2007	7	0	 	 
2007	8	1	 	3
2007	9	1	 	2
2008	1	1	4	1
2008	2	1	 	2
2008	3	0	 	 
2008	4	0	 	 
2008	5	0	 	 
2008	6	0	 	 
2008	7	0	 	 
2008	8	1	 	3
2008	9	0	 	 
2009	1	1	4	2
2009	2	0	 	 
2009	3	1	 	1
2009	4	0	 	 
2009	5	0	 	 
2009	6	0	 	 
2009	7	0	 	 
2009	8	1	 	3
2009	9	0	 	 
2010	1	1	4	1
2010	2	1	 	2
2010	3	0	 	 
2010	4	0	 	 
2010	5	0	 	 
2010	6	0	 	 
2010	7	0	 	 
2010	8	1	 	3
2010	9	0	 	 
2011	1	1	4	1
2011	2	1	 	2
2011	3	0	 	 
2011	4	0	 	 
2011	5	0	 	 
2011	6	0	 	 
2011	7	0	 	 
2011	8	1	 	3
2011	9	0	 	 
2012	1	1	4	1
2012	2	1	 	2
2012	3	0	 	 
2012	4	0	 	 
2012	5	0	 	 
2012	6	0	 	 
2012	7	0	 	 
2012	8	1	 	3
2012	9	0	 	 
2014	1	0	 	 
2014	2	0	 	 
2014	3	1	 	3
2014	4	0	 	 
2014	5	0	 	 
2014	6	1	 	2
2014	7	0	 	 
2014	8	1	 	1
2014	9	0	 	 
2015	1	1	4	1
2015	2	1	 	0
2015	3	1	 	0
2015	4	0	 	 
2015	5	0	 	 
2015	6	1	 	3
2015	7	0	 	 
2015	8	1	 	2
2015	9	0	 	 
2016	1	0	 	 
2016	2	0	 	 
2016	3	0	 	 
2016	4	0	 	 
2016	5	1	 	1
2016	6	1	 	3
2016	7	0	 	 
2016	8	1	 	2
2016	9	0	 	 
2017	1	1	8	1
2017	2	0	 	 
2017	3	0	 	 
2017	4	0	 	 
2017	5	0	 	 
2017	6	0	 	 
2017	7	0	 	 
2017	8	0	 	 
2017	9	0	 	 
2018	1	1	15	1
2018	2	0	 	 
2018	3	0	 	 
2018	4	0	 	 
2018	5	0	 	 
2018	6	0	 	 
2018	7	0	 	 
2018	8	1	 	2
2018	9	0	 	 
2019	1	1	2	3
2019	2	0	 	 
2019	3	1	 	1
2019	4	0	 	 
2019	5	0	 	 
2019	6	0	 	 
2019	7	0	 	 
2019	8	1	 	2
2019	9	0	 	 
2020	1	1	4	1
2020	2	0	 	 
2020	3	1	 	3
2020	4	0	 	 
2020	5	0	 	 
2020	6	0	 	 
2020	7	0	 	 
2020	8	1	 	2
2020	9	0	 	 
2021	1	1	4	1
2021	2	1	 	2
2021	3	0	 	 
2021	4	0	 	 
2021	5	0	 	 
2021	6	0	 	 
2021	7	0	 	 
2021	8	1	 	3
2021	9	0	 	 
2022	1	1	104	1
2022	2	1	 	2
2022	3	0	 	 
2022	4	0	 	 
2022	5	0	 	 
2022	6	0	 	 
2022	7	0	 	 
2022	8	1	 	3
2022	9	0	 	 
2024	1	1	3	1
2024	2	1	 	2
2024	3	0	 	 
2024	4	0	 	 
2024	5	0	 	 
2024	6	0	 	 
2024	7	0	 	 
2024	8	0	 	 
2024	9	0	 	 
2025	1	1	4	1
2025	2	0	 	 
2025	3	0	 	 
2025	4	0	 	 
2025	5	0	 	 
2025	6	0	 	 
2025	7	0	 	 
2025	8	0	 	 
2025	9	0	 	 
8007	1	1	8	1
8007	2	0	 	 
8007	3	0	 	 
8007	4	0	 	 
8007	5	0	 	 
8007	6	0	 	 
8007	7	0	 	 
8007	8	1	 	2
8007	9	0	 	 
8008	1	0	 	 
8008	2	1	 	1
8008	3	0	 	 
8008	4	0	 	 
8008	5	1	 	2
8008	6	0	 	 
8008	7	1	 	3
8008	8	0	 	 
8008	9	0	 	 
8012	1	1	30	1
8012	2	0	 	 
8012	3	1	 	2
8012	4	0	 	 
8012	5	0	 	 
8012	6	0	 	 
8012	7	0	 	 
8012	8	1	 	3
8012	9	0	 	 
8013	1	1	8	1
8013	2	0	 	 
8013	3	1	 	3
8013	4	0	 	 
8013	5	0	 	 
8013	6	0	 	 
8013	7	0	 	 
8013	8	1	 	2
8013	9	0	 	 
8014	1	1	2	1
8014	2	0	 	 
8014	3	1	 	3
8014	4	0	 	 
8014	5	0	 	 
8014	6	0	 	 
8014	7	0	 	 
8014	8	1	 	2
8014	9	0	 	 
8015	1	1	4	1
8015	2	0	 	 
8015	3	0	 	 
8015	4	0	 	 
8015	5	0	 	 
8015	6	1	 	3
8015	7	1	 	3
8015	8	1	 	2
8015	9	0	 	 
8018	1	1	30	1
8018	2	0	 	 
8018	3	0	 	 
8018	4	0	 	 
8018	5	0	 	 
8018	6	0	 	 
8018	7	0	 	 
8018	8	0	 	 
8018	9	0	 	 
8020	1	1	15	1
8020	2	1	 	2
8020	3	0	 	 
8020	4	0	 	 
8020	5	0	 	 
8020	6	0	 	 
8020	7	0	 	 
8020	8	1	 	3
8020	9	0	 	 
8024	1	1	8	1
8024	2	0	 	 
8024	3	0	 	 
8024	4	0	 	 
8024	5	0	 	 
8024	6	0	 	 
8024	7	0	 	 
8024	8	1	 	2
8024	9	0	 	 
8029	1	0	 	 
8029	2	0	 	 
8029	3	1	 	1
8029	4	0	 	 
8029	5	0	 	 
8029	6	0	 	 
8029	7	0	 	 
8029	8	0	 	 
8029	9	0	 	 
8032	1	1	15	1
8032	2	0	 	 
8032	3	0	 	 
8032	4	0	 	 
8032	5	0	 	 
8032	6	0	 	 
8032	7	0	 	 
8032	8	0	 	 
8032	9	0	 	 
8034	1	1	15	1
8034	2	0	 	 
8034	3	0	 	 
8034	4	0	 	 
8034	5	0	 	 
8034	6	0	 	 
8034	7	0	 	 
8034	8	1	 	2
8034	9	0	 	 
8037	1	0	 	 
8037	2	1	 	1
8037	3	0	 	 
8037	4	0	 	 
8037	5	0	 	 
8037	6	0	 	 
8037	7	1	 	2
8037	8	1	 	3
8037	9	0	 	 
8038	1	1	30	1
8038	2	0	 	 
8038	3	0	 	 
8038	4	0	 	 
8038	5	0	 	 
8038	6	0	 	 
8038	7	0	 	 
8038	8	0	 	 
8038	9	0	 	 
8039	1	1	20	1
8039	2	1	 	2
8039	3	0	 	 
8039	4	0	 	 
8039	5	0	 	 
8039	6	0	 	 
8039	7	0	 	 
8039	8	0	 	 
8039	9	0	 	 
8046	1	1	30	1
8046	2	1	 	2
8046	3	0	 	 
8046	4	0	 	 
8046	5	0	 	 
8046	6	0	 	 
8046	7	0	 	 
8046	8	0	 	 
8046	9	0	 	 
8048	1	1	8	2
8048	2	0	 	 
8048	3	0	 	 
8048	4	1	 	1
8048	5	0	 	 
8048	6	1	 	3
8048	7	0	 	 
8048	8	0	 	 
8048	9	0	 	 
8049	1	1	15	1
8049	2	0	 	 
8049	3	0	 	 
8049	4	0	 	 
8049	5	0	 	 
8049	6	0	 	 
8049	7	0	 	 
8049	8	1	 	2
8049	9	0	 	 
8059	1	1	30	1
8059	2	0	 	 
8059	3	0	 	 
8059	4	0	 	 
8059	5	0	 	 
8059	6	0	 	 
8059	7	0	 	 
8059	8	0	 	 
8059	9	0	 	 
8060	1	1	2	1
8060	2	0	 	 
8060	3	1	 	3
8060	4	0	 	 
8060	5	0	 	 
8060	6	0	 	 
8060	7	0	 	 
8060	8	1	 	2
8060	9	0	 	 
8062	1	1	14	1
8062	2	0	 	 
8062	3	0	 	 
8062	4	0	 	 
8062	5	0	 	 
8062	6	0	 	 
8062	7	0	 	 
8062	8	0	 	 
8062	9	0	 	 
8064	1	1	7	1
8064	2	0	 	 
8064	3	0	 	 
8064	4	0	 	 
8064	5	0	 	 
8064	6	0	 	 
8064	7	0	 	 
8064	8	0	 	 
8064	9	0	 	 
8066	1	0	 	 
