PLACEID	PLCCODE	PROVID	DEPARTID	CLUSTID	STRTDINT	POPSIZE	HOUSING	ILLOCCUP	OTHRES	AGRIC	LIVEST	FISHING	MINING	INDUST	HANDICR	RETAIL	OTHUSE	CITY	POPCITY	TIMECAP	TRANS1	TRANS2	TRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	MAINRTE	NTRLDIST	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	PRICCROP	MINCROP	MAXCROP
404	PE04MC04	1	1	4	27/10/2016	60	5	5	2	1	3	5	5	5	5	5	5	1	-77	120	1	88	 	0	0	1	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	 	 
405	PE04MC05	1	1	4	24/10/2016	120	5	5	3	1	4	4	5	5	5	3	5	1	500	90	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	5	 	 
406	PE04MC06	1	1	4	22/10/2016	220	5	5	3	1	2	5	5	5	5	4	5	1	250	60	1	88	 	0	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	 	 
503	PE05MC03	8	22	5	03/11/2016	180	5	5	2	1	3	5	5	5	5	4	5	1	-77	15	5	88	 	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1.5	 	 
505	PE05MC05	8	22	5	02/11/2016	360	5	5	2	1	3	5	5	5	5	4	5	1	-77	15	6	88	 	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2.5	 	 
506	PE05MC06	8	22	5	02/11/2016	1100	5	5	3	1	2	4	5	5	5	4	5	1	-77	30	5	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	2.5	 	 
507	PE05MC07	8	22	5	09/11/2016	25	5	5	3	1	2	5	5	5	5	5	5	1	700	15	5	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	 	 
601	PE06MC01	9	22	6	18/11/2016	1500	5	5	3	1	2	5	5	5	5	4	5	1	-77	20	5	88	 	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	 	 
701	PE07MC01	1	6	7	12/08/2016	-77	1	5	5	5	5	5	5	5	5	2	5	1	-77	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
702	PE07MC02	1	6	7	08/08/2016	1500	1	5	5	5	5	5	5	5	3	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-.0799999982118607	 	 
703	PE07MC03	8	6	7	16/08/2016	1600	1	5	5	5	5	5	5	4	3	2	5	1	10000	60	7	88	 	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
707	PE07MC07	1	6	7	15/08/2016	800	1	5	5	5	5	5	5	5	5	2	5	1	400000	-88	88	 	 	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
708	PE07MC08	1	6	7	22/08/2016	800	1	5	5	5	5	5	5	5	5	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
709	PE07MC09	1	6	7	1270872016	18000	1	5	5	5	5	5	5	5	5	2	5	1	-77	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-88	 	 
710	PE07MC10	1	6	7	13/08/2016	1600	1	5	5	5	5	5	5	5	5	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
711	PE07MC11	1	6	7	09/08/2016	3500	1	5	5	2	4	5	5	5	5	3	5	1	-77	-88	88	 	 	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	 	 
712	PE07MC12	1	6	7	17/08/2016	500	1	5	5	5	5	5	5	4	3	2	5	1	450000	-88	88	 	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
713	PE07MC13	1	6	7	15/08/2016	20000	1	5	5	4	2	5	5	5	5	3	5	1	600000	-88	88	 	 	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	 	 
714	PE07MC14	1	6	7	16/08/2016	1000	1	5	5	5	5	5	5	5	3	2	5	1	-77	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
715	PE07MC15	1	6	7	16/08/2016	2000	1	5	5	5	5	5	5	5	3	2	5	1	400000	88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
716	PE07MC16	1	6	7	15/08/2016	2000	1	5	5	4	5	5	5	5	3	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
717	PE07MC17	1	6	7	11/08/2106	-77	1	5	5	5	5	5	5	5	5	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
718	PE07MC18	1	6	7	08/08/2016	1300	1	2	5	5	5	5	5	5	5	3	5	1	450000	-88	88	 	 	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
719	PE07MC19	1	6	7	15/08/2016	10000	1	5	5	5	5	5	5	4	5	2	5	1	400000	-88	88	 	 	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
801	PE08MC01	1	13	8	02/09/2016	7000	1	2	5	5	5	5	5	5	4	3	5	1	17000	15	6	88	 	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-88	 	 
802	PE08MC02	1	13	8	02/09/2016	4000	1	5	5	5	5	5	5	5	5	2	5	1	85000	10	6	88	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
803	PE08MC03	1	13	8	02/09/2016	1800	1	5	5	5	5	5	5	5	2	3	5	1	85000	10	7	88	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-88	 	 
804	PE08MC04	1	13	8	02/09/2016	10000	1	2	5	5	5	5	5	5	5	3	5	1	70000	15	6	88	 	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
903	PE09MC03	12	2	9	29/09/2016	40	3	5	77	1	2	5	5	5	5	5	77	1	-77	60	1	88	 	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	 	 
1004	PE10MC04	1	2	10	17/10/2016	452	5	1	5	5	4	5	5	5	5	2	5	1	-77	-88	88	 	 	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-77	-77	-77
1005	PE10MC05	1	2	10	17/10/2016	80	2	5	5	1	5	5	5	5	5	5	5	1	-77	30	1	88	 	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	 	 
1104	PE11MC04	3	10	11	05/11/2016	600	5	5	5	1	2	5	5	5	5	3	5	0	 	300	6	88	 	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	7	 	 
1201	PE12MC01	1	15	12	13/07/2016	300	1	5	5	5	5	5	5	5	5	2	5	1	1800000	45	8	88	 	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1202	PE12MC02	1	15	12	23/07/2016	12000	1	5	5	5	5	5	5	5	3	5	5	1	1300000	15	8	5	88	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1203	PE12MC03	1	15	12	29/06/2016	500	1	5	5	5	5	5	5	5	5	2	5	1	-77	30	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1204	PE12MC04	1	15	12	28/06/2016	3000	1	5	5	5	5	5	5	5	3	2	5	1	1300000	45	10	88	 	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-88	 	 
1205	PE12MC05	1	15	12	03/07/2016	10000	1	5	5	5	5	5	5	5	3	2	5	1	1300000	30	7	88	 	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1207	PE12MC07	1	15	12	26/06/2016	240	5	5	1	5	5	5	5	5	5	2	5	1	1200000	50	7	88	 	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1208	PE12MC08	1	15	12	04/07/2016	3000	1	5	5	5	5	5	5	5	3	2	5	1	1500000	25	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
1210	PE12MC10	1	15	12	12/07/2016	500	5	5	1	5	5	5	5	5	3	2	5	1	400000	30	7	5	88	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1213	PE12MC13	1	15	12	11/07/2016	50000	5	5	1	5	5	5	5	5	3	2	5	1	1200000	30	7	88	 	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1215	PE12MC15	1	15	12	11/07/2016	1500	1	5	5	5	5	5	5	5	3	2	5	1	1200000	10	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1216	PE12MC16	1	15	12	07/07/2016	16000	1	5	5	5	5	5	5	5	3	2	5	1	1300000	15	7	88	 	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1217	PE12MC17	1	15	12	10/07/2016	1500	1	5	5	5	5	5	5	5	3	2	5	1	1200000	10	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1219	PE12MC19	1	15	12	08/07/2016	40000	1	5	5	5	5	5	5	5	3	2	5	1	1500000	10	7	88	 	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1220	PE12MC20	1	15	12	22/07/2016	700	1	5	5	5	5	5	5	5	3	2	1	1	1300000	45	7	88	 	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1223	PE12MC23	1	15	12	15/07/2016	250	1	5	5	5	5	5	5	5	5	2	5	1	1500000	20	7	88	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1224	PE12MC24	1	15	12	05/07/2016	2000	5	5	1	5	5	5	5	5	3	2	5	1	1400000	30	7	88	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
1225	PE12MC25	1	15	12	24/07/2016	880	1	5	5	5	5	5	5	5	5	2	5	1	-77	20	7	5	88	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1226	PE12MC26	1	15	12	06/07/2016	150	1	5	5	5	5	5	5	5	2	3	5	1	1500000	20	10	88	 	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-88	 	 
1227	PE12MC27	1	15	12	09/07/2016	8500	1	5	5	5	5	5	5	5	3	2	5	1	1600000	10	10	88	 	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1228	PE12MC28	1	15	12	17/07/2016	5000	1	3	5	5	5	5	5	5	5	2	5	1	1700	35	7	88	 	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	 	 
1229	PE12MC29	1	15	12	06/07/2016	2760	1	5	5	5	5	5	5	5	3	2	5	1	-77	15	7	88	 	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
1230	PE12MC30	1	15	12	25/06/2016	6000	1	5	5	5	5	5	5	5	3	2	5	1	1200000	30	7	88	 	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	 	 
