CHILDCODE	EDCHSTR4	EDAGR4	GRDER4	TYSCR4	REGNR4	ZONER4	NMSCR4
11046	10	18	9	4	14	1407	269
11046	11	17	8	4	14	1407	269
11046	12	16	7	4	14	1407	82
11046	13	15	7	4	14	1407	82
11046	14	14	6	4	14	1407	82
11048	10	19	35	4	14	1407	577
11048	11	18	34	4	14	1407	577
11048	12	17	33	4	14	1407	577
11048	13	15	32	4	14	1407	577
11048	14	14	12	4	14	1404	134
11049	10	19	12	4	14	1407	601
11049	11	18	11	4	14	1407	601
11049	12	17	10	4	14	1407	12
11049	13	16	9	4	14	1407	12
11049	14	15	9	4	14	1407	12
11050	10	18	12	4	14	1410	604
11050	11	17	11	4	14	1410	604
11050	12	16	10	4	14	1410	604
11050	13	15	9	4	14	1410	604
11050	14	14	8	4	14	1410	590
21002	10	19	10	4	14	1401	856
21002	11	18	9	4	14	1401	856
21002	12	17	8	4	14	1401	62
21002	13	16	7	4	14	1401	62
21002	14	15	6	4	14	1401	576
21003	10	19	21	1	14	1402	571
21003	11	18	10	4	14	1401	595
21003	12	17	9	4	14	1401	595
21003	13	16	8	4	14	1401	121
21003	14	15	7	4	14	1401	121
21004	10	19	34	4	13	1301	866
21004	11	18	33	4	13	1301	866
21004	12	17	32	4	13	1301	866
21004	13	16	12	4	14	1401	42
21004	14	15	11	4	14	1401	42
21005	10	18	21	1	14	1401	575
21005	11	17	11	4	14	1401	856
21005	12	16	10	4	14	1401	595
21005	13	15	9	4	14	1401	595
21005	14	14	8	4	14	1401	121
21006	10	19	22	1	14	1402	571
21006	11	18	21	1	14	1402	571
21006	12	17	10	4	14	1401	33
21006	13	16	9	4	14	1401	33
21006	14	15	8	3	14	1401	505
21007	10	19	12	3	14	1401	549
21007	11	18	11	3	14	1401	549
21007	12	17	10	3	14	1401	549
21007	13	16	9	3	14	1401	549
21007	14	15	8	1	14	1401	565
21008	10	19	9	4	14	1401	33
21008	11	18	9	3	14	1401	549
21008	12	17	8	2	14	1401	505
21008	13	16	8	2	14	1401	505
21008	14	15	7	2	14	1401	505
21009	10	19	0	 	 	 	 
21009	11	18	7	4	14	1401	121
21009	12	17	0	 	 	 	 
21009	13	16	0	 	 	 	 
21009	14	15	6	4	4	407	883
21010	10	18	22	4	14	1401	550
21010	11	17	21	4	14	1401	550
21010	12	16	10	4	14	1401	595
21010	13	15	9	4	14	1401	595
21010	14	14	8	4	14	1401	121
21011	10	18	21	1	14	1401	550
21011	11	17	10	4	14	1401	595
21011	12	16	9	4	14	1401	595
21011	13	15	8	3	14	1401	506
21011	14	14	7	4	14	1401	506
21012	10	18	0	 	 	 	 
21012	11	17	0	 	 	 	 
21012	12	16	0	 	 	 	 
21012	13	15	0	 	 	 	 
21012	14	14	0	 	 	 	 
21013	10	18	22	4	14	1401	583
21013	11	17	21	4	14	1401	583
21013	12	16	0	 	 	 	 
21013	13	15	10	4	14	1401	33
21013	14	14	9	4	14	1401	33
21014	10	19	41	1	14	1401	571
21014	11	18	41	1	14	1401	571
21014	12	17	10	4	14	1401	595
21014	13	16	9	4	14	1401	595
21014	14	15	8	4	14	1401	505
21015	10	18	41	1	14	1406	552
21015	11	17	10	4	14	1401	595
21015	12	16	9	4	14	1401	595
21015	13	15	9	4	14	1401	856
21015	14	14	8	2	14	1401	505
21016	10	19	32	4	7	710	1007
21016	11	18	12	4	14	1401	42
21016	12	17	11	4	14	1401	42
21016	13	16	10	4	14	1401	33
21016	14	15	9	4	14	1401	33
21017	10	19	8	4	14	1401	609
21017	11	18	0	 	 	 	 
21017	12	17	7	4	14	1401	609
21017	13	16	0	 	 	 	 
21017	14	15	6	4	14	1401	609
21018	10	19	0	 	 	 	 
21018	11	18	0	 	 	 	 
21018	12	17	0	 	 	 	 
21018	13	16	7	4	14	1401	609
21018	14	15	6	4	14	1401	609
21019	10	19	0	 	 	 	 
21019	11	18	0	 	 	 	 
21019	12	17	0	 	 	 	 
21019	13	16	0	 	 	 	 
21019	14	15	8	4	14	1401	121
21020	10	19	11	4	14	1401	42
21020	11	18	10	4	14	1401	33
21020	12	17	9	4	14	1401	33
21020	13	16	8	2	14	1401	505
21020	14	15	7	2	14	1401	505
21021	10	19	32	4	3	307	789
21021	11	18	12	4	14	1401	42
21021	12	17	11	4	14	1401	42
21021	13	16	10	4	14	1401	856
21021	14	15	9	4	14	1401	856
21022	10	18	12	4	14	1401	42
21022	11	17	11	4	14	1401	42
21022	12	16	10	4	14	1401	33
21022	13	15	9	4	14	1401	33
21022	14	14	8	4	14	1401	121
21023	10	18	21	4	14	1401	550
21023	11	17	10	4	14	1401	595
21023	12	16	9	4	14	1401	595
21023	13	15	8	4	14	1401	121
21023	14	14	7	4	14	1401	121
21024	10	19	0	 	 	 	 
21024	11	18	0	 	 	 	 
21024	12	17	0	 	 	 	 
21024	13	16	0	 	 	 	 
21024	14	15	7	4	14	1401	505
21027	10	19	0	 	 	 	 
21027	11	18	10	4	14	1401	595
21027	12	17	9	4	14	1401	595
21027	13	16	8	4	14	1401	609
21027	14	15	7	1	14	1401	506
21028	10	19	22	4	14	1401	550
21028	11	18	21	4	14	1401	550
21028	12	17	0	 	 	 	 
21028	13	16	0	 	 	 	 
21028	14	15	10	4	14	1401	856
21029	10	19	0	 	 	 	 
21029	11	18	0	 	 	 	 
21029	12	17	10	4	14	1401	33
21029	13	16	9	4	14	1401	33
21029	14	15	8	4	14	1401	121
21031	10	19	21	4	14	1401	550
21031	11	18	12	4	14	1401	42
21031	12	17	11	4	14	1401	42
21031	13	16	10	4	14	1401	33
21031	14	15	9	4	14	1401	33
21032	10	18	12	4	14	1401	856
21032	11	17	11	4	14	1401	856
21032	12	16	10	4	14	1401	595
21032	13	15	9	4	14	1401	595
21032	14	14	8	3	14	1401	506
21033	10	18	0	 	 	 	 
21033	11	17	0	 	 	 	 
21033	12	16	10	4	14	1401	595
21033	13	15	9	4	14	1401	595
21033	14	14	8	2	14	1401	505
21034	10	18	10	4	4	499	885
21034	11	17	9	4	4	499	885
21034	12	16	9	4	4	499	885
21034	13	15	8	4	14	1401	121
21034	14	14	7	4	14	1401	121
21035	10	19	32	4	3	305	792
21035	11	18	12	4	14	1401	42
21035	12	17	11	4	14	1401	42
21035	13	16	10	4	14	1401	33
21035	14	15	9	4	14	1401	33
21036	10	19	32	4	3	304	905
21036	11	18	12	4	14	1401	42
21036	12	17	11	4	14	1401	42
21036	13	16	10	4	14	1401	33
21036	14	15	9	4	14	1401	33
21037	10	18	9	4	14	1401	595
21037	11	17	8	4	14	1401	505
21037	12	16	8	2	14	1401	505
21037	13	15	7	2	14	1401	505
21037	14	14	6	4	14	1401	121
21038	10	18	12	4	14	1401	42
21038	11	17	11	4	14	1401	42
21038	12	16	10	4	14	1401	595
21038	13	15	9	4	14	1401	595
21038	14	14	8	4	14	1401	505
21040	10	19	9	4	14	1401	33
21040	11	18	8	4	14	1401	505
21040	12	17	7	2	14	1401	505
21040	13	16	6	2	14	1401	505
21040	14	15	5	2	14	1401	505
21041	10	19	12	4	14	1401	42
21041	11	18	11	4	14	1401	42
21041	12	17	10	4	14	1401	33
21041	13	16	9	4	14	1401	33
21041	14	15	8	4	14	1401	505
21042	10	18	12	4	14	1401	42
21042	11	17	11	4	14	1401	42
21042	12	16	10	4	14	1401	595
21042	13	15	9	4	14	1401	595
21042	14	14	8	4	14	1401	505
21043	10	18	41	3	14	1401	857
21043	11	17	0	 	 	 	 
21043	12	16	0	 	 	 	 
21043	13	15	41	4	14	1401	612
21043	14	14	7	4	14	1401	505
21045	10	19	21	1	14	1401	575
21045	11	18	11	4	14	1401	856
21045	12	17	10	4	14	1401	595
21045	13	16	9	4	14	1401	595
21045	14	15	8	4	14	1401	121
21046	10	18	10	4	14	1401	595
21046	11	17	9	4	14	1401	595
21046	12	16	8	4	14	1401	121
21046	13	15	7	4	14	1401	121
21046	14	14	6	4	14	1401	121
21047	10	19	11	3	14	1401	549
21047	11	18	10	3	14	1401	549
21047	12	17	9	3	14	1401	549
21047	13	16	8	4	14	1401	565
21047	14	15	7	2	14	1401	505
21048	10	18	12	4	14	1401	42
21048	11	17	11	4	14	1401	42
21048	12	16	10	4	14	1401	33
21048	13	15	9	4	14	1401	33
21048	14	14	8	1	14	1401	54
21050	10	18	0	 	 	 	 
21050	11	17	8	4	14	1401	121
21050	12	16	7	4	14	1401	121
21050	13	15	6	4	14	1401	121
21050	14	14	5	4	14	1401	121
31001	10	18	9	4	14	1406	122
31001	11	17	8	2	14	1406	582
31001	12	16	7	2	14	1406	582
31001	13	15	6	2	14	1406	582
31001	14	14	5	2	14	1406	582
31002	10	19	12	4	14	1406	578
31002	11	18	11	4	14	1406	578
31002	12	17	10	4	14	1406	122
31002	13	16	9	4	14	1406	122
31002	14	15	8	4	14	1406	508
31003	10	19	26	4	14	1405	606
31003	11	18	22	4	14	1405	606
31003	12	17	21	4	14	1405	606
31003	13	16	10	4	14	1406	122
31003	14	15	9	4	14	1406	122
31004	10	18	12	4	14	1406	578
31004	11	17	11	4	14	1406	578
31004	12	16	10	4	14	1406	122
31004	13	15	9	4	14	1406	122
31004	14	14	8	4	14	1406	53
31006	10	18	32	1	14	1407	600
31006	11	17	12	4	14	1406	578
31006	12	16	11	4	14	1406	578
31006	13	15	10	1	14	1406	598
31006	14	14	9	1	14	1406	598
31007	10	19	0	 	 	 	 
31007	11	18	0	 	 	 	 
31007	12	17	0	 	 	 	 
31007	13	16	0	 	 	 	 
31007	14	15	8	4	14	1406	496
31009	10	19	10	4	14	1406	122
31009	11	18	9	4	14	1406	122
31009	12	17	9	4	14	1406	122
31009	13	16	8	4	14	1407	53
31009	14	15	7	4	14	1406	53
31010	10	19	32	4	3	306	791
31010	11	18	12	4	14	1406	578
31010	12	17	11	4	14	1406	578
31010	13	16	10	4	14	1406	551
31010	14	15	9	4	14	1406	551
31011	10	19	21	4	14	1405	1046
31011	11	18	10	4	14	1406	122
31011	12	17	9	4	14	1406	122
31011	13	16	8	4	14	1406	53
31011	14	15	7	4	14	1406	53
31012	10	18	0	 	 	 	 
31012	11	17	8	2	14	1406	585
31012	12	16	7	2	14	1406	585
31012	13	15	6	2	14	1406	585
31012	14	14	5	2	14	1406	585
31013	10	19	22	4	14	1405	1046
31013	11	18	21	4	14	1405	1046
31013	12	17	12	4	14	1406	578
31013	13	16	11	4	14	1406	578
31013	14	15	10	4	14	1406	122
31015	10	19	0	 	 	 	 
31015	11	18	0	 	 	 	 
31015	12	17	8	4	14	1406	496
31015	13	16	7	4	14	1406	496
31015	14	15	6	4	14	1406	496
31016	10	18	6	4	14	1406	496
31016	11	17	5	4	14	1406	496
31016	12	16	0	 	 	 	 
31016	13	15	0	 	 	 	 
31016	14	14	0	 	 	 	 
31017	10	19	0	 	 	 	 
31017	11	18	0	 	 	 	 
31017	12	17	22	4	14	1406	594
31017	13	16	21	4	14	1406	594
31017	14	15	10	4	14	1406	122
31018	10	19	32	4	7	722	1034
31018	11	18	12	4	14	1406	579
31018	12	17	11	4	14	1406	579
31018	13	16	10	2	14	1402	607
31018	14	15	9	1	14	1402	607
31019	10	18	0	 	 	 	 
31019	11	17	8	4	14	1406	496
31019	12	16	7	4	14	1406	496
31019	13	15	6	4	14	1406	496
31019	14	14	5	4	14	1406	496
31020	10	19	0	 	 	 	 
31020	11	18	0	 	 	 	 
31020	12	17	6	4	14	1406	53
31020	13	16	5	4	14	1406	53
31020	14	15	4	2	14	1406	507
31021	10	19	27	1	14	1410	552
31021	11	18	22	4	14	1402	568
31021	12	17	22	4	14	1402	568
31021	13	16	10	4	14	1406	122
31021	14	15	9	4	14	1406	122
31022	10	18	11	4	14	1406	578
31022	11	17	10	1	14	1406	614
31022	12	16	9	1	14	1406	614
31022	13	15	8	1	14	1406	611
31022	14	14	7	1	14	1406	611
31023	10	19	32	4	1	106	1181
31023	11	18	12	1	14	1410	608
31023	12	17	11	1	14	1410	608
31023	13	16	10	1	14	1405	592
31023	14	15	9	1	14	1405	592
31024	10	18	0	 	 	 	 
31024	11	17	9	4	14	1406	122
31024	12	16	8	2	14	1406	507
31024	13	15	7	2	14	1406	507
31024	14	14	6	2	14	1406	507
31026	10	18	10	3	14	1407	563
31026	11	17	9	4	14	1406	122
31026	12	16	8	2	14	1406	507
31026	13	15	7	2	14	1406	507
31026	14	14	6	2	14	1406	507
31027	10	19	0	 	 	 	 
31027	11	18	10	4	14	1406	122
31027	12	17	9	4	14	1406	122
31027	13	16	8	2	14	1406	582
31027	14	15	7	2	14	1406	582
31028	10	19	37	4	3	311	789
31028	11	18	36	4	3	311	789
31028	12	17	12	4	14	1406	578
31028	13	16	11	4	14	1406	578
31028	14	15	10	4	14	1406	122
31029	10	18	6	4	14	1406	507
31029	11	17	5	4	14	1406	507
31029	12	16	5	2	14	1406	507
31029	13	15	4	2	14	1406	507
31029	14	14	4	2	14	1406	507
31030	10	19	0	 	 	 	 
31030	11	18	10	4	14	1406	122
31030	12	17	9	4	14	1406	122
31030	13	16	8	4	14	1406	496
31030	14	15	7	4	14	1406	496
31033	10	18	10	4	14	1406	122
31033	11	17	9	4	14	1406	122
31033	12	16	8	4	14	1406	53
31033	13	15	8	4	14	1406	53
31033	14	14	7	4	14	1406	53
31034	10	18	9	4	14	1406	122
31034	11	17	9	4	14	1406	122
31034	12	16	8	2	14	1406	507
31034	13	15	7	2	14	1406	507
31034	14	14	6	1	14	1406	509
31035	10	20	33	4	3	306	791
31035	11	19	32	4	3	306	791
31035	12	18	12	4	14	1406	578
31035	13	17	11	4	14	1406	579
31035	14	16	10	4	14	1406	122
31036	10	19	9	4	14	1406	122
31036	11	18	9	4	14	1406	122
31036	12	17	8	4	14	1406	496
31036	13	16	8	2	14	1406	507
31036	14	15	7	2	14	1406	507
31037	10	19	10	1	14	1402	572
31037	11	18	9	1	14	1402	572
31037	12	17	8	2	14	1406	507
31037	13	16	7	2	14	1406	507
31037	14	15	6	2	14	1406	507
31038	10	19	32	4	4	415	868
31038	11	18	12	4	14	1406	578
31038	12	17	11	4	14	1406	578
31038	13	16	10	4	14	1406	122
31038	14	15	9	4	14	1406	122
31039	10	19	34	4	1	104	1184
31039	11	18	33	4	1	104	1184
31039	12	17	32	4	1	104	1184
31039	13	16	12	4	14	1402	579
31039	14	15	11	4	14	1402	579
31040	10	19	10	4	14	1406	122
31040	11	18	9	4	14	1406	122
31040	12	17	8	4	14	1406	496
31040	13	16	7	4	14	1406	496
31040	14	15	6	4	14	1406	496
31042	10	19	41	1	14	1406	591
31042	11	18	41	1	14	1406	591
31042	12	17	41	1	14	1406	591
31042	13	16	10	4	14	1406	122
31042	14	15	9	4	14	1406	122
31043	10	18	0	 	 	 	 
31043	11	17	0	 	 	 	 
31043	12	16	0	 	 	 	 
31043	13	15	10	4	14	1406	122
31043	14	14	9	4	14	1406	122
31044	10	18	11	4	14	1406	578
31044	11	17	10	4	14	1406	122
31044	12	16	9	4	14	1406	122
31044	13	15	8	2	14	1406	14
31044	14	14	7	1	14	1406	54
31045	10	18	41	1	14	1406	553
31045	11	17	10	4	14	1406	122
31045	12	16	9	4	14	1406	122
31045	13	15	8	1	14	1406	611
31045	14	14	7	1	14	1406	611
31046	10	19	22	1	14	1407	564
31046	11	18	21	1	14	1407	564
31046	12	17	10	4	14	1406	122
31046	13	16	9	4	14	1406	122
31046	14	15	8	2	14	1406	507
31048	10	19	12	4	14	1406	578
31048	11	18	11	4	14	1406	578
31048	12	17	10	4	14	1406	122
31048	13	16	9	4	14	1406	122
31048	14	15	8	2	14	1406	507
31050	10	19	32	4	1	106	1181
31050	11	18	12	4	14	1405	605
31050	12	17	11	4	14	1405	605
31050	13	16	10	4	14	1405	605
31050	14	15	9	4	14	1406	122
41001	10	18	9	4	3	303	164
41001	11	17	8	4	3	303	164
41001	12	16	7	4	3	303	164
41001	13	15	6	4	3	303	164
41001	14	14	6	4	3	303	164
41002	10	18	10	4	3	303	177
41002	11	17	9	4	3	303	177
41002	12	16	8	4	3	303	164
41002	13	15	8	4	3	303	164
41002	14	14	7	4	3	303	164
41003	10	19	37	4	4	405	870
41003	11	18	32	4	4	407	870
41003	12	17	12	4	3	303	177
41003	13	16	11	4	3	303	177
41003	14	15	10	4	3	303	177
41005	10	18	0	 	 	 	 
41005	11	17	10	4	3	303	164
41005	12	16	9	4	3	303	164
41005	13	15	8	4	3	303	164
41005	14	14	8	4	3	303	164
41006	10	19	0	 	 	 	 
41006	11	18	0	 	 	 	 
41006	12	17	0	 	 	 	 
41006	13	16	0	 	 	 	 
41006	14	15	0	 	 	 	 
41007	10	18	0	 	 	 	 
41007	11	17	10	4	3	303	796
41007	12	16	9	4	3	303	796
41007	13	15	8	4	3	303	164
41007	14	14	7	4	3	303	164
41008	10	18	7	4	3	303	164
41008	11	17	0	 	 	 	 
41008	12	16	7	4	3	303	164
41008	13	15	6	4	3	303	164
41008	14	14	5	4	3	303	164
41009	10	18	26	4	3	303	797
41009	11	17	22	4	3	303	797
41009	12	16	21	4	3	303	797
41009	13	15	10	4	3	303	164
41009	14	14	9	4	3	303	164
41010	10	18	21	4	3	303	797
41010	11	17	10	4	3	303	796
41010	12	16	9	4	3	303	796
41010	13	15	9	4	3	303	796
41010	14	14	8	4	3	303	160
41011	10	19	33	4	4	405	876
41011	11	18	32	4	4	405	876
41011	12	17	12	4	3	303	164
41011	13	16	11	4	3	303	164
41011	14	15	10	4	3	303	164
41012	10	18	10	4	3	303	164
41012	11	17	9	4	3	303	164
41012	12	16	8	4	3	303	177
41012	13	15	8	4	3	303	177
41012	14	14	7	4	3	303	177
41013	10	18	21	4	3	303	797
41013	11	17	10	4	3	303	793
41013	12	16	9	4	3	303	793
41013	13	15	0	 	 	 	 
41013	14	14	8	4	3	303	164
41014	10	19	21	4	3	303	797
41014	11	18	10	4	3	303	177
41014	12	17	9	4	3	303	177
41014	13	16	8	4	3	303	164
41014	14	15	7	4	3	303	164
41015	10	18	12	4	3	303	177
41015	11	17	11	4	3	303	177
41015	12	16	10	4	3	303	177
41015	13	15	9	4	3	303	177
41015	14	14	8	4	3	303	164
41016	10	19	8	4	14	1407	494
41016	11	18	7	4	14	1409	547
41016	12	17	6	4	14	1409	547
41016	13	16	5	4	14	1409	547
41016	14	15	4	4	14	1409	547
41017	10	19	32	4	3	301	795
41017	11	18	36	4	3	301	795
41017	12	17	12	4	3	303	796
41017	13	16	11	4	3	303	177
41017	14	15	10	4	3	303	177
41018	10	18	0	 	 	 	 
41018	11	17	0	 	 	 	 
41018	12	16	0	 	 	 	 
41018	13	15	10	4	3	303	794
41018	14	14	9	4	3	303	794
41020	10	19	41	1	14	1407	554
41020	11	18	41	1	14	1407	554
41020	12	17	41	1	14	1407	554
41020	13	16	10	4	3	303	177
41020	14	15	9	4	3	303	177
41021	10	18	21	4	3	303	797
41021	11	17	10	4	3	303	177
41021	12	16	9	4	3	303	177
41021	13	15	8	4	3	303	164
41021	14	14	7	4	3	303	164
41022	10	19	7	4	4	411	888
41022	11	18	0	 	 	 	 
41022	12	17	6	4	4	411	888
41022	13	16	5	4	4	411	888
41022	14	15	4	4	4	411	888
41023	10	19	8	4	3	303	164
41023	11	18	8	4	3	303	164
41023	12	17	7	4	3	303	164
41023	13	16	6	4	3	303	164
41023	14	15	6	4	3	303	164
41024	10	18	7	4	3	303	164
41024	11	17	6	4	3	303	164
41024	12	16	5	4	3	303	164
41024	13	15	4	4	3	303	164
41024	14	14	3	4	3	303	164
41025	10	19	0	 	 	 	 
41025	11	18	0	 	 	 	 
41025	12	17	10	4	3	303	177
41025	13	16	9	4	3	303	1079
41025	14	15	8	4	3	303	5555
41026	10	18	9	4	3	303	794
41026	11	17	8	4	3	303	160
41026	12	16	0	 	 	 	 
41026	13	15	8	4	3	303	164
41026	14	14	7	4	3	303	164
41027	10	18	11	4	3	303	796
41027	11	17	10	4	3	303	177
41027	12	16	9	4	3	303	177
41027	13	15	9	4	3	303	177
41027	14	14	8	4	3	303	160
41028	10	19	8	4	3	303	164
41028	11	18	8	4	3	303	164
41028	12	17	7	4	3	303	164
41028	13	16	6	4	3	303	164
41028	14	15	5	4	3	303	164
41029	10	19	7	4	3	303	498
41029	11	18	7	4	3	303	498
41029	12	17	6	4	3	303	498
