CHILDCODE	MOVEIDR4	YRMOVER4	WHMOVER4	TYPKEBR4	MTHSTYR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
161003	6	2005	3	1	0	23	22	1	1
161005	1	2006	3	6	0	1	33	1	1
161009	1	2003	2	1	0	22	5	1	1
161010	1	2002	3	6	6	2	15	1	4
161010	2	2002	3	1	6	22	88	1	1
161010	3	2003	2	6	10	2	88	1	4
161010	4	2003	2	1	2	22	88	1	1
161010	5	2004	2	6	12	2	28	1	4
161010	6	2006	2	1	0	22	88	1	1
161011	1	2005	3	6	6	2	9	1	4
161011	2	2006	3	1	0	22	88	1	1
161017	1	2005	3	6	10	2	88	1	4
161021	1	2002	3	6	24	2	88	1	4
161021	2	2004	3	1	3	22	19	1	1
161021	3	2004	2	6	9	2	88	1	4
161021	4	2005	2	1	1	22	88	1	1
161021	5	2005	3	6	6	2	88	1	2
161021	6	2005	3	1	4	22	19	1	1
161021	7	2005	2	6	2	2	88	1	2
161021	8	2006	2	1	0	23	88	1	1
161025	1	2005	3	6	6	2	1	1	2
161025	2	2005	3	1	0	22	88	1	1
161026	1	2005	3	6	8	2	1	1	4
161026	2	2005	3	1	0	22	88	1	1
161033	1	2004	3	6	20	2	88	1	2
161035	1	2002	3	6	40	2	9	1	4
161035	2	2006	2	2	0	22	23	1	2
161036	1	2002	1	1	10	2	88	1	4
161036	2	2002	1	1	2	2	88	1	4
161036	3	2003	1	1	10	5	88	1	4
161036	4	2003	1	1	2	22	88	1	1
161036	5	2004	2	1	11	5	88	1	4
161036	6	2004	1	1	0	22	88	1	1
161039	1	2003	2	6	2	23	88	1	2
161039	2	2004	2	1	10	22	88	1	1
161039	3	2004	2	6	2	23	88	1	2
161039	4	2005	3	1	0	22	88	1	1
161040	1	2005	2	6	4	1	88	0	 
161041	1	2005	3	6	6	2	88	1	4
161041	2	2005	3	1	0	22	88	1	1
161047	1	2005	3	6	11	2	1	1	2
161047	2	2006	3	1	0	23	22	1	1
161048	1	2002	3	6	8	2	88	1	4
161048	2	2002	3	1	4	22	88	1	1
161048	3	2003	3	6	6	2	88	1	4
161048	4	2003	3	1	6	22	88	1	1
161048	5	2004	4	 	9	2	88	1	6
161048	6	2004	3	1	3	22	88	1	1
161048	7	2005	3	6	2	2	88	1	4
161048	8	2005	3	1	0	22	88	1	1
171003	1	2006	2	3	0	5	88	1	2
171005	1	2006	2	3	0	5	88	1	2
171006	1	2006	2	3	0	5	88	0	 
171010	1	2006	2	3	0	5	88	0	 
171011	1	2005	1	3	0	5	88	0	 
171015	1	2003	2	5	0	5	88	1	4
171016	1	2005	1	1	0	11	88	1	3
171018	1	2006	2	2	2	5	88	0	 
171020	1	2005	2	3	5	1	88	1	4
171021	1	2005	1	3	5	5	88	1	4
171024	1	2003	2	3	0	5	88	0	 
171025	1	2006	1	2	0	5	88	1	2
171028	1	2006	1	3	0	5	88	1	4
171031	1	2004	2	4	10	5	88	1	4
171031	2	2005	1	3	0	5	88	0	 
171033	1	2004	2	2	24	5	88	0	 
171033	2	2006	2	1	0	21	88	1	4
171034	1	2003	2	2	24	5	88	0	 
171034	2	2005	2	1	0	22	88	1	2
171036	1	2002	2	5	0	7	5	1	4
171037	1	2003	2	5	35	5	88	1	4
171037	2	2006	2	1	0	22	88	1	2
171038	1	2004	2	4	12	5	88	1	4
171038	2	2005	2	3	0	5	88	0	 
171039	1	2006	2	5	0	5	88	1	4
171043	1	2004	2	3	0	5	88	0	 
171044	1	2006	2	5	0	5	88	1	4
171045	1	2006	2	3	0	5	88	0	 
171049	1	 	 	 	 	 	 	 	 
181002	1	2005	2	4	4	1	88	1	5
181002	2	2006	2	1	0	23	88	1	1
181004	1	2006	2	4	2	2	88	1	4
181004	2	2006	2	1	0	22	88	1	1
181005	1	2005	3	6	6	35	1	1	2
181006	1	2005	3	2	0	17	88	1	2
181008	1	2006	2	4	0	2	88	0	 
181009	1	2005	2	3	0	5	88	0	 
181011	1	2005	3	3	0	2	88	1	2
181012	1	2003	1	3	36	35	88	1	2
181012	2	2006	2	5	0	2	88	1	2
181013	1	2005	2	5	3	1	88	1	8
181013	2	2006	1	1	0	22	22	1	1
181014	1	2004	2	5	0	1	88	1	2
181019	1	2006	3	2	3	2	88	1	4
181019	2	2006	3	1	0	22	88	1	1
181020	1	2005	2	3	0	5	88	0	 
181021	1	2005	2	4	12	1	88	1	4
181021	2	2006	2	3	0	22	88	1	1
181023	1	2005	2	5	0	2	88	0	 
181024	1	2005	2	5	0	2	88	1	7
181025	1	2004	2	5	0	2	88	1	4
181026	1	2005	2	3	0	5	88	0	 
181029	1	2003	3	6	9	2	23	1	4
181029	2	2004	3	1	0	5	22	1	1
181030	1	2004	2	5	2	2	88	1	2
181030	2	2005	2	1	9	22	88	1	1
181030	3	2006	2	5	0	2	88	1	2
181032	1	2002	2	4	34	2	88	0	 
181032	2	2005	2	1	2	22	88	1	1
181032	3	2005	2	5	0	2	88	0	 
181033	1	2006	2	5	0	11	88	0	 
181035	1	2004	2	5	2	2	35	1	4
181035	2	2005	2	3	14	1	88	1	5
181039	1	2006	2	3	0	5	88	0	 
181040	1	2004	2	4	2	2	88	0	 
181040	2	2005	2	1	8	22	88	1	1
181040	3	2005	2	2	2	35	88	0	 
181040	4	2005	2	4	5	2	88	0	 
181040	5	2006	2	1	0	22	88	1	1
181042	1	2003	2	5	14	2	88	1	2
181042	2	2005	2	4	3	2	88	0	 
181042	3	2005	2	1	9	2	88	1	1
181042	4	2006	2	3	0	2	88	1	2
181043	1	2006	2	3	0	5	88	1	7
181046	1	2002	2	5	0	2	88	0	 
181048	1	2005	2	5	0	2	88	1	2
181049	1	2003	2	3	12	2	5	0	 
181049	2	2004	2	5	0	1	88	0	 
191004	1	2002	2	2	12	5	88	1	7
191004	2	2003	2	3	0	5	88	1	7
191006	1	2006	2	5	0	5	88	1	7
191007	1	2006	2	3	0	5	88	0	 
191008	1	2005	4	 	11	2	88	1	7
191008	2	2006	4	 	0	22	88	1	1
191013	1	2004	2	4	2	1	88	0	 
191013	2	2004	2	3	0	22	88	1	2
191014	1	2004	4	 	19	2	88	1	7
191014	2	2006	4	 	0	22	88	1	1
191019	1	2005	2	3	9	2	88	1	7
191019	2	2005	2	3	0	22	88	1	1
191022	1	2006	2	5	0	5	88	1	2
191027	1	2003	2	3	28	22	88	1	1
191027	2	2006	2	5	0	2	88	1	4
191031	1	2004	2	5	0	5	2	1	4
191033	1	2004	1	2	12	5	88	0	 
191033	2	2005	1	3	0	22	88	1	1
191034	1	2002	3	4	5	35	88	1	4
191034	2	2002	2	3	6	22	88	1	1
191034	3	2003	3	6	24	23	88	1	5
191034	4	2005	2	5	3	35	88	1	4
191034	5	2005	1	3	0	22	88	1	1
191039	1	2003	2	5	29	1	88	1	4
191039	2	2006	2	3	0	22	88	1	1
191041	1	2004	2	5	2	23	88	1	4
191041	2	2005	2	3	12	22	88	1	1
191041	3	2005	2	5	2	23	88	1	4
191041	4	2006	2	3	0	22	88	1	1
191042	1	2003	2	3	24	5	88	1	1
191042	2	2005	2	1	0	23	88	1	1
191043	1	2005	3	6	4	23	88	1	2
191043	2	2006	3	3	0	22	88	1	1
191045	1	2005	2	5	0	5	88	0	 
191046	1	2004	3	6	2	7	88	1	4
191046	2	2004	3	3	0	22	88	1	1
191049	1	2006	2	4	0	5	88	0	 
191050	1	2004	2	3	2	1	88	0	 
191050	2	2004	2	3	0	22	88	1	1
201001	1	2002	2	3	22	5	88	0	 
201001	2	2003	2	1	26	22	88	1	1
201001	3	2006	2	3	0	1	88	1	2
201002	1	2002	2	3	24	5	88	1	4
201002	2	2003	2	1	0	22	88	1	1
201003	1	2004	2	3	20	5	88	1	4
201003	2	2005	3	1	0	22	88	1	1
201004	1	2005	2	3	0	5	88	0	 
201005	1	2002	2	3	10	5	88	1	4
201005	2	2004	2	5	0	2	88	1	4
201006	1	2006	3	5	5	5	88	0	 
201007	1	2003	2	3	24	5	88	1	4
201007	2	2005	2	1	0	22	88	1	1
201008	1	2003	1	2	0	5	88	1	2
201009	1	2006	3	2	0	5	35	0	 
201010	1	2004	2	1	0	22	88	1	1
201011	1	2006	2	5	0	5	88	1	4
201012	1	2005	2	3	0	1	88	0	 
201012	2	2004	3	1	4	35	88	0	 
201013	1	2002	1	2	0	5	88	1	4
201014	1	2005	4	 	10	2	88	1	2
201014	2	2006	4	 	0	22	88	1	1
201015	2	2006	2	4	0	5	88	1	2
201016	1	2002	1	2	0	5	88	1	2
201017	1	2002	1	3	0	5	88	1	4
201018	1	2003	2	3	10	5	88	1	4
201018	2	2003	2	1	0	7	88	1	1
201020	1	2003	2	1	24	5	88	0	 
201020	2	2005	2	1	10	7	88	1	1
201020	3	2005	3	3	2	2	1	0	 
201020	4	2006	2	5	0	1	2	0	 
201021	1	2004	2	1	0	17	34	1	1
201023	1	2003	1	2	34	5	88	1	7
201023	2	2005	1	1	0	7	88	1	1
201024	1	2004	2	3	0	5	1	0	 
201025	1	2006	3	4	5	5	88	0	 
201026	1	2003	2	3	22	5	88	1	2
201026	2	2004	2	1	0	22	88	1	1
201027	1	2003	1	3	0	5	88	1	2
201028	1	2005	2	3	0	5	88	1	4
201029	1	2002	2	3	20	5	88	1	4
201029	2	2003	2	1	0	22	88	1	1
201030	1	2003	1	3	24	5	88	1	2
201030	2	2005	1	1	0	23	88	1	1
201031	1	2004	1	3	0	5	88	1	4
201035	1	2003	2	3	0	5	88	1	2
201036	1	2004	2	3	0	5	88	0	 
201037	1	2006	2	3	0	5	88	0	 
201038	1	2005	2	3	10	5	88	1	2
201038	2	2005	2	1	0	27	88	1	1
201039	1	2003	2	3	0	5	88	1	4
201040	1	2003	2	5	0	5	88	1	2
201043	1	2003	2	3	40	5	88	1	4
201044	1	2002	2	3	10	5	88	1	7
201044	2	2003	2	1	14	5	88	1	1
201044	3	2004	2	3	0	5	88	1	2
201045	1	2002	2	3	12	5	88	1	2
201045	2	2003	2	1	36	22	88	1	1
201045	3	2006	2	3	0	2	88	1	2
201046	1	2002	2	3	26	5	88	1	4
201046	2	2004	2	1	0	22	88	1	1
201047	1	2003	2	3	22	5	88	1	7
201047	2	2004	2	1	0	22	88	1	1
201049	1	2004	1	2	0	5	88	1	2
201050	1	2003	2	3	0	5	88	1	2
