CHILDCODE	HHDCIDR4	EVRDECR4	MADDECR4	WHOPRVR4
31018	2	1	1	1
31018	3	1	1	1
31018	5	1	1	1
31018	9	1	1	1
31018	10	0	0	3
31018	13	88	 	 
31019	1	1	1	3
31019	2	1	1	7
31019	3	1	1	1
31019	5	1	1	7
31019	9	1	0	3
31019	10	1	0	3
31019	13	88	 	 
31020	1	1	1	1
31020	2	1	1	1
31020	3	1	1	1
31020	5	1	1	1
31020	9	1	0	3
31020	10	1	0	3
31020	13	88	 	 
31021	1	1	1	1
31021	2	1	1	8
31021	3	1	1	4
31021	5	1	1	8
31021	9	1	0	4
31021	10	1	1	8
31021	13	88	 	 
31022	1	1	1	7
31022	2	1	1	7
31022	3	0	88	88
31022	5	1	1	7
31022	9	1	0	3
31022	10	1	0	3
31022	13	88	 	 
31023	1	1	1	1
31023	2	1	1	1
31023	3	1	1	1
31023	5	1	1	1
31023	9	1	1	3
31023	10	1	1	3
31023	13	88	 	 
31024	1	1	1	1
31024	2	1	1	7
31024	3	1	1	3
31024	5	1	1	3
31024	9	1	0	3
31024	10	1	1	7
31024	13	88	 	 
31026	1	1	1	1
31026	2	1	1	1
31026	3	1	1	7
31026	5	1	1	1
31026	9	1	0	3
31026	10	1	0	3
31026	13	88	 	 
31027	1	1	1	1
31027	2	1	1	1
31027	3	1	1	1
31027	5	1	1	1
31027	9	1	1	7
31027	10	1	0	7
31027	13	88	 	 
31028	1	1	1	1
31028	2	1	1	1
31028	3	1	1	1
31028	5	1	1	7
31028	9	1	1	3
31028	10	1	1	3
31028	13	88	 	 
31029	1	1	1	3
31029	2	1	0	3
31029	3	1	1	7
31029	5	1	1	7
31029	9	1	0	4
31029	10	0	0	4
31029	13	88	 	 
31030	1	1	1	1
31030	2	1	1	1
31030	3	1	1	7
31030	5	1	1	1
31030	9	1	1	3
31030	10	1	1	3
31030	13	88	 	 
31033	1	1	1	6
31033	2	1	1	1
31033	3	1	1	6
31033	5	1	1	9
31033	9	1	1	3
31033	10	1	0	3
31033	13	88	 	 
31034	1	1	1	1
31034	2	1	1	8
31034	3	1	1	1
31034	5	1	1	1
31034	9	1	0	5
31034	10	1	0	5
31034	13	88	 	 
31035	1	1	1	1
31035	2	1	1	1
31035	3	1	1	1
31035	5	1	1	1
31035	9	1	1	4
31035	10	0	0	2
31035	13	0	0	2
31036	1	1	1	7
31036	2	1	1	1
31036	3	1	1	7
31036	5	1	0	6
31036	9	1	1	7
31036	10	1	1	7
31036	13	88	 	 
31037	1	1	1	1
31037	2	1	1	7
31037	3	1	1	3
31037	5	1	1	3
31037	9	1	1	3
31037	10	1	0	3
31037	13	88	 	 
31038	1	1	1	1
31038	2	1	1	1
31038	3	1	1	1
31038	5	1	1	4
31038	9	1	0	4
31038	10	1	0	5
31038	13	88	 	 
31039	1	1	1	3
31039	2	1	1	1
31039	3	1	1	1
31039	5	1	1	1
31039	9	0	0	88
31039	10	1	1	3
31039	13	0	0	88
31040	1	1	1	8
31040	2	1	1	9
31040	3	0	1	7
31040	5	1	1	4
31040	9	1	1	4
31040	10	1	1	4
31040	13	88	 	 
31042	1	1	1	1
31042	2	1	1	1
31042	3	0	1	7
31042	5	1	1	1
31042	9	1	1	3
31042	10	1	1	3
31042	13	88	 	 
31043	1	1	1	1
31043	2	1	1	7
31043	3	1	1	1
31043	5	1	1	1
31043	9	1	0	3
31043	10	1	0	3
31043	13	88	 	 
31044	1	1	1	1
31044	2	1	1	7
31044	3	1	1	7
31044	5	1	1	5
31044	9	1	1	3
31044	10	1	0	3
31044	13	88	 	 
31045	1	1	1	1
31045	2	1	1	1
31045	3	0	1	7
31045	5	1	1	7
31045	9	1	1	3
31045	10	1	1	3
31045	13	88	 	 
31046	1	1	1	1
31046	2	1	1	1
31046	3	1	1	1
31046	5	1	1	1
31046	9	1	1	7
31046	10	1	0	3
31046	13	88	 	 
31048	1	1	1	1
31048	2	1	1	7
31048	3	1	1	3
31048	5	1	1	3
31048	9	1	1	3
31048	10	1	0	3
31048	13	88	 	 
31050	1	1	1	1
31050	2	1	1	1
31050	3	0	1	7
31050	5	1	1	7
31050	9	1	1	3
31050	10	1	1	3
31050	13	88	 	 
41001	1	1	0	3
41001	2	1	1	7
41001	3	1	1	7
41001	5	1	1	7
41001	9	1	1	7
41001	10	1	1	7
41001	13	88	 	 
41002	1	1	1	7
41002	2	1	1	7
41002	3	1	1	7
41002	5	1	1	7
41002	9	1	1	3
41002	10	1	0	3
41002	13	1	1	3
41003	1	1	1	1
41003	2	1	1	1
41003	3	1	1	1
41003	5	1	1	7
41003	9	0	0	3
41003	10	0	0	3
41003	13	0	0	3
41005	1	1	0	3
41005	2	1	1	1
41005	3	1	1	1
41005	5	1	1	1
41005	9	1	0	3
41005	10	1	0	3
41005	13	1	0	3
41006	1	1	1	2
41006	2	1	1	6
41006	3	1	1	6
41006	5	1	1	1
41006	9	1	1	6
41006	10	1	1	1
41006	13	1	1	2
41007	1	1	1	1
41007	2	1	1	7
41007	3	1	1	7
41007	5	0	1	1
41007	9	1	1	7
41007	10	1	1	8
41007	13	88	 	 
41008	1	1	0	3
41008	2	1	0	3
41008	3	1	1	1
41008	5	1	1	7
41008	9	1	1	3
41008	10	1	0	3
41008	13	1	1	3
41009	1	1	1	3
41009	2	1	1	1
41009	3	0	88	88
41009	5	1	1	1
41009	9	1	1	3
41009	10	0	1	3
41009	13	88	 	 
41010	1	1	1	4
41010	2	1	1	1
41010	3	1	1	1
41010	5	1	1	1
41010	9	0	0	4
41010	10	0	0	4
41010	13	0	0	5
41011	1	1	1	1
41011	2	1	1	1
41011	3	1	1	7
41011	5	1	1	7
41011	9	0	0	3
41011	10	0	0	3
41011	13	88	 	 
41012	1	1	1	1
41012	2	1	1	1
41012	3	1	1	1
41012	5	1	1	1
41012	9	0	0	3
41012	10	0	0	3
41012	13	0	0	3
41013	1	1	1	3
41013	2	1	1	7
41013	3	1	1	1
41013	5	1	1	3
41013	9	1	1	7
41013	10	1	1	7
41013	13	88	 	 
41014	1	1	1	3
41014	2	1	0	3
41014	3	1	1	3
41014	5	1	1	7
41014	9	1	1	3
41014	10	1	1	3
41014	13	0	88	88
41015	1	1	1	8
41015	2	1	1	8
41015	3	1	1	8
41015	5	1	1	7
41015	9	1	1	8
41015	10	1	1	8
41015	13	88	 	 
41016	1	1	1	1
41016	2	1	1	1
41016	3	1	1	8
41016	5	1	1	8
41016	9	1	1	8
41016	10	1	1	8
41016	13	88	 	 
41017	1	1	1	7
41017	2	1	1	1
41017	3	0	1	1
41017	5	1	1	1
41017	9	1	1	3
41017	10	1	1	3
41017	13	88	 	 
41018	1	1	1	1
41018	2	1	1	1
41018	3	1	1	1
41018	5	1	1	3
41018	9	1	1	3
41018	10	1	1	7
41018	13	0	0	88
41020	1	1	1	1
41020	2	1	1	1
41020	3	0	1	1
41020	5	1	1	4
41020	9	1	1	4
41020	10	1	1	4
41020	13	88	 	 
41021	1	1	1	1
41021	2	1	1	1
41021	3	1	1	1
41021	5	1	1	7
41021	9	1	1	7
41021	10	1	1	3
41021	13	0	0	5
41022	1	1	1	1
41022	2	1	1	1
41022	3	1	1	3
41022	5	1	1	3
41022	9	1	1	3
41022	10	1	1	3
41022	13	1	1	3
41023	1	1	1	7
41023	2	1	1	6
41023	3	1	1	7
41023	5	1	1	7
41023	9	1	1	7
41023	10	1	1	7
41023	13	88	 	 
41024	1	1	1	3
41024	2	1	1	1
41024	3	1	1	3
41024	5	1	1	3
41024	9	1	0	3
41024	10	1	0	3
41024	13	88	 	 
41025	1	1	1	8
41025	2	1	1	8
41025	3	1	1	8
41025	5	1	1	8
41025	9	1	1	4
41025	10	1	0	4
41025	13	88	 	 
41026	1	1	1	7
41026	2	1	0	7
41026	3	1	1	3
41026	5	1	1	3
41026	9	1	1	3
41026	10	1	1	3
41026	13	1	0	3
41027	1	1	1	1
41027	2	1	1	8
41027	3	1	1	8
41027	5	1	1	8
41027	9	1	1	8
41027	10	1	1	8
41027	13	88	 	 
41028	1	1	1	1
41028	2	1	1	7
41028	3	1	1	7
41028	5	1	0	3
41028	9	1	1	3
41028	10	1	1	3
41028	13	1	1	3
41029	1	1	1	3
41029	2	1	1	3
41029	3	1	1	7
41029	5	1	1	3
41029	9	1	0	3
41029	10	1	0	3
41029	13	88	 	 
41030	1	1	1	1
41030	2	1	1	5
41030	3	1	1	1
41030	5	1	1	9
41030	9	0	0	1
41030	10	0	0	5
41030	13	88	 	 
41031	1	1	1	1
41031	2	1	1	7
41031	3	1	1	3
41031	5	1	1	3
41031	9	1	1	7
41031	10	1	1	7
41031	13	88	 	 
41032	1	1	1	3
41032	2	1	1	7
41032	3	1	1	3
41032	5	1	1	7
41032	9	1	1	3
41032	10	1	1	3
41032	13	88	 	 
41034	1	1	1	1
41034	2	1	1	7
41034	3	1	1	7
41034	5	1	1	7
41034	9	1	1	7
41034	10	1	1	7
41034	13	1	0	3
41035	1	1	1	3
41035	2	1	1	1
41035	3	1	1	1
41035	5	1	1	3
41035	9	1	0	3
41035	10	1	0	3
41035	13	88	 	 
41036	1	1	1	3
41036	2	1	1	7
41036	3	1	1	7
41036	5	1	1	7
41036	9	1	1	3
41036	10	0	0	3
41036	13	88	 	 
41037	1	1	0	3
41037	2	1	1	3
41037	3	1	1	3
41037	5	1	1	3
41037	9	1	1	3
41037	10	1	1	3
41037	13	88	 	 
41038	1	1	1	7
41038	2	1	1	1
41038	3	1	1	1
41038	5	1	1	7
41038	9	1	0	3
41038	10	1	1	3
41038	13	88	 	 
41039	1	1	1	1
41039	2	1	1	1
41039	3	1	1	1
41039	5	1	1	1
41039	9	1	1	1
41039	10	1	1	1
41039	13	88	 	 
41040	1	1	1	3
41040	2	1	1	1
41040	3	1	1	7
41040	5	1	1	3
41040	9	1	1	3
41040	10	1	0	3
41040	13	88	 	 
41041	1	1	1	7
41041	2	1	1	7
41041	3	1	1	7
41041	5	1	1	7
41041	9	1	1	7
41041	10	1	1	7
41041	13	1	0	3
41042	1	1	1	3
41042	2	1	1	3
41042	3	1	1	3
41042	5	1	1	6
41042	9	0	0	3
41042	10	0	0	3
41042	13	88	 	 
41043	1	1	1	3
41043	2	1	1	3
41043	3	1	1	3
41043	5	1	0	3
41043	9	1	0	3
41043	10	1	0	3
41043	13	88	 	 
41044	1	1	1	1
41044	2	1	1	3
41044	3	1	1	3
41044	5	1	1	7
41044	9	1	1	3
41044	10	1	0	3
41044	13	88	 	 
41045	1	1	1	7
41045	2	1	1	7
41045	3	1	1	7
41045	5	1	1	7
41045	9	1	1	7
41045	10	1	1	7
41045	13	88	 	 
41046	1	1	1	4
41046	2	1	1	4
41046	3	1	1	8
41046	5	1	1	8
41046	9	1	1	5
41046	10	1	1	5
41046	13	88	 	 
41047	1	1	1	1
41047	2	1	1	1
41047	3	0	0	88
41047	5	1	1	1
41047	9	1	1	1
41047	10	1	1	1
41047	13	0	0	88
41048	1	1	1	8
41048	2	0	1	1
41048	3	1	1	8
41048	5	0	1	1
41048	9	1	1	8
41048	10	1	1	8
41048	13	88	 	 
41049	1	1	1	1
41049	2	1	1	1
41049	3	0	88	88
41049	5	1	1	7
41049	9	1	1	9
41049	10	1	1	1
41049	13	88	 	 
41050	1	1	0	3
41050	2	1	1	7
41050	3	1	1	7
41050	5	1	1	7
41050	9	1	0	3
41050	10	1	0	3
41050	13	1	0	3
51001	1	1	1	7
51001	2	1	1	7
51001	3	1	1	7
51001	5	1	1	7
51001	9	1	1	7
51001	10	1	1	7
51001	13	1	0	3
51002	1	1	1	1
51002	2	1	1	1
51002	3	1	1	1
51002	5	1	1	1
51002	9	1	1	1
51002	10	1	1	1
51002	13	1	1	6
51003	1	1	1	7
51003	2	1	1	1
51003	3	1	1	1
51003	5	1	1	1
51003	9	1	1	3
51003	10	1	1	3
51003	13	88	 	 
51004	1	1	1	1
