PLACEID	MNTRIDR4	TRANS	TITRANS
533	2	5	140
533	3	4	110
534	1	8	70
534	2	5	80
534	3	4	60
536	1	8	150
536	2	5	170
536	3	4	140
537	1	5	180
537	2	8	140
537	3	4	120
538	1	8	180
538	2	4	120
539	1	5	30
539	2	4	25
540	1	8	50
540	2	4	40
540	3	5	60
541	1	5	10
541	2	1	20
541	3	4	10
542	1	8	20
542	2	5	15
542	3	4	10
601	1	8	120
601	2	5	150
602	1	8	70
602	2	5	90
602	3	4	50
603	1	8	150
603	2	5	180
603	3	4	140
604	1	10	120
604	2	8	120
604	3	5	150
604	4	4	100
605	1	10	60
605	2	8	60
605	3	5	45
605	4	4	60
606	1	8	90
606	2	5	120
606	3	4	90
607	1	8	90
607	2	5	120
607	3	4	80
608	1	8	120
608	2	5	150
608	3	4	100
609	1	8	90
609	2	5	120
609	3	4	70
610	1	8	75
610	2	5	90
610	3	4	75
611	1	8	120
611	2	5	150
612	1	5	90
612	2	8	90
613	1	8	45
613	2	5	60
614	1	8	120
614	2	5	150
614	3	10	120
615	1	8	180
615	2	5	210
616	1	8	120
616	2	5	150
617	1	8	60
617	2	5	90
617	3	10	50
618	1	4	40
618	2	8	30
618	3	5	35
619	1	8	60
619	2	5	75
619	3	4	50
620	1	8	75
620	2	5	90
620	3	4	80
621	1	8	160
621	2	5	190
622	1	8	150
622	2	5	180
623	1	8	150
623	2	5	180
624	1	8	120
624	2	10	90
624	3	5	150
625	1	8	240
625	2	5	300
626	1	8	120
626	2	5	150
628	1	8	90
628	2	10	60
628	3	5	120
629	1	8	60
629	2	5	65
629	3	4	45
630	1	8	180
631	1	8	180
631	2	5	240
631	3	4	150
632	1	8	180
632	2	5	240
632	3	4	120
633	1	8	150
633	2	5	180
633	3	4	120
634	1	8	120
634	2	4	100
634	3	5	140
635	1	8	180
635	2	5	200
635	3	4	150
636	1	8	150
636	2	5	180
637	1	8	60
637	2	10	120
637	3	5	60
638	1	8	30
638	2	5	35
638	3	4	25
639	1	8	60
640	1	8	30
640	2	5	40
641	1	8	120
641	2	4	90
641	3	5	90
642	1	8	180
701	1	8	240
702	1	8	240
702	2	5	270
703	1	8	180
703	2	5	180
704	1	8	240
704	2	5	250
706	1	8	120
706	2	5	80
707	1	8	180
707	2	5	180
708	1	8	180
708	2	5	180
709	1	8	380
710	1	5	180
710	2	8	180
711	1	8	240
712	1	8	120
713	1	8	180
713	2	5	180
713	3	10	180
715	1	8	120
715	2	5	120
716	1	8	120
716	2	5	90
716	3	4	80
717	1	8	120
717	2	5	120
718	1	8	180
718	2	5	180
719	1	8	210
719	2	5	210
720	1	8	120
720	2	5	140
720	3	4	120
721	1	8	150
721	2	5	170
721	3	4	120
722	1	5	180
722	2	8	180
723	1	8	360
723	2	5	360
724	1	8	75
724	2	5	90
724	3	4	50
725	1	8	60
725	2	5	60
725	3	6	60
726	1	5	15
726	2	4	15
726	3	5	15
727	1	5	20
727	2	4	10
728	1	8	180
728	2	5	180
729	1	8	220
729	2	5	220
730	1	8	240
730	2	5	240
731	1	8	90
731	2	5	90
732	1	5	110
732	2	8	110
733	1	8	30
733	2	5	30
735	1	8	45
735	2	5	45
736	1	8	90
736	2	5	90
737	1	8	90
738	1	8	90
738	2	5	90
739	1	8	75
740	1	8	360
741	1	8	250
801	1	5	120
801	2	8	120
801	3	4	90
802	1	5	60
802	2	8	90
802	3	5	60
803	1	5	180
803	2	4	150
804	1	8	180
804	2	5	180
804	3	4	150
805	1	5	45
805	2	8	55
805	3	10	10
806	1	5	10
806	2	1	30
806	3	4	10
807	1	8	45
807	2	5	50
807	3	4	40
808	1	8	180
809	1	8	90
809	2	5	60
809	3	4	50
810	1	8	180
812	1	8	50
812	2	5	60
812	3	4	45
813	1	8	60
813	2	4	45
813	3	5	50
814	1	8	105
814	3	4	85
815	1	8	30
815	2	5	35
815	3	4	20
816	1	8	30
816	2	5	30
816	3	4	25
817	1	5	120
817	2	8	120
817	3	4	90
818	1	5	40
818	2	4	25
819	1	8	180
819	2	10	120
820	1	8	300
820	2	5	240
821	1	8	180
821	2	10	110
822	1	8	240
822	2	10	180
823	1	8	30
823	2	5	20
823	3	4	15
824	1	10	120
824	2	8	180
825	1	8	240
825	2	10	210
826	1	5	185
826	2	8	180
826	3	10	150
827	1	8	210
828	1	6	150
828	2	8	180
828	3	10	120
829	1	8	90
829	2	10	60
830	1	8	120
831	1	8	90
831	2	10	70
832	1	8	120
951	1	8	200
951	2	6	150
951	3	4	140
952	1	6	90
954	1	8	240
954	2	5	300
955	1	8	100
955	2	5	110
955	3	4	100
956	1	8	45
956	2	5	45
957	1	8	60
958	1	5	15
959	1	8	90
959	2	5	90
