PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
813	07/11/2013 18:49:35	MAHABUBNAGAR	99	0	1	3	4	5520	0	0	1	1	0	0	0	3	2	11	1	1	4	10	1	3	10	1	3	4	2	3	4	5	6	7	8	10	11	12
814	07/11/2013 07:41:02	MAHABOOBNAGAR	99	0	1	2	5	4200	0	0	1	1	0	0	0	3	1	11	1	1	2	5	1	2	3	3	4	5	6	7	8	9	10	11	12	13	14	3
815	01/11/2013 05:35:38	MAHABOOBNAGAR	99	0	1	2	3	138000	1	1	1	1	0	1	0	3	2	1	1	1	2	3	1	2	3	16	17	18	4	5	6	7	8	9	10	11	12	13
816	07/11/2013 15:55:27	MAHABOOBNAGAR	99	0	1	2	3	1400	0	0	1	1	0	0	0	3	1	14	1	3	4	1	1	2	5	1	4	5	8	9	10	11	12	13	14	15	3	4
817	02/11/2013 06:06:19	MAHABOOBNAGAR	99	0	1	2	3	3250	1	1	1	1	0	0	0	3	0	 	1	1	2	3	2	3	3	4	5	6	10	11	12	13	14	15	16	17	22	23
818	11/11/2013 05:52:26	MAHABOOBNAGAR	99	0	1	2	5	4500	1	1	1	1	0	1	0	3	2	11	1	1	5	6	1	5	6	1	3	4	9	10	11	12	13	14	15	16	17	18
819	07/12/2013 10:15:46	MAHABOOBNAGAR	99	0	2	3	4	62489	1	1	1	1	0	1	0	3	1	11	1	2	4	5	2	3	6	4	5	6	7	8	9	10	11	12	13	14	15	16
820	29/11/2013 16:48:21	MAHABOOBNAGAR	99	0	1	2	5	5600	1	1	1	1	0	0	0	3	0	 	1	1	2	18	1	2	18	8	18	20	8	9	10	11	12	13	14	15	16	17
821	07/01/2014 14:56:06	MAHABOOB NAGAR	99	0	1	2	3	60949	0	1	1	1	0	1	0	3	1	8	0	1	2	3	1	3	4	3	4	5	7	8	9	10	11	12	13	14	15	16
822	04/12/2013 13:34:49	MAHABOOBNAGAR	99	0	1	2	3	2070	1	1	1	1	0	1	0	3	2	11	1	1	3	4	1	3	4	4	5	6	7	8	9	10	11	12	13	14	15	16
