PLACEID	RSID	AGERES	SEXRES	CAPAC
411	15	48	1	8
411	16	32	1	8
411	17	55	1	8
411	18	46	1	8
411	19	40	2	8
411	20	55	2	8
411	21	30	1	8
411	22	42	1	8
411	23	50	1	8
411	24	38	1	8
411	25	45	1	8
411	26	44	1	8
411	27	34	1	8
411	28	28	1	8
411	29	48	1	8
411	30	49	1	8
411	31	38	1	8
411	32	36	1	8
411	33	50	1	8
411	34	60	1	8
411	35	49	1	8
411	36	53	1	8
412	1	27	1	7
412	2	33	1	8
412	3	43	1	8
412	4	45	1	2
412	5	32	2	2
412	6	28	1	7
412	7	38	2	7
412	8	26	1	8
412	9	38	1	8
412	10	28	1	8
412	11	36	1	7
412	12	48	1	8
412	13	39	1	8
412	14	37	1	8
412	15	38	1	8
412	16	50	1	8
412	17	38	1	8
412	18	50	1	8
412	19	30	1	8
412	20	38	1	8
412	21	36	1	8
412	22	48	1	8
412	23	43	2	8
412	24	38	2	8
413	1	60	1	8
413	2	65	2	2
413	3	35	2	3
413	4	35	2	4
413	5	38	2	4
413	6	28	1	1
413	7	40	1	8
413	8	42	1	2
413	9	42	1	8
413	10	35	1	8
413	11	48	1	8
413	12	29	1	8
413	13	39	1	8
413	14	43	1	8
413	15	28	1	8
413	16	41	1	8
413	17	46	1	8
413	18	53	1	8
413	19	32	1	8
413	20	47	1	8
413	21	33	1	8
413	22	29	1	8
413	23	34	1	8
413	24	44	1	8
413	25	43	1	8
413	26	32	1	8
413	27	36	1	8
413	28	46	1	8
413	29	39	1	8
413	30	42	1	8
413	31	38	2	8
413	32	44	2	8
414	1	45	1	1
414	2	32	2	8
414	3	43	2	6
414	4	32	2	3
414	5	41	2	4
414	6	53	1	8
414	7	53	1	11
414	8	48	1	7
414	9	42	1	8
414	10	35	1	8
414	11	48	1	8
414	12	29	1	8
414	13	39	1	8
414	14	43	1	8
414	15	28	1	8
414	16	41	1	8
414	17	46	1	8
414	18	53	1	8
414	19	32	1	8
414	20	47	1	8
414	21	33	1	8
414	22	29	1	8
414	23	34	1	8
414	24	44	1	8
414	25	43	1	8
414	26	32	1	8
414	27	36	1	7
414	28	46	1	7
414	29	39	1	8
414	30	42	1	8
414	31	38	2	8
414	32	44	2	8
415	1	28	1	8
415	2	40	1	1
415	3	40	1	7
415	4	30	1	7
415	5	65	1	8
415	6	45	1	11
415	7	45	1	11
415	8	50	1	2
415	9	25	2	6
415	10	42	1	8
415	11	50	1	8
415	12	46	1	8
415	13	42	1	8
415	14	36	2	8
415	15	55	1	8
415	16	48	1	8
415	17	47	1	8
415	18	60	1	8
415	19	42	1	8
415	20	56	1	8
415	21	49	1	8
415	22	38	1	8
415	23	60	2	8
415	24	56	1	8
415	25	43	1	8
415	26	49	1	8
415	27	50	1	8
415	28	36	1	8
415	29	56	1	8
415	30	28	2	8
415	31	30	1	8
415	32	60	1	8
415	33	62	1	8
416	1	35	2	8
416	2	30	2	3
416	3	40	1	2
416	4	50	1	10
416	5	48	1	8
416	6	38	1	4
416	7	45	1	7
416	8	42	1	8
416	9	35	1	8
416	10	35	1	8
416	11	29	1	8
416	12	39	1	8
416	13	43	1	8
416	14	28	1	8
416	15	41	1	8
416	16	46	1	8
416	17	53	1	8
416	18	32	1	8
416	19	47	1	8
416	20	23	1	8
416	21	29	1	8
416	22	34	1	8
416	23	44	1	8
416	24	43	1	8
416	25	32	1	8
416	26	36	1	8
416	27	46	1	8
416	28	39	1	8
416	29	42	1	8
416	30	44	2	8
416	31	38	2	8
417	1	36	1	8
417	2	42	1	8
417	3	45	1	1
417	4	28	2	3
417	5	48	2	4
417	6	50	1	7
417	7	40	2	10
417	8	50	1	8
417	9	55	1	8
417	10	42	1	8
417	11	48	1	8
417	12	60	1	8
417	13	42	1	8
417	14	50	1	8
417	15	56	1	8
417	16	60	2	8
417	17	46	2	8
417	18	56	1	8
417	19	49	1	8
417	20	36	1	8
417	21	56	1	8
417	22	28	1	8
417	23	30	1	8
417	24	60	1	8
417	25	62	1	8
417	26	49	1	8
417	27	36	1	8
417	28	42	1	8
417	29	46	1	8
417	30	47	1	8
418	1	30	2	1
418	2	35	2	8
418	3	25	2	3
418	4	45	1	4
418	5	28	2	6
418	6	34	1	9
418	7	42	1	11
418	8	43	1	7
418	9	42	1	8
418	10	35	1	8
418	11	48	1	8
418	12	29	1	8
418	13	39	1	8
418	14	43	1	8
418	15	28	1	8
418	16	41	1	8
418	17	46	1	8
418	18	53	1	8
418	19	32	1	8
418	20	47	1	8
418	21	33	1	8
418	22	29	1	8
418	23	34	1	8
418	24	44	1	8
418	25	43	1	8
418	26	32	1	8
418	27	36	1	8
418	28	46	1	8
418	29	39	1	8
418	30	42	1	8
418	31	38	2	8
418	32	44	2	8
419	1	50	2	2
419	2	40	2	3
419	3	34	2	3
419	4	65	1	4
419	5	37	2	6
419	6	55	1	8
419	7	65	1	4
419	8	70	1	7
419	9	42	1	8
419	10	35	1	8
419	11	48	1	8
419	12	29	1	8
419	13	39	1	8
419	14	43	1	8
419	15	28	1	8
419	16	41	1	8
419	17	46	1	8
419	18	53	1	8
419	19	32	1	8
419	20	47	1	8
419	21	33	1	8
419	22	29	1	8
419	23	34	1	8
419	24	44	1	8
419	25	43	1	8
419	26	32	1	8
419	27	36	1	8
419	28	46	1	8
419	29	39	1	8
419	30	42	1	8
419	31	44	2	8
419	32	38	2	8
420	1	32	2	4
420	2	40	2	3
420	3	28	2	6
420	4	50	1	1
420	5	75	1	11
420	6	42	1	7
420	7	36	1	10
420	8	45	1	8
420	9	36	1	8
420	10	54	2	8
420	11	38	1	8
420	12	48	1	8
420	13	28	1	8
420	14	29	1	8
420	15	32	1	8
420	16	45	2	8
420	17	40	2	8
420	18	28	2	8
420	19	32	2	8
420	20	48	1	8
420	21	52	1	8
420	22	45	1	8
420	23	32	2	8
420	24	28	2	8
420	25	48	1	8
420	26	33	1	8
420	27	45	1	8
420	28	34	1	8
421	1	50	2	3
421	2	60	2	1
421	3	48	1	7
421	4	27	1	8
421	5	35	1	4
421	6	42	1	4
421	7	35	1	7
421	8	42	1	7
421	9	42	1	8
421	10	35	1	8
421	11	48	1	8
421	12	29	1	8
421	13	39	1	8
421	14	43	1	8
421	15	28	1	8
421	16	41	1	8
421	17	46	1	8
421	18	53	1	8
421	19	32	1	8
421	20	47	1	8
421	21	33	1	8
421	22	29	1	8
421	23	34	1	8
421	24	44	1	8
421	25	32	1	8
421	26	36	1	8
421	27	39	1	8
421	28	42	1	8
421	29	38	2	8
421	30	44	2	8
422	1	65	1	8
422	2	40	1	8
422	3	30	1	1
422	4	26	1	8
422	5	22	1	8
422	6	32	1	4
422	7	25	1	6
422	8	32	1	8
422	9	58	1	8
422	10	36	1	8
422	11	40	2	8
422	12	46	1	8
422	13	33	1	8
422	14	40	1	8
422	15	58	1	8
422	16	48	2	8
422	17	54	1	8
422	18	47	1	8
422	19	39	1	8
422	20	32	1	8
422	21	36	1	8
422	22	55	1	8
422	23	42	1	8
422	24	36	2	8
422	25	45	1	8
423	1	45	1	8
423	2	40	1	2
423	3	25	1	4
423	4	46	1	7
423	5	20	2	3
423	6	32	2	6
423	7	45	1	8
423	8	48	1	8
423	9	40	1	8
423	10	36	2	8
423	11	38	2	8
