PLACEID	LCPRIDR4	LOCLUNI	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
303	44	COFFEE/TEA 1KG	300	1	4	300	1	5	300
303	45	NESCAFE 1 KG	1300	1	4	1300	1	5	1300
303	46	SUGAR 1 KG	40	1	4	40	1	5	40
303	47	COOKING OIL 1 LITER	70	1	4	70	1	5	70
303	48	SALT 1 KG	16	1	4	16	1	5	16
303	49	HONEY 1 KG	250	1	4	250	1	5	250
303	50	SPICES 100GRAMS	50	1	4	50	1	5	50
303	51	BISCUITS 1 KG	150	1	4	150	1	5	150
303	52	CAKES 1 KG	150	1	4	150	2	5	150
303	53	BANANA PER 12PIECES	35	1	10	35	1	11	35
303	54	APPLE PER PIECE	25	1	10	25	1	11	25
303	55	GREPES 1KG	50	1	10	50	1	11	50
303	56	SOFTDRINKS 200ML	12	1	10	12	1	11	12
303	57	ALCOHOL 1 LITRE	650	1	10	650	1	11	650
303	58	pototes 1kg	25	1	10	25	1	11	25
303	59	00	0	88	 	0	88	 	0
304	1	NOTE BOOK 1	7	15	4	7	1	5	7
304	2	SHOES 1 pair	150	1	6	200	1	7	175
304	3	BOY'S SHIRT 1	150	1	6	175	1	7	162.5
304	4	GIRL'S BLOUSE 1	200	1	6	200	1	7	200
304	5	BOY'S PANTS/TROUSERS 1	250	1	6	250	1	7	250
304	6	GIRL'S SKIRT 1	250	1	6	250	1	7	250
304	7	ORAL REHYDRATION SALTS 1 sachet	25	1	8	25	1	9	25
304	8	PARACETAMOL 1 tablet	1	1	8	1	1	9	1
304	9	AMOXICILLIN 1 capsule	3	1	8	3	1	9	3
304	10	MEBENDAZOL 1 tablet	5	1	8	5	1	9	5
304	11	CIGARETTES (pack of 10)	30	1	4	30	1	5	30
304	12	DETERGENT 1 piece	10	1	4	10	1	5	10
304	13	KEROSENS 1 litre	40	1	4	40	1	5	40
304	14	RICE 1 kg	35	1	4	30	1	5	32.5
304	15	WHEAT FLOUR 1 kg	30	1	4	30	1	5	30
304	16	BARLEY 1 kg	25	1	4	25	1	5	25
304	17	SORGHUM 1 kg	15	1	4	15	1	5	15
304	18	MAIZE 1 kg	20	1	4	20	1	5	20
304	19	REDGRAM 1 kg	85	1	4	85	1	5	85
304	20	BLACKGRAM 1 kg	95	1	4	95	1	5	95
304	21	GREENGRAM 1kg	100	1	4	100	1	5	100
304	22	HORSEGRAM 1 kg	35	1	4	35	1	5	35
304	23	BREAD 1 piece	10	1	4	10	1	5	10
304	24	WHEAT FLOUR 1 kg	40	1	4	40	1	5	40
304	25	MILK 1 litre	40	1	4	40	1	5	40
304	26	POWDERED/FORMULA MILK 1kg	250	1	4	250	1	5	250
304	27	BUTTER 1kg	300	1	4	300	1	5	300
304	28	CHEESE 1 kg	160	1	4	160	1	5	160
304	29	YOGHURT 1 litre	40	1	4	40	1	5	40
304	30	EGGS 1 piece	4	1	4	4	1	5	4
304	31	CREAM 1 kg	250	1	4	250	1	5	250
304	32	BEEF 1 kg	130	6	12	130	6	13	130
304	33	MUTTON 1 kg	300	6	12	300	6	13	300
304	34	CHICKEN 1 kg	145	6	12	145	6	13	145
304	35	GOAT MEAT 1 kg	350	6	12	350	6	13	350
304	36	FRESH FISH 1 kg	100	1	12	100	1	13	100
304	37	PROCESSED FISH 1 kg	120	1	12	120	1	13	120
304	40	ROOT CROPS 1 kg	30	5	10	30	5	11	30
304	41	CUCUMBER 1 kg	25	5	10	25	5	11	25
304	42	ONIONS 1 kg	65	5	10	60	5	11	62.5
304	43	TOMATO 1 kg	45	5	10	40	5	11	42.5
304	44	COFFE/TEA 1 kg	400	1	4	400	1	5	400
304	45	NESCAFE 1 kg	1300	1	4	1250	1	5	1275
304	46	SUGAR 1 kg	40	1	4	40	1	5	40
304	47	COOKING OIL 1 kg	70	1	4	70	1	5	70
304	48	SALT 1 kg	16	1	4	16	1	5	16
304	49	HONEY 1 kg	350	1	4	350	1	5	350
304	50	SPICES 100 gms	50	1	4	50	1	5	50
304	51	BISCUITS 1 kg	150	1	4	150	1	5	150
304	52	CAKES 1 kg	200	1	4	200	1	5	200
304	53	BANANA per 12 piece	30	1	10	30	1	11	30
304	54	APPLE per piece	25	1	10	25	1	11	25
304	55	GREPES 1 kg	50	1	10	50	1	11	50
304	56	SOFT DRINKS 200ml	12	1	10	12	1	11	12
304	57	ALCOHOL 1 litre	650	1	10	650	1	11	650
304	58	POTATOES 1 kg	20	5	10	20	5	11	20
304	59	00	0	88	 	0	88	 	0
305	1	NOTEBOOK ONE	10	1	4	9	1	5	9.5
305	2	SHOES  ONE PAIR	150	1	8	150	1	5	150
305	3	BOY'S SHIRT ONE SHIRT	150	1	8	150	1	5	150
305	4	GIRL'BLOSE ONE BLOUSE	100	1	8	100	1	5	100
305	5	BOYSPNTES TROUSERS ONE PANT	200	1	8	180	1	5	190
305	6	GIRLS SKIRT ONE SKIRT	150	1	8	150	1	5	150
305	7	ORAL REHYDERATIONS ONE SACHET	25	9	6	25	9	7	25
305	8	PARACETAMOL ONE TABLET	1	1	6	1	1	7	1
305	9	AMOXICILLIN ONE CAPSULE	3	1	6	3	1	7	3
305	10	MEBENDAZOL ONE TABLET	5	1	6	5	1	7	5
305	11	CIGARETTES PACK OF 10	35	1	4	35	1	5	35
305	12	DETERGENT 125 GMS	10	1	4	10	1	5	10
305	13	KIROSENE 1 LITRE	35	1	4	35	1	5	35
305	14	RICE 1 KG	40	1	4	40	1	5	40
305	15	WHEATFLOUR 1KG	35	1	4	35	1	5	35
305	16	BARLEY 1KG	30	1	4	30	1	5	30
305	17	SORGHUM 1KG	15	1	4	15	1	5	15
305	18	MAIZE 1KG	20	1	4	20	1	5	20
305	19	REDGRAM 1KG	85	1	4	85	1	5	85
305	20	BLACKGRAM    1 KG	90	1	4	92	1	5	91
305	21	GREENGRAM  1KG	98	1	4	100	1	5	99
305	22	HORSEGRAM 1KG	35	1	4	35	1	5	35
305	23	BREAD 100 GR	15	1	4	15	1	5	15
305	24	WHEATFLOUR 1KG	40	1	4	40	1	5	40
305	25	MILK 1LITRE	35	1	4	35	1	5	35
305	26	POWDERED MILK 1KG	250	1	4	250	1	5	250
305	27	BUTTER 1 K G	350	1	4	350	1	5	350
305	28	CHEESE 1KG	180	1	4	200	1	5	190
305	29	YOGHURT KG	30	1	4	30	1	5	30
305	30	EGGS 1 PLECE	4	1	4	4	1	5	4
305	31	CREAM 1 KG	200	1	4	200	1	5	200
305	32	BEEF 1KG	150	1	1	150	1	3	150
305	33	MUTTON 1KG	300	1	1	300	1	3	300
305	34	CHICKEN 1KG	160	1	1	160	1	3	160
305	35	GOTE MEAT 1KG	350	1	1	350	1	3	350
305	36	FRESH FISH 1KG	110	1	1	100	1	3	105
305	37	PROCESSED 1KG	150	1	1	140	1	3	145
305	40	ROOT CROPS 1KG	30	1	4	30	1	5	30
305	41	CUCUMBER 1KG	20	1	4	20	1	5	20
305	42	ONIONS 1KG	40	1	4	60	1	5	60
305	43	TOMATO 1KG	40	1	4	45	1	5	42.5
305	44	COFFEE/TEE 1KG	300	1	4	300	1	5	300
305	45	NESCAF 1KG	1300	1	4	1300	1	5	1300
305	46	SUGAR 1KG	40	1	4	40	1	5	40
305	47	COOKING OIL 1KG	75	1	4	75	1	5	75
305	48	SALT 1KG	18	1	4	18	1	5	18
305	49	HONEY 1KG	200	1	4	200	1	5	200
305	50	SPICES 100GRAMS	50	1	4	50	1	5	50
305	51	BISCUITS 1KG	100	1	4	100	1	5	100
305	52	CAKES 1KG	150	1	4	150	1	5	150
305	53	BANANA PER 12 PIECES	30	1	4	30	1	5	30
305	54	APPLE PER PIECES	20	1	4	20	1	5	20
305	55	GRAPES 1KG	50	1	4	50	1	5	50
305	56	SOFT DRINKS 200 ML	12	1	4	12	1	5	12
305	57	ALCOHOL 1LITER	650	1	4	650	1	5	650
305	58	POTATOES 1KG	25	1	4	25	1	5	25
305	59	00	0	88	 	0	88	 	0
306	1	One	10	1	4	10	1	5	10
306	2	One pair	250	1	8	275	1	9	262.5
306	3	One skirt	200	1	8	200	1	9	200
306	4	One blouse	250	1	8	250	1	9	250
306	5	One pant	275	1	8	275	1	9	275
306	6	One skirt	275	1	8	275	1	9	275
306	7	One sachet	14	9	6	14	9	7	14
306	8	One tablet	1	9	6	1	9	7	1
306	9	One capsule	3	9	6	3	9	7	3
306	10	One tablet	10	9	6	10	9	7	10
306	11	pack of 10	30	1	4	30	1	5	30
306	12	125 gms	10	1	4	10	1	5	10
306	13	1 litre	35	1	4	35	1	5	35
306	14	1 Kg	30	1	4	30	1	5	30
306	15	1 Kg	35	1	4	36	1	5	35.5
306	16	1 Kg	50	1	4	50	1	5	50
306	17	1 Kg	18	1	4	15	1	5	16.5
306	18	1 Kg	20	1	4	22	1	5	21
306	19	1 Kg	82	1	4	84	1	5	83
306	20	1 Kg	60	1	4	62	1	5	61
306	21	1 Kg	95	1	4	95	1	5	95
306	22	1 Kg	40	1	4	38	1	5	39
306	23	1 piece(100gr)	15	1	4	15	1	5	15
306	24	1 Kg	42	1	4	40	1	5	41
306	25	1 Litre	40	1	4	40	1	5	40
306	26	1 Kg	160	1	4	160	1	5	160
306	27	1 Kg	320	1	4	310	1	5	315
306	28	1 Kg	190	1	4	190	1	5	190
306	29	1 litre	38	1	4	35	1	5	36.5
306	30	1 piece	4	1	4	4	1	5	4
306	31	1 Kg	150	1	4	160	1	5	155
306	32	1 Kg	100	1	12	100	1	13	100
306	33	1 Kg	380	1	12	380	1	13	380
306	34	1 Kg	100	1	12	100	1	13	100
306	35	1 Kg	300	1	12	300	1	13	300
306	36	1 Kg	90	1	12	90	1	13	90
306	37	1 Kg	250	1	12	250	1	13	250
306	40	1 Kg	30	1	10	30	1	11	30
306	41	1 Kg	20	1	10	20	1	11	20
306	42	1 Kg	48	1	10	48	1	11	48
306	43	1 Kg	32	1	10	30	1	11	31
306	44	1 Kg	350	1	4	350	1	5	350
306	45	1 Kg	1300	1	4	1300	1	5	1300
306	46	1 Kg	40	1	4	40	1	5	40
306	47	1 litre	75	1	4	75	1	5	75
306	48	1 Kg	18	1	4	18	1	5	18
306	49	1 Kg	320	1	4	320	1	5	320
306	50	100 grams	50	1	4	50	1	5	50
306	51	1 Kg	150	1	4	150	1	5	150
306	52	1 Kg	200	1	4	200	1	5	200
306	53	per 12 piece	30	1	10	30	1	11	30
306	54	per piece	28	1	10	26	1	11	27
306	55	1 Kg	50	1	10	50	1	11	50
306	56	200 ml	12	1	10	12	1	11	12
306	57	1 litre	650	1	10	650	1	11	650
306	58	1 Kg	28	1	10	26	1	11	27
306	59	00	0	88	 	0	88	 	0
307	1	NOTE BOOKS ONE BOOK	8	15	7	7	15	5	7.5
307	2	SHOES ONE PER	150	1	8	150	1	9	150
307	3	BOYS SHIRT ONE SHIRT	150	1	8	200	1	9	175
307	4	GIRLS BLOUSE ONE BLOUSE	100	1	8	100	1	9	100
307	5	BOYSPANTS ONE PANT	150	1	8	150	1	9	150
307	6	GIRLS SKIRT ONE SKIRT	100	1	8	100	1	9	100
307	7	ORAL REHYDRATION ONOE SACHET	25	9	6	25	9	7	25
307	8	PARACETAMOL NONE TABLET	1	9	6	1	9	7	1
307	9	AMOPXICILLIN ONE TABLET	3	9	6	3	9	7	3
307	10	MEBENDAZOL ONE TABLET	5	9	6	5	9	7	5
307	11	CIGARETTES 1PER	35	1	4	30	2	5	32.5
307	12	DETERGENT 125 GRMS	10	1	4	10	1	5	10
307	13	KEROSENE 1LITRE	40	2	4	35	2	5	37.5
307	14	RICE 1KG	40	7	4	35	1	5	37.5
307	15	WHEAT FLOUR 1KG	32	1	4	30	1	5	31
307	16	BARLY1KG	30	7	4	25	7	5	27.5
307	17	SORGHUM 1KG	18	1	4	18	1	5	18
307	18	MAIZE 1KG	20	1	4	18	1	5	19
307	19	RED GRAMS 1KG	85	1	4	80	1	5	82.5
307	20	BLACK GRAMS 1KG	70	1	4	72	1	5	71
307	21	GREENN GRAMS 1KG	100	1	4	100	1	5	100
307	22	HORESGRAM 1KG	40	1	4	40	1	5	40
307	23	BREAD 1 PICES 100GRAMS	10	1	4	10	1	5	10
307	24	WHEAT FLOUR 100GRAMS	40	1	4	38	1	5	39
307	25	MILK1LITRE	35	1	4	40	1	5	37.5
307	26	MILK POWDER 1KG	150	1	4	150	1	5	150
307	27	BUTTER 1KG	350	1	4	350	1	5	350
307	28	CHEESE	160	1	4	160	1	5	160
307	29	YOGHURT 1KG	50	1	4	50	1	5	50
307	30	EGGS	4	1	4	4	1	5	4
307	31	CREAM 1KG	150	1	4	200	1	5	175
307	32	BEEF 1KG	130	6	12	140	6	13	135
307	33	MUTTON1KG	400	6	12	400	6	13	400
307	34	CHICKEN 1KG	150	6	12	150	6	13	150
307	35	GOAT MEAT 1KG	380	6	12	400	6	13	390
307	36	FISH 1KG	100	6	12	100	6	13	100
307	37	PROCESSED FISH 1KG	250	14	12	280	6	13	265
307	40	ROOT CROPS 1KG	30	5	10	30	5	11	30
307	41	CUCUMBER1KG	15	5	10	20	5	11	17.5
307	42	ONIONS 1KG	50	5	10	40	5	11	45
307	43	TOMATO1KG	50	5	10	54	5	11	52
307	44	COFFEE/TEA 1KG	375	1	4	375	1	5	375
307	45	NESCAFE 1KG	1300	1	4	1300	1	5	1300
307	46	SUGAR 1KG	40	1	4	38	1	5	39
307	47	COOKING OIL ONE KG	70	1	4	70	1	5	70
307	48	SALT 1KG	18	1	4	17	1	5	17.5
307	49	HONEY1KG	350	1	4	350	1	5	350
307	50	SPICES 100GRAMS	50	1	4	50	1	5	50
307	51	BISCUITES 1KG	150	1	4	150	1	5	150
307	52	CAKES 1KG	150	1	4	150	1	5	150
307	53	BANANA	40	1	10	40	1	11	40
307	54	APPLE PER PIECE	20	1	10	20	1	11	20
307	55	GRAPES 1KG	40	2	10	40	1	11	40
307	56	SOFT DRINKS	12	1	10	12	1	11	12
307	57	ALCOHOL	650	1	10	650	1	11	650
307	58	POTATOES 1KG	20	5	10	24	5	11	22
307	59	00	0	88	 	0	88	 	0
308	1	ONE	12	1	4	10	15	5	11
308	2	ONE PAIR	150	1	4	200	1	5	175
308	3	ONE PAIR	150	1	8	150	1	9	150
308	4	ONE BLOUSE	100	1	8	100	1	9	100
308	5	ONE PANT	150	1	8	150	1	9	150
308	6	ONE SHIRT	100	1	8	100	1	9	100
308	7	ONE SACHET	25	9	6	25	9	7	25
308	8	ONE TABLET	1	9	6	1	9	6	1
308	9	ONE TABLE	3	9	6	3	9	7	3
308	10	ONE TABLET	16	9	6	15	9	7	15.5
308	11	PACK OF 10	35	1	4	35	1	5	35
308	12	125 GMS	10	1	4	10	1	5	10
308	13	ONE LITRE	40	1	4	40	1	5	40
308	14	ONE KG	30	1	4	25	1	5	23
308	15	ONE KG	32	1	4	30	1	5	31
308	16	ONE KG	30	1	4	26	1	5	28
308	17	ONE KG	18	1	4	16	1	5	17
308	18	ONE KG	20	1	4	18	1	5	19
308	19	ONE KG	85	1	4	80	1	5	83
308	20	ONE KG	75	1	4	72	1	5	73
308	21	ONE KG	95	1	4	90	1	5	93
308	22	ONE KG	40	1	4	40	1	5	40
308	23	ONE PIECE	15	1	4	15	1	5	15
308	24	ONE KG	40	1	4	38	1	5	39
308	25	0NE LITRE	35	1	4	40	1	5	38
308	26	ONE KG	200	1	4	200	1	5	200
308	27	ONE KG	350	1	4	350	1	5	350
308	28	ONE KG	160	1	4	160	1	5	160
308	29	ONE LITRE	50	1	4	50	1	5	50
308	30	ONE PIECE	4	1	4	4	1	5	4
308	31	ONE KG	150	1	4	150	1	5	150
308	32	ONE KG	130	6	12	140	6	13	135
308	33	ONE KG	400	6	12	400	6	13	400
308	34	ONE KG	160	6	12	140	6	13	150
308	35	ONE KG	400	6	12	400	6	13	400
308	36	ONE KG	120	6	12	100	6	13	110
308	37	ONE KG	150	6	12	150	6	13	150
308	40	ONE KG	30	5	10	25	5	11	28
308	41	ONE KG	25	5	10	25	5	11	25
308	42	ONE KG	50	5	10	45	5	11	48
308	43	ONE KG	40	5	10	40	5	11	40
308	44	ONE KG	300	1	4	300	1	5	300
308	45	ONE KG	1300	1	4	1300	1	5	1300
308	46	ONE KG	36	1	4	40	1	5	38
308	47	ONE KG	70	1	4	70	1	5	70
308	48	ONE SHOP	18	1	4	16	1	5	17
308	49	ONE KG	300	1	4	300	1	5	300
308	50	100 GRAMS	50	1	4	50	1	5	50
308	51	ONE KG	150	1	4	150	1	5	150
308	52	ONE KG	180	1	4	160	1	5	170
308	53	ONE DOZEN (12 pieces)	40	5	10	40	5	11	40
308	54	PER ONE PIECE	15	5	10	15	5	11	15
308	55	ONE KG	60	5	10	60	5	11	60
308	56	200 ML	12	1	4	12	1	5	12
308	57	ONE LITRE	650	1	6	650	1	7	650
308	58	ONE KG	20	5	10	18	5	11	19
308	59	00	0	88	 	0	88	 	0
309	1	100 pages	10	1	4	8	1	5	9
309	2	ONE PAIR	200	1	8	175	1	9	187.5
309	3	0NE SHIRT	150	1	8	150	1	9	150
309	4	one blouse	100	17	8	100	17	9	100
309	5	ONE PANT	150	17	8	150	17	9	150
309	6	0NE TROUSERS	150	17	8	150	17	9	150
309	7	27.5 GRAMS	25	9	6	25	9	7	25
309	8	ONE TABLET	1	9	6	1	9	7	1
309	9	ONE TABLET	3	9	6	3	9	7	3
309	10	ONE TABLET	16	9	6	16	9	7	16
309	11	ONE PACK	35	1	4	35	1	5	35
309	12	ONE CAKE	10	1	4	10	1	5	10
309	13	ONE LITRE	40	1	4	40	1	5	40
309	14	ONE KG	25	1	4	24	1	5	24.5
309	15	ONE KG	38	1	4	35	1	5	35
309	16	ONE KG	30	1	4	30	1	5	30
309	17	0NE KG	16	1	4	15	1	5	15.5
309	18	ONE KG	20	1	4	20	1	5	20
309	19	ONE KG	85	1	4	80	1	5	82.5
309	20	ONE KG	90	1	4	85	1	5	87.5
309	21	ONE KG	100	1	4	100	1	5	100
309	22	ONE KG	35	1	5	35	1	5	35
309	23	100 GRAMS	10	1	4	10	1	5	10
309	24	ONE KG	40	1	4	40	1	5	40
309	25	1 LITRE	40	1	4	40	1	5	40
309	26	ONE KG	200	1	4	225	1	5	212.5
309	27	ONE KLG	350	1	4	350	1	5	350
309	28	ONE KG	180	1	4	180	1	5	180
309	29	ONE LITRE	40	1	4	40	1	5	40
309	30	ONE PIECE	4	1	4	4	1	5	4
309	31	ONE KG	200	1	4	200	1	5	200
309	32	KG	140	6	12	140	6	13	140
309	33	KG	350	6	12	350	6	13	350
309	34	KG	160	6	12	160	6	13	160
309	35	KG	350	6	12	350	6	13	350
309	36	KG	100	6	12	120	6	13	110
309	37	KG	450	6	12	450	6	13	450
309	40	KG	30	5	10	30	5	11	30
309	41	KG	24	5	10	23	5	11	23.5
309	42	KG	65	5	10	65	5	11	65
309	43	KG	40	5	10	40	5	11	40
309	44	KG	300	1	4	300	1	5	300
309	45	KG	1300	1	4	1300	1	5	1300
309	46	KG	40	1	4	38	1	5	39
309	47	KG	70	1	4	68	1	5	69
309	48	KG	16	1	4	16	1	5	16
