formno	commid	lang1	v4020101	lang2	v4020102	lang3	v4020103	lang4	v4020104	lang5	v4020105	lang6	v4020106	lang7	v4020107	lang8	v4020108	lang9	v4020109	eth1	v4020201	eth2	v4020202	eth3	v4020203	eth4	v4020204	eth5	v4020205	eth6	v4020206	eth7	v4020207	eth8	v4020208	eth9	v4020209	rel1	v4020301	rel2	v4020302	rel3	v4020303	rel4	v4020304	rel5	v4020305	rel6	v4020306	rel7	v4020307	rel8	v4020308	legal	council	elechow	conclive	concvist	chief	chfhow	chflive	chfcvist	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	v40212	v40213
R1COMM	VN016	1	74	1	20	 	 	 	 	 	 	 	 	1	6	 	 	 	 	1	70	1	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1.39999997615814	 	 	 	 	 	 	 	 	 	 	1	98.5999984741211	 	 	1	1	1	1	8	1	2	1	8	2	2	2	2	2	1	17	36
R1COMM	VN017	1	90	 	 	 	 	 	 	 	 	1	2.70000004768372	1	4.30000019073486	1	2	1	1	1	49.7000007629395	 	 	 	 	 	 	 	 	1	23.3999996185303	1	11.1000003814697	1	12	1	3.79999995231628	 	 	 	 	1	90	 	 	1	9.10000038146973	 	 	 	 	1	.899999976158142	1	1	1	1	8	1	2	1	8	2	2	2	2	2	2	9999	9999
R1COMM	VN018	1	90	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	10	1	44	1	30	 	 	 	 	 	 	1	13	1	1.20000004768372	1	10	1	1.79999995231628	1	2.40000009536743	 	 	1	2.79999995231628	 	 	 	 	 	 	 	 	1	1.5	1	1	1	1	8	1	2	1	8	2	2	1	2	1	1	9999	9999
R1COMM	VN019	1	25	1	2	 	 	 	 	 	 	 	 	1	1	1	40	1	32	1	25	1	5	 	 	 	 	 	 	 	 	 	 	1	40	1	30	 	 	 	 	1	1	 	 	 	 	 	 	1	99	 	 	1	2	8	8	8	1	1	1	8	2	2	2	2	2	2	 	5
R1COMM	VN020	1	45	1	10	 	 	 	 	 	 	 	 	1	45	 	 	 	 	1	24	1	4	 	 	 	 	 	 	1	14	1	51.5	 	 	1	6.5	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	4	9
R1COMM	VN021	1	63.5	1	18.8999996185303	 	 	 	 	 	 	1	9	1	.800000011920929	1	6.59999990463257	1	1.20000004768372	1	68.9000015258789	1	13.6999998092651	 	 	 	 	 	 	1	9.80000019073486	 	 	1	6.30000019073486	1	1.29999995231628	 	 	 	 	1	15	 	 	 	 	 	 	1	79.5999984741211	1	5.40000009536743	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	9999	9999
R1COMM	VN022	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	99.9000015258789	 	 	 	 	 	 	 	 	 	 	1	.00999999977648258	 	 	 	 	 	 	 	 	1	10	 	 	 	 	 	 	1	90	 	 	1	2	8	8	8	1	2	1	8	2	2	2	2	2	2	 	315
R1COMM	VN023	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	10	 	 	 	 	 	 	1	90	 	 	1	2	8	8	8	1	2	1	8	2	2	2	2	2	2	 	204
R1COMM	VN024	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	.0299999993294477	 	 	 	 	 	 	1	99	 	 	1	.0700000002980232	 	 	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	25	304
R1COMM	VN025	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	1	1	1	2	1	1	1	1	8	2	2	2	2	2	2	234	201
R1COMM	VN026	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	238	430
R1COMM	VN027	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	.5	 	 	 	 	 	 	1	99.5	 	 	 	 	 	 	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	363	58
R1COMM	VN028	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	95.5999984741211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4.40000009536743	 	 	 	 	1	15	 	 	 	 	 	 	1	65	1	20	1	1	1	1	8	1	1	1	8	1	1	1	1	2	1	 	219
R1COMM	VN029	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	95.3000030517578	 	 	 	 	1	1	 	 	 	 	 	 	 	 	1	3.70000004768372	1	5.5	 	 	1	26.5	 	 	 	 	 	 	1	67.5	1	.0500000007450581	1	1	1	1	8	1	2	1	8	1	1	1	1	2	1	 	1613
R1COMM	VN030	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1.29999995231628	 	 	1	13.3999996185303	 	 	 	 	 	 	1	84	1	1.29999995231628	1	1	1	1	8	1	1	1	8	2	2	2	2	2	2	 	1005
R1COMM	VN031	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	1	10	 	 	 	 	 	 	1	87	1	1	1	1	1	1	8	1	1	1	8	1	1	1	1	2	1	415	805
