formno	commid	rsid	ageres	sexres	capac	livres	ethres
R1COMM	VN005	4	42	1	2	17	5
R1COMM	VN005	5	28	2	7	7	1
R1COMM	VN005	6	37	1	7	0	1
R1COMM	VN005	7	27	2	7	16	1
R1COMM	VN005	8	42	1	7	5	1
R1COMM	VN005	9	41	2	7	19	1
R1COMM	VN006	1	35	1	2	35	1
R1COMM	VN006	2	29	2	3	9	1
R1COMM	VN006	3	47	2	7	25	1
R1COMM	VN006	4	71	1	2	41	1
R1COMM	VN006	5	47	2	6	19	1
R1COMM	VN006	6	38	2	7	38	1
R1COMM	VN006	7	48	2	7	0	1
R1COMM	VN006	8	34	2	7	0	1
R1COMM	VN006	9	20	2	7	3	1
R1COMM	VN006	10	37	2	7	37	1
R1COMM	VN006	11	35	2	7	27	1
R1COMM	VN007	1	48	1	2	28	1
R1COMM	VN007	2	47	2	3	17	1
R1COMM	VN007	3	47	1	7	47	1
R1COMM	VN007	4	38	1	7	38	1
R1COMM	VN007	5	48	1	2	45	1
R1COMM	VN007	6	55	1	7	55	1
R1COMM	VN007	7	24	2	7	0	1
R1COMM	VN007	8	43	2	7	43	1
R1COMM	VN007	9	40	2	7	40	1
R1COMM	VN007	10	33	2	7	33	1
R1COMM	VN007	11	38	2	7	38	1
R1COMM	VN008	1	45	1	2	45	1
R1COMM	VN008	2	32	1	3	32	1
R1COMM	VN008	3	55	1	7	55	1
R1COMM	VN008	4	41	2	7	41	1
R1COMM	VN008	5	18	2	7	18	1
R1COMM	VN008	6	53	2	7	53	1
R1COMM	VN008	7	51	2	7	51	1
R1COMM	VN008	8	43	2	7	14	1
R1COMM	VN008	9	27	2	7	0	1
R1COMM	VN008	10	44	2	7	44	1
R1COMM	VN008	11	30	2	7	30	1
R1COMM	VN009	1	51	1	2	51	1
R1COMM	VN009	2	26	2	7	26	1
R1COMM	VN009	3	23	2	7	0	1
R1COMM	VN009	4	20	2	7	20	1
R1COMM	VN009	5	29	2	3	29	1
R1COMM	VN009	6	46	2	7	46	1
R1COMM	VN009	7	42	1	7	0	1
R1COMM	VN009	8	44	2	7	44	1
R1COMM	VN009	9	47	2	7	47	1
R1COMM	VN009	10	54	2	7	54	1
R1COMM	VN009	11	42	2	7	42	1
R1COMM	VN009	12	37	1	7	37	1
R1COMM	VN010	1	46	1	2	46	1
R1COMM	VN010	2	36	1	7	27	1
R1COMM	VN010	3	37	2	3	16	1
R1COMM	VN010	4	32	2	7	10	1
R1COMM	VN010	5	37	2	7	20	1
R1COMM	VN010	6	34	1	7	7	1
R1COMM	VN010	7	23	2	7	23	1
R1COMM	VN010	8	32	2	7	8	1
R1COMM	VN010	9	58	1	7	34	1
R1COMM	VN010	10	36	2	7	17	1
R1COMM	VN011	1	45	1	2	45	1
R1COMM	VN011	2	36	1	3	36	1
R1COMM	VN011	3	40	1	4	40	1
R1COMM	VN011	4	28	2	7	28	1
R1COMM	VN011	5	41	2	7	0	1
R1COMM	VN011	6	29	2	7	29	1
R1COMM	VN011	7	31	2	7	0	1
R1COMM	VN011	8	35	2	7	35	1
R1COMM	VN011	9	34	1	4	34	1
R1COMM	VN011	10	40	2	7	5	1
R1COMM	VN011	11	45	1	7	45	1
R1COMM	VN011	12	44	2	7	0	1
R1COMM	VN012	1	50	1	2	35	1
R1COMM	VN012	2	38	1	3	0	1
R1COMM	VN012	3	35	2	7	35	1
R1COMM	VN012	4	51	1	7	48	1
R1COMM	VN012	5	28	2	7	28	1
R1COMM	VN012	6	31	1	7	31	1
R1COMM	VN012	7	39	2	7	19	1
R1COMM	VN012	8	44	2	7	43	1
R1COMM	VN012	9	44	2	7	44	1
R1COMM	VN012	10	40	1	2	40	1
R1COMM	VN013	1	32	1	2	24	1
R1COMM	VN013	2	61	2	3	61	1
R1COMM	VN013	3	53	1	7	53	1
R1COMM	VN013	4	43	2	7	43	1
R1COMM	VN013	5	46	2	7	46	1
R1COMM	VN013	6	23	2	7	0	1
R1COMM	VN013	7	40	1	7	5	1
R1COMM	VN013	8	42	1	7	42	1
R1COMM	VN013	9	42	1	7	42	1
R1COMM	VN013	10	39	2	7	0	1
R1COMM	VN014	1	38	1	2	33	1
R1COMM	VN014	2	51	2	7	27	1
R1COMM	VN014	3	40	2	3	40	1
R1COMM	VN014	4	74	2	7	70	1
R1COMM	VN014	5	45	2	7	45	1
R1COMM	VN014	6	46	2	7	46	1
R1COMM	VN014	7	39	1	7	36	1
R1COMM	VN014	8	31	2	7	31	1
R1COMM	VN014	9	45	2	7	45	1
R1COMM	VN014	10	30	2	7	30	1
R1COMM	VN014	11	25	2	7	0	1
R1COMM	VN014	12	40	1	7	40	1
R1COMM	VN015	1	32	1	2	32	9
R1COMM	VN015	2	36	1	3	15	1
R1COMM	VN016	1	43	1	2	29	1
R1COMM	VN016	2	44	1	1	20	1
R1COMM	VN016	3	36	2	3	15	1
R1COMM	VN017	1	45	1	3	26	1
R1COMM	VN017	2	40	2	4	16	1
R1COMM	VN017	3	50	1	7	24	1
R1COMM	VN018	1	53	1	3	31	8
R1COMM	VN018	2	37	1	2	24	1
R1COMM	VN018	3	46	1	4	29	1
R1COMM	VN019	1	48	1	2	39	8
R1COMM	VN019	2	47	2	7	24	9
R1COMM	VN019	3	44	2	3	23	1
R1COMM	VN020	1	47	1	2	47	7
R1COMM	VN020	2	33	2	6	33	6
R1COMM	VN020	3	50	2	3	50	7
R1COMM	VN021	1	34	1	3	23	1
R1COMM	VN021	2	50	1	2	44	1
R1COMM	VN022	1	50	1	2	35	1
R1COMM	VN022	2	55	2	3	51	1
R1COMM	VN022	3	50	2	7	50	1
R1COMM	VN022	4	50	2	4	47	1
R1COMM	VN023	1	53	1	1	38	1
R1COMM	VN023	2	43	1	3	32	1
R1COMM	VN023	3	45	1	4	42	1
R1COMM	VN023	4	38	2	7	38	1
R1COMM	VN024	1	32	2	7	32	1
R1COMM	VN024	2	58	1	7	34	1
R1COMM	VN024	3	42	1	7	38	1
R1COMM	VN024	4	49	1	7	49	1
R1COMM	VN024	5	33	2	7	10	1
R1COMM	VN024	6	48	1	1	42	1
R1COMM	VN024	7	52	2	3	49	1
R1COMM	VN025	1	48	1	2	27	1
R1COMM	VN025	2	37	1	3	37	1
R1COMM	VN025	3	56	1	4	16	1
R1COMM	VN025	4	47	2	7	47	1
R1COMM	VN025	5	48	1	7	34	1
R1COMM	VN025	6	35	1	7	20	1
R1COMM	VN025	7	39	1	7	39	1
R1COMM	VN025	8	39	2	7	20	1
R1COMM	VN026	1	42	1	3	34	1
R1COMM	VN026	2	45	1	2	40	1
R1COMM	VN026	3	42	1	7	39	1
R1COMM	VN026	4	33	1	7	33	1
R1COMM	VN026	5	37	1	7	20	1
R1COMM	VN027	1	46	1	2	38	1
R1COMM	VN027	2	30	2	7	30	1
R1COMM	VN027	3	44	1	7	41	1
R1COMM	VN027	4	29	2	7	20	1
R1COMM	VN027	5	32	2	7	32	1
R1COMM	VN027	6	56	2	7	32	1
R1COMM	VN027	7	29	2	7	29	1
R1COMM	VN027	8	57	2	7	57	1
R1COMM	VN027	9	27	2	7	27	1
R1COMM	VN027	10	51	1	7	28	1
R1COMM	VN027	11	53	1	3	35	1
R1COMM	VN027	12	48	1	7	35	1
R1COMM	VN028	1	37	1	2	30	1
R1COMM	VN028	2	36	2	3	36	1
R1COMM	VN029	1	34	1	2	34	1
R1COMM	VN029	2	59	2	7	24	1
R1COMM	VN030	1	38	1	2	38	1
R1COMM	VN031	1	40	1	2	40	1
