formno	commid	scid	schname	schdis	schtme
R1COMM	VN024	6	2	8	8
R1COMM	VN024	7	1	3	1
R1COMM	VN024	8	2	8	8
R1COMM	VN024	9	1	4	2
R1COMM	VN024	10	2	8	8
R1COMM	VN024	11	2	8	8
R1COMM	VN025	1	1	1	1
R1COMM	VN025	2	2	8	8
R1COMM	VN025	3	1	1	1
R1COMM	VN025	4	2	8	8
R1COMM	VN025	5	1	1	1
R1COMM	VN025	6	2	8	8
R1COMM	VN025	7	1	2	1
R1COMM	VN025	8	2	8	8
R1COMM	VN025	9	2	8	8
R1COMM	VN025	10	2	8	8
R1COMM	VN025	11	2	8	8
R1COMM	VN026	1	1	1	1
R1COMM	VN026	2	2	8	8
R1COMM	VN026	3	1	1	1
R1COMM	VN026	4	2	8	8
R1COMM	VN026	5	1	1	1
R1COMM	VN026	6	2	8	8
R1COMM	VN026	7	1	2	1
R1COMM	VN026	8	2	8	8
R1COMM	VN026	9	2	8	8
R1COMM	VN026	10	2	8	8
R1COMM	VN026	11	2	8	8
R1COMM	VN027	1	1	1	1
R1COMM	VN027	2	2	8	8
R1COMM	VN027	3	1	1	1
R1COMM	VN027	4	2	8	8
R1COMM	VN027	5	1	1	1
R1COMM	VN027	6	2	8	8
R1COMM	VN027	7	1	2	1
R1COMM	VN027	8	2	8	8
R1COMM	VN027	9	2	8	8
R1COMM	VN027	10	2	8	8
R1COMM	VN027	11	2	8	8
R1COMM	VN028	1	1	1	1
R1COMM	VN028	2	2	8	8
R1COMM	VN028	3	1	1	1
R1COMM	VN028	4	2	8	8
R1COMM	VN028	5	1	1	1
R1COMM	VN028	6	2	8	8
R1COMM	VN028	7	1	1	1
R1COMM	VN028	8	1	2	1
R1COMM	VN028	9	1	3	2
R1COMM	VN028	10	2	8	8
R1COMM	VN028	11	2	8	8
R1COMM	VN029	1	1	1	1
R1COMM	VN029	2	2	8	8
R1COMM	VN029	3	1	1	1
R1COMM	VN029	4	2	8	8
R1COMM	VN029	5	1	1	1
R1COMM	VN029	6	2	8	8
R1COMM	VN029	7	1	1	1
R1COMM	VN029	8	2	8	8
R1COMM	VN029	9	1	1	1
R1COMM	VN029	10	2	8	8
R1COMM	VN029	11	2	8	8
R1COMM	VN030	1	1	1	1
R1COMM	VN030	2	2	8	8
R1COMM	VN030	3	1	1	1
R1COMM	VN030	4	2	8	8
R1COMM	VN030	5	1	1	1
R1COMM	VN030	6	2	8	8
R1COMM	VN030	7	1	1	1
R1COMM	VN030	8	1	2	1
R1COMM	VN030	9	2	8	8
R1COMM	VN030	10	2	8	8
R1COMM	VN030	11	2	8	8
R1COMM	VN031	1	1	1	1
R1COMM	VN031	2	2	8	8
R1COMM	VN031	3	1	1	1
R1COMM	VN031	4	2	8	8
R1COMM	VN031	5	1	1	1
R1COMM	VN031	6	1	1	1
R1COMM	VN031	7	1	1	1
R1COMM	VN031	8	1	1	1
R1COMM	VN031	9	2	8	8
R1COMM	VN031	10	2	8	8
R1COMM	VN031	11	1	1	1
