formno	commid	helid	facility	heldis	heltme
R1COMM	VN007	3	1	2	1
R1COMM	VN007	4	2	9	9
R1COMM	VN007	5	1	2	1
R1COMM	VN007	6	1	1	1
R1COMM	VN007	7	2	9	9
R1COMM	VN007	8	1	1	1
R1COMM	VN007	9	1	2	1
R1COMM	VN008	1	1	2	1
R1COMM	VN008	2	2	9	9
R1COMM	VN008	3	1	1	1
R1COMM	VN008	4	2	9	9
R1COMM	VN008	5	1	2	1
R1COMM	VN008	6	1	1	1
R1COMM	VN008	7	1	2	1
R1COMM	VN008	8	1	1	1
R1COMM	VN008	9	1	1	1
R1COMM	VN009	1	1	4	3
R1COMM	VN009	2	2	9	9
R1COMM	VN009	3	1	1	1
R1COMM	VN009	4	2	9	9
R1COMM	VN009	5	1	4	3
R1COMM	VN009	6	1	1	1
R1COMM	VN009	7	2	9	9
R1COMM	VN009	8	1	1	1
R1COMM	VN009	9	1	1	1
R1COMM	VN010	1	1	3	1
R1COMM	VN010	2	2	9	9
R1COMM	VN010	3	1	1	1
R1COMM	VN010	4	2	9	9
R1COMM	VN010	5	1	3	1
R1COMM	VN010	6	1	1	1
R1COMM	VN010	7	2	9	9
R1COMM	VN010	8	1	1	1
R1COMM	VN010	9	1	1	1
R1COMM	VN011	1	1	4	2
R1COMM	VN011	2	2	9	9
R1COMM	VN011	3	1	1	1
R1COMM	VN011	4	2	9	9
R1COMM	VN011	5	1	4	2
R1COMM	VN011	6	1	9	9
R1COMM	VN011	7	2	9	9
R1COMM	VN011	8	1	1	1
R1COMM	VN011	9	1	1	1
R1COMM	VN012	1	1	4	2
R1COMM	VN012	2	2	9	9
R1COMM	VN012	3	1	1	1
R1COMM	VN012	4	2	9	9
R1COMM	VN012	5	1	4	2
R1COMM	VN012	6	2	9	9
R1COMM	VN012	7	2	9	9
R1COMM	VN012	8	1	1	1
R1COMM	VN012	9	1	1	1
R1COMM	VN013	1	1	4	1
R1COMM	VN013	2	2	9	9
R1COMM	VN013	3	1	1	1
R1COMM	VN013	4	2	9	9
R1COMM	VN013	5	1	4	1
R1COMM	VN013	6	1	1	1
R1COMM	VN013	7	2	9	9
R1COMM	VN013	8	1	1	1
R1COMM	VN013	9	1	1	1
R1COMM	VN014	1	1	2	1
R1COMM	VN014	2	2	9	9
R1COMM	VN014	3	1	1	1
R1COMM	VN014	4	2	9	9
R1COMM	VN014	5	1	2	1
R1COMM	VN014	6	1	1	1
R1COMM	VN014	7	1	1	1
R1COMM	VN014	8	1	1	1
R1COMM	VN014	9	1	1	1
R1COMM	VN015	1	1	4	3
R1COMM	VN015	2	2	9	9
R1COMM	VN015	3	1	1	1
R1COMM	VN015	4	2	9	9
R1COMM	VN015	5	1	4	3
R1COMM	VN015	6	2	9	9
R1COMM	VN015	7	2	9	9
R1COMM	VN015	8	2	9	9
R1COMM	VN015	9	2	9	9
R1COMM	VN016	1	1	4	2
R1COMM	VN016	2	2	9	9
R1COMM	VN016	3	1	2	1
R1COMM	VN016	4	2	9	9
R1COMM	VN016	5	1	4	2
R1COMM	VN016	6	2	9	9
R1COMM	VN016	7	2	9	9
R1COMM	VN016	8	1	1	1
R1COMM	VN016	9	1	4	2
R1COMM	VN017	1	2	9	9
R1COMM	VN017	2	2	9	9
R1COMM	VN017	3	1	3	1
R1COMM	VN017	4	2	9	9
R1COMM	VN017	5	1	1	1
R1COMM	VN017	6	2	9	9
R1COMM	VN017	7	2	9	9
R1COMM	VN017	8	1	1	1
R1COMM	VN017	9	2	9	9
R1COMM	VN018	1	2	9	9
R1COMM	VN018	2	2	9	9
R1COMM	VN018	3	1	1	1
R1COMM	VN018	4	2	9	9
R1COMM	VN018	5	2	9	9
R1COMM	VN019	1	1	4	1
R1COMM	VN019	2	2	9	9
R1COMM	VN019	3	1	1	1
R1COMM	VN019	4	2	9	9
R1COMM	VN019	5	1	4	1
R1COMM	VN019	6	2	9	9
R1COMM	VN019	7	2	9	9
R1COMM	VN019	8	1	1	1
R1COMM	VN019	9	1	1	1
R1COMM	VN020	1	1	1	1
R1COMM	VN020	2	2	9	9
R1COMM	VN020	3	1	1	1
R1COMM	VN020	4	2	9	9
R1COMM	VN020	5	1	1	1
R1COMM	VN020	6	2	9	9
R1COMM	VN020	7	2	9	9
R1COMM	VN020	8	1	1	1
R1COMM	VN020	9	1	1	1
R1COMM	VN021	1	2	9	9
R1COMM	VN021	2	2	9	9
R1COMM	VN021	3	1	1	1
R1COMM	VN021	4	2	9	9
R1COMM	VN021	5	2	9	9
R1COMM	VN021	6	2	9	9
R1COMM	VN021	7	2	9	9
R1COMM	VN021	8	2	9	9
R1COMM	VN021	9	2	9	9
R1COMM	VN022	1	1	2	1
R1COMM	VN022	2	2	9	9
R1COMM	VN022	3	1	1	1
R1COMM	VN022	4	2	9	9
R1COMM	VN022	5	1	2	1
R1COMM	VN022	6	2	9	9
R1COMM	VN022	7	2	9	9
R1COMM	VN022	8	1	1	1
R1COMM	VN022	9	1	1	1
R1COMM	VN023	1	1	2	1
R1COMM	VN023	2	2	9	9
R1COMM	VN023	3	1	1	1
R1COMM	VN023	4	2	9	9
R1COMM	VN023	5	1	2	1
R1COMM	VN023	6	2	9	9
R1COMM	VN023	7	2	9	9
R1COMM	VN023	8	1	2	1
R1COMM	VN023	9	1	1	1
R1COMM	VN024	1	1	3	1
R1COMM	VN024	2	2	9	9
R1COMM	VN024	3	1	1	1
R1COMM	VN024	4	2	9	9
R1COMM	VN024	5	1	3	1
R1COMM	VN024	6	2	9	9
R1COMM	VN024	7	2	9	9
R1COMM	VN024	8	1	1	1
R1COMM	VN024	9	1	1	1
R1COMM	VN025	1	1	2	1
R1COMM	VN025	2	2	2	1
R1COMM	VN025	3	1	1	1
R1COMM	VN025	4	2	2	1
R1COMM	VN025	5	2	2	1
R1COMM	VN025	6	2	2	1
R1COMM	VN025	7	2	2	1
R1COMM	VN025	8	1	2	1
R1COMM	VN025	9	1	1	1
R1COMM	VN026	1	1	2	1
R1COMM	VN026	2	2	9	9
R1COMM	VN026	3	1	1	1
R1COMM	VN026	4	2	9	9
R1COMM	VN026	5	1	2	1
R1COMM	VN026	6	2	9	9
R1COMM	VN026	7	2	9	9
R1COMM	VN026	8	1	1	1
R1COMM	VN026	9	1	1	1
R1COMM	VN027	1	1	2	1
R1COMM	VN027	2	2	9	9
R1COMM	VN027	3	1	1	1
R1COMM	VN027	4	2	9	9
R1COMM	VN027	5	1	2	1
R1COMM	VN027	6	2	9	9
R1COMM	VN027	7	2	9	9
R1COMM	VN027	8	1	1	1
R1COMM	VN027	9	1	1	1
R1COMM	VN028	1	1	2	1
R1COMM	VN028	2	1	2	1
R1COMM	VN028	3	1	1	1
R1COMM	VN028	4	2	9	9
R1COMM	VN028	5	1	2	1
R1COMM	VN028	6	1	2	1
R1COMM	VN028	7	2	9	9
R1COMM	VN028	8	1	1	1
R1COMM	VN028	9	1	2	1
R1COMM	VN029	1	1	1	1
R1COMM	VN029	2	1	1	1
R1COMM	VN029	3	1	1	1
R1COMM	VN029	4	2	9	9
R1COMM	VN029	5	1	1	1
R1COMM	VN029	6	1	1	1
R1COMM	VN029	7	2	9	9
R1COMM	VN029	8	1	1	1
R1COMM	VN029	9	1	1	1
R1COMM	VN030	1	1	2	1
R1COMM	VN030	2	2	9	9
R1COMM	VN030	3	1	1	1
R1COMM	VN030	4	2	9	9
R1COMM	VN030	5	1	2	1
R1COMM	VN030	6	1	1	1
R1COMM	VN030	7	2	9	9
R1COMM	VN030	8	1	1	1
R1COMM	VN030	9	1	1	1
R1COMM	VN031	1	1	1	1
R1COMM	VN031	2	1	2	1
R1COMM	VN031	3	1	1	1
R1COMM	VN031	4	2	9	9
R1COMM	VN031	5	1	1	1
R1COMM	VN031	6	1	1	1
R1COMM	VN031	7	1	1	1
R1COMM	VN031	8	1	1	1
R1COMM	VN031	9	1	1	1
