childid	actidr3	actr3	actownr3	actmnyr3	acthpyr3
PE051068	1	2	1	0	1
PE051068	2	1	1	0	5
PE051070	1	2	1	5	5
PE051071	1	2	1	0	4
PE051071	2	2	1	0	5
PE051071	3	2	1	0	5
PE051073	1	6	2	1	5
PE051073	2	2	1	0	4
PE051075	1	3	1	0	4
PE051076	1	2	1	0	5
PE051076	2	3	1	0	5
PE051076	3	1	1	0	5
PE051077	1	2	1	0	5
PE051077	2	3	1	0	5
PE051078	1	2	1	0	4
PE051078	2	2	1	0	5
PE051080	1	2	1	0	5
PE051082	1	2	1	0	4
PE051082	2	3	1	0	4
PE051083	1	2	1	0	4
PE051084	1	2	1	0	4
PE051086	1	2	1	0	5
PE051086	2	2	1	0	4
PE051086	3	2	1	0	5
PE051088	1	2	1	0	5
PE051088	2	3	1	0	4
PE051089	1	3	1	0	5
PE051090	1	2	1	0	4
PE051090	2	2	1	0	5
PE051091	1	3	1	0	3
PE051092	1	2	1	0	4
PE051092	2	4	1	0	5
PE051092	3	3	1	0	3
PE051093	1	2	1	0	5
PE051093	2	2	1	0	5
PE051093	3	3	1	0	5
PE051094	1	2	1	0	4
PE051094	2	2	1	0	4
PE051094	3	2	1	0	4
PE051097	1	2	1	0	4
PE051097	2	1	1	0	4
PE051098	1	2	1	0	5
PE051098	2	2	1	0	5
PE051098	3	3	1	0	5
PE051099	1	2	1	0	4
PE051100	1	2	1	0	5
PE051100	2	3	1	0	5
PE051102	1	2	1	0	4
PE051102	2	2	1	0	4
PE051102	3	2	1	0	4
PE051102	4	2	1	0	4
PE051103	1	4	1	0	 
PE061001	1	2	1	0	4
PE061002	1	2	1	0	3
PE061003	1	2	1	0	5
PE061004	1	2	1	0	5
PE061004	2	2	1	0	5
PE061006	1	2	1	0	5
PE061007	1	2	1	0	4
PE061008	1	2	1	0	4
PE061010	1	2	1	0	5
PE061010	2	2	1	0	5
PE061010	3	2	1	0	5
PE061011	1	2	1	0	5
PE061011	2	3	1	0	5
PE061012	1	2	1	0	4
PE061012	2	2	1	0	5
PE061013	1	2	1	0	4
PE061013	2	2	1	0	4
PE061014	1	2	1	0	5
PE061014	2	2	1	0	5
PE061015	1	2	1	0	5
PE061016	1	2	1	0	4
PE061018	1	2	1	0	5
PE061019	1	2	1	0	5
PE061022	1	2	1	0	5
PE061022	2	2	1	0	5
PE061024	1	2	1	0	5
PE061025	1	4	1	0	4
