childid	id	dpnamtr3	dpntmer3	dpnnumr3	cshrcdr3	cshamtr3	cshtmer3	cshnumr3
PE041033	8	600	5	12	0	 	 	 
PE041033	9	15	2	312	0	 	 	 
PE041039	1	15	2	12	0	 	 	 
PE041039	2	12	2	12	0	 	 	 
PE041045	1	120	3	30	0	 	 	 
PE041051	1	400	5	12	1	20	5	12
PE041051	3	200	5	2	0	 	 	 
PE041056	1	190	3	52	0	 	 	 
PE041061	1	260	5	12	0	 	 	 
PE041062	1	15	2	240	0	 	 	 
PE041066	1	400	4	24	0	 	 	 
PE041074	1	240	5	6	0	 	 	 
PE041075	1	80	5	8	0	 	 	 
PE041078	1	240	5	7	0	 	 	 
PE041081	1	240	5	6	0	 	 	 
PE041092	1	60	3	52	0	 	 	 
PE041092	2	60	3	10	0	 	 	 
PE041094	2	130	5	6	0	 	 	 
PE041097	16	672	5	9	0	 	 	 
PE041098	1	300	5	9	0	 	 	 
PE051001	6	78	3	52	0	 	 	 
PE051001	8	91	3	34	0	 	 	 
PE051001	9	91	3	39	0	 	 	 
PE051002	1	320	5	11	0	 	 	 
PE051003	1	20	2	250	0	 	 	 
PE051003	16	20	2	250	0	 	 	 
PE051004	16	25	2	365	0	 	 	 
PE051010	1	280	5	10	0	 	 	 
PE051014	1	90	3	45	0	 	 	 
PE051014	6	75	3	30	0	 	 	 
PE051014	7	25	3	30	0	 	 	 
PE051018	1	150	3	40	0	 	 	 
PE051018	2	150	3	12	0	 	 	 
PE051019	4	200	3	12	0	 	 	 
PE051019	4	120	3	5	0	 	 	 
PE051023	1	600	5	12	0	 	 	 
PE051027	1	700	5	12	1	400	8	1
PE051031	1	150	5	12	0	 	 	 
PE051031	2	550	5	12	0	 	 	 
PE051045	1	72	3	44	0	 	 	 
PE051045	2	72	3	4	0	 	 	 
PE051045	6	72	3	38	0	 	 	 
PE051047	1	495	3	2	0	 	 	 
PE051048	1	90	3	43	0	 	 	 
PE051048	2	60	3	30	0	 	 	 
PE051052	1	25	2	12	0	 	 	 
PE051056	1	160	5	11	0	 	 	 
PE051060	1	6000	4	10	0	 	 	 
PE051063	1	500	5	12	0	 	 	 
PE051063	2	1200	5	12	1	700	8	1
PE051065	1	1200	5	12	1	200	7	2
PE051067	1	240	3	52	0	 	 	 
PE051067	2	40	3	6	0	 	 	 
PE051069	16	60	3	34	0	 	 	 
PE051069	17	60	3	34	0	 	 	 
PE051072	8	250	5	6	0	 	 	 
PE051072	15	30	5	4	0	 	 	 
PE051074	2	1200	5	12	1	200	6	3
PE051075	1	25	2	26	0	 	 	 
PE051075	3	10	2	26	0	 	 	 
PE051075	4	10	2	39	0	 	 	 
PE051079	1	10	2	52	0	 	 	 
PE051081	1	240	5	8	0	 	 	 
PE051094	1	120	3	44	0	 	 	 
PE051094	2	120	4	24	0	 	 	 
PE051094	3	120	3	30	0	 	 	 
PE051095	1	700	5	12	1	1000	8	1
PE051098	1	850	5	12	0	 	 	 
PE051099	1	60	3	20	0	 	 	 
PE051099	3	60	3	40	0	 	 	 
PE051099	4	60	3	40	0	 	 	 
PE051105	5	180	3	52	0	 	 	 
PE061001	1	500	5	12	0	 	 	 
PE061003	1	550	5	12	1	150	7	2
PE061004	1	332	5	8	0	 	 	 
PE061004	2	1186	5	2	0	 	 	 
PE061004	3	330	5	7	0	 	 	 
PE061006	1	700	5	12	0	 	 	 
PE061008	1	100	3	48	0	 	 	 
PE061009	1	900	5	12	0	 	 	 
PE061013	2	160	5	11	0	 	 	 
PE061014	2	1200	5	11	1	700	8	1
PE061015	1	700	5	11	1	400	8	1
PE061017	1	750	5	12	0	 	 	 
PE061017	2	400	5	12	0	 	 	 
PE061018	1	225	3	10	0	 	 	 
PE061022	1	200	3	52	1	400	8	1
PE061022	2	300	5	11	1	200	8	1
PE061023	1	200	3	52	0	 	 	 
PE061026	1	1900	5	12	1	1900	7	2
PE061031	1	7000	5	8	0	 	 	 
PE061032	1	800	5	12	0	 	 	 
PE061035	1	150	3	52	0	 	 	 
PE061041	1	1200	5	11	1	1200	8	1
PE061043	1	180	3	12	1	200	5	1
PE061046	1	1100	5	12	1	400	7	2
PE061046	2	980	5	12	1	300	6	3
PE061052	1	1200	5	12	1	200	7	2
PE061052	2	1100	5	12	1	200	7	2
PE061052	6	800	5	12	1	200	7	2
PE061053	3	800	5	12	1	800	7	2
PE061054	1	600	5	10	1	500	7	1
PE061054	2	200	5	11	1	100	7	1
PE061056	5	700	5	12	0	 	 	 
PE061057	2	1134	5	12	1	540	8	1
PE061058	1	2000	5	12	0	 	 	 
PE061061	1	1000	5	12	1	250	7	1
PE061061	2	1500	5	8	1	700	7	1
PE061062	1	300	5	8	0	 	 	 
PE061067	1	400	5	12	0	 	 	 
PE061068	1	3500	5	9	1	700	5	9
PE061070	1	5000	5	12	0	 	 	 
PE061077	1	1300	5	12	1	700	8	1
PE061077	3	60	3	30	0	 	 	 
PE061078	1	1000	5	12	0	 	 	 
PE061080	3	700	5	12	0	 	 	 
PE061083	9	90	3	52	0	 	 	 
PE061084	90	600	5	11	0	 	 	 
PE061086	1	500	5	12	1	100	7	1
PE061086	6	1120	5	12	1	512	7	2
PE061087	10	260	5	2	0	 	 	 
PE061088	3	460	5	12	1	460	7	2
PE061088	5	500	5	12	1	200	7	2
PE061090	1	210	3	26	0	 	 	 
PE061090	5	350	4	22	0	 	 	 
PE061090	6	150	3	52	1	600	7	2
PE061090	7	450	4	24	1	900	7	2
PE061092	1	1300	5	11	0	 	 	 
PE061092	2	1200	5	11	0	 	 	 
PE061093	1	150	3	52	0	 	 	 
PE061094	1	800	5	12	0	 	 	 
PE061096	1	700	5	4	0	 	 	 
PE061097	3	100	3	52	0	 	 	 
PE061097	5	80	3	52	0	 	 	 
PE061098	1	800	5	12	0	 	 	 
PE061099	1	1000	5	12	1	1000	7	2
PE061099	6	140	3	52	0	 	 	 
PE061100	2	450	5	11	0	 	 	 
PE061100	6	450	5	11	0	 	 	 
PE071001	1	1080	5	12	1	350	7	2
PE071001	2	1050	5	12	1	350	7	2
PE071002	4	1200	5	12	1	1200	6	3
PE071002	5	550	5	12	0	 	 	 
PE071002	7	1000	5	6	0	 	 	 
PE071003	5	280	5	12	0	 	 	 
PE071004	1	3500	5	11	1	7000	8	1
PE071007	1	1000	5	12	1	700	8	1
PE071007	3	900	5	12	1	300	7	2
PE071008	1	5500	5	12	1	3000	7	2
PE071011	1	5000	5	1	0	 	 	 
PE071013	1	550	4	10	1	500	8	1
PE071013	1	1600	5	5	0	 	 	 
PE071014	5	140	3	44	0	 	 	 
PE071014	7	750	5	12	0	 	 	 
PE071014	7	300	4	20	0	 	 	 
PE071014	8	300	4	24	0	 	 	 
PE071017	1	1100	5	12	1	500	6	3
PE071017	2	1050	5	12	1	500	6	3
PE071020	2	1000	5	12	1	700	7	2
PE071021	1	800	5	12	1	400	7	2
PE071022	1	1300	5	12	1	500	7	2
PE071022	2	1300	5	12	1	500	7	2
PE071023	1	600	5	12	1	200	7	2
PE071023	4	200	5	12	0	 	 	 
PE071024	5	1500	5	12	0	 	 	 
PE071025	1	1300	5	12	0	 	 	 
PE071028	17	850	5	12	1	850	6	3
PE071029	7	1000	5	12	1	400	7	2
PE071033	1	2800	5	12	0	 	 	 
PE071033	2	1200	5	12	1	550	7	2
PE071034	2	470	5	12	1	400	7	2
PE071035	1	240	3	1	0	 	 	 
PE071035	1	1600	5	7	0	 	 	 
PE071035	1	2400	5	4	1	 	8	1
PE071036	5	600	5	3	0	 	 	 
PE071036	5	300	5	1	0	 	 	 
PE071037	1	3500	5	12	1	3400	7	2
PE071039	1	550	4	24	1	960	8	1
PE071040	1	150	5	12	0	 	 	 
PE071040	2	450	5	12	0	 	 	 
PE071041	1	280	3	52	1	1120	6	3
PE071041	2	600	5	9	0	 	 	 
PE071042	1	1250	5	12	1	2500	7	2
PE071042	2	330	5	9	0	 	 	 
PE071042	6	800	5	12	1	1000	7	2
PE071042	8	1100	5	7	1	1100	8	1
PE071044	1	400	5	12	0	 	 	 
PE071044	2	200	5	7	0	 	 	 
PE071045	4	200	5	12	0	 	 	 
PE071047	1	1400	5	12	1	1400	7	2
PE071049	1	550	5	10	1	550	8	1
PE071049	2	1800	5	12	1	1800	7	2
PE071049	18	1200	5	12	0	 	 	 
PE071051	1	160	5	12	0	 	 	 
PE071052	1	1200	5	10	1	400	7	2
PE071053	1	1500	5	10	0	 	 	 
PE071055	1	200	5	2	0	 	 	 
PE071055	2	800	5	12	0	 	 	 
PE071057	2	1000	5	12	1	5000	8	1
PE071060	1	800	5	12	1	1600	8	1
PE071061	1	400	5	12	0	 	 	 
PE071061	3	60	3	34	0	 	 	 
PE071064	1	100	3	52	0	 	 	 
PE071064	3	150	3	52	0	 	 	 
PE071066	1	120	3	44	0	 	 	 
PE071068	1	2500	5	7	1	1250	7	1
PE071069	1	700	5	12	0	 	 	 
PE071069	2	700	5	12	0	 	 	 
PE071069	5	700	5	12	0	 	 	 
PE071069	6	550	5	12	1	550	7	2
PE071070	3	800	5	12	1	1000	7	2
PE071070	6	1200	5	12	1	77	7	2
PE071070	7	450	5	12	1	200	7	2
PE071070	8	600	5	12	0	 	 	 
PE071071	1	37	2	52	0	 	 	 
PE071072	1	1400	5	12	1	3400	7	2
PE071072	3	1800	5	10	1	3600	7	2
PE071075	5	150	3	45	0	 	 	 
PE071078	2	1350	5	7	0	 	 	 
PE071080	1	650	5	6	0	 	 	 
PE071081	1	650	5	12	1	100	7	2
PE071081	2	300	5	3	0	 	 	 
PE071084	1	400	5	3	0	 	 	 
PE071084	1	400	5	1	0	 	 	 
PE071087	1	250	5	12	0	 	 	 
PE071087	4	90	3	52	0	 	 	 
PE071088	1	175	3	52	1	500	6	2
PE071089	6	600	5	12	1	180	7	2
PE071090	1	1200	5	10	1	1200	8	1
PE071090	4	870	5	10	1	870	8	1
PE071090	6	1200	5	10	1	1200	8	1
PE071091	1	750	5	12	1	100	8	1
PE071093	1	660	5	12	1	200	7	2
PE071093	2	350	5	2	0	 	 	 
PE071094	1	1000	5	12	1	300	6	3
PE071095	2	605	5	10	1	405	8	1
PE071095	90	1500	5	6	1	300	7	2
PE071096	1	1300	5	2	0	 	 	 
PE071096	2	975	5	12	0	 	 	 
PE071098	1	600	5	12	0	 	 	 
PE071099	1	120	3	44	0	 	 	 
PE071100	1	800	5	12	1	1100	7	2
PE071101	12	700	5	12	0	 	 	 
PE071102	1	600	5	3	0	 	 	 
PE071102	2	1200	5	4	1	1200	8	1
PE071103	1	1200	5	8	1	1200	8	1
PE071103	2	900	5	3	0	 	 	 
PE071103	3	300	5	5	0	 	 	 
PE071104	2	3800	5	12	1	300	7	2
PE071104	2	1500	5	6	0	 	 	 
PE071105	1	300	5	9	0	 	 	 
PE071106	2	150	5	12	0	 	 	 
PE081002	5	160	3	52	0	 	 	 
PE081005	1	1500	5	12	0	 	 	 
PE081005	6	800	5	12	0	 	 	 
PE081006	1	800	5	12	1	200	7	2
PE081006	2	75	3	24	0	 	 	 
PE081008	1	120	3	52	1	100	8	1
PE081009	1	600	5	11	0	 	 	 
PE081012	1	800	5	9	0	 	 	 
PE081013	6	750	5	12	0	 	 	 
PE081014	2	400	5	12	1	400	8	1
PE081015	2	400	3	11	0	 	 	 
PE081015	4	600	3	9	0	 	 	 
PE081015	5	300	3	10	0	 	 	 
PE081015	6	470	5	9	0	 	 	 
PE081015	7	470	5	12	1	200	8	1
PE081016	2	360	4	24	0	 	 	 
PE081020	3	600	5	12	1	600	8	1
PE081020	4	500	5	12	1	500	8	1
PE081021	4	1300	5	12	0	 	 	 
PE081021	5	550	5	12	0	 	 	 
PE081021	7	600	5	12	0	 	 	 
PE081023	17	120	3	52	0	 	 	 
PE081031	1	900	5	12	0	 	 	 
PE081032	1	920	5	12	1	2100	7	2
PE081035	1	1200	5	7	1	150	8	1
PE081036	3	250	3	52	0	 	 	 
PE081036	4	120	3	52	0	 	 	 
PE081036	6	100	3	52	0	 	 	 
PE081036	8	100	3	52	0	 	 	 
PE081038	2	200	3	52	0	 	 	 
PE081040	7	600	5	12	1	600	8	1
PE081043	1	600	5	12	0	 	 	 
PE081045	1	800	5	8	0	 	 	 
PE081045	2	1500	5	4	1	1000	8	1
PE081045	3	25	3	30	0	 	 	 
PE081046	1	500	5	12	1	200	8	1
PE081046	2	600	5	12	0	 	 	 
PE081047	1	800	5	12	1	800	8	1
PE081051	2	816	5	12	0	 	 	 
PE081052	17	700	4	24	1	1400	7	2
PE081054	1	20	2	300	0	 	 	 
PE081057	2	400	5	12	0	 	 	 
PE081057	5	700	5	12	1	700	7	2
PE081060	1	700	5	12	1	1400	8	1
PE081061	1	700	5	12	1	1400	8	1
PE081062	1	300	4	7	0	 	 	 
PE081062	1	400	4	16	0	 	 	 
PE081062	2	80	3	14	0	 	 	 
PE081063	1	180	3	20	0	 	 	 
PE081065	5	480	5	12	1	400	7	2
PE081067	2	470	5	12	0	 	 	 
PE081069	1	1500	5	11	0	 	 	 
PE081073	1	170	3	52	0	 	 	 
PE081073	2	60	3	 	0	 	 	 
PE081076	1	145	3	52	1	150	7	2
PE081078	1	800	5	12	1	800	7	2
PE081078	2	350	5	4	0	 	 	 
PE081084	1	250	3	52	1	600	8	1
PE081088	1	800	5	12	1	500	8	1
PE081088	16	350	5	7	0	 	 	 
PE081088	18	60	3	12	0	 	 	 
PE081091	1	1000	5	12	1	900	8	1
PE081091	3	200	5	12	0	 	 	 
PE081092	1	800	5	5	1	230	8	1
PE081093	1	416.600006103516	3	36	1	1200	7	1
PE081099	2	1500	5	12	1	3000	8	1
PE081102	9	200	3	9	0	 	 	 
PE081102	9	200	3	44	0	 	 	 
PE091001	1	60	3	52	0	 	 	 
PE091006	1	20	2	75	0	 	 	 
PE091007	1	260	5	2	0	 	 	 
PE091008	1	12	2	300	0	 	 	 
PE091009	1	1100	5	12	1	200	7	2
PE091009	2	1100	5	12	1	200	7	2
PE091011	1	120	3	30	0	 	 	 
PE091011	4	120	3	21	0	 	 	 
PE091013	1	90	3	52	0	 	 	 
PE091013	2	60	3	26	0	 	 	 
PE091015	2	600	5	12	1	1200	8	1
PE091015	8	300	5	6	0	 	 	 
PE091022	2	90	3	26	0	 	 	 
PE091022	5	90	3	24	0	 	 	 
PE091022	6	18	2	24	0	 	 	 
PE091023	14	280	5	9	0	 	 	 
PE091026	2	10	2	100	0	 	 	 
PE091027	1	700	5	12	0	 	 	 
PE091027	3	180	3	26	0	 	 	 
PE091028	1	250	4	24	0	 	 	 
PE091028	3	120	3	50	0	 	 	 
PE091029	1	150	3	10	1	300	6	1
PE091029	2	150	3	8	1	300	6	1
PE091030	2	15	2	150	0	 	 	 
PE091030	3	15	2	61	0	 	 	 
PE091030	4	15	2	61	0	 	 	 
PE091031	2	800	5	12	1	800	7	2
PE091032	1	900	5	12	0	 	 	 
PE091032	2	720	5	12	0	 	 	 
PE091033	6	151	3	52	1	480	8	1
PE091035	1	16000	7	2	0	 	 	 
PE091036	2	150	3	46	0	 	 	 
PE091037	1	800	5	12	1	800	7	2
PE091040	1	700	5	12	1	400	7	2
PE091041	1	110	3	34	0	 	 	 
PE091042	1	1150	5	12	1	680	8	1
PE091043	1	170	3	20	0	 	 	 
PE091043	1	15	2	140	0	 	 	 
PE091044	16	600	4	6	0	 	 	 
PE091045	1	150	3	52	1	600	7	2
PE091046	2	90	3	11	0	 	 	 
PE091047	1	210	3	52	0	 	 	 
PE091048	1	120	3	52	0	 	 	 
PE091049	1	90	3	44	0	 	 	 
PE091049	3	90	3	26	0	 	 	 
PE091051	1	120	3	12	0	 	 	 
PE091052	1	150	3	16	0	 	 	 
PE091053	2	100	3	52	0	 	 	 
PE091054	1	120	3	52	0	 	 	 
PE091055	17	140	3	52	0	 	 	 
PE091057	1	472	5	10	0	 	 	 
PE091057	1	75	3	9	0	 	 	 
PE091058	1	120	3	52	0	 	 	 
PE091059	1	90	3	52	0	 	 	 
PE091060	1	120	3	12	0	 	 	 
PE091061	2	120	3	8	0	 	 	 
PE091063	1	15	3	36	0	 	 	 
PE091064	1	15	2	200	0	 	 	 
PE091065	1	70	3	52	0	 	 	 
PE091066	1	150	3	35	0	 	 	 
PE091067	2	60	5	6	0	 	 	 
PE091067	6	80	4	12	0	 	 	 
PE091068	2	240	3	10	0	 	 	 
PE091068	7	150	3	16	0	 	 	 
PE091069	2	302	4	24	0	 	 	 
PE091072	1	100	3	13	0	 	 	 
PE091073	1	550	5	12	1	2200	8	1
PE091074	1	15	2	70	0	 	 	 
PE091075	1	100	3	52	0	 	 	 
PE091075	17	120	3	52	0	 	 	 
PE091076	1	240	5	3	0	 	 	 
PE091076	3	240	5	6	0	 	 	 
PE091078	1	120	3	46	0	 	 	 
PE091080	1	45	3	38	0	 	 	 
PE091081	1	90	3	48	0	 	 	 
PE091083	1	100	3	34	0	 	 	 
PE091085	1	25	2	84	0	 	 	 
PE091086	2	10	3	48	0	 	 	 
PE091087	1	15	2	240	0	 	 	 
PE091088	1	800	5	8	1	50	8	1
PE091089	1	900	5	12	0	 	 	 
PE091090	1	15	2	80	0	 	 	 
PE091091	2	196	3	34	0	 	 	 
PE091093	1	198	5	3	0	 	 	 
PE091095	2	140	3	4	0	 	 	 
PE091095	4	140	3	7	0	 	 	 
PE091098	1	10	2	24	0	 	 	 
PE091099	2	160	3	34	0	 	 	 
PE091100	2	90	3	44	0	 	 	 
PE091101	1	20	2	168	0	 	 	 
PE091101	6	20	2	168	0	 	 	 
PE091102	1	90	3	39	0	 	 	 
PE091103	1	6	2	308	0	 	 	 
PE101001	1	500	5	12	0	 	 	 
PE101002	1	350	3	12	0	 	 	 
PE101003	1	1090	5	12	1	300	7	2
PE101003	1	720	5	12	0	 	 	 
PE101004	1	1200	5	12	1	700	8	1
PE101006	2	1250	5	10	1	200	6	3
PE101007	1	2800	5	12	0	 	 	 
PE101008	1	550	5	12	0	 	 	 
PE101010	1	1000	5	12	1	1000	7	1
PE101011	1	1200	5	12	1	900	8	1
PE101011	2	820	5	12	0	 	 	 
PE101012	1	350	5	9	0	 	 	 
PE101012	2	300	5	1	0	 	 	 
PE101013	1	1100	5	12	1	200	7	2
PE101014	2	1200	5	12	1	1000	8	1
PE101019	1	3500	5	12	1	3500	8	1
PE101019	3	1800	5	12	1	1800	8	1
PE101019	7	1000	5	12	1	1000	8	1
PE101020	1	1300	5	12	1	1300	7	2
PE101023	3	1120	5	12	0	 	 	 
PE101023	4	1200	5	12	0	 	 	 
PE101024	1	1500	5	12	1	500	7	2
PE101025	2	2500	5	12	1	7500	8	1
PE101028	1	900	5	12	1	1350	8	1
PE101028	2	1300	5	12	1	2600	8	1
PE101028	4	900	5	12	0	 	 	 
PE101028	16	1200	5	12	0	 	 	 
PE101029	3	750	5	12	1	400	8	1
PE101030	8	300	3	52	0	 	 	 
PE101031	1	1450	5	12	1	1450	7	2
PE101031	2	1200	5	12	1	200	7	2
PE101032	3	10	2	240	0	 	 	 
PE101033	1	800	5	12	0	 	 	 
PE101033	2	150	5	4	0	 	 	 
PE101036	2	550	5	12	1	100	7	2
