childid	id	incincr3	incprdr3	incernr3	inctmer3	incnumr3
PE081026	1	 	 	200	3	52
PE081027	1	1650	150	1500	5	12
PE081028	1	2210	2000	210	3	52
PE081029	2	34	20	14	2	365
PE081030	3	350	200	150	3	52
PE081033	18	1000	600	400	5	6
PE081033	19	 	 	40	6	4
PE081034	1	25	5	20	2	360
PE081037	1	320	0	320	5	12
PE081037	1	50	0	50	5	2
PE081041	1	80	30	50	2	312
PE081042	1	35	20	15	2	300
PE081044	2	130	90	40	2	340
PE081049	1	162	12	150	3	52
PE081050	2	 	 	150	3	44
PE081053	1	 	 	300	3	52
PE081055	3	600	400	200	3	52
PE081056	1	80	40	40	3	52
PE081058	1	350	280	70	2	270
PE081059	3	 	 	100	3	44
PE081064	1	600	400	200	5	12
PE081064	2	1600	600	1000	5	12
PE081064	4	 	 	500	5	12
PE081064	5	 	 	 	5	12
PE081066	1	 	 	240	3	52
PE081068	1	 	 	250	3	52
PE081070	2	 	 	600	5	12
PE081070	4	 	 	210	3	52
PE081071	1	150	50	100	3	52
PE081072	4	175	0	175	3	52
PE081074	1	90	65	25	2	216
PE081075	1	400	100	300	3	52
PE081077	20	2700	300	2400	8	1
PE081079	1	878.1	738.1	140	3	52
PE081080	2	2500	1300	1200	5	12
PE081081	1	35	20	15	2	365
PE081081	2	80	45	35	2	365
PE081082	1	85	35	50	2	300
PE081083	1	2400	900	1500	5	12
PE081086	4	2500	700	1800	5	12
PE081087	1	15	0	15	2	36
PE081087	17	600	300	300	3	34
PE081089	2	360	180	180	3	52
PE081090	1	40	5	35	2	250
PE081095	3	 	 	2000	5	12
PE081096	1	130	50	80	2	365
PE081098	2	 	 	40	2	365
PE091002	2	230	210	20	2	20
PE091003	1	850	400	450	8	1
PE091004	1	1000	400	600	8	1
PE091010	1	1000	500	500	5	12
PE091010	1	24000	12000	12000	8	1
PE091012	1	2300	300	2000	8	1
PE091014	1	 	 	1000	8	1
PE091016	1	200	100	100	3	17
PE091017	1	 	 	1000	3	44
PE091018	1	600	100	500	5	12
PE091018	1	350	50	300	5	12
PE091019	2	2100	100	2000	8	1
PE091020	1	 	 	800	5	12
PE091024	2	1147	300	847	8	1
PE091025	2	93.8	63.8	30	2	345
PE091034	1	160	10	150	4	24
PE091038	1	 	 	250	3	50
PE091039	1	230	200	30	2	350
PE091050	1	 	 	200	8	1
PE091056	17	500	400	100	3	24
PE091062	1	750	50	700	8	1
PE091071	1	140	0	140	5	8
PE091077	2	240	96	144	3	34
PE091079	2	1125	1000	125	8	1
PE091082	5	370	300	70	2	144
PE091092	1	32400	21000	11400	8	1
PE091094	3	232.5	85	147.5	8	1
PE091096	3	700	300	400	8	1
PE091097	1	9600	5600	4000	8	1
PE101005	2	1100	310	790	5	10
PE101009	1	1600	600	1000	5	12
PE101015	1	5800	5000	800	5	12
PE101015	2	350	50	300	5	3
PE101016	1	 	 	30	2	288
PE101017	2	65	30	35	2	26
PE101018	1	2000	500	1500	5	12
PE101021	2	500	400	100	8	1
PE101022	1	2400	600	1800	5	11
PE101022	2	800	200	600	5	11
PE101026	2	100	70	30	2	360
PE101027	0	100	20	80	5	12
PE101027	2	8000	7440	560	3	52
PE101027	4	100	20	80	5	12
PE101034	1	 	 	300	5	12
PE101034	2	 	 	300	5	12
PE101039	1	260	200	60	2	331
PE101045	2	40	10	30	2	365
PE101051	1	1000	200	800	5	12
PE101054	1	70	30	40	3	52
PE101056	3	220	50	170	3	52
PE101057	2	800	180	620	5	12
PE101058	1	2000	1100	900	5	12
PE101059	1	1500	500	1000	5	12
PE101060	1	660	480	180	3	52
PE101062	1	 	 	800	5	12
PE101065	2	75	50	25	2	365
PE101065	3	58	50	8	2	365
PE101070	2	 	 	150	5	12
PE101074	2	 	 	60	3	52
PE101078	3	1500	1000	500	5	12
PE101079	1	1000	750	250	3	52
PE101081	2	40	0	40	3	52
PE101083	2	350	200	150	3	9
PE101087	1	80	60	20	2	365
PE101088	2	2700	1020	1680	5	7
PE101090	1	35	15	20	2	10
PE101094	2	140	70	70	2	360
PE101094	2	1500	700	800	5	12
PE101095	1	400	320	80	2	308
PE101097	1	15070	13650	1420	5	12
PE101098	2	500	180	320	5	12
PE101098	3	120	80	40	3	52
PE101098	4	80	50	30	3	52
PE101100	1	900	0	900	3	48
PE101102	1	25	0	25	3	50
PE101102	2	 	 	120	3	52
PE101104	1	 	 	500	3	52
PE101105	1	420	120	300	2	365
PE111002	1	50	20	30	2	12
PE111003	1	55	30	25	2	320
PE111015	2	440	200	240	3	48
PE111019	5	 	 	200	3	12
PE111022	16	175	0	175	3	34
PE111027	2	 	 	60	3	39
PE111028	1	1970	530	1440	8	1
PE111032	5	14000	4500	9500	8	1
PE111037	1	300	100	200	3	12
PE111042	1	250	20	230	3	35
PE111049	1	700	0	700	8	1
PE111059	2	60	10	50	5	12
PE111065	1	 	 	100	3	34
PE111070	2	30	1	29	3	52
PE111072	2	40	25	15	2	335
PE111074	1	1720	334	1386	8	1
PE111082	18	110	100	10	2	360
PE111083	2	960	360	600	5	12
PE111096	1	1670	70	1600	8	1
PE111101	1	80	60	20	2	65
PE111102	2	3900	1000	2900	8	1
PE121001	2	800	200	600	5	12
PE121002	1	 	 	350	3	48
PE121003	2	600	0	600	3	52
PE121004	16	2400	40	2360	5	12
PE121006	3	75	45	30	2	52
PE121008	2	2100	1500	600	5	12
PE121009	2	500	100	400	5	12
PE121015	1	9600	6000	3600	5	12
PE121016	1	 	 	1500	5	12
PE121017	3	21000	13000	8000	3	30
PE121019	1	110	80	30	2	309
PE121020	1	700	300	400	4	24
PE121023	17	1060	220	840	5	12
PE121024	1	25	8	17	2	365
PE121026	1	300	200	100	2	355
PE121026	6	50	25	25	2	312
PE121026	7	90	40	50	2	312
PE121028	1	600	150	450	5	12
PE121029	2	100	90	10	2	365
PE121030	1	 	 	1250	5	7
PE121031	1	660	360	300	3	52
PE121033	2	720	360	360	3	52
PE121034	8	2400	540	1860	5	12
PE121038	2	405	162	243	5	12
PE121038	16	 	 	272	5	7
PE121039	1	14000	8000	6000	5	12
PE121040	1	 	 	40	2	317
PE121044	2	50	20	30	2	52
PE121047	1	 	 	800	5	12
PE121049	2	350	175	175	3	17
PE121054	1	102	70	32	2	312
PE121055	2	77	77	1200	5	12
PE121057	8	300	150	150	3	44
PE121058	2	30	15	15	2	104
PE121059	1	2000	1500	500	3	52
PE121060	18	672	288	384	5	2
PE121061	1	30	6	24	2	12
PE121063	1	40	23	17	2	52
PE121066	1	115	100	15	2	52
PE121070	2	200	150	50	2	312
PE121071	4	20000	18500	1500	5	12
PE121072	1	1500	500	1000	5	12
PE121074	2	410	260	150	3	52
PE121074	2	140	100	40	3	16
PE121075	1	8000	7500	500	5	12
PE121075	2	6000	5700	300	5	12
PE121077	2	800	700	100	3	52
PE121078	2	252	54	198	5	12
PE121083	1	70	30	40	2	300
PE121083	2	60	50	10	2	180
PE121084	9	620	420	200	3	52
PE121086	1	9600	7200	2400	5	12
PE121087	1	 	 	200	3	52
PE121087	4	 	 	170	3	52
PE121088	1	4000	3000	1000	5	12
PE121092	1	320	53	267	3	52
PE121093	3	 	 	200	2	288
PE121096	4	 	 	5000	5	12
PE121097	8	2200	1000	1200	5	12
PE121098	2	100	50	50	3	52
PE121098	2	30	20	10	2	230
PE121098	2	95	25	70	3	30
PE121098	2	52	10	42	3	52
PE121101	2	500	250	250	3	52
PE131002	1	 	 	150	3	52
PE131002	2	 	 	200	5	12
PE131002	4	 	 	250	3	52
PE131003	1	 	 	480	3	48
PE131005	1	1140	840	300	3	52
PE131005	5	270	150	120	2	52
PE131006	2	550	230	320	2	10
PE131007	16	420	70	350	3	30
PE131009	1	11700	6000	5700	8	1
PE131010	1	300	100	200	3	34
PE131013	3	1100	700	400	3	52
PE131013	6	 	 	200	3	52
PE131016	1	400	340	60	2	340
PE131017	2	720	480	240	3	52
PE131018	1	 	 	100	3	52
PE131018	2	 	 	100	3	20
PE131023	1	1200	510	690	5	12
PE131030	2	 	 	300	3	48
PE131034	2	300	180	120	3	9
PE131038	1	500	400	100	2	360
PE131039	1	500	300	200	3	12
PE131045	1	28000	25680	2320	8	1
PE131049	2	1000	920	80	3	52
PE131050	1	1260	700	560	3	39
PE131058	1	 	 	620	3	52
PE131060	1	 	 	300	3	52
PE131063	1	1350	650	700	5	12
PE131075	2	 	 	35	3	52
PE131076	2	36000	24000	12000	8	1
PE131076	4	5000	2500	2500	5	12
PE131076	4	400	300	100	3	52
PE131078	1	100	60	40	2	22
PE131080	1	845	545	300	3	52
PE131081	4	450	0	450	5	12
PE131081	5	150	0	150	5	3
PE131081	6	100	0	100	3	26
PE131083	17	175	0	175	3	52
PE131085	2	1360	860	500	3	52
PE131089	2	140	52.5	87.5	3	34
PE131089	6	 	 	160	3	52
PE131093	1	240	120	120	3	52
PE131094	2	90	50	40	2	365
PE131095	1	170	50	120	3	52
PE131097	2	175	0	175	3	48
PE131098	4	1500	900	600	3	28
PE131100	1	120	20	100	3	52
PE131102	1	500	200	300	3	52
PE141006	1	 	 	400	5	8
PE141006	2	 	 	200	5	8
PE141008	1	450	100	350	5	12
PE141008	4	450	100	350	5	8
PE141008	7	500	100	400	5	10
PE141009	6	300	60	240	3	52
PE141010	1	150	30	120	8	1
PE141010	3	 	 	 	 	 
PE141015	1	13000	10000	3000	5	6
PE141016	1	100	70	30	2	312
PE141019	2	900	150	750	5	12
PE141024	1	680	0	680	3	48
PE141025	1	3897	1270	2627	5	12
PE141026	1	80	50	30	2	288
PE141030	1	600	150	450	5	12
PE141033	2	 	 	700	5	8
PE141040	9	 	 	150	2	330
PE141041	2	28800	16200	12600	8	1
PE141041	3	108000	43920	64080	8	1
PE141042	3	3000	1500	1500	5	12
PE141046	1	17280	14856	2424	8	1
PE141049	1	720	360	360	3	52
PE141056	1	 	 	50	2	330
PE141064	2	1200	300	900	5	12
PE141065	1	70	40	30	2	180
PE141065	1	80	60	20	2	180
PE141065	2	70	50	20	2	180
PE141066	1	 	 	30	2	2
PE141067	1	 	 	800	5	12
PE141068	1	50	30	20	2	270
PE141068	2	45	30	15	2	150
PE141073	1	300	50	250	3	44
PE141074	2	 	 	240	3	52
PE141079	6	910	385	525	3	12
PE141081	1	 	 	2000	5	10
PE141083	1	77	77	420	3	52
PE141085	2	4000	1500	2500	8	1
PE141092	6	 	 	2000	5	12
PE141093	1	 	 	2000	5	12
PE141094	1	126	6	120	3	51
PE141095	1	116280	92280	24000	8	1
PE141096	1	400	50	350	4	12
PE141096	1	1200	200	1000	5	6
PE141099	17	 	 	840	3	26
PE141100	3	1640	1080	560	5	12
PE151001	1	4800	1600	3200	8	1
PE151002	2	24	0	24	2	48
PE151004	1	1080	700	380	3	52
PE151007	2	350	200	150	3	52
PE151007	2	110	55	55	2	104
PE151009	1	1250	450	800	5	12
PE151010	1	36000	4500	31500	8	1
PE151012	1	5000	200	4800	8	1
PE151013	17	280	140	140	3	44
PE151014	2	5000	2500	2500	8	1
PE151019	1	2750	750	2000	8	1
PE151025	2	4500	1500	3000	5	10
PE151025	6	2000	1000	1000	5	12
PE151026	1	7000	1200	5800	8	1
PE151028	1	1650	0	1650	8	1
PE151030	1	1400	130	1270	8	1
PE151033	13	4100	1500	2600	8	1
PE151034	2	80	2	78	3	52
PE151036	1	4465	180	4285	8	1
PE151036	1	120	10	110	8	1
PE151038	2	70	30	40	2	100
PE151040	1	2000	0	2000	8	1
PE151041	1	700	200	500	3	12
PE151044	2	1700	735	965	5	9
PE151045	1	10000	4000	6000	8	1
PE151047	2	52	2	50	3	52
PE151048	1	4800	1000	3800	8	1
PE151051	2	1300	1000	300	5	12
PE151061	3	456	0	456	8	1
PE151063	1	600	200	400	5	12
PE151066	1	500	20	480	4	3
PE151066	2	200	150	50	5	12
PE151067	1	707	100	607	5	12
PE151068	4	120	105	15	2	365
PE151069	1	280	70	210	3	39
PE151072	1	 	 	150	3	24
PE151073	16	 	 	4000	8	1
PE151074	1	12150	300	11850	8	1
PE151075	1	 	 	200	3	52
PE151076	1	2170	1960	210	3	52
PE151079	1	1900	400	1500	5	12
PE151080	1	2600	1590	1010	5	10
PE151081	1	800	100	700	5	12
PE151082	1	3980	350	3630	8	1
PE151083	1	1500	1200	300	3	52
PE151087	2	6800	200	6600	8	1
PE151088	1	6100	100	6000	8	1
PE151090	1	350	300	50	2	360
PE151091	3	22000	10990	11010	8	1
PE151092	1	750	130	620	8	1
PE151095	2	9600	3600	6000	8	1
PE151096	1	 	 	1300	8	1
PE151097	19	24000	9000	15000	8	1
PE151099	2	 	 	900	5	8
PE151100	1	 	 	30	8	1
PE151104	1	 	 	2500	6	3
PE151106	1	 	 	10	6	3
PE151106	4	 	 	300	6	3
PE151108	1	10000	500	9500	8	1
PE151109	1	2700	700	2000	8	1
PE151110	1	7250	3000	4250	8	1
PE151111	1	2389	0	2389	8	1
PE151112	1	600	0	600	5	12
PE151113	1	 	 	16	2	300
PE151113	2	9	0	9	2	144
