childid	nmnincid	nmnamtr3	nmntmer3	nmnnumr3
PE091037	1	600	5	12
PE091039	1	7.5	2	12
PE091040	1	0	 	 
PE091041	1	0	 	 
PE091042	1	0	 	 
PE091043	1	700	8	1
PE091044	15	0	 	 
PE091045	1	0	 	 
PE091046	2	21	3	48
PE091047	1	200	8	1
PE091048	1	0	 	 
PE091049	1	0	 	 
PE091049	3	0	 	 
PE091050	2	120	5	6
PE091051	1	0	 	 
PE091052	1	160	8	1
PE091053	2	80	 	 
PE091054	1	0	 	 
PE091055	17	80	8	1
PE091056	1	0	 	 
PE091057	1	60	5	10
PE091058	1	0	 	 
PE091059	1	24	3	52
PE091061	2	0	 	 
PE091063	1	30	3	36
PE091064	1	5	2	200
PE091065	1	1560	8	1
PE091066	1	0	 	 
PE091067	2	126	8	1
PE091067	6	294	8	1
PE091068	2	0	 	 
PE091068	7	0	 	 
PE091072	1	195	8	1
PE091073	1	180	8	1
PE091074	1	7	2	70
PE091075	1	0	 	 
PE091075	17	0	 	 
PE091076	1	80	5	2
PE091076	3	80	5	6
PE091078	1	0	 	 
PE091079	1	216	8	1
PE091080	1	10	2	72
PE091081	1	160	8	1
PE091082	1	0	 	 
PE091083	1	0	 	 
PE091085	1	10	2	84
PE091086	2	0	 	 
PE091087	1	 	 	 
PE091088	1	2400	8	1
PE091089	1	1	2	286
PE091090	1	5	2	80
PE091091	2	0	 	 
PE091092	1	160	8	1
PE091093	1	144	5	3
PE091094	1	0	 	 
PE091095	2	0	 	 
PE091095	4	0	 	 
PE091096	3	690	8	1
PE091097	1	10	2	84
PE091098	1	15	2	24
PE091099	2	80	8	1
PE091100	2	0	 	 
PE091101	1	117	5	7
PE091101	6	117	5	7
PE091102	1	0	 	 
PE091103	1	5	2	308
PE101001	1	0	 	 
PE101002	1	0	 	 
PE101003	1	0	 	 
PE101004	1	0	 	 
PE101006	2	0	 	 
PE101007	1	0	 	 
PE101008	1	150	8	1
PE101009	2	0	 	 
PE101010	1	200	8	1
PE101011	1	800	8	1
PE101011	2	0	 	 
PE101012	1	290	5	9
PE101012	2	232	5	1
PE101013	1	0	 	 
PE101014	2	0	 	 
PE101015	2	0	 	 
PE101016	4	5	2	288
PE101016	5	5	2	168
PE101019	1	3000	8	1
PE101019	3	0	 	 
PE101019	7	0	 	 
PE101020	1	260	5	12
PE101023	4	0	 	 
PE101024	1	0	 	 
PE101025	2	800	8	3
PE101025	2	200	5	12
PE101028	1	150	8	1
PE101028	2	300	8	1
PE101028	4	0	 	 
PE101028	16	0	 	 
PE101029	3	0	 	 
PE101030	8	0	 	 
PE101031	1	300	5	12
PE101031	2	0	 	 
PE101032	3	0	 	 
PE101033	1	150	7	2
PE101033	2	0	 	 
PE101036	2	0	 	 
PE101037	1	0	 	 
PE101037	3	0	 	 
PE101040	2	50	7	2
PE101041	1	0	 	 
PE101043	6	100	8	1
PE101043	6	200	8	1
PE101044	1	5	2	360
PE101045	1	0	 	 
PE101048	2	150	7	2
PE101049	1	96	5	1
PE101049	2	0	 	 
PE101049	3	0	 	 
PE101050	1	56	5	5
PE101052	2	0	 	 
PE101053	2	300	5	12
PE101053	2	440	7	2
PE101056	8	7	2	360
PE101061	2	0	 	 
PE101063	6	0	 	 
PE101064	3	0	 	 
PE101066	1	0	 	 
PE101066	2	3	2	96
PE101067	1	0	 	 
PE101068	1	0	 	 
PE101071	10	1170	8	1
PE101072	1	0	 	 
PE101072	2	0	 	 
PE101073	2	2400	8	1
PE101073	3	0	 	 
PE101074	1	0	 	 
PE101075	1	0	 	 
PE101075	2	0	 	 
PE101076	1	40	4	24
PE101076	1	150	8	1
PE101076	1	300	5	11
PE101076	1	120	5	12
PE101077	1	0	 	 
PE101077	2	0	 	 
PE101077	5	0	 	 
PE101078	1	60	3	52
PE101080	3	0	 	 
PE101084	5	0	 	 
PE101088	1	500	5	1
PE101089	17	30	8	1
PE101091	1	0	 	 
PE101091	2	0	 	 
PE101092	1	0	 	 
PE101093	1	0	 	 
PE101094	3	0	 	 
PE101095	2	0	 	 
PE101096	1	0	 	 
PE101096	2	6	8	1
PE101098	6	0	 	 
PE101098	7	0	 	 
PE101099	1	0	 	 
PE101099	4	0	 	 
PE101100	2	60	3	52
PE101101	2	0	 	 
PE101101	6	0	 	 
PE101103	1	0	 	 
PE101103	2	0	 	 
PE111002	2	18	3	3
PE111004	1	0	 	 
PE111004	3	0	 	 
PE111005	1	0	 	 
PE111005	3	0	 	 
PE111006	1	430	8	1
PE111006	7	0	 	 
PE111006	9	60	8	1
PE111007	1	0	 	 
PE111008	1	0	 	 
PE111010	1	20	2	60
PE111011	1	0	 	 
PE111011	2	0	 	 
PE111012	2	318	8	1
PE111012	5	50	8	1
PE111012	6	50	8	1
PE111013	1	720	8	1
PE111014	1	340	5	2
PE111016	6	10	2	360
PE111017	2	0	 	 
PE111019	4	20	7	2
PE111020	1	25	3	21
PE111020	3	25	3	21
PE111021	1	10	2	30
PE111022	9	146	5	6
PE111024	20	1540	8	1
PE111027	2	0	 	 
PE111028	1	480	8	1
PE111033	1	5	2	50
PE111034	1	7	2	350
PE111035	2	30	3	21
PE111035	5	30	3	21
PE111036	1	0	 	 
PE111038	1	0	 	 
PE111039	2	0	 	 
PE111040	1	0	 	 
PE111041	1	0	 	 
PE111044	1	230	8	1
PE111045	1	0	 	 
PE111046	1	4	2	180
PE111047	1	8	2	240
PE111048	2	0	 	 
PE111050	1	0	 	 
PE111052	17	0	 	 
PE111052	18	0	 	 
PE111052	19	0	 	 
PE111054	2	0	 	 
PE111056	1	350	5	8
PE111057	1	660	8	1
PE111058	1	0	 	 
PE111059	1	12	2	90
PE111060	1	0	 	 
PE111061	2	 	 	 
PE111062	1	200	8	1
PE111062	1	290	5	6
PE111063	4	180	8	1
PE111064	16	380	5	6
PE111064	16	160	8	2
PE111065	1	32	5	5
PE111065	3	32	5	3
PE111066	1	0	 	 
PE111067	1	0	 	 
PE111068	1	0	 	 
PE111069	1	0	 	 
PE111069	2	0	 	 
PE111069	7	0	 	 
PE111069	8	0	 	 
PE111071	1	5	2	240
PE111071	2	0	 	 
PE111074	1	90	8	1
PE111076	1	0	 	 
PE111076	2	84	3	40
PE111077	1	0	 	 
PE111077	2	0	 	 
PE111079	2	0	 	 
PE111080	10	0	 	 
PE111081	1	0	 	 
PE111085	2	0	 	 
PE111085	4	0	 	 
PE111087	1	0	 	 
PE111089	2	0	 	 
PE111090	1	432	8	1
PE111091	2	64	5	4
PE111092	1	72	5	5
PE111092	3	72	5	5
PE111093	1	0	 	 
PE111094	2	0	 	 
PE111095	1	0	 	 
PE111096	1	50	8	1
PE111097	1	0	 	 
PE111098	1	4	2	30
PE111099	1	0	 	 
PE111100	17	0	 	 
PE111101	2	0	 	 
PE111101	8	0	 	 
PE111102	1	500	5	6
PE121003	5	60	5	12
PE121005	1	0	 	 
PE121005	6	0	 	 
PE121005	16	0	 	 
PE121007	9	0	 	 
PE121009	2	200	5	8
PE121010	1	96	5	40
PE121011	1	120	8	1
PE121013	2	50	8	1
PE121014	3	5	2	 
PE121017	1	0	 	 
PE121017	2	0	 	 
PE121017	6	0	 	 
PE121018	6	400	5	40
PE121021	2	0	 	 
PE121021	4	0	 	 
PE121021	6	0	 	 
PE121021	8	0	 	 
PE121021	9	0	 	 
PE121022	1	50	6	4
PE121025	1	0	 	 
PE121025	2	0	 	 
PE121026	1	40	8	1
PE121026	5	0	 	 
PE121026	8	0	 	 
PE121026	8	40	8	1
PE121027	1	30	8	3
PE121027	1	50	8	3
PE121027	1	10	8	3
PE121027	1	11	8	4
PE121030	1	600	6	1
PE121032	2	30	8	1
PE121032	3	0	 	 
PE121035	1	30	7	2
PE121035	6	0	 	 
PE121036	1	40	8	1
PE121037	1	45	8	1
PE121041	1	0	 	 
PE121041	2	0	 	 
PE121043	1	40	3	52
PE121044	3	30	3	52
PE121045	1	 	 	 
PE121046	1	0	 	 
PE121048	1	8	2	72
PE121050	1	25	8	1
PE121050	2	90	8	1
PE121052	1	0	 	 
PE121052	2	0	 	 
PE121053	1	0	 	 
PE121055	1	0	 	 
PE121056	1	550	5	52
PE121057	8	30	3	9
PE121058	2	30	8	1
PE121062	1	0	 	 
PE121062	2	274	5	7
PE121064	1	100	7	2
PE121064	2	100	7	1
PE121065	5	25	2	1
PE121067	17	0	 	 
PE121068	1	0	 	 
PE121068	2	0	 	 
PE121072	2	24	3	52
PE121074	1	200	8	1
PE121076	1	100	6	4
PE121079	1	100	7	2
PE121080	1	0	 	 
PE121081	1	130	4	24
PE121082	3	300	7	2
PE121084	1	4.5	2	52
PE121085	1	1276	8	1
PE121089	1	0	 	 
PE121089	2	50	8	1
PE121090	1	0	 	 
PE121090	8	0	 	 
PE121091	1	90	7	2
PE121091	2	120	7	2
PE121098	1	50	8	1
PE121099	7	60	3	52
PE121101	6	30	2	52
PE131001	2	0	 	 
PE131001	7	0	 	 
PE131002	3	0	 	 
PE131002	17	0	 	 
PE131004	2	0	 	 
PE131005	4	50	8	1
PE131007	1	0	 	 
PE131008	2	75	8	1
PE131009	1	0	 	 
PE131009	2	77	3	52
PE131010	2	0	 	 
PE131011	3	60	7	2
PE131012	1	0	 	 
PE131014	1	0	 	 
PE131014	4	0	 	 
PE131015	1	45	3	4
PE131015	2	240	3	8
PE131017	1	60	3	52
PE131019	1	600	5	12
PE131020	2	18	3	9
PE131021	1	50	8	1
PE131022	1	0	 	 
PE131023	2	0	 	 
PE131024	16	150	6	3
PE131025	1	17	8	1
PE131025	2	10	8	1
PE131026	7	0	 	 
PE131028	1	130	5	12
PE131030	5	100	6	4
PE131031	1	0	 	 
PE131032	1	40	3	52
PE131035	16	400	8	1
PE131039	22	0	 	 
PE131041	2	0	 	 
PE131041	4	72	3	52
PE131042	2	2305	8	1
