childid	monincid	montypr3	mnclssr3	monpebr3
PE011051	3	11	3	2
PE011051	4	12	4	2
PE011052	1	12	1	20
PE011053	1	12	1	15
PE011053	2	7	2	5
PE011054	1	1	1	11
PE011054	2	9	2	9
PE011055	1	9	1	20
PE011056	1	12	1	10
PE011056	2	7	2	5
PE011056	3	9	3	5
PE011057	1	9	1	13
PE011057	2	12	2	7
PE011059	1	12	1	12
PE011059	2	7	2	8
PE011060	1	12	1	20
PE011061	1	7	1	12
PE011061	2	12	2	5
PE011061	3	6	3	3
PE011062	1	12	1	20
PE011063	1	12	1	20
PE011064	1	12	1	12
PE011064	2	7	2	8
PE011065	1	3	1	20
PE011066	1	6	1	20
PE011067	1	12	1	12
PE011067	2	9	2	8
PE011068	1	12	1	20
PE011069	1	12	1	20
PE011070	1	12	1	13
PE011070	2	6	2	7
PE011071	1	12	1	20
PE011072	1	6	1	20
PE011073	1	9	1	20
PE011074	1	12	1	20
PE011075	1	12	1	20
PE011076	1	6	1	8
PE011076	2	9	2	6
PE011076	3	12	3	6
PE011077	1	10	1	15
PE011077	2	6	2	5
PE011078	1	12	1	20
PE011079	1	12	1	20
PE011080	1	12	1	15
PE011080	2	6	2	5
PE011081	1	1	1	14
PE011081	2	9	2	4
PE011081	3	3	3	2
PE011082	1	12	1	12
PE011082	2	9	2	8
PE011083	1	9	1	20
PE011084	1	12	1	11
PE011084	2	9	2	9
PE011085	1	3	1	20
PE011086	1	12	1	15
PE011086	2	7	2	5
PE011087	1	12	1	20
PE011088	1	12	1	15
PE011088	2	6	2	5
PE011089	1	12	1	12
PE011089	2	6	2	8
PE011090	1	12	1	20
PE011091	1	9	11	15
PE011091	2	7	2	5
PE011092	1	12	1	13
PE011092	2	6	2	5
PE011092	3	9	3	2
PE011093	1	12	1	16
PE011093	2	7	2	4
PE011094	1	9	1	20
PE011095	1	7	1	20
PE011096	1	6	1	20
PE011097	1	12	1	13
PE011097	2	7	2	7
PE011098	1	12	1	12
PE011098	2	9	2	8
PE011099	1	3	1	12
PE011099	2	7	2	8
PE011100	1	12	1	20
PE021001	1	5	1	20
PE021002	1	11	1	20
PE021003	1	1	1	9
PE021003	2	7	2	8
PE021003	3	2	3	3
PE021004	1	1	1	20
PE021005	1	1	1	12
PE021005	2	9	2	8
PE021006	1	12	1	13
PE021006	2	7	2	7
PE021007	1	1	1	15
PE021007	2	11	2	5
PE021009	1	12	1	14
PE021009	2	1	2	6
PE021010	1	12	1	20
PE021011	1	12	1	12
PE021011	2	7	2	8
PE021012	1	11	1	20
PE021013	1	11	1	20
PE021014	1	11	1	10
PE021014	2	1	2	6
PE021014	3	9	3	4
PE021015	1	10	1	20
PE021016	1	7	1	11
PE021016	2	1	2	9
PE021017	1	11	1	20
PE021018	1	1	1	20
PE021019	1	12	1	16
PE021019	2	11	2	4
PE021020	1	12	1	20
PE021021	1	1	1	20
PE021022	1	1	1	20
PE021023	1	12	1	20
PE021024	1	12	1	12
PE021024	2	1	2	8
PE021025	1	11	1	20
PE021026	1	11	1	20
PE021027	1	2	1	15
PE021027	2	12	2	3
PE021027	3	1	3	2
PE021028	1	11	1	14
PE021028	2	1	2	6
PE021029	1	11	1	15
PE021029	2	12	2	5
PE021030	1	12	1	17
PE021030	2	11	2	3
PE021031	1	12	1	20
PE021032	1	11	1	15
PE021032	2	12	2	5
PE021033	1	1	1	13
PE021033	2	11	2	7
PE021034	1	11	1	20
PE021035	1	11	1	6
PE021035	2	1	2	4
PE021035	3	9	3	4
PE021035	4	7	4	4
PE021035	5	2	5	2
PE021036	1	11	1	20
PE021037	1	11	1	11
PE021037	2	12	2	9
PE021038	1	1	1	16
PE021038	2	7	2	4
PE021039	1	7	1	20
PE021040	1	11	1	20
PE021041	1	12	1	20
PE021042	1	7	1	14
PE021042	2	1	2	6
PE021043	1	12	1	12
PE021043	2	1	2	8
PE021044	1	12	1	20
PE021045	1	1	1	17
PE021045	2	11	2	3
PE021046	1	1	1	20
PE021047	1	11	1	20
PE021048	1	11	1	20
PE021049	1	1	1	20
PE021050	1	1	1	13
PE021050	2	7	2	7
PE021051	1	1	1	11
PE021051	2	7	2	4
PE021051	3	2	3	3
PE021051	4	11	4	2
PE021052	1	11	1	11
PE021052	2	12	2	5
PE021052	3	1	3	4
PE021053	1	1	1	20
PE021054	1	12	1	13
PE021054	2	7	2	7
PE021055	1	7	1	14
PE021055	2	1	2	6
PE021056	1	10	1	12
PE021056	2	7	2	8
PE021057	1	11	1	12
PE021057	2	9	2	8
PE021058	1	11	1	11
PE021058	2	1	2	9
PE021059	1	12	1	20
PE021060	1	11	1	20
PE021061	1	12	1	14
PE021061	2	11	2	6
PE021062	1	12	1	14
PE021062	2	7	2	6
PE021063	1	11	1	20
PE021064	1	7	1	11
PE021064	2	11	2	9
PE021065	1	12	1	20
PE021066	1	11	1	14
PE021066	2	1	2	6
PE021067	1	1	1	13
PE021067	2	7	2	4
PE021067	3	12	3	3
PE021068	1	7	1	7
PE021068	2	1	2	6
PE021068	3	6	3	5
PE021068	4	2	4	2
PE021069	1	11	1	12
PE021069	2	1	2	7
PE021069	3	9	3	1
PE021070	1	1	1	20
PE021071	1	11	1	17
PE021071	2	12	2	3
PE021072	1	12	1	10
PE021072	2	7	2	5
PE021072	3	6	3	5
PE021073	1	1	1	20
PE021074	1	6	1	20
PE021075	1	11	1	12
PE021075	2	1	2	7
PE021075	3	12	3	1
PE021076	1	11	1	20
PE021077	1	1	1	15
PE021077	2	11	2	5
PE021078	1	1	1	12
PE021078	2	9	2	8
PE021079	1	11	1	13
PE021079	2	1	2	7
PE021080	1	6	1	12
PE021080	2	1	2	8
PE021081	1	1	1	10
PE021081	2	11	2	7
PE021081	3	12	3	3
PE021082	1	11	1	14
PE021082	2	6	2	6
PE021083	1	1	1	13
PE021083	2	2	2	7
PE021084	1	12	1	12
PE021084	2	1	2	8
PE021086	1	11	1	14
PE021086	2	9	2	6
PE021087	1	7	1	20
PE021089	1	12	1	20
PE021090	1	9	1	14
PE021090	2	7	2	6
PE021091	1	11	1	20
PE021092	1	1	1	15
PE021092	2	11	2	5
PE021093	1	11	1	20
PE021094	1	11	1	14
PE021094	2	12	2	6
PE021095	1	12	1	14
PE021095	2	1	2	6
PE021096	1	9	1	20
PE021097	1	11	1	20
PE021098	1	11	1	20
PE021099	1	1	1	20
PE021100	1	12	1	13
PE021100	2	2	2	7
PE031002	1	1	1	12
PE031002	2	2	2	8
PE031003	1	1	1	20
PE031004	1	12	1	9
PE031004	2	9	2	5
PE031004	3	11	3	3
PE031004	4	2	4	3
PE031005	1	11	1	20
PE031006	1	1	1	20
PE031007	1	7	1	20
PE031008	1	1	1	14
PE031008	2	7	2	6
PE031009	1	1	1	10
PE031009	2	7	2	6
PE031009	3	2	3	4
PE031011	1	11	1	20
PE031013	1	1	1	20
PE031014	1	1	1	14
PE031014	2	12	2	6
PE031015	1	10	1	20
PE031016	1	5	1	7
PE031016	2	2	2	6
PE031016	3	12	3	4
PE031016	4	1	4	3
PE031017	1	9	1	14
PE031017	2	12	2	6
PE031018	1	7	1	15
PE031018	2	12	2	5
PE031019	1	9	1	14
PE031019	2	11	2	6
PE031020	1	12	1	12
PE031020	2	9	2	8
PE031023	1	9	1	11
PE031023	2	12	2	9
PE031024	1	12	1	12
PE031024	2	9	2	8
PE031025	1	12	1	20
PE031026	1	9	1	20
PE031027	1	10	1	12
PE031027	2	12	2	8
PE031028	1	9	1	20
PE031029	1	12	1	11
PE031029	2	9	2	6
PE031029	3	7	3	3
PE031030	1	7	1	7
PE031030	2	6	2	5
PE031030	3	9	3	3
PE031030	4	1	4	3
PE031030	5	12	5	2
PE031031	1	12	1	11
PE031031	2	9	2	9
PE031032	1	12	1	9
PE031032	2	2	2	6
PE031032	3	7	3	5
PE031033	1	7	1	8
PE031033	2	12	2	6
PE031033	3	2	3	4
PE031033	4	1	4	2
PE031034	1	2	1	8
PE031034	2	11	2	7
PE031034	3	1	3	5
PE031035	1	11	1	20
PE031036	1	11	1	12
PE031036	2	1	2	5
PE031036	3	12	3	3
PE031037	1	12	1	15
PE031037	2	7	2	5
PE031038	1	7	1	12
PE031038	2	6	2	6
PE031038	3	9	3	2
PE031039	1	7	1	8
PE031039	2	1	2	5
PE031039	3	2	3	4
PE031039	4	11	4	3
PE031040	1	8	1	20
PE031041	1	12	1	15
PE031041	2	5	2	5
PE031042	1	12	1	20
PE031043	1	12	1	20
PE031044	1	12	2	15
PE031044	2	11	2	5
PE031045	1	7	1	8
PE031045	2	11	2	6
PE031045	3	1	3	4
PE031045	4	2	4	2
PE031047	1	1	1	20
PE031048	1	10	1	14
PE031048	2	11	2	6
PE031049	1	1	1	12
PE031049	2	9	2	8
PE031050	1	11	1	10
PE031050	2	2	2	5
PE031050	3	12	3	3
PE031050	4	9	4	2
PE031051	1	7	1	9
PE031051	2	9	2	6
PE031051	3	6	3	5
PE031052	1	11	1	14
PE031052	2	7	2	6
PE031053	1	12	1	16
PE031053	2	7	2	4
PE031054	1	7	1	20
PE031055	1	1	1	20
PE031056	1	11	1	7
PE031056	2	9	2	5
PE031056	3	2	3	4
PE031056	4	1	4	4
PE031057	1	11	1	20
PE031058	1	1	1	20
PE031059	1	2	1	11
PE031059	2	11	2	8
PE031059	3	9	3	1
PE031060	1	1	1	20
PE031061	1	11	1	10
PE031061	2	1	2	6
PE031061	3	9	3	4
PE031062	1	2	1	9
PE031062	2	1	2	8
PE031062	3	7	3	3
PE031063	1	11	1	15
PE031063	2	7	2	5
PE031064	1	9	1	20
PE031065	1	7	1	12
PE031065	2	9	2	7
PE031065	3	12	3	1
PE031066	1	1	1	20
PE031067	1	12	1	17
PE031067	2	9	2	3
PE031068	1	7	1	11
PE031068	2	1	2	9
PE031069	1	1	1	17
PE031069	2	2	2	3
PE031070	1	7	1	12
PE031070	2	1	2	8
PE031071	1	1	1	20
PE031072	1	1	1	12
PE031072	2	7	2	8
PE031073	1	1	1	20
PE031074	1	12	1	10
PE031074	2	1	2	5
PE031074	3	2	3	5
PE031075	1	1	1	20
PE031076	1	1	1	20
PE031077	1	1	1	8
PE031077	2	2	2	5
PE031077	3	11	3	4
PE031077	4	7	4	3
PE031078	1	2	1	12
PE031078	2	1	2	8
PE031079	1	11	1	20
PE031080	1	1	1	12
PE031080	2	9	2	8
PE031081	1	2	1	8
PE031081	2	1	2	7
PE031081	3	11	3	5
PE031082	1	12	1	20
PE031083	1	7	1	20
PE031084	1	11	1	20
PE031085	1	1	1	20
PE031086	1	7	1	20
PE031086	2	1	2	0
PE031087	1	12	1	15
PE031087	2	1	2	5
PE031088	1	7	1	20
PE031088	2	1	2	0
PE031089	1	1	1	20
PE031090	1	7	1	20
PE031091	1	7	1	14
PE031091	2	1	2	6
PE031092	1	1	1	20
PE031093	1	12	1	15
PE031093	2	11	2	3
PE031093	3	9	3	2
PE031095	1	10	1	20
PE031096	1	11	1	14
PE031096	2	9	2	6
PE031097	1	7	1	12
PE031097	2	12	2	6
PE031097	3	1	3	2
PE031098	1	2	1	10
PE031098	2	7	2	5
PE031098	3	1	3	5
PE031099	1	7	1	11
PE031099	2	2	2	9
PE031100	1	12	1	9
PE031100	2	1	2	5
PE031100	3	11	3	4
PE031100	4	2	4	2
PE031101	1	7	1	20
PE041001	1	7	1	14
PE041001	2	1	2	6
PE041002	1	9	1	9
PE041002	2	11	2	7
PE041002	3	1	3	4
PE041003	1	1	1	20
PE041004	1	7	1	14
PE041004	2	1	2	6
PE041005	1	7	1	7
PE041005	2	1	2	5
PE041005	3	12	3	4
PE041005	4	9	4	4
PE041006	1	7	1	7
PE041006	2	11	2	5
PE041006	3	1	3	5
PE041006	4	12	4	3
PE041007	1	12	1	20
PE041008	1	11	1	12
PE041008	2	1	2	8
PE041009	1	11	1	20
PE041010	1	2	1	8
PE041010	2	1	2	6
PE041010	3	12	3	4
PE041010	4	7	4	2
PE041011	1	12	1	12
PE041011	2	9	2	5
PE041011	3	1	3	3
PE041012	1	1	1	15
PE041012	2	11	2	5
PE041013	1	9	1	11
PE041013	2	1	2	9
PE041014	1	6	1	15
PE041014	2	2	2	5
PE041015	1	12	1	20
PE041016	1	6	1	14
PE041016	2	7	2	6
PE041017	1	7	1	20
PE041018	1	1	1	20
PE041019	1	12	1	20
PE041020	1	1	1	15
PE041020	2	11	2	5
PE041021	1	7	1	11
PE041021	2	12	2	5
PE041021	3	1	3	4
PE041022	1	1	1	11
PE041022	2	11	2	9
PE041023	1	1	1	20
PE041024	1	1	1	20
PE041025	1	2	1	14
PE041025	2	1	2	6
PE041026	1	12	1	12
PE041026	2	8	2	8
PE041027	1	12	1	11
PE041027	2	1	2	9
PE041028	1	12	1	20
PE041029	1	1	1	12
PE041029	2	9	2	6
PE041029	3	11	3	2
PE041030	1	1	1	20
PE041031	1	1	1	20
PE041032	1	11	1	10
PE041032	2	1	2	7
PE041032	3	9	3	3
PE041033	1	12	1	13
PE041033	2	1	2	6
PE041033	3	2	3	1
PE041034	1	1	1	13
PE041034	2	11	2	7
PE041035	1	1	1	20
PE041036	1	1	1	16
PE041036	2	2	2	4
PE041037	1	2	1	10
PE041037	2	1	2	6
PE041037	3	7	3	4
PE041038	1	1	1	20
PE041039	1	11	1	12
PE041039	2	1	2	8
PE041040	1	1	1	14
PE041040	2	9	2	6
PE041041	1	1	1	15
PE041041	2	11	2	5
PE041042	1	9	1	12
PE041042	2	1	2	8
PE041043	1	1	1	20
PE041044	1	1	1	20
PE041045	1	12	1	10
PE041045	2	9	2	6
PE041045	3	1	3	4
PE041046	1	9	1	7
PE041046	2	1	2	6
PE041046	3	6	3	4
PE041046	4	2	4	3
PE041047	1	1	1	20
PE041048	1	1	1	20
PE041049	1	1	1	20
PE041050	1	9	1	13
PE041050	2	1	2	7
PE041051	1	12	1	20
PE041052	1	1	1	14
PE041052	2	9	2	6
PE041053	1	1	1	18
PE041053	2	7	2	2
PE041054	1	1	1	8
PE041054	2	9	2	7
PE041054	3	7	3	5
PE041055	1	1	1	14
PE041055	2	2	2	6
PE041056	1	12	1	12
PE041056	2	1	2	8
PE041059	1	1	1	20
PE041060	1	1	1	20
PE041061	1	11	1	15
PE041061	2	1	2	5
PE041062	1	11	1	20
PE041063	1	2	1	9
PE041063	2	1	2	7
PE041063	3	7	3	4
PE041064	1	9	1	15
PE041064	2	11	2	5
PE041065	1	1	1	20
PE041066	1	12	1	10
PE041066	2	1	2	6
PE041066	3	11	3	4
PE041067	1	6	1	11
PE041067	2	12	2	9
PE041068	1	1	1	17
PE041068	2	11	2	3
PE041069	1	1	1	20
PE041070	1	1	1	20
PE041071	1	1	1	13
PE041071	2	11	2	7
PE041072	1	1	1	20
PE041073	1	1	1	20
PE041074	1	11	1	15
PE041074	2	1	2	5
PE041075	1	11	1	15
PE041075	2	1	2	5
PE041076	1	1	1	10
PE041076	2	2	2	8
PE041076	3	11	3	2
PE041077	1	1	1	18
PE041077	2	12	2	2
PE041078	1	11	1	15
PE041078	2	1	2	5
PE041079	1	1	1	12
PE041079	2	2	2	8
PE041080	1	1	1	14
PE041080	2	11	2	6
PE041081	1	11	1	15
PE041081	2	1	2	5
PE041082	1	1	1	11
PE041082	2	2	2	7
PE041082	3	4	3	2
PE041083	1	1	1	17
PE041083	2	7	2	3
PE041084	1	2	1	10
PE041084	2	1	2	5
PE041084	3	8	3	5
PE041085	1	1	1	20
PE041086	1	9	1	13
PE041086	2	1	2	7
PE041087	1	9	1	12
PE041087	2	1	2	8
PE041088	1	1	1	15
PE041088	2	11	2	5
PE041089	1	1	1	13
PE041089	2	11	2	7
PE041090	1	1	1	13
PE041090	2	2	2	7
PE041091	1	1	1	20
PE041092	1	11	1	20
PE041093	1	1	1	11
PE041093	2	11	2	9
PE041094	1	12	1	10
PE041094	2	11	2	5
PE041094	3	9	3	5
PE041096	1	1	1	20
PE041097	1	12	1	12
PE041097	2	1	2	8
PE041098	1	11	1	20
PE041098	2	1	2	0
PE041099	1	1	1	9
PE041099	2	9	2	6
PE041099	3	11	3	5
PE041100	1	1	1	20
PE041101	1	1	1	13
PE041101	2	12	2	7
PE051001	1	11	1	12
PE051001	2	1	2	8
PE051002	1	11	1	20
PE051003	1	11	1	20
PE051004	1	11	1	20
PE051005	1	7	1	20
PE051008	1	1	1	20
PE051009	1	7	1	12
PE051009	2	1	2	8
PE051010	1	11	1	20
PE051011	1	1	1	10
PE051011	2	2	2	5
PE051011	3	11	3	3
PE051011	4	12	4	2
PE051012	1	1	1	12
PE051012	2	11	2	8
PE051013	1	1	1	14
PE051013	2	7	2	6
PE051014	1	11	1	20
PE051015	1	1	1	20
PE051016	1	1	1	10
PE051016	2	2	2	6
PE051016	3	12	3	4
PE051017	1	1	1	9
PE051017	2	12	2	7
PE051017	3	7	3	4
PE051018	1	11	1	16
PE051018	2	2	2	4
PE051019	1	12	1	20
PE051020	1	1	1	20
PE051021	1	7	1	12
PE051021	2	1	2	8
PE051022	1	1	1	20
PE051023	1	11	1	20
PE051024	1	1	1	20
PE051025	1	7	1	10
PE051025	2	1	2	5
PE051025	3	12	3	5
PE051026	1	1	1	10
PE051026	2	9	2	6
PE051026	3	11	3	4
PE051027	1	12	1	10
PE051027	2	7	2	7
PE051027	3	1	3	3
PE051028	1	1	1	11
PE051028	2	6	2	5
PE051028	3	11	3	4
PE051029	1	1	1	15
PE051029	2	11	2	5
PE051030	1	1	1	20
PE051031	1	12	1	13
PE051031	2	1	2	7
PE051032	1	9	1	20
PE051033	1	1	1	12
PE051033	2	11	2	8
PE051034	1	1	1	20
PE051035	1	1	1	12
PE051035	2	11	2	8
PE051036	1	1	1	12
PE051036	2	12	2	4
PE051036	3	11	3	4
PE051037	1	7	1	12
PE051037	2	12	2	8
PE051038	1	6	1	11
PE051038	2	1	2	9
PE051039	1	1	1	20
PE051040	1	1	1	20
PE051041	1	1	1	20
PE051042	1	1	1	18
PE051042	2	6	2	2
PE051043	1	1	1	20
PE051044	1	9	1	11
PE051044	2	1	2	9
PE051045	1	11	1	10
PE051045	2	1	2	6
PE051045	3	12	3	4
PE051046	1	1	1	14
PE051046	2	11	2	6
PE051047	1	12	1	20
PE051048	1	11	1	12
PE051048	2	1	2	8
PE051049	1	1	1	12
PE051049	2	7	2	8
PE051051	1	1	1	20
PE051052	1	11	1	20
PE051056	1	11	1	11
PE051056	2	1	2	9
PE051058	1	2	1	13
PE051058	2	1	2	7
PE051059	1	1	1	20
PE051060	1	11	1	20
PE051061	1	4	1	8
PE051061	2	7	2	7
PE051061	3	1	3	5
PE051062	1	1	1	20
PE051063	1	12	1	20
PE051064	1	1	1	9
PE051064	2	6	2	6
PE051064	3	11	3	5
PE051065	1	12	1	20
PE051066	1	9	1	13
PE051066	2	10	2	7
PE051067	1	12	1	20
PE051068	1	1	1	11
PE051068	2	2	2	5
PE051068	3	9	3	4
PE051069	1	11	1	12
PE051069	2	1	2	8
PE051070	1	6	1	20
PE051071	1	1	1	14
PE051071	2	11	2	6
PE051072	1	12	1	20
PE051073	1	1	1	15
PE051073	2	2	2	5
PE051074	1	12	1	20
PE051075	1	11	1	13
PE051075	2	1	2	7
PE051076	1	1	1	20
PE051077	1	1	1	20
PE051078	1	7	1	8
PE051078	2	9	2	7
PE051078	3	1	3	5
PE051079	1	11	1	20
PE051080	1	1	1	12
PE051080	2	11	2	8
PE051081	1	11	1	12
PE051081	2	1	2	8
PE051082	1	3	1	8
PE051082	2	1	2	5
PE051082	3	2	3	4
PE051082	4	11	4	3
PE051083	1	1	1	13
PE051083	2	11	2	7
PE051084	1	7	1	10
PE051084	2	2	2	5
PE051084	3	11	3	5
PE051085	1	7	1	16
PE051085	2	1	2	4
PE051086	1	4	1	12
PE051086	2	1	2	5
PE051086	3	11	3	3
PE051087	1	1	1	20
PE051088	1	2	1	8
PE051088	2	11	2	6
PE051088	3	9	3	4
PE051088	4	7	4	2
PE051089	1	1	1	14
PE051089	2	11	2	6
PE051090	1	1	1	20
PE051091	1	7	1	13
PE051091	2	1	2	7
PE051092	1	1	1	13
PE051092	2	7	2	7
PE051093	1	6	1	15
PE051093	2	7	2	5
PE051094	1	11	1	15
PE051094	2	1	2	5
PE051095	1	12	1	15
PE051095	2	9	2	5
PE051097	1	1	1	20
PE051098	1	12	1	20
PE051099	1	11	1	15
PE051099	2	1	2	5
PE051100	1	1	1	15
PE051100	2	11	2	5
PE051101	1	1	1	20
PE051102	1	1	1	8
PE051102	2	9	2	7
PE051102	3	11	3	5
PE051103	1	7	1	15
PE051103	2	11	2	5
PE051104	1	2	1	11
PE051104	2	7	2	5
PE051104	3	1	3	4
PE051105	1	11	1	20
PE061001	1	12	1	16
PE061001	2	1	2	4
PE061002	1	9	1	20
PE061003	1	12	1	20
PE061004	1	12	1	15
PE061004	2	9	2	5
PE061005	1	7	1	8
PE061005	2	12	2	6
PE061005	3	6	3	4
PE061005	4	11	4	2
PE061006	1	12	1	20
PE061007	1	9	1	14
PE061007	2	7	2	6
PE061008	1	12	1	20
PE061009	1	12	1	17
PE061009	2	6	2	3
PE061010	1	6	1	15
PE061010	2	1	2	5
PE061011	1	9	1	20
PE061012	1	9	1	8
PE061012	2	12	2	6
PE061012	3	7	3	6
PE061013	1	12	1	20
PE061014	1	12	1	20
PE061015	1	12	1	20
PE061016	1	7	1	20
PE061017	1	12	1	20
PE061018	1	12	1	14
PE061018	2	7	2	6
PE061019	1	1	1	20
PE061021	1	9	1	20
PE061022	1	12	1	20
PE061023	1	12	1	20
PE061024	1	7	1	20
PE061025	1	7	1	12
PE061025	2	6	2	8
PE061026	1	12	1	20
PE061027	1	6	1	10
PE061027	2	12	2	10
PE061028	1	6	1	20
PE061029	1	6	1	20
PE061031	1	12	1	17
PE061031	2	9	2	3
PE061032	1	12	1	15
PE061032	2	6	2	5
PE061033	1	8	1	13
PE061033	2	12	2	7
PE061034	1	8	1	12
PE061034	2	7	2	8
PE061035	1	12	1	20
PE061036	1	7	1	20
PE061037	1	6	1	14
PE061037	2	12	2	6
PE061038	1	6	1	13
PE061038	2	12	7	7
PE061039	1	9	1	13
PE061039	2	7	2	7
PE061040	1	9	1	13
PE061040	2	12	2	7
PE061041	1	12	1	13
PE061041	2	9	2	7
PE061043	1	12	1	20
PE061044	1	6	1	12
PE061044	2	12	2	8
PE061045	1	7	1	11
PE061045	2	12	2	9
PE061046	1	12	1	20
PE061047	1	6	1	16
PE061047	2	12	2	4
PE061048	1	1	1	20
PE061048	2	2	2	0
PE061049	1	9	1	9
PE061049	2	12	2	7
PE061049	3	6	3	4
PE061050	1	9	1	15
PE061050	2	6	2	5
PE061051	1	6	1	20
PE061052	1	12	1	10
PE061052	2	7	2	6
PE061052	3	6	3	4
PE061053	1	12	1	20
PE061054	1	12	1	20
PE061056	1	12	1	20
PE061057	1	12	1	20
PE061058	1	12	1	20
PE061059	1	9	1	13
PE061059	2	10	2	7
PE061060	1	6	1	15
PE061060	2	9	2	5
PE061061	1	12	1	20
PE061062	1	11	1	11
PE061062	2	12	2	9
PE061063	1	7	1	15
PE061063	2	6	2	5
PE061064	1	9	1	20
PE061065	1	9	1	16
PE061065	2	12	2	4
PE061066	1	9	1	14
PE061066	2	7	2	6
PE061067	1	12	1	15
PE061067	2	9	2	5
PE061068	1	12	2	13
PE061068	2	9	2	7
PE061069	1	7	1	18
PE061069	2	12	2	2
PE061070	1	12	1	20
PE061071	1	7	1	14
PE061071	2	12	2	6
PE061072	1	7	1	20
PE061073	1	9	1	16
PE061073	2	6	2	4
PE061074	1	1	1	20
PE061075	1	7	1	13
PE061075	2	6	2	7
PE061076	1	7	1	11
PE061076	2	12	2	9
PE061077	1	12	1	20
PE061078	1	12	1	20
PE061079	1	9	1	14
PE061079	2	7	2	6
PE061080	1	12	1	20
PE061081	1	9	1	20
PE061082	1	7	1	12
PE061082	2	12	2	6
PE061082	3	9	3	2
PE061083	1	11	2	13
PE061083	2	1	2	7
PE061084	1	12	1	15
PE061084	2	9	2	5
PE061085	1	9	1	20
PE061086	1	12	1	20
PE061087	1	11	1	14
PE061087	2	9	2	6
PE061088	1	12	1	13
PE061088	2	6	2	7
PE061089	1	9	1	14
PE061089	2	6	2	6
PE061090	1	12	1	12
PE061090	2	7	2	5
PE061090	3	9	3	3
PE061091	1	9	1	16
PE061091	2	7	2	4
PE061092	1	12	1	8
PE061092	2	7	2	7
PE061092	3	9	3	5
PE061093	1	12	1	20
PE061094	1	12	1	14
PE061094	2	7	2	6
PE061095	1	3	1	11
PE061095	2	1	2	5
PE061095	3	11	3	4
PE061096	1	12	1	20
PE061097	1	11	1	12
PE061097	2	12	2	5
PE061097	3	6	3	3
PE061098	1	12	1	20
PE061099	1	12	1	12
PE061099	2	6	2	8
PE061100	1	12	1	13
PE061100	2	9	2	7
PE061101	1	8	1	11
PE061101	2	12	2	5
PE061101	3	7	3	4
PE061102	1	7	1	14
PE061102	2	9	2	6
PE061103	1	1	1	11
PE061103	2	11	2	5
PE061103	3	7	3	4
PE071001	1	12	1	20
PE071002	1	12	1	12
PE071002	2	7	2	8
PE071003	1	12	1	11
PE071003	2	7	2	9
PE071004	1	12	1	20
PE071005	1	9	1	20
PE071007	1	12	1	20
PE071008	1	11	1	20
PE071009	1	10	1	14
PE071009	2	9	2	6
PE071010	1	7	1	20
PE071011	1	12	9	13
PE071011	2	7	2	7
PE071012	1	9	1	20
PE071013	1	12	1	17
PE071013	2	6	2	3
PE071014	1	12	1	14
PE071014	2	7	2	5
PE071014	3	2	3	1
