childid	workid	wrkactr3	wrkpayr3	paynmer3
PE021086	1	2	0	 
PE021087	1	2	0	 
PE021092	1	2	0	 
PE021093	1	2	0	 
PE021095	1	2	0	 
PE021095	2	3	0	 
PE021098	1	2	0	 
PE021098	2	3	0	 
PE021099	1	2	0	 
PE021099	2	4	0	 
PE021100	1	2	0	 
PE031002	1	1	0	 
PE031002	2	2	0	 
PE031002	3	3	0	 
PE031003	1	2	0	 
PE031004	1	2	0	 
PE031004	2	2	0	 
PE031006	1	2	0	 
PE031007	1	2	0	 
PE031007	2	1	0	 
PE031008	1	2	0	 
PE031008	2	1	0	 
PE031009	1	2	0	 
PE031011	1	2	0	 
PE031011	2	2	0	 
PE031011	3	3	0	 
PE031013	1	2	0	 
PE031014	1	2	0	 
PE031015	1	2	0	 
PE031016	1	2	0	 
PE031016	2	1	0	 
PE031017	1	2	0	 
PE031018	1	2	0	 
PE031018	2	3	0	 
PE031019	1	2	0	 
PE031021	1	2	0	 
PE031022	1	2	0	 
PE031023	1	2	0	 
PE031023	2	2	0	 
PE031024	1	3	0	 
PE031024	2	2	0	 
PE031025	1	2	0	 
PE031027	1	2	0	 
PE031028	1	2	0	 
PE031029	1	2	0	 
PE031029	2	2	0	 
PE031031	1	4	0	 
PE031032	1	1	0	 
PE031032	2	2	0	 
PE031033	1	5	0	 
PE031033	2	2	0	 
PE031037	1	2	0	 
PE031038	1	2	0	 
PE031038	2	2	0	 
PE031040	1	2	0	 
PE031040	2	3	0	 
PE031042	1	2	1	1
PE031045	1	4	0	 
PE031046	1	1	0	 
PE031048	1	2	0	 
PE031048	2	2	0	 
PE031048	3	2	0	 
PE031048	4	3	0	 
PE031050	1	2	0	 
PE031051	1	2	0	 
PE031051	2	4	0	 
PE031052	1	2	0	 
PE031054	1	2	0	 
PE031056	1	2	0	 
PE031056	2	1	0	 
PE031058	1	2	0	 
PE031058	2	1	0	 
PE031059	1	2	0	 
PE031059	2	2	0	 
PE031061	1	2	0	 
PE031062	1	2	0	 
PE031062	2	1	0	 
PE031063	1	2	0	 
PE031064	1	2	0	 
PE031064	2	2	0	 
PE031064	3	2	0	 
PE031065	1	1	0	 
PE031065	2	2	0	 
PE031066	1	2	0	 
PE031068	1	2	0	 
PE031068	2	2	0	 
PE031069	1	2	0	 
PE031069	2	4	0	 
PE031070	1	2	0	 
PE031071	1	2	0	 
PE031071	2	4	0	 
PE031072	1	2	0	 
PE031073	1	2	0	 
PE031073	2	3	0	 
PE031074	1	2	0	 
PE031074	2	3	0	 
PE031075	1	2	0	 
PE031075	2	4	0	 
PE031076	1	2	0	 
PE031076	2	3	0	 
PE031076	3	1	0	 
PE031077	1	2	0	 
PE031078	1	2	0	 
PE031079	1	2	0	 
PE031079	2	1	0	 
PE031080	1	2	0	 
PE031080	2	2	0	 
PE031081	1	2	0	 
PE031081	2	2	0	 
PE031083	1	1	0	 
PE031085	1	2	0	 
PE031086	1	2	0	 
PE031086	2	3	0	 
PE031089	1	1	0	 
PE031090	1	2	0	 
PE031090	2	3	0	 
PE031091	1	2	0	 
PE031092	1	2	0	 
PE031093	1	2	0	 
PE031093	2	2	0	 
PE031093	3	2	0	 
PE031093	4	3	0	 
PE031094	1	2	0	 
PE031095	1	2	0	 
PE031096	1	2	0	 
PE031096	2	3	0	 
PE031098	1	2	0	 
PE031099	1	2	0	 
PE031100	1	2	0	 
PE031100	2	2	0	 
PE041001	1	1	0	 
PE041002	1	2	0	 
PE041004	1	2	0	 
PE041005	1	1	0	 
PE041005	2	2	0	 
PE041006	1	2	0	 
PE041006	2	2	0	 
PE041006	3	2	0	 
PE041006	4	1	5	1
PE041007	1	2	0	 
PE041007	2	2	0	 
PE041007	3	2	0	 
PE041008	1	2	0	 
PE041009	1	2	5	1
PE041009	2	2	0	 
PE041011	1	1	0	 
PE041012	1	2	0	 
PE041013	1	2	0	 
PE041014	1	2	0	 
PE041014	2	3	0	 
PE041015	1	2	0	 
PE041016	1	2	0	 
PE041017	1	2	0	 
PE041018	1	2	5	1
PE041018	2	3	5	1
PE041019	1	2	0	 
PE041020	1	2	0	 
PE041021	1	3	0	 
PE041021	2	2	0	 
PE041022	1	2	0	 
PE041022	2	1	0	 
PE041023	1	2	0	 
PE041024	1	1	5	1
PE041026	1	2	5	1
PE041026	2	2	0	 
PE041026	3	2	0	 
PE041029	1	1	0	 
PE041029	2	2	0	 
PE041030	1	2	0	 
PE041030	2	3	0	 
PE041031	1	2	0	 
PE041031	2	3	0	 
PE041032	1	2	0	 
PE041032	2	3	0	 
PE041033	1	4	0	 
PE041034	1	2	0	 
PE041035	1	2	0	 
PE041036	1	2	0	 
PE041037	1	2	0	 
PE041038	1	2	0	 
PE041039	1	2	0	 
PE041040	1	2	0	 
PE041042	1	2	0	 
PE041042	2	3	0	 
PE041044	1	2	0	 
PE041044	2	3	0	 
PE041045	1	2	0	 
PE041045	2	3	0	 
PE041046	1	1	0	 
PE041046	2	2	0	 
PE041047	1	3	0	 
PE041047	2	1	0	 
PE041048	1	3	0	 
PE041049	1	2	0	 
PE041050	1	2	0	 
PE041050	2	2	0	 
PE041052	1	2	0	 
PE041053	1	3	0	 
PE041054	1	2	0	 
PE041054	2	3	0	 
PE041055	1	2	0	 
PE041055	2	1	0	 
PE041056	1	2	0	 
PE041056	2	2	0	 
PE041056	3	1	0	 
PE041057	1	2	0	 
PE041060	1	2	0	 
PE041060	2	3	0	 
PE041060	3	1	0	 
PE041061	1	2	0	 
PE041062	1	2	0	 
PE041063	1	1	0	 
PE041063	2	2	0	 
PE041064	1	2	0	 
PE041065	1	2	0	 
PE041067	1	2	0	 
PE041069	1	2	0	 
PE041070	1	2	0	 
PE041070	2	1	0	 
PE041071	1	2	0	 
PE041071	2	3	0	 
PE041072	1	2	0	 
PE041072	2	1	0	 
PE041073	1	1	0	 
PE041074	1	2	0	 
PE041074	2	3	0	 
PE041075	1	2	0	 
PE041076	1	2	0	 
PE041078	1	2	0	 
PE041079	1	2	0	 
PE041080	1	2	0	 
PE041080	2	2	0	 
PE041081	1	2	0	 
PE041082	1	2	0	 
PE041082	2	1	0	 
PE041083	1	3	0	 
PE041084	1	2	0	 
PE041085	1	2	0	 
PE041087	1	4	0	 
PE041088	1	2	0	 
PE041088	2	2	0	 
PE041089	1	2	0	 
PE041089	2	2	0	 
PE041090	1	2	0	 
PE041091	1	2	0	 
PE041092	1	1	0	 
PE041092	2	2	0	 
PE041092	3	3	0	 
PE041093	1	2	0	 
PE041093	2	1	0	 
PE041093	3	3	0	 
PE041096	1	3	0	 
PE041097	1	2	0	 
PE041098	1	2	0	 
PE041098	2	3	0	 
PE041099	1	2	0	 
PE041099	2	3	0	 
PE041100	1	2	0	 
PE041100	2	3	0	 
PE041101	1	2	0	 
PE051001	1	4	0	 
PE051004	1	2	0	 
PE051004	2	3	0	 
PE051009	1	2	2	1
PE051010	1	2	0	 
PE051010	2	1	0	 
PE051010	3	3	0	 
PE051011	1	1	0	 
PE051011	2	2	0	 
PE051012	1	2	0	 
PE051012	2	2	0	 
PE051016	1	2	0	 
PE051017	1	3	0	 
PE051018	1	2	0	 
PE051018	2	2	0	 
PE051019	1	2	0	 
PE051020	1	2	0	 
PE051021	1	2	0	 
PE051022	1	2	0	 
PE051022	2	3	0	 
PE051023	1	2	0	 
PE051024	1	2	0	 
PE051024	2	2	0	 
PE051025	1	2	0	 
PE051026	1	1	0	 
PE051026	2	2	0	 
PE051026	3	3	0	 
PE051028	1	1	0	 
PE051028	2	2	0	 
PE051029	1	2	0	 
PE051029	2	3	0	 
PE051030	1	2	0	 
PE051032	1	2	0	 
PE051033	1	2	0	 
PE051033	2	3	0	 
PE051034	1	2	0	 
PE051034	2	3	0	 
PE051037	1	4	0	 
PE051040	1	2	0	 
PE051041	1	3	0	 
PE051042	1	1	0	 
PE051042	2	2	0	 
PE051043	1	2	0	 
PE051044	1	2	0	 
PE051045	1	2	0	 
PE051046	1	2	0	 
PE051046	2	2	0	 
PE051046	3	2	0	 
PE051046	4	2	0	 
PE051047	1	2	0	 
PE051049	1	2	0	 
PE051051	1	2	0	 
PE051051	2	2	0	 
PE051052	1	2	0	 
PE051056	1	2	0	 
PE051058	1	2	0	 
PE051058	2	2	0	 
PE051060	1	2	0	 
PE051060	2	3	0	 
PE051061	1	2	0	 
PE051062	1	2	0	 
PE051063	1	2	0	 
PE051063	2	3	0	 
PE051064	1	2	0	 
PE051064	2	2	0	 
PE051065	1	2	0	 
PE051066	1	4	1	0
PE051066	2	2	0	 
PE051067	1	2	0	 
PE051068	1	2	0	 
PE051069	1	2	0	 
PE051071	1	1	0	 
PE051071	2	2	0	 
PE051071	3	2	0	 
PE051071	4	2	0	 
PE051072	1	2	0	 
PE051072	2	3	0	 
PE051073	1	6	3	1
PE051073	2	2	0	 
PE051074	1	2	0	 
PE051074	2	3	0	 
PE051075	1	3	0	 
PE051076	1	1	0	 
PE051076	2	2	0	 
PE051076	3	3	0	 
PE051077	1	3	0	 
PE051077	2	2	0	 
PE051078	1	2	0	 
PE051078	2	2	0	 
PE051080	1	2	0	 
PE051080	2	3	0	 
PE051081	1	2	0	 
PE051082	1	2	0	 
PE051082	2	3	0	 
PE051083	1	2	0	 
PE051086	1	2	0	 
PE051086	2	2	0	 
PE051088	1	2	0	 
PE051088	2	3	0	 
PE051090	1	2	0	 
PE051090	2	3	0	 
PE051091	1	3	0	 
PE051092	1	2	0	 
PE051092	2	3	0	 
PE051093	1	2	0	 
PE051093	2	2	0	 
PE051094	1	2	0	 
PE051094	2	2	0	 
PE051095	1	2	0	 
PE051097	1	2	0	 
PE051098	1	3	0	 
PE051098	2	2	0	 
PE051099	1	2	0	 
PE051099	2	2	0	 
PE051100	1	2	0	 
PE051100	2	2	0	 
PE051100	3	3	0	 
PE051102	1	2	0	 
PE051102	2	2	0	 
PE051103	1	4	0	 
PE051104	1	2	0	 
PE051105	1	2	0	 
PE061001	1	2	0	 
PE061002	1	2	5	1
PE061004	1	2	0	 
PE061004	2	2	0	 
PE061006	1	2	0	 
PE061006	2	3	0	 
PE061007	1	2	0	 
PE061009	1	2	0	 
PE061010	1	3	0	 
PE061010	2	2	0	 
PE061010	3	2	0	 
PE061011	1	2	0	 
PE061011	2	2	0	 
PE061012	1	2	0	 
PE061013	1	2	0	 
PE061013	2	2	0	 
PE061014	1	2	0	 
PE061014	2	2	0	 
PE061015	1	2	0	 
PE061016	1	2	0	 
PE061018	1	2	0	 
PE061019	1	2	0	 
PE061022	1	2	0	 
PE061022	2	2	0	 
PE061023	1	2	0	 
PE061024	1	2	0	 
PE061025	1	4	0	 
PE061026	1	2	0	 
PE061027	1	2	0	 
PE061028	1	2	0	 
PE061029	1	2	0	 
PE061029	2	3	0	 
PE061031	1	2	0	 
PE061032	1	2	0	 
PE061034	1	2	0	 
PE061034	2	3	0	 
PE061036	1	2	0	 
PE061036	2	3	0	 
PE061037	1	2	0	 
PE061038	1	3	0	 
PE061039	1	2	0	 
PE061040	1	2	0	 
PE061041	1	3	0	 
PE061043	1	2	0	 
PE061044	1	2	0	 
PE061044	2	2	0	 
PE061045	1	2	0	 
PE061049	1	3	0	 
PE061050	1	2	0	 
PE061051	1	3	0	 
PE061056	1	2	0	 
PE061056	2	3	0	 
PE061057	1	2	0	 
PE061059	1	3	0	 
PE061062	1	2	0	 
PE061063	1	4	0	 
PE061064	1	2	0	 
PE061064	2	2	0	 
PE061064	3	2	0	 
PE061065	1	2	0	 
PE061065	2	3	0	 
PE061066	1	2	0	 
PE061068	1	2	0	 
PE061072	1	4	0	 
PE061072	2	2	0	 
PE061073	1	2	0	 
PE061074	1	2	0	 
PE061075	1	2	0	 
PE061077	1	2	0	 
PE061078	1	2	0	 
PE061078	2	3	0	 
PE061079	1	2	0	 
PE061079	2	2	0	 
PE061079	3	2	0	 
PE061079	4	2	0	 
PE061080	1	2	0	 
PE061080	2	3	0	 
PE061083	1	2	0	 
PE061083	2	3	0	 
PE061084	1	2	0	 
PE061086	1	2	0	 
PE061087	1	3	0	 
PE061089	1	4	1	2
PE061090	1	2	0	 
PE061090	2	3	0	 
PE061090	3	4	0	 
PE061091	1	4	0	 
PE061094	1	2	0	 
PE061096	1	2	0	 
PE061097	1	3	0	 
PE061098	1	2	0	 
PE061101	1	3	0	 
PE061101	2	2	0	 
PE061103	1	3	0	 
PE071001	1	4	1	1
PE071001	2	2	0	 
PE071002	1	2	0	 
PE071003	1	2	0	 
PE071007	1	2	0	 
PE071008	1	2	0	 
PE071013	1	2	0	 
PE071014	1	2	0	 
PE071014	2	2	0	 
PE071015	1	3	0	 
PE071018	1	2	0	 
PE071019	1	2	0	 
PE071020	1	2	0	 
PE071021	1	2	0	 
PE071023	1	2	0	 
PE071025	1	2	0	 
PE071026	1	2	0	 
PE071028	1	2	0	 
PE071029	1	2	0	 
PE071031	1	2	0	 
PE071032	1	2	0	 
PE071032	2	1	0	 
PE071033	1	2	0	 
PE071034	1	2	0	 
PE071035	1	2	0	 
PE071035	2	4	0	 
PE071036	1	2	0	 
PE071037	1	2	0	 
PE071038	1	2	0	 
PE071039	1	2	0	 
PE071040	1	2	0	 
PE071042	1	2	0	 
PE071044	1	2	0	 
PE071045	1	3	0	 
PE071045	2	2	0	 
PE071048	1	2	0	 
PE071049	1	2	0	 
PE071050	1	2	0	 
PE071050	2	7	0	 
PE071051	1	2	0	 
PE071052	1	2	0	 
PE071053	1	2	0	 
PE071054	1	2	0	 
PE071055	1	2	0	 
PE071056	1	7	0	 
PE071056	2	2	0	 
PE071057	1	2	0	 
PE071058	1	4	0	 
PE071059	1	2	0	 
PE071062	1	2	0	 
PE071066	1	2	0	 
PE071067	1	2	0	 
PE071068	1	2	0	 
PE071069	1	2	0	 
PE071071	1	2	0	 
PE071072	1	2	0	 
PE071072	2	2	0	 
PE071072	3	2	0	 
PE071073	1	2	0	 
PE071076	1	2	0	 
PE071077	1	3	0	 
PE071078	1	2	0	 
PE071079	1	2	0	 
PE071080	1	2	0	 
PE071082	1	2	0	 
PE071083	1	2	0	 
PE071084	1	2	0	 
PE071086	1	2	0	 
PE071088	1	2	0	 
PE071088	2	2	0	 
PE071089	1	2	0	 
PE071089	2	2	0	 
PE071090	1	2	0	 
PE071091	1	2	0	 
PE071091	2	4	0	 
PE071093	1	2	0	 
PE071094	1	2	0	 
PE071095	1	2	0	 
PE071096	1	2	0	 
PE071098	1	2	0	 
PE071099	1	2	0	 
PE071100	1	2	0	 
PE071102	1	2	0	 
PE071103	1	2	0	 
PE071104	1	2	0	 
PE071105	1	2	0	 
PE071106	1	2	0	 
PE071109	1	2	0	 
PE071109	2	1	0	 
PE081002	1	3	0	 
PE081002	2	2	0	 
PE081005	1	2	0	 
PE081006	1	3	0	 
PE081007	1	2	0	 
PE081007	2	4	0	 
PE081009	1	2	0	 
PE081010	1	2	0	 
PE081011	1	2	0	 
PE081012	1	2	0	 
PE081012	2	3	0	 
PE081015	1	2	0	 
PE081017	1	2	0	 
PE081019	1	2	0	 
PE081020	1	3	0	 
PE081023	1	3	0	 
PE081023	2	2	0	 
PE081026	1	2	0	 
PE081027	1	2	0	 
PE081029	1	2	0	 
PE081029	2	2	0	 
PE081029	3	2	0	 
PE081030	1	2	0	 
PE081032	1	2	0	 
PE081033	1	2	0	 
PE081033	2	2	0	 
PE081035	1	2	0	 
PE081037	1	3	0	 
PE081037	2	2	0	 
PE081040	1	2	0	 
PE081040	2	4	1	1
PE081042	1	2	0	 
PE081043	1	2	0	 
PE081044	1	2	0	 
PE081046	1	2	0	 
PE081049	1	2	0	 
PE081049	2	2	0	 
PE081050	1	2	0	 
PE081050	2	2	0	 
PE081050	3	2	0	 
PE081051	1	2	0	 
PE081052	1	2	0	 
PE081052	2	2	0	 
PE081053	1	2	0	 
PE081054	1	2	0	 
PE081055	1	2	0	 
PE081055	2	2	0	 
PE081055	3	2	0	 
PE081055	4	3	1	1
PE081055	5	4	0	 
PE081056	1	3	0	 
PE081057	1	2	0	 
PE081058	1	3	0	 
PE081060	1	7	5	1
PE081061	1	3	0	 
PE081062	1	2	0	 
PE081063	1	2	0	 
PE081065	1	2	0	 
PE081066	1	2	0	 
PE081066	2	2	0	 
PE081068	1	2	0	 
PE081071	1	2	0	 
PE081071	2	2	0	 
PE081072	1	2	0	 
PE081074	1	2	0	 
PE081074	2	2	0	 
PE081075	1	2	0	 
PE081076	1	2	0	 
PE081077	1	2	0	 
PE081078	1	2	0	 
PE081078	2	3	0	 
PE081080	1	5	0	 
PE081080	2	2	0	 
PE081081	1	2	0	 
PE081081	2	4	5	1
PE081082	1	2	0	 
PE081083	1	2	0	 
PE081084	1	2	0	 
PE081084	2	7	0	 
PE081086	1	2	0	 
PE081087	1	2	0	 
PE081088	1	2	0	 
PE081088	2	3	0	 
PE081090	1	2	0	 
PE081091	1	2	0	 
PE081092	1	2	0	 
PE081093	1	2	0	 
PE081098	1	3	0	 
PE081099	1	2	0	 
PE081102	1	2	0	 
PE091001	1	2	0	 
PE091002	1	1	0	 
PE091002	2	3	0	 
PE091003	1	1	0	 
PE091003	2	2	0	 
PE091004	1	1	0	 
PE091004	2	2	0	 
PE091006	1	2	0	 
PE091006	2	1	0	 
PE091007	1	3	0	 
PE091007	2	2	0	 
PE091007	3	1	0	 
PE091008	1	1	0	 
PE091008	2	2	0	 
PE091009	1	2	0	 
PE091010	1	2	0	 
PE091010	2	3	0	 
PE091010	3	4	0	 
PE091011	1	2	0	 
PE091012	1	1	0	 
PE091012	2	2	0	 
PE091012	3	3	0	 
PE091013	1	2	0	 
PE091014	1	2	0	 
PE091015	1	2	0	 
PE091016	1	1	0	 
PE091016	2	2	0	 
PE091017	1	2	0	 
PE091018	1	2	0	 
PE091019	1	1	0	 
PE091020	1	2	0	 
PE091022	1	2	0	 
PE091023	1	3	0	 
PE091023	2	2	0	 
PE091024	1	1	0	 
PE091024	2	2	0	 
PE091025	1	2	0	 
PE091026	1	1	0	 
PE091026	2	2	0	 
PE091026	3	3	0	 
PE091027	1	2	0	 
PE091028	1	2	0	 
PE091029	1	2	0	 
PE091029	2	2	0	 
PE091030	1	2	5	1
PE091030	2	1	5	1
PE091032	1	2	0	 
PE091033	1	2	0	 
PE091034	1	2	0	 
PE091034	2	1	0	 
PE091035	1	2	0	 
PE091035	2	3	0	 
PE091036	1	2	0	 
PE091037	1	2	0	 
PE091038	1	2	0	 
PE091039	1	2	0	 
PE091040	1	1	0	 
PE091040	2	2	0	 
PE091041	1	1	0	 
PE091043	1	1	0	 
PE091043	2	2	0	 
PE091043	3	3	0	 
PE091044	1	2	0	 
PE091045	1	1	0	 
PE091046	1	2	0	 
PE091047	1	2	0	 
PE091048	1	1	0	 
PE091048	2	2	0	 
PE091049	1	2	0	 
PE091050	1	1	0	 
PE091050	2	2	0	 
PE091051	1	1	0	 
PE091051	2	2	0	 
PE091052	1	2	0	 
PE091053	1	2	0	 
PE091054	1	2	0	 
PE091054	2	1	0	 
PE091055	1	2	0	 
PE091056	1	2	0	 
PE091057	1	1	0	 
PE091057	2	2	0	 
PE091058	1	2	0	 
PE091058	2	3	0	 
PE091059	1	3	0	 
PE091060	1	2	0	 
PE091060	2	2	0	 
PE091060	3	2	0	 
PE091060	4	2	0	 
PE091060	5	3	0	 
PE091061	1	1	0	 
PE091062	1	2	0	 
PE091062	2	1	0	 
PE091063	1	1	0	 
PE091063	2	2	0	 
PE091063	3	3	0	 
PE091064	1	7	1	2
PE091065	1	1	0	 
PE091065	2	2	0	 
PE091066	1	2	0	 
PE091066	2	2	0	 
PE091067	1	1	0	 
PE091067	2	2	0	 
PE091068	1	2	0	 
PE091068	2	1	0	 
PE091069	1	2	0	 
PE091069	2	3	0	 
PE091071	1	2	0	 
PE091072	1	1	0	 
PE091072	2	2	0	 
PE091073	1	2	0	 
PE091074	1	1	0	 
PE091074	2	2	0	 
PE091074	3	3	0	 
PE091075	1	2	0	 
PE091075	2	3	0	 
PE091076	1	1	0	 
PE091076	2	2	0	 
PE091077	1	2	0	 
PE091077	2	1	0	 
PE091078	1	2	0	 
PE091079	1	2	0	 
PE091079	2	1	0	 
PE091081	1	1	0	 
PE091081	2	2	0	 
PE091082	1	2	0	 
PE091083	1	2	0	 
PE091085	1	2	0	 
PE091086	1	1	0	 
PE091086	2	2	0	 
PE091087	1	3	0	 
PE091087	2	2	0	 
PE091088	1	1	0	 
PE091088	2	2	0	 
PE091089	1	2	0	 
PE091090	1	1	0	 
PE091090	2	2	0	 
PE091091	1	2	0	 
PE091092	1	1	0	 
PE091092	2	3	0	 
PE091093	1	1	0	 
PE091093	2	2	0	 
PE091094	1	2	0	 
PE091094	2	1	0	 
PE091095	1	1	0	 
PE091096	1	2	0	 
PE091096	2	1	0	 
PE091097	1	2	0	 
PE091098	1	3	0	 
PE091098	2	1	0	 
PE091098	3	2	0	 
PE091098	4	2	0	 
PE091099	1	1	0	 
PE091100	1	1	0	 
PE091100	2	2	0	 
PE091101	1	2	0	 
PE091101	2	2	0	 
PE091101	3	2	0	 
PE091101	4	1	0	 
PE091102	1	1	0	 
PE091102	2	1	0	 
PE091103	1	2	0	 
PE101001	1	2	0	 
PE101002	1	2	0	 
PE101003	1	2	0	 
PE101004	1	2	0	 
PE101005	1	2	0	 
PE101007	1	2	0	 
PE101009	1	2	0	 
PE101010	1	2	0	 
PE101010	2	3	0	 
PE101011	1	2	0	 
PE101013	1	2	0	 
PE101017	1	4	0	 
PE101018	1	2	0	 
PE101019	1	4	0	 
PE101020	1	2	0	 
PE101022	1	2	0	 
PE101024	1	2	0	 
PE101025	1	2	0	 
PE101026	1	2	0	 
PE101027	1	7	1	0
PE101027	2	2	0	 
PE101028	1	2	0	 
PE101030	1	2	0	 
PE101030	2	3	0	 
PE101031	1	2	0	 
PE101032	1	3	0	 
PE101032	2	2	0	 
PE101033	1	2	0	 
PE101034	1	2	0	 
PE101036	1	3	0	 
PE101039	1	4	0	 
PE101039	2	4	0	 
PE101040	1	2	0	 
PE101040	2	2	0	 
PE101040	3	2	0	 
PE101041	1	2	0	 
PE101043	1	2	0	 
PE101044	1	2	0	 
PE101046	1	2	0	 
PE101046	2	2	0	 
PE101048	1	2	0	 
PE101048	2	2	0	 
PE101049	1	2	0	 
PE101050	1	2	0	 
PE101051	1	5	0	 
PE101051	2	2	0	 
PE101053	1	2	0	 
PE101054	1	2	0	 
PE101054	2	4	0	 
PE101055	1	2	0	 
PE101056	1	2	0	 
PE101058	1	2	0	 
PE101059	1	2	0	 
PE101059	2	3	0	 
PE101061	1	2	0	 
PE101062	1	2	0	 
PE101062	2	2	0	 
PE101062	3	2	0	 
PE101063	1	4	0	 
PE101063	2	4	0	 
PE101064	1	2	0	 
PE101065	1	2	0	 
PE101066	1	2	0	 
PE101066	2	2	0	 
PE101067	1	3	0	 
PE101071	1	2	0	 
PE101071	2	1	0	 
PE101072	1	2	0	 
PE101072	2	3	0	 
PE101073	1	2	0	 
PE101074	1	4	0	 
PE101074	2	2	0	 
PE101076	1	3	0	 
PE101077	1	2	0	 
PE101078	1	2	0	 
PE101079	1	2	0	 
PE101080	1	2	0	 
PE101081	1	2	0	 
PE101081	2	2	0	 
PE101082	1	2	0	 
PE101082	2	3	0	 
PE101083	1	2	0	 
PE101084	1	2	0	 
PE101084	2	4	0	 
PE101085	1	2	0	 
PE101087	1	2	0	 
PE101088	1	2	0	 
PE101088	2	1	0	 
PE101089	1	2	0	 
PE101090	1	2	0	 
PE101091	1	2	0	 
PE101092	1	2	0	 
PE101093	1	2	0	 
PE101093	2	2	0	 
PE101094	1	4	0	 
PE101095	1	2	0	 
PE101096	1	2	0	 
PE101097	1	4	0	 
PE101099	1	2	0	 
PE101100	1	2	0	 
PE101101	1	2	0	 
PE101101	2	3	0	 
PE101102	1	2	0	 
PE101103	1	2	0	 
PE101104	1	1	0	 
PE101105	1	2	0	 
PE111002	1	1	0	 
PE111005	1	1	0	 
PE111005	2	2	0	 
PE111006	1	2	0	 
PE111007	1	2	0	 
PE111008	1	2	0	 
PE111008	2	3	0	 
