childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE031032	1	1	180	1	8	.5	8
PE031032	2	9	180	1	7	.5	7
PE031032	3	10	100	1	5	1	5
PE031033	1	10	180	1	8	.5	8
PE031033	2	9	180	1	7	.300000011920929	7
PE031035	1	1	80	1	1	5	1
PE031035	2	9	80	1	7	.5	7
PE031035	3	1	50	1	2	1	2
PE031035	4	9	50	1	7	.5	7
PE031036	1	1	220	1	8	1	8
PE031036	2	9	220	1	7	.300000011920929	7
PE031038	1	1	180	1	3	.5	3
PE031038	2	9	180	1	7	.200000002980232	7
PE031039	1	9	180	1	7	.5	7
PE031039	2	1	180	1	3	1	3
PE031040	1	9	170	2	7	.300000011920929	7
PE031040	2	1	8	2	2	3	2
PE031040	3	10	80	1	5	2	5
PE031041	1	9	150	2	7	.5	7
PE031041	2	10	150	2	8	.5	8
PE031041	3	1	1	3	2	2	2
PE031042	1	1	12	3	7	4	7
PE031043	1	9	180	1	7	.300000011920929	7
PE031043	2	1	10	5	2	2.5	2
PE031044	1	1	216	3	8	.5	8
PE031044	2	9	216	3	8	.5	7
PE031045	1	9	160	1	7	.300000011920929	7
PE031047	1	1	4	3	6	2.5	6
PE031047	2	10	4	1	2	1.5	2
PE031047	3	10	88	2	9	2.5	9
PE031047	4	1	88	2	8	1	8
PE031048	1	1	240	1	8	.5	8
PE031048	2	3	18	5	4	1.5	4
PE031048	3	1	110	2	8	1	8
PE031048	4	9	110	1	7	.5	7
PE031049	1	9	44	1	7	.5	7
PE031049	2	1	10	1	2	3.5	2
PE031050	1	9	180	1	7	.5	7
PE031050	2	10	180	1	5	.5	5
PE031052	1	1	8	2	2	3	2
PE031052	2	9	220	2	7	.300000011920929	7
PE031053	1	9	180	1	7	.5	7
PE031055	1	8	3	3	2	1.5	2
PE031055	2	15	2	6	4	1.5	4
PE031055	3	11	2	4	2	1.79999995231628	2
PE031055	4	15	2	1	2	.300000011920929	2
PE031055	5	1	160	1	8	.800000011920929	8
PE031055	6	9	160	1	7	.400000005960464	7
PE031056	1	9	180	1	7	.300000011920929	7
PE031056	2	1	180	1	5	.5	5
PE031057	1	9	280	3	7	.300000011920929	7
PE031057	2	10	280	3	8	.5	8
PE031058	1	9	180	1	7	.300000011920929	7
PE031058	2	1	10	1	2	3	2
PE031059	1	9	180	1	7	.300000011920929	7
PE031059	2	10	180	1	5	.5	5
PE031060	1	1	220	1	8	.5	8
PE031060	2	9	220	1	7	.200000002980232	7
PE031061	1	10	288	2	8	.200000002980232	8
PE031061	2	10	60	1	5	1	5
PE031061	3	9	160	2	7	.200000002980232	7
PE031062	1	1	12	2	2	2.5	2
PE031062	2	1	12	1	8	.5	8
PE031062	3	9	12	1	7	.300000011920929	7
PE031063	1	1	12	1	8	.300000011920929	8
PE031063	2	3	12	1	2	3	2
PE031064	1	1	90	1	8	.5	8
PE031064	2	9	90	1	7	.300000011920929	7
PE031064	3	1	320	1	1	1.5	1
PE031064	4	5	3	1	1	6	1
PE031064	5	6	3	1	2	2.5	2
PE031064	6	7	3	3	6	2.5	6
PE031064	7	8	3	3	2	1.29999995231628	2
PE031065	1	9	39	1	7	.300000011920929	7
PE031065	2	1	39	1	8	.5	8
PE031066	1	10	240	2	8	1	8
PE031066	2	9	2	2	7	1	7
PE031067	1	1	80	1	3	2.5	3
PE031067	2	9	80	1	7	.100000001490116	7
PE031068	1	1	90	1	5	1	5
PE031068	2	9	90	1	7	.5	7
PE031069	1	1	6	4	6	2.5	6
PE031069	2	4	3	1	2	2	2
PE031069	3	3	6	2	2	1.5	2
PE031069	4	10	180	1	9	2	9
PE031069	5	9	180	2	7	.5	7
PE031071	1	1	8	4	6	2.5	6
PE031071	2	3	8	1	2	2.20000004768372	2
PE031071	3	10	180	1	9	2	9
PE031071	4	9	180	1	7	.300000011920929	7
PE031072	1	1	9	1	2	1	2
PE031072	2	9	9	2	7	.200000002980232	7
PE031073	1	1	250	2	1	1.29999995231628	1
PE031073	2	3	2	2	2	5	2
PE031074	1	5	12	1	1	5	1
PE031074	2	6	12	1	2	2	2
PE031074	3	8	12	2	2	2.20000004768372	2
PE031074	4	10	180	1	9	2	9
PE031074	5	1	180	1	8	.200000002980232	8
PE031074	6	9	180	2	7	.25	7
PE031074	7	1	9	2	2	1	2
PE031075	1	1	12	12	6	2.5	6
PE031075	2	3	6	6	2	1.79999995231628	2
PE031075	3	9	180	2	7	.5	7
PE031075	4	1	12	1	2	2	2
PE031075	5	10	180	1	9	.5	9
PE031075	6	5	1	1	1	6	1
PE031075	7	8	1	1	2	1.20000004768372	2
PE031076	1	1	36	2	8	.5	8
PE031076	2	3	12	1	2	3	2
PE031076	3	9	180	2	7	.200000002980232	7
PE031076	4	10	180	1	9	1	9
PE031076	5	5	11	1	1	5	1
PE031076	6	6	11	1	2	2	2
PE031076	7	8	11	2	2	2.20000004768372	2
PE031077	1	9	180	1	7	.300000011920929	7
PE031077	2	1	180	1	2	2	2
PE031077	3	10	90	1	8	1	8
PE031078	1	1	3	1	2	1.20000004768372	2
PE031078	2	9	20	1	7	.300000011920929	7
PE031079	1	9	80	1	7	.300000011920929	7
PE031079	2	1	80	1	2	3	2
PE031080	1	1	8	5	6	2.5	6
PE031080	2	3	8	1	2	2	2
PE031080	3	9	90	1	7	.5	7
PE031081	1	1	7	8	2	2.79999995231628	2
PE031081	2	3	1	2	2	2	2
PE031081	3	8	3	4	2	1.39999997615814	2
PE031081	4	6	3	1	2	2.5	2
PE031081	5	5	3	1	1	5	1
PE031081	6	4	2	4	2	1.5	2
PE031082	1	10	360	1	8	1	8
PE031083	1	1	52	2	8	.600000023841858	8
PE031083	2	3	12	1	2	3	2
PE031083	3	9	34	1	7	.300000011920929	7
PE031083	4	1	34	3	2	1	2
PE031084	1	1	180	1	1	2	1
PE031084	2	9	180	1	7	.300000011920929	7
PE031085	1	1	12	2	8	1	8
PE031085	2	3	12	2	2	3	2
PE031086	1	1	12	3	8	1.79999995231628	8
PE031086	2	3	12	2	2	4.5	2
PE031087	1	1	188	2	8	.5	8
PE031087	2	9	188	2	7	.200000002980232	7
PE031088	1	3	12	2	2	1.5	2
PE031088	2	1	188	2	8	.5	8
PE031088	3	9	188	2	7	.300000011920929	7
PE031088	4	8	4	2	2	1.29999995231628	2
PE031088	5	5	4	1	1	6	1
PE031088	6	6	4	1	4	1	4
PE031089	1	8	12	3	2	1.29999995231628	2
PE031089	2	5	12	1	1	6	1
PE031089	3	6	12	1	4	1	4
PE031089	4	1	240	2	8	.5	8
PE031089	5	3	12	2	2	1.5	2
PE031089	6	9	240	1	7	.5	7
PE031089	7	10	240	1	8	.5	8
PE031090	1	1	12	2	8	1.5	8
PE031090	2	3	12	2	2	6	2
PE031091	1	9	180	1	7	.300000011920929	7
PE031091	2	1	180	1	2	3	2
PE031091	3	10	80	1	8	.5	8
PE031091	4	8	3	2	2	1.20000004768372	2
PE031091	5	5	3	1	1	6	1
PE031091	6	6	3	2	2	2	2
PE031092	1	1	188	2	8	.300000011920929	8
PE031092	2	9	188	2	7	.200000002980232	7
PE031092	3	10	48	1	9	1.5	9
PE031092	4	8	4	4	2	1.20000004768372	2
PE031092	5	7	4	3	6	4	6
PE031092	6	5	4	1	1	6.5	1
PE031092	7	6	4	1	4	1	4
PE031093	1	10	60	1	5	2.5	5
PE031093	2	8	2	6	2	1.29999995231628	2
PE031093	3	5	2	2	1	6	1
PE031093	4	6	2	1	2	3	2
PE031093	5	7	2	2	6	2.5	6
PE031093	6	1	120	1	8	.5	8
PE031093	7	9	120	1	7	.5	7
PE031094	1	10	4	1	8	.5	8
PE031094	2	9	5	1	7	.5	7
PE031095	1	1	12	1	8	.200000002980232	8
PE031097	1	9	240	2	7	.300000011920929	7
PE031097	2	10	240	2	8	.300000011920929	8
PE031098	1	1	128	1	8	.5	8
PE031098	2	9	128	4	7	.400000005960464	7
PE031099	1	1	16	2	2	3	2
PE031099	2	9	352	2	7	.100000001490116	7
PE031100	1	9	180	3	7	.5	7
PE031100	2	10	180	3	8	.5	8
PE031101	1	9	180	1	7	.100000001490116	7
PE031101	2	1	9	1	2	2	2
PE041001	1	9	180	4	7	.300000011920929	7
PE041001	2	1	11	2	2	2.5	2
PE041002	1	1	6	9	6	2.79999995231628	6
PE041002	2	1	110	1	8	.5	8
PE041002	3	9	110	1	7	.5	7
PE041003	1	9	240	1	7	.200000002980232	7
PE041003	2	10	240	1	8	1	8
PE041004	1	1	108	1	8	1	8
PE041004	2	9	108	1	7	.5	7
PE041005	1	1	40	1	2	5	2
PE041005	2	9	200	1	7	.300000011920929	7
PE041006	1	1	170	1	8	.5	8
PE041006	2	9	170	1	7	.300000011920929	7
PE041008	1	1	9	1	6	1	6
PE041008	2	9	9	1	7	.200000002980232	7
PE041009	1	1	170	1	8	1	8
PE041009	2	9	170	1	7	.5	7
PE041009	3	4	12	3	2	1.5	2
PE041009	4	8	11	1	2	3	2
PE041009	5	5	11	1	1	6	1
PE041009	6	6	11	1	2	2.5	2
PE041009	7	10	110	1	9	2	9
PE041010	1	9	240	2	7	.5	7
PE041010	2	10	240	2	8	1	8
PE041011	1	1	44	2	2	2	2
PE041011	2	9	44	2	7	.200000002980232	7
PE041012	1	1	3	12	6	2	6
PE041012	2	9	240	2	7	.5	7
PE041012	3	2	24	2	2	2	2
PE041013	1	1	98	1	2	2	2
PE041013	2	9	98	1	7	.300000011920929	7
PE041014	1	1	10	2	2	3	2
PE041014	2	9	200	2	7	.5	7
PE041014	3	10	200	1	9	3	9
PE041014	4	6	12	1	2	2	2
PE041014	5	5	6	.25	1	4	1
PE041014	6	4	12	2	2	2	2
PE041014	7	8	12	2	2	1.5	2
PE041016	1	9	180	1	7	.300000011920929	7
PE041017	1	9	180	1	7	.5	7
PE041018	1	1	3	12	6	2.20000004768372	6
PE041019	1	9	180	1	7	.5	7
PE041020	1	1	192	4	8	.5	8
PE041020	2	9	192	4	7	.200000002980232	7
PE041020	3	1	12	12	6	2.5	6
PE041021	1	1	4	12	6	2.5	6
PE041021	2	1	220	2	8	.5	8
PE041021	3	9	220	2	7	.200000002980232	7
PE041021	4	10	140	1	9	4	9
PE041022	1	10	200	1	8	.5	8
PE041022	2	9	200	1	7	.300000011920929	7
PE041023	1	1	4	24	6	2.70000004768372	6
PE041023	2	10	44	2	8	.5	8
PE041023	3	9	44	2	7	.200000002980232	7
PE041024	1	1	180	1	8	.5	8
PE041025	1	1	4	12	6	2.5	6
PE041026	1	1	120	1	8	.5	8
PE041026	2	9	120	1	7	.600000023841858	7
PE041027	1	1	4	24	6	2.20000004768372	6
PE041028	1	10	1	1	8	.5	8
PE041028	2	9	1	1	7	.5	7
PE041029	1	10	180	1	9	1	9
PE041029	2	9	180	1	7	.300000011920929	7
PE041029	3	1	180	1	8	.5	8
PE041030	1	1	4	12	6	2	6
PE041031	1	1	9	12	6	2.5	6
PE041032	1	1	6	32	6	2.5	6
PE041032	2	1	130	1	8	.5	8
PE041032	3	9	130	1	7	.300000011920929	7
PE041032	4	8	11	2	2	1.5	2
PE041032	5	5	11	1	1	6.5	1
PE041032	6	6	11	1	2	3	2
PE041033	1	9	180	2	7	.5	7
PE041033	2	1	180	2	8	.200000002980232	8
PE041034	1	9	126	1	7	.300000011920929	7
PE041034	2	1	126	1	8	.5	8
PE041035	1	1	12	12	6	2.5	6
PE041036	1	1	200	2	8	1.5	8
PE041036	2	9	200	2	7	.5	7
PE041037	1	9	180	1	7	.300000011920929	7
PE041037	2	1	180	1	8	.5	8
PE041039	1	1	96	24	6	3	6
PE041039	2	1	3	9	2	2.5	2
PE041039	3	8	3	2	2	2	2
PE041039	4	6	3	1	2	3	2
PE041039	5	8	1	11.5	2	.649999976158142	2
PE041041	1	1	4	24	6	2	6
PE041041	2	1	44	1	8	.5	8
PE041041	3	9	44	1	7	.200000002980232	7
PE041042	1	1	4	4	6	2.59999990463257	6
PE041042	2	1	110	1	8	1	8
PE041042	3	9	110	1	7	.5	7
PE041042	4	8	2	2	2	2	2
PE041042	5	6	2	1	2	2.79999995231628	2
PE041042	6	5	2	1	1	6.5	1
PE041043	1	1	4	24	6	2.20000004768372	6
PE041043	2	1	44	2	8	.5	8
PE041043	3	9	44	2	7	.200000002980232	7
PE041044	1	1	4	12	6	2.79999995231628	6
PE041045	1	1	4	12	8	2.70000004768372	8
PE041045	2	9	180	1	7	.300000011920929	7
PE041045	3	10	100	1	9	3	9
PE041046	1	1	4	12	6	2.5	6
PE041046	2	1	280	3	8	.5	8
PE041046	3	9	160	2	7	.200000002980232	7
PE041046	4	10	120	1	9	2	9
PE041047	1	1	4	12	6	2.20000004768372	6
PE041047	2	10	200	1	8	.5	8
PE041047	3	9	200	1	7	.5	7
PE041047	4	10	200	1	9	2.5	9
PE041048	1	1	3	12	6	2.79999995231628	6
PE041049	1	1	60	1	8	.5	8
PE041049	2	9	60	1	7	.5	7
PE041050	1	9	210	3	7	.300000011920929	7
PE041050	2	10	210	3	8	.800000011920929	8
PE041051	1	9	200	1	7	.400000005960464	7
PE041051	2	10	200	1	8	.5	8
PE041052	1	1	198	2	8	.5	8
PE041052	2	9	198	2	7	.200000002980232	7
PE041052	3	1	4	12	6	2.5	6
PE041053	1	1	4	12	6	2.5	6
PE041055	1	1	4	12	6	2	6
PE041055	2	1	220	2	8	1.5	8
PE041055	3	9	220	2	7	.5	7
PE041055	4	10	140	1	9	2.5	9
PE041056	1	1	140	1	8	.5	8
PE041056	2	9	140	1	7	.300000011920929	7
PE041060	1	1	4	12	6	3	6
PE041061	1	1	4	12	6	3	6
PE041061	2	10	10	1	5	2	5
PE041062	1	1	30	1	2	5	2
PE041064	1	1	80	1	8	1	8
PE041065	1	1	180	2	8	.5	8
PE041065	2	9	180	2	7	.300000011920929	7
PE041066	1	9	200	1	7	.300000011920929	7
PE041066	2	10	200	1	8	.5	8
PE041066	3	1	40	1	6	2.5	6
PE041067	1	1	220	2	8	1	8
PE041067	2	9	220	2	7	.5	7
PE041068	1	1	198	3	8	.5	8
PE041068	2	9	198	3	7	.300000011920929	7
PE041069	1	10	200	1	8	1	8
PE041069	2	9	200	1	7	.300000011920929	7
PE041069	3	10	160	1	5	2	5
PE041070	1	1	198	1	8	.5	8
PE041070	2	9	198	1	7	.300000011920929	7
PE041071	1	1	180	2	8	1	8
PE041071	2	9	180	2	7	.5	7
PE041071	3	8	4	2	2	1	2
PE041071	4	5	4	.25	1	4	1
PE041071	5	6	4	1	4	1	4
PE041071	6	4	4	3	2	 	2
PE041072	1	1	198	2	8	.5	8
PE041072	2	9	198	2	7	.200000002980232	7
PE041073	1	1	44	1	2	2	2
PE041073	2	9	44	1	7	.5	7
PE041074	1	1	6	12	6	3	6
PE041075	1	1	4	12	6	2.5	6
