childid	cropid	cropr3	qnthrvr3	qntuntr3
PE031011	1	55	4	10
PE031011	2	75	2	5
PE031011	3	44	3	5
PE031011	4	99	2	5
PE031013	1	75	20	5
PE031013	2	44	18	10
PE031013	3	89	10	5
PE031013	4	55	33	10
PE031013	5	101	4	9
PE031014	1	44	20	5
PE031014	2	75	7	10
PE031014	3	89	2	10
PE031014	4	55	10	10
PE031014	5	99	1	3
PE031014	6	17	1	10
PE031015	1	17	10	2
PE031015	2	4	500	8
PE031016	1	44	3	5
PE031016	2	75	5	5
PE031016	3	17	3	5
PE031016	4	56	10	8
PE031016	5	4	1500	8
PE031020	1	44	12	5
PE031020	2	89	6	10
PE031021	1	99	1	10
PE031021	2	44	1	10
PE031021	3	89	1	10
PE031021	4	75	1	10
PE031022	1	44	12	10
PE031024	1	44	6	10
PE031026	1	44	7	5
PE031030	1	44	5	10
PE031030	2	108	2160	8
PE031030	3	51	100	11
PE031030	4	83	3	11
PE031032	1	75	18	5
PE031032	2	44	12	5
PE031032	3	99	3	5
PE031033	1	75	4	10
PE031033	2	44	4	10
PE031033	3	55	10	10
PE031033	4	4	10	11
PE031033	5	17	1	2
PE031034	1	44	5	10
PE031036	1	44	4	10
PE031036	2	75	6	10
PE031036	3	99	2	10
PE031036	4	96	4	10
PE031036	5	12	20	2
PE031036	6	10	40	8
PE031036	7	102	100	8
PE031039	1	44	16	3
PE031039	2	99	14	3
PE031039	3	89	14	3
PE031040	1	75	3	5
PE031040	2	44	1.5	5
PE031040	3	99	1	5
PE031040	4	55	1	10
PE031040	5	26	2	3
PE031040	6	102	96	7
PE031040	7	108	16	6
PE031045	1	75	1	10
PE031045	2	44	2	10
PE031045	3	99	4	10
PE031046	1	75	2	5
PE031046	2	44	1	9
PE031046	3	99	2	5
PE031047	1	96	12	5
PE031047	2	75	6	5
PE031047	3	99	4	5
PE031047	4	44	4	5
PE031047	5	86	6	2
PE031047	6	101	6	2
PE031048	1	44	6	9
PE031048	2	75	2	5
PE031048	3	55	6	5
PE031049	1	44	26	5
PE031049	2	75	45	5
PE031049	3	99	9	5
PE031049	4	89	10	5
PE031049	5	55	15	10
PE031049	6	4	8000	8
PE031049	7	17	1	5
PE031050	1	44	5	10
PE031050	2	89	4	5
PE031050	3	99	1	5
PE031052	1	44	6	5
PE031054	1	44	3	10
PE031054	2	75	10	10
PE031055	1	44	120	5
PE031055	2	89	360	5
PE031055	3	75	400	5
PE031056	1	89	2	5
PE031056	2	44	2	10
PE031056	3	99	.5	3
PE031057	1	44	8	5
PE031057	2	75	14	5
PE031057	3	89	2	5
PE031057	4	10	30	8
PE031057	5	12	10	2
PE031057	6	51	20	8
PE031057	7	4	7	7
PE031058	1	44	24	5
PE031058	2	75	30	5
PE031058	3	89	6	5
PE031058	4	4	2	10
PE031058	5	17	1	5
PE031058	6	67	10	9
PE031058	7	132	18	2
PE031059	1	44	5	5
PE031059	2	75	4	5
PE031059	3	89	1	5
PE031059	4	4	6	7
PE031059	5	67	2	10
PE031059	6	17	10	2
PE031060	1	89	3	10
PE031060	2	44	6	10
PE031060	3	75	15	5
PE031061	1	44	1	10
PE031061	2	55	2	10
PE031061	3	102	180	7
PE031061	4	108	5	6
PE031061	5	10	15	7
PE031062	1	44	8	5
PE031062	2	96	2	5
PE031063	1	44	6	5
PE031063	2	75	6	5
PE031063	3	89	1.5	5
PE031064	1	75	10	5
PE031064	2	99	7	5
PE031064	3	44	6	5
PE031065	1	44	5	10
PE031065	2	99	6	10
PE031065	3	17	3	10
PE031065	4	4	1000	8
PE031066	1	89	3	10
PE031066	2	4	800	8
PE031066	3	17	100	2
PE031066	4	67	400	8
PE031066	5	108	500	8
PE031066	6	44	4	5
PE031068	1	17	350	2
PE031068	2	44	1	9
PE031068	3	99	1	5
PE031069	1	99	3	10
PE031069	2	44	2	10
PE031069	3	17	2	10
PE031069	4	67	35	6
PE031069	5	4	500	8
PE031069	6	51	100	8
PE031069	7	132	100	8
PE031070	1	4	200	8
PE031070	2	17	1	10
PE031070	3	67	50	8
PE031070	4	99	2	10
PE031070	5	44	2	5
PE031070	6	51	500	8
PE031071	1	44	1000	8
PE031071	2	17	2	10
PE031071	3	67	100	6
PE031071	4	51	300	8
PE031071	5	132	200	8
PE031072	1	44	1	9
PE031072	2	17	2	10
PE031072	3	99	1	10
PE031073	1	4	500	8
PE031073	2	44	2	9
PE031073	3	17	2	9
PE031073	4	83	2	11
PE031074	1	4	300	8
PE031074	2	17	1	10
PE031074	3	67	288	1
PE031074	4	44	7	10
PE031074	5	99	8	10
PE031074	6	89	1	10
PE031074	7	83	1	11
PE031075	1	4	500	8
PE031075	2	17	2	10
PE031075	3	51	500	8
PE031075	4	132	300	8
PE031075	5	67	120	6
PE031075	6	44	2	10
PE031075	7	99	2	10
PE031076	1	67	500	1
PE031076	2	4	1000	8
PE031076	3	44	12	2
PE031076	4	99	2	10
PE031077	1	17	12	10
PE031077	2	67	2	10
PE031077	3	44	8	5
PE031077	4	99	3	5
PE031077	5	89	1	5
PE031077	6	4	90	7
PE031077	7	108	500	8
PE031078	1	44	5	10
PE031079	1	17	26	2
PE031079	2	4	30	7
PE031079	3	51	12	8
PE031079	4	44	250	10
PE031080	1	44	40	10
PE031081	1	44	10	10
PE031081	2	17	1	10
PE031083	1	44	10	5
PE031083	2	75	38	5
PE031083	3	99	6	5
PE031083	4	4	2000	8
PE031084	1	4	50	7
PE031084	2	44	4	5
PE031084	3	67	1600	8
PE031085	1	17	2	5
PE031085	2	4	1000	8
PE031085	3	67	200	8
PE031085	4	99	1	5
PE031085	5	44	9	5
PE031085	6	75	3	5
PE031086	1	44	30	5
PE031086	2	75	20	5
PE031086	3	99	6	5
PE031086	4	4	1000	8
PE031087	1	44	15	10
PE031087	2	75	15	10
PE031087	3	99	4	10
PE031087	4	89	4	10
PE031087	5	17	5	10
PE031087	6	67	20	9
PE031088	1	75	3	10
PE031088	2	99	2	10
PE031088	3	44	1	9
PE031088	4	17	1	9
PE031089	1	89	4	10
PE031089	2	75	3	10
PE031089	3	44	3	10
PE031089	4	99	2	10
PE031089	5	4	5000	10
PE031089	6	67	1600	10
PE031089	7	17	2	10
PE031090	1	17	1	5
PE031090	2	67	5	5
PE031090	3	99	1	5
PE031091	1	67	18	11
PE031091	2	44	1	5
PE031091	3	99	10	9
PE031091	4	89	6	9
PE031091	5	75	5	5
PE031091	6	4	100	7
PE031092	1	44	10	5
PE031092	2	75	5	5
PE031092	3	99	5	5
PE031092	4	89	3	5
PE031093	1	44	2.5	10
PE031093	2	108	10	6
PE031093	3	108	15	7
PE031093	4	4	5	11
PE031093	5	17	5	2
PE031094	1	99	4	5
PE031094	2	75	8	5
PE031094	3	44	12	5
PE031095	1	44	2	10
PE031095	2	99	1	5
PE031097	1	75	30	9
PE031097	2	44	20	9
PE031097	3	99	8	9
PE031097	4	89	5	2
PE031098	1	44	2	5
PE031098	2	75	3	5
PE031098	3	99	2	5
PE031100	1	44	6	3
PE031100	2	75	15	3
PE031101	1	44	2	5
PE031101	2	75	2	5
PE031101	3	99	1	9
PE031101	4	17	1	9
PE041001	1	55	60	10
PE041001	2	44	13	10
PE041001	3	99	12	10
PE041001	4	89	2	10
PE041002	1	44	3	10
PE041002	2	89	1	10
PE041003	1	55	240	10
PE041003	2	44	15	10
PE041003	3	99	18	10
PE041003	4	89	1	10
PE041004	1	44	5	10
PE041004	2	89	1	10
PE041004	3	99	20	10
PE041005	1	44	320	10
PE041005	2	89	360	10
PE041005	3	99	300	10
PE041005	4	55	3500	10
PE041006	1	44	3	10
PE041006	2	89	2	3
PE041006	3	75	3	10
PE041006	4	99	12	10
PE041008	1	44	7	10
PE041008	2	75	5	10
PE041008	3	89	1	10
PE041009	1	44	10	10
PE041009	2	89	2	10
PE041010	1	99	40	10
PE041010	2	44	20	10
PE041010	3	89	10	10
PE041011	1	99	20	10
PE041011	2	44	15	10
PE041011	3	89	5	10
PE041012	1	44	10	10
PE041012	2	89	1	10
PE041012	3	75	2	10
PE041012	4	108	15	10
PE041012	5	99	1	10
PE041013	1	55	20	10
PE041013	2	101	2	10
PE041018	1	55	7	10
PE041018	2	99	3	2
PE041018	3	44	1	3
PE041020	1	55	20	10
PE041020	2	44	10	10
PE041020	3	89	3	10
PE041020	4	50	1	10
PE041020	5	12	25	10
PE041020	6	10	10	10
PE041020	7	101	3	10
PE041021	1	44	2	10
PE041021	2	89	2	10
PE041022	1	55	50	10
PE041022	2	75	3	10
PE041022	3	12	4	3
PE041023	1	44	50	10
PE041023	2	89	3	10
PE041023	3	55	69	10
PE041023	4	99	10	10
PE041023	5	10	20	10
PE041023	6	83	3	11
PE041023	7	101	20	10
PE041024	1	44	60	10
PE041024	2	89	12	10
PE041024	3	55	370	10
PE041024	4	99	10	10
PE041025	1	55	200	10
PE041025	2	44	20	10
PE041025	3	12	20	10
PE041025	4	10	10	10
PE041027	1	44	50	10
PE041027	2	55	100	10
PE041027	3	89	6	10
PE041029	1	44	6	10
PE041029	2	75	12	10
PE041029	3	5	10	10
PE041029	4	89	4	10
PE041029	5	86	10	10
PE041029	6	55	10	10
PE041029	7	101	15	10
PE041030	1	55	30	10
PE041031	1	55	30	10
PE041031	2	44	15	10
PE041031	3	89	4	10
PE041032	1	44	5	10
PE041032	2	89	5	10
PE041032	3	55	18	10
PE041032	4	75	6	10
PE041033	1	55	200	10
PE041033	2	44	8	10
PE041033	3	10	4	10
PE041033	4	12	2	10
PE041033	5	108	1	6
PE041033	6	50	1	10
PE041033	7	10	10	7
PE041033	8	99	1	10
PE041034	1	55	8	10
PE041034	2	44	19	10
PE041034	3	89	4	3
PE041035	1	44	25	10
PE041035	2	75	8	10
PE041035	3	99	7	10
PE041035	4	56	30	7
PE041035	5	102	60	8
PE041035	6	10	40	10
PE041035	7	108	100	10
PE041036	1	44	25	10
PE041036	2	89	5	10
PE041036	3	55	100	10
PE041036	4	101	1	10
PE041036	5	5	5	10
PE041036	6	75	5	10
PE041037	1	55	100	10
PE041037	2	44	5	10
PE041037	3	75	5	10
PE041037	4	101	10	10
PE041037	5	89	1	10
PE041037	6	99	5	10
PE041038	1	44	12	10
PE041038	2	55	50	10
PE041038	3	99	10	10
PE041039	1	44	500	10
PE041039	2	55	250	10
PE041039	3	89	50	3
PE041039	4	12	175	10
PE041039	5	10	80	10
PE041040	1	55	400	10
PE041040	2	99	15	10
PE041040	3	10	750	8
PE041040	4	12	20	10
PE041040	5	44	10	10
PE041041	1	44	30	10
PE041041	2	89	15	10
PE041041	3	55	150	10
PE041041	4	75	20	10
PE041041	5	99	30	10
PE041041	6	12	40	10
PE041041	7	10	20	10
PE041042	1	44	12	10
PE041042	2	55	12	10
PE041042	3	86	5	10
PE041042	4	89	2	10
PE041043	1	44	20	10
PE041043	2	55	50	10
PE041043	3	99	19	10
PE041043	4	101	5	10
PE041043	5	89	13	10
PE041044	1	44	20	10
PE041044	2	89	5	10
PE041044	3	55	90	10
PE041044	4	86	10	10
PE041044	5	99	40	10
PE041045	1	55	5	10
PE041045	2	44	10	10
PE041045	3	101	1	10
PE041045	4	86	5	10
PE041045	5	10	12	7
PE041045	6	99	5	10
PE041046	1	44	6	10
PE041046	2	55	100	10
PE041046	3	75	15	10
PE041046	4	89	5	10
PE041047	1	44	6	10
PE041047	2	12	3	10
PE041047	3	89	50	2
PE041048	1	55	45	10
PE041048	2	44	10	10
PE041048	3	89	2	10
PE041049	1	55	100	10
PE041049	2	44	10	10
PE041050	1	44	20	10
PE041050	2	75	8	10
PE041050	3	89	3	10
PE041052	1	55	80	10
PE041052	2	44	50	10
PE041052	3	12	20	10
PE041052	4	99	30	10
PE041052	5	89	8	10
PE041052	6	101	4	10
PE041052	7	10	6	10
PE041053	1	44	10	10
PE041053	2	89	2	10
PE041053	3	55	50	10
PE041054	1	44	6	10
PE041054	2	55	30	10
PE041054	3	75	4	10
PE041054	4	89	1	10
PE041054	5	67	12	9
PE041054	6	5	20	2
PE041054	7	99	15	2
PE041055	1	44	10	10
PE041055	2	75	3	10
PE041055	3	55	19	10
PE041055	4	89	2	10
PE041055	5	10	15	10
PE041055	6	56	5	8
PE041055	7	12	1	10
PE041056	1	44	50	10
PE041056	2	55	20	10
PE041056	3	75	8	10
PE041056	4	89	1	10
PE041056	5	99	2	3
PE041059	1	55	80	10
PE041059	2	44	20	10
PE041059	3	99	10	10
PE041059	4	101	6	10
PE041059	5	89	3	10
PE041059	6	10	2	10
PE041059	7	50	3	2
PE041060	1	102	1500	2
PE041060	2	12	2000	2
PE041060	3	55	7500	2
PE041060	4	44	250	2
PE041061	1	89	3	3
PE041061	2	44	3	10
PE041061	3	55	10	10
PE041062	1	44	5	10
PE041062	2	89	2	10
PE041062	3	55	3	10
PE041062	4	75	3	10
PE041062	5	5	2	3
PE041063	1	55	36.5	10
PE041063	2	101	50	10
PE041063	3	44	15	10
PE041063	4	12	6	10
PE041063	5	10	6	10
PE041065	1	55	80	10
PE041065	2	17	18	10
PE041065	3	67	8	6
PE041065	4	4	10	11
PE041065	5	75	4	10
PE041066	1	44	15	10
PE041066	2	75	6	10
PE041066	3	89	4	10
PE041066	4	99	40	10
PE041066	5	55	50	10
PE041068	1	44	10	10
PE041068	2	89	5	10
PE041068	3	55	2	10
PE041069	1	17	375	10
PE041069	2	67	2	11
PE041069	3	85	4	10
PE041069	4	44	8	10
PE041069	5	12	10	3
PE041069	6	4	20	7
PE041070	1	44	4	10
PE041070	2	89	5	10
PE041070	3	99	3	10
PE041071	1	44	5	10
PE041071	2	85	2	3
PE041071	3	44	10	7
PE041071	4	89	2	10
PE041071	5	108	5	11
PE041071	6	55	15	10
PE041072	1	44	10	10
PE041072	2	89	3	10
PE041072	3	75	3	10
PE041072	4	55	10	10
PE041072	5	86	3	10
PE041073	1	44	20	10
PE041073	2	89	12	10
PE041073	3	55	360	10
PE041073	4	12	40	10
PE041073	5	10	2	10
PE041074	1	44	6	10
PE041074	2	55	10	10
PE041074	3	75	5	10
PE041075	1	44	3	10
PE041075	2	55	0	 
PE041075	3	75	5	10
PE041076	1	44	15	10
PE041076	2	89	5	10
PE041076	3	75	8	10
PE041076	4	99	6	10
PE041077	1	44	20	10
PE041077	2	10	20	10
PE041077	3	55	250	10
PE041077	4	101	10	10
PE041078	1	44	4	10
PE041078	2	55	10	10
PE041079	1	17	300	2
PE041079	2	32	200	2
PE041079	3	67	5	6
PE041079	4	4	20	11
PE041079	5	85	1	10
PE041080	1	44	20	10
PE041080	2	89	9	10
PE041080	3	75	2	10
PE041081	1	99	1	10
PE041081	2	44	6	10
PE041081	3	86	1	10
PE041081	4	55	20	10
PE041082	1	44	80	10
PE041082	2	89	34	10
PE041082	3	55	60	10
PE041082	4	10	15	10
PE041082	5	85	5	10
PE041083	1	85	10	10
PE041083	2	17	2000	10
PE041083	3	44	17	10
PE041083	4	32	240	10
PE041083	5	89	10	10
PE041084	1	44	3	10
PE041085	1	44	20	10
PE041085	2	75	22	10
PE041085	3	99	3	3
PE041085	4	55	51	10
PE041085	5	86	19	10
PE041085	6	101	18	10
PE041085	7	89	3	10
PE041086	1	89	12	2
PE041086	2	44	10	10
PE041086	3	55	50	10
PE041086	4	101	3	10
PE041086	5	6	25	2
PE041086	6	12	10	10
PE041087	1	44	18	10
PE041087	2	10	1200	7
PE041087	3	89	2	10
PE041087	4	12	2	10
PE041088	1	17	24	3
PE041089	1	55	10	10
PE041089	2	44	10	10
PE041089	3	75	5	10
PE041089	4	99	2	10
PE041090	1	17	1000	2
PE041090	2	44	100	2
PE041090	3	89	200	2
PE041091	1	55	230	10
PE041091	2	75	22	10
PE041091	3	5	18	10
PE041091	4	101	6	10
PE041091	5	89	1	10
PE041091	6	82	1	10
PE041091	7	44	15	10
PE041092	1	4	60	7
PE041092	2	89	1	10
PE041092	3	44	3	10
PE041093	1	17	30	10
PE041093	2	4	20	7
PE041093	3	85	6	10
PE041096	1	32	40	2
PE041096	2	85	10	10
PE041096	3	69	3	10
PE041096	4	108	80	2
PE041096	5	12	10	10
PE041096	6	17	40	2
PE041096	7	4	20	7
PE041097	1	44	5	10
PE041097	2	89	2	3
PE041097	3	108	2	3
PE041098	1	44	0	 
PE041099	1	55	100	10
PE041099	2	44	4	10
PE041099	3	99	25	10
PE041099	4	89	6	10
PE041099	5	12	20	10
PE041099	6	10	70	8
PE041099	7	6	4	10
PE041100	1	55	140	10
PE041100	2	99	15	10
PE041100	3	101	20	10
PE041100	4	50	1	10
PE041100	5	44	2	10
PE041101	1	17	5	10
PE041101	2	44	5	10
PE041101	3	89	2	10
PE041101	4	55	1	10
PE041101	5	4	0	7
PE041101	6	85	10	10
PE051001	1	53	75	10
PE051008	1	53	200	10
PE051009	1	53	60	4
PE051010	1	53	5	10
PE051011	1	53	50000	2
PE051011	2	67	2	6
PE051011	3	89	8	2
PE051011	4	44	100	8
PE051012	1	53	382	10
PE051013	1	53	370	10
PE051013	2	4	50	7
PE051015	1	53	1100	10
PE051016	1	53	20	4
PE051017	1	53	1300	10
PE051018	1	44	3	10
PE051018	2	89	1	10
PE051018	3	85	1	10
PE051020	1	53	140	10
PE051020	2	4	20	7
PE051021	1	53	18000	2
PE051022	1	17	30	10
PE051022	2	53	40	10
PE051024	1	53	90	10
PE051025	1	17	8	10
PE051025	2	44	3	10
PE051025	3	85	3	10
PE051025	4	4	10	7
PE051026	1	17	18	10
PE051026	2	85	3	10
PE051026	3	44	2	10
PE051027	1	17	20	10
PE051027	2	4	40	7
PE051027	3	85	16	10
PE051027	4	89	2	10
PE051028	1	17	15	10
PE051028	2	89	1	10
PE051029	1	17	20	10
PE051030	1	17	11	10
PE051031	1	17	10	10
PE051031	2	44	5	10
PE051031	3	4	50	11
PE051033	1	44	60	10
PE051033	2	32	7	10
PE051033	3	90	2	10
PE051033	4	4	10	11
PE051033	5	85	2	10
PE051033	6	89	2	10
PE051034	1	17	3360	2
PE051035	1	44	8	10
PE051035	2	85	5	10
PE051035	3	89	3	10
PE051035	4	4	10	7
PE051035	5	17	3	10
PE051036	1	17	7	10
PE051038	1	17	7	10
PE051039	1	17	55	10
PE051039	2	4	960	7
PE051039	3	44	15	10
PE051039	4	85	5	10
PE051040	1	17	10	10
PE051040	2	85	3	10
PE051041	1	17	40	10
PE051041	2	85	10	10
PE051041	3	4	20	7
PE051041	4	44	10	10
PE051042	1	17	20	10
PE051042	2	85	15	10
PE051042	3	54	2000	8
PE051043	1	17	35	10
PE051043	2	89	3	10
PE051043	3	4	50	8
PE051043	4	44	6	10
PE051043	5	85	3	10
PE051043	6	32	10	9
PE051044	1	4	20	7
PE051045	1	44	8	10
PE051045	2	89	2	10
PE051045	3	17	8	10
PE051045	4	85	3	10
PE051045	5	4	1000	8
PE051045	6	67	1	6
PE051045	7	108	1	10
PE051046	1	17	3	10
PE051046	2	44	2	10
PE051046	3	89	1	10
PE051048	1	89	1	10
PE051048	2	44	15	10
PE051048	3	4	20	7
PE051048	4	85	5	10
PE051049	1	17	1120	2
PE051051	1	17	1680	2
PE051056	1	17	3	10
PE051058	1	17	4	10
PE051059	1	17	60	10
PE051059	2	44	10	10
PE051060	1	17	1	10
PE051061	1	17	8	10
PE051061	2	44	200	8
PE051061	3	85	2	10
PE051061	4	4	10	11
PE051061	5	108	1	10
PE051062	1	17	20	10
PE051064	1	17	30	10
PE051064	2	89	7	3
PE051064	3	85	3	3
PE051064	4	4	11	7
PE051064	5	44	9	3
PE051068	1	44	10	10
PE051068	2	89	1	10
PE051068	3	17	20	10
PE051068	4	4	48	7
PE051069	1	17	1	10
PE051069	2	89	1	10
PE051069	3	4	5	11
PE051069	4	44	200	8
PE051069	5	85	1	10
PE051071	1	17	16	10
PE051071	2	44	2	10
PE051073	1	17	12	10
PE051073	2	4	20	7
PE051073	3	85	4	3
PE051073	4	89	5	3
PE051075	1	17	25	10
PE051075	2	4	12	7
PE051075	3	44	20	10
PE051076	1	17	2	10
PE051076	2	4	100	8
PE051077	1	17	20	10
PE051077	2	44	3	10
PE051077	3	4	48	7
PE051077	4	85	4	10
PE051077	5	89	1	10
PE051078	1	17	840	2
PE051080	1	17	12	10
PE051080	2	4	48	7
PE051081	1	17	7	10
PE051081	2	44	12	10
PE051081	3	4	100	8
PE051081	4	85	12	10
PE051082	1	17	1	10
PE051082	2	85	2	10
PE051082	3	4	6	7
PE051082	4	93	10	8
PE051083	1	17	5	10
PE051083	2	4	5	7
PE051083	3	85	1	10
PE051085	1	44	20	10
PE051085	2	89	20	2
PE051086	1	17	17	10
PE051086	2	85	100	3
PE051086	3	4	250	7
PE051087	1	17	60	10
PE051087	2	85	8	10
PE051087	3	44	15	10
PE051087	4	89	4	10
PE051087	5	67	30	8
PE051087	6	44	200	7
PE051087	7	108	288	10
PE051088	1	83	10800	6
PE051088	2	84	3600	6
PE051088	3	89	50	10
PE051089	1	17	48	10
PE051089	2	44	21	10
PE051089	3	85	15	10
PE051089	4	89	5	10
PE051090	1	17	3	10
PE051090	2	44	2	10
PE051090	3	4	12	7
PE051091	1	44	100	10
PE051092	1	44	30	10
PE051092	2	89	5	10
PE051094	1	53	20	10
PE051094	2	4	10	7
PE051094	3	85	10	10
PE051097	1	17	20	10
PE051097	2	44	2	10
PE051097	3	89	7	10
PE051099	1	17	56	2
PE051100	1	17	560	2
PE051100	2	54	2760	8
PE051101	1	17	20	10
PE051101	2	4	80	7
PE051101	3	89	1	10
PE051101	4	44	2	10
PE051102	1	17	7	10
PE051104	1	17	2	10
PE051104	2	4	48	7
PE051104	3	85	2	10
PE051104	4	44	3	10
PE061010	1	132	6300	2
PE061019	1	44	2	4
PE061019	2	4	20	7
PE061019	3	90	6	2
PE061048	1	17	100	10
PE061058	1	3	 	 
PE061074	1	17	20	10
PE061077	1	4	3	11
PE061077	2	93	10	8
PE061077	3	109	50	8
PE061077	4	132	100	8
PE061077	5	3	50	8
PE061083	1	4	50	11
PE061083	2	109	1000	8
PE061083	3	85	10	2
PE061095	1	4	200	7
PE061103	1	44	1	4
PE061103	2	53	1	4
PE061103	3	4	50	7
PE061103	4	85	15	10
PE071014	1	55	3	10
PE071022	1	55	6	10
PE071022	2	44	3	10
PE071024	1	82	3	2
PE071024	2	44	9	2
PE071032	1	89	80	2
PE071032	2	55	350	3
PE071032	3	75	10	3
PE071032	4	44	25	3
PE071032	5	108	8	3
PE071037	1	55	200	3
PE071037	2	44	15	3
PE071037	3	99	15	3
PE071038	1	44	100	8
PE071047	1	55	50	3
PE071047	2	96	10	3
PE071047	3	75	10	3
PE071054	1	44	4	10
PE071054	2	55	10	3
PE071072	1	55	10	10
PE071079	1	44	1	10
PE071079	2	108	8	11
PE071082	1	55	15	2
PE071100	1	99	3	2
PE071100	2	82	6	2
PE071102	1	55	200	2
PE071109	1	44	11	2
PE071109	2	89	7	2
PE081025	1	44	35	2
PE081025	2	75	22	2
PE081067	1	44	10	2
PE081067	2	55	15	3
PE091001	1	5	105	2
PE091001	2	99	72	2
PE091001	3	75	60	2
PE091002	1	44	1	10
PE091002	2	101	8	2
PE091002	3	87	1.5	2
PE091002	4	5	1.5	3
PE091003	1	44	288	2
PE091003	2	75	144	2
PE091003	3	101	72	2
PE091003	4	87	12	2
PE091003	5	50	72	2
PE091003	6	99	60	2
PE091003	7	108	6	2
PE091004	1	75	3	10
PE091004	2	44	5	10
PE091004	3	55	4	10
PE091004	4	5	6	10
PE091004	5	99	3	10
PE091004	6	101	1	10
PE091004	7	96	1	10
PE091006	1	99	2	3
PE091006	2	101	2	3
PE091006	3	44	140	2
PE091006	4	83	6	11
PE091006	5	75	140	2
PE091007	1	5	18	2
PE091007	2	101	12	2
PE091007	3	75	18	2
PE091007	4	44	12	2
PE091008	1	44	1	10
PE091008	2	75	2	10
PE091008	3	99	4	3
PE091008	4	101	5	3
PE091008	5	87	3	2
PE091008	6	5	2	10
PE091008	7	55	6	10
PE091011	1	44	100	2
PE091011	2	5	50	2
PE091011	3	75	24	2
PE091011	4	99	24	2
PE091012	1	75	2	10
PE091012	2	99	2	10
PE091012	3	101	20	10
PE091012	4	55	5	10
PE091012	5	5	1	10
PE091012	6	44	1	10
PE091013	1	75	72	2
PE091013	2	44	30	2
PE091014	1	75	4	10
PE091014	2	5	4	10
PE091014	3	55	6	10
PE091014	4	101	2	10
PE091014	5	50	4	10
PE091015	1	101	150	2
PE091015	2	75	150	2
PE091015	3	92	10	2
PE091016	1	55	96	2
PE091016	2	101	36	2
PE091018	1	44	280	2
PE091018	2	101	3	3
PE091018	3	89	5	3
PE091018	4	75	72	2
PE091019	1	99	144	2
PE091019	2	75	216	2
PE091019	3	5	432	2
PE091019	4	55	720	2
PE091019	5	96	720	2
PE091019	6	44	72	2
PE091019	7	101	72	2
PE091020	1	99	3	10
PE091020	2	5	6	10
PE091020	3	101	1	10
PE091020	4	44	7	10
PE091020	5	55	18	10
PE091020	6	75	15	10
PE091022	1	89	2	3
PE091022	2	101	1	10
PE091022	3	96	80	2
PE091022	4	86	80	2
PE091022	5	44	2	10
PE091022	6	75	2	10
PE091023	1	75	3	10
PE091023	2	101	3	10
PE091023	3	5	42	3
PE091023	4	99	5	10
