childid	orgid	orgcode	orgyrs	orgmths
PE148048	1	6	12	0
PE148049	1	6	8	0
PE148049	2	13	0	1
PE148051	1	6	11	0
PE158003	1	12	6	7
PE158008	1	6	8	0
PE158009	1	6	4	0
PE158009	2	13	12	0
PE158010	1	10	2	0
PE158011	1	12	2	7
PE158012	1	12	2	0
PE158013	1	12	1	0
PE158014	1	13	10	0
PE158016	1	12	1	0
PE158017	1	12	8	0
PE158018	1	6	15	2
PE158019	1	12	4	0
PE158020	1	13	1	0
PE158022	1	12	5	4
PE158023	1	12	3	0
PE158025	1	11	6	0
PE158026	1	12	6	0
PE158031	1	6	3	7
PE158031	2	12	5	0
PE158032	1	12	6	0
PE158034	1	6	7	0
PE158034	2	8	5	0
PE158037	1	12	6	0
PE158039	1	12	1	8
PE158040	1	6	8	0
PE158040	2	12	5	0
PE158042	1	12	4	0
PE158045	1	6	3	6
PE158046	1	12	5	0
PE158047	1	12	3	0
PE158048	1	12	5	0
PE158054	1	12	3	0
PE158056	1	12	6	4
PE158057	1	6	6	0
PE158057	2	12	5	0
PE168001	1	5	2	9
PE168001	2	6	1	0
PE168001	3	13	4	0
PE168002	1	10	2	0
PE168002	2	6	15	0
PE168002	3	8	4	0
PE168003	1	6	13	0
PE168003	2	1	0	7
PE168003	3	10	5	0
PE168004	1	8	2	0
PE168004	2	6	14	0
PE168005	1	2	0	3
PE168005	2	6	15	0
PE168006	1	6	11	0
PE168006	2	10	4	0
PE168007	1	6	12	0
PE168007	2	13	5	0
PE168008	1	6	15	0
PE168009	1	6	12	0
PE168010	1	6	6	0
PE168011	1	6	9	0
PE168012	1	6	5	0
PE168012	2	13	1	0
PE168012	3	10	1	0
PE168013	1	6	16	0
PE168015	1	6	6	0
PE168015	2	13	6	0
PE168016	1	6	1	0
PE168017	1	6	8	0
PE168017	2	13	10	0
PE168018	1	6	5	0
PE168019	1	6	20	0
PE168019	2	13	15	0
PE168020	1	6	4	0
PE168021	1	13	11	0
PE168022	1	13	8	0
PE168023	1	13	5	0
PE168024	1	13	9	0
PE168024	2	6	10	0
PE168025	1	6	6	0
PE178001	1	13	12	0
PE178002	1	6	17	0
PE178002	2	13	6	0
PE178003	1	13	8	0
PE178004	1	6	1	0
PE178006	1	13	15	0
PE178007	1	13	6	0
PE178009	1	6	12	0
PE178009	2	13	9	0
PE178010	1	13	10	0
PE178011	1	6	4	0
PE178011	2	13	6	0
PE178013	1	13	5	0
PE178015	1	6	14	1
PE178015	2	13	12	1
PE178016	1	13	6	1
PE178019	1	6	3	0
PE178019	2	13	6	0
PE178020	1	6	8	0
PE178020	2	13	6	0
PE178021	1	6	14	0
PE178021	2	13	6	0
PE178022	1	13	7	0
PE178024	1	13	3	0
PE178025	1	6	0	2
PE178025	2	13	3	0
PE178026	1	6	3	0
PE178027	1	13	6	0
PE178028	1	13	6	0
PE178029	1	6	12	0
PE178029	2	13	10	0
PE178030	1	6	10	0
PE178030	2	13	10	0
PE178031	1	13	5	0
PE178033	1	6	12	0
PE178033	2	13	6	0
PE178033	3	5	3	0
PE178034	1	13	8	0
PE178035	1	6	5	0
PE178035	2	13	5	0
PE178036	1	6	12	0
PE178036	2	13	6	0
PE188001	1	6	12	0
PE188001	2	11	6	0
PE188001	3	5	0	6
PE188002	1	6	11	0
PE188002	2	13	11	0
PE188003	1	13	4	0
PE188004	1	6	15	0
PE188004	2	13	6	0
PE188005	1	13	6	0
PE188006	1	6	12	7
PE188006	2	13	6	0
PE188007	1	6	12	3
PE188007	2	13	6	0
PE188008	1	6	13	0
PE188008	2	13	10	0
PE188009	1	13	6	0
PE188010	1	6	12	0
PE188010	2	13	5	0
PE188011	1	8	0	3
PE188011	2	13	6	0
PE188012	1	13	8	0
PE188013	1	13	5	0
PE188015	1	13	15	0
PE188016	1	13	6	0
PE188017	1	6	20	0
PE188017	2	13	13	0
PE188017	3	5	11	0
PE188018	1	6	4	0
PE188019	1	6	12	0
PE188019	2	13	6	0
PE188019	3	5	9	0
PE188020	1	6	13	0
PE188020	2	13	7	0
PE188020	3	5	6	0
PE188021	1	6	23	0
PE188021	2	13	6	0
PE188022	1	6	8	0
PE188022	2	5	1	0
PE188022	3	13	5	0
PE188023	1	13	15	0
PE188024	1	6	5	0
PE188024	2	13	2	0
PE188025	1	13	15	0
PE188025	2	5	15	0
PE188026	1	13	6	0
PE188027	1	13	3	0
PE198002	1	13	3	0
PE198003	1	6	2	0
PE198003	2	13	3	0
PE198004	1	13	8	0
PE198006	1	13	3	0
PE198007	1	13	6	0
PE198009	1	6	1	0
PE198009	2	13	6	0
PE198012	1	13	4	0
PE198014	1	6	9	0
PE198014	2	13	5	0
PE198015	1	6	10	0
PE198015	2	13	7	0
PE198017	1	13	12	0
PE198018	1	13	10	0
PE198019	1	6	5	0
PE198022	1	6	10	0
PE198024	1	13	5	0
PE198024	2	6	3	0
PE198025	1	13	6	1
PE198025	2	6	5	0
PE198028	1	13	9	0
PE198031	1	13	10	0
PE208001	10	13	7	0
PE208002	1	13	6	0
PE208008	1	13	6	0
PE208017	1	6	8	0
PE208017	2	13	12	0
PE208018	1	6	3	0
PE208019	1	6	12	0
PE208020	1	6	3	0
PE208022	1	6	0	8
PE208024	1	13	8	0
PE208025	1	13	5	0
PE208027	1	13	6	0
PE208030	1	6	6	0
PE208030	2	13	5	0
PE208031	1	6	6	0
PE208033	1	6	1	0
PE208033	2	13	6	0
PE208035	1	6	1	6
PE208037	1	6	6	0
PE208037	2	13	10	0
PE208040	1	13	5	0
PE208042	1	13	7	0
PE208049	1	6	2	0
PE208051	1	6	10	0
