childid	rcfid	cocdmove	agemove	whymove
PE058022	4	8888	20	7
PE058022	5	23	 	 
PE058023	1	13	20	13
PE058023	2	8888	24	1
PE058023	3	8888	33	1
PE058023	4	13	 	 
PE058025	1	1	2	15
PE058025	2	8888	29	1
PE058025	3	23	 	 
PE058026	1	1	11	14
PE058026	2	23	 	 
PE058027	1	1	26	13
PE058027	2	8888	38	3
PE058027	3	8888	39	8
PE058027	4	22	 	 
PE058028	1	38	10	10
PE058028	2	8888	20	5
PE058028	3	23	 	 
PE058029	1	59	13	13
PE058029	2	8888	18	8
PE058029	3	8888	33	8
PE058029	4	25	 	 
PE058030	1	1	1	1
PE058030	2	8888	5	1
PE058030	3	23	 	 
PE068001	1	1	19	1
PE068001	2	1	 	 
PE068002	1	9999	21	1
PE068002	2	1	 	 
PE068003	1	1	0	1
PE068003	2	8888	15	1
PE068003	3	8888	24	1
PE068003	4	8888	26	1
PE068003	5	8888	27	13
PE068003	6	8888	28	6
PE068003	7	8888	30	1
PE068003	8	8888	43	1
PE068003	9	1	 	 
PE068004	1	1	1	1
PE068004	2	8888	7	8
PE068004	3	8888	10	5
PE068004	4	8888	13	8
PE068004	5	8888	15	5
PE068004	6	1	 	 
PE068006	1	1	22	13
PE068006	2	8888	30	19
PE068006	3	8888	37	15
PE068006	4	8888	52	8
PE068006	5	1	 	 
PE068007	1	1	30	1
PE068007	2	8888	32	1
PE068007	3	72	 	 
PE068008	1	1	6	1
PE068008	2	8888	18	9
PE068008	3	8888	20	1
PE068008	4	8888	21	16
PE068008	5	8888	23	1
PE068008	6	8888	25	1
PE068008	7	8888	32	1
PE068008	8	1	 	 
PE068009	1	1	17	2
PE068009	2	8888	18	2
PE068009	3	1	 	 
PE068010	1	1	0	1
PE068010	2	8888	3	2
PE068010	3	8888	32	2
PE068010	4	1	 	 
PE068011	1	18	14	1
PE068011	2	1	 	 
PE068012	1	1	15	1
PE068012	2	8888	18	5
PE068012	3	1	 	 
PE068013	1	1	1	5
PE068013	2	8888	18	5
PE068013	3	8888	18	6
PE068013	4	8888	19	1
PE068013	5	8888	20	1
PE068013	6	8888	20	1
PE068013	7	8888	20	1
PE068013	8	1	 	 
PE068014	1	1	14	1
PE068014	2	8888	17	1
PE068014	3	8888	21	1
PE068014	4	8888	24	12
PE068014	5	1	 	 
PE068015	1	1	2	1
PE068015	2	8888	12	8
PE068015	3	8888	20	13
PE068015	4	8888	28	17
PE068015	5	1	 	 
PE068016	1	11	12	2
PE068016	2	8888	16	2
PE068016	3	8888	16	1
PE068016	4	8888	17	2
PE068016	5	8888	28	5
PE068016	6	1	 	 
PE068017	1	1	4	4
PE068017	2	8888	14	2
PE068017	3	8888	15	8
PE068017	4	22	 	 
PE068018	1	1	1	6
PE068018	2	8888	16	13
PE068018	3	8888	21	2
PE068018	4	1	 	 
PE068020	1	1	6	8
PE068020	2	8888	15	5
PE068020	3	1	 	 
PE068021	1	1	16	1
PE068021	2	1	 	 
PE068022	1	1	3	2
PE068022	2	1	 	 
PE068023	1	1	11	2
PE068023	2	8888	18	15
PE068023	3	8888	21	13
PE068023	4	8888	23	3
PE068023	5	8888	28	1
PE068023	6	8888	35	8
PE068023	7	1	 	 
PE068024	1	47	18	8
PE068024	2	1	 	 
PE068025	1	1	36	5
PE068025	2	1	 	 
PE078001	1	0	18	1
PE078001	2	8888	31	1
PE078001	3	8888	34	1
PE078001	4	1	 	 
PE078002	1	1	11	1
PE078002	2	0	24	2
PE078002	3	8888	26	13
PE078002	4	1	 	 
PE078004	1	9999	4	1
PE078004	2	8888	6	10
PE078004	3	8888	10	15
PE078004	4	0	11	3
PE078004	5	8888	13	15
PE078004	6	8888	14	2
PE078004	7	8888	16	15
PE078004	8	8888	16	1
PE078004	9	8888	19	13
PE078004	10	8888	21	8
PE078004	11	8888	31	8
PE078004	12	8888	37	8
PE078004	13	8888	38	8
PE078004	14	1	 	 
PE078006	1	1	4	14
PE078006	2	8888	22	1
PE078006	3	8888	32	1
PE078006	4	1	 	 
PE078007	1	1	44	8
PE078007	2	8888	51	8
PE078007	3	8888	55	6
PE078007	4	1	 	 
PE078008	1	1	6	7
PE078008	2	8888	30	13
PE078008	3	8888	32	8
PE078008	4	1	 	 
PE078009	1	1	15	2
PE078009	2	8888	20	1
PE078009	3	8888	21	15
PE078009	4	8888	21	1
PE078009	5	8888	23	15
PE078009	6	8888	27	9
PE078009	7	8888	37	6
PE078009	8	1	 	 
PE078011	1	12	41	6
PE078011	2	1	 	 
PE078015	1	1	23	5
PE078015	2	8888	26	1
PE078015	3	8888	31	1
PE078015	4	41	 	 
PE078016	1	49	4	1
PE078016	2	8888	13	1
PE078016	3	8888	18	13
PE078016	4	8888	32	1
PE078016	5	8888	41	8
PE078016	6	1	 	 
PE078017	1	1	15	12
PE078017	2	8888	20	6
PE078017	3	8888	24	15
PE078017	4	8888	25	13
PE078017	5	8888	27	8
PE078017	6	1	 	 
PE078021	1	1	6	14
PE078021	2	8888	17	13
PE078021	3	8888	18	18
PE078021	4	8888	20	15
PE078021	5	8888	24	5
PE078021	6	8888	27	15
PE078021	7	1	 	 
PE078022	1	1	21	2
PE078022	2	8888	30	13
PE078022	3	1	 	 
PE078023	1	0	5	2
PE078023	2	8888	26	8
PE078023	3	0	26	4
PE078023	4	1	 	 
PE078027	1	1	5	8
PE078027	2	8888	12	14
PE078027	3	1	 	 
PE078029	1	1	0	1
PE078029	2	1	 	 
PE078030	1	23	22	13
PE078030	2	8888	25	1
PE078030	3	8888	28	3
PE078030	4	1	 	 
PE078031	1	54	21	1
PE078031	2	8888	34	5
PE078031	3	1	 	 
PE078032	1	1	17	1
PE078032	2	8888	19	10
PE078032	3	8888	20	1
PE078032	4	8888	25	13
PE078032	5	1	 	 
PE078033	1	13	13	1
PE078033	2	8888	13	2
PE078033	3	8888	14	1
PE078033	4	8888	15	2
PE078033	5	8888	16	1
PE078033	6	8888	21	3
PE078033	7	8888	21	1
PE078033	8	8888	24	3
PE078033	9	8888	24	13
PE078033	10	8888	26	1
PE078033	11	8888	31	1
PE078033	12	1	 	 
PE078034	1	1	13	1
PE078034	2	8888	14	1
PE078034	3	8888	15	1
PE078034	4	8888	18	13
PE078034	5	8888	22	6
PE078034	6	8888	28	6
PE078034	7	1	 	 
PE078035	1	1	21	13
PE078035	2	1	 	 
PE078036	1	79	1	7
PE078036	2	8888	18	15
PE078036	3	8888	19	13
PE078036	4	1	 	 
PE078037	1	63	2	1
PE078037	2	1	 	 
PE078038	1	1	2	1
PE078038	2	8888	12	1
PE078038	3	8888	18	1
PE078038	4	8888	21	3
PE078038	5	8888	23	13
PE078038	6	1	 	 
PE078039	1	9999	14	1
PE078039	2	8888	16	13
PE078039	3	1	 	 
PE078040	1	1	8	8
PE078040	2	1	 	 
PE078041	1	1	2	10
PE078041	2	8888	15	8
PE078041	3	1	 	 
PE078043	1	1	20	1
PE078043	2	8888	22	1
PE078043	3	8888	22	13
PE078043	4	1	 	 
PE078044	1	1	28	8
PE078044	2	1	 	 
PE078045	1	96	5	10
PE078045	2	8888	16	1
PE078045	3	8888	23	13
PE078045	4	1	 	 
PE078046	1	75	7	7
PE078046	2	8888	17	5
PE078046	3	1	 	 
PE078047	1	1	42	1
PE078047	2	8888	43	2
PE078047	3	8888	45	6
PE078047	4	8888	47	6
PE078047	5	8888	48	6
PE078047	6	1	 	 
PE078048	1	50	51	8
PE078048	2	8888	53	8
PE078048	3	1	 	 
PE078049	1	1	16	1
PE078049	2	8888	18	5
PE078049	3	1	 	 
PE078050	1	1	17	1
PE078050	2	8888	21	1
PE078050	3	8888	23	8
PE078050	4	8888	24	13
PE078050	5	8888	33	8
PE078050	6	8888	37	8
PE078050	7	1	 	 
PE078052	1	33	23	3
PE078052	2	8888	26	4
PE078052	3	8888	31	11
PE078052	4	1	 	 
PE088001	1	1	5	9
PE088001	2	8888	24	13
PE088001	3	8888	25	7
PE088001	4	1	 	 
PE088002	1	1	21	13
PE088002	2	8888	33	8
PE088002	3	8888	36	14
PE088002	4	1	 	 
PE088003	1	1	5	10
PE088003	2	8888	11	15
PE088003	3	8888	16	13
PE088003	4	1	 	 
PE088004	1	11	13	2
PE088004	2	1	 	 
PE088005	1	22	36	1
PE088005	2	8888	47	6
PE088005	3	1	 	 
PE088008	1	1	9	7
PE088008	2	8888	17	15
PE088008	3	8888	23	18
PE088008	4	8888	24	13
PE088008	5	8888	25	7
PE088008	6	1	 	 
PE088009	1	1	12	2
PE088009	2	8888	16	12
PE088009	3	8888	19	15
PE088009	4	8888	20	13
PE088009	5	8888	24	14
PE088009	6	8888	30	7
PE088009	7	8888	33	1
PE088009	8	8888	36	13
PE088009	9	8888	40	7
PE088009	10	8888	41	13
PE088009	11	8888	42	5
PE088009	12	8888	45	4
PE088009	13	8888	47	5
PE088009	14	8888	51	4
PE088009	15	8888	53	1
PE088009	16	8888	54	1
PE088009	17	8888	54	5
PE088009	18	1	 	 
PE088010	1	1	4	1
PE088010	2	8888	9	5
PE088010	3	8888	17	18
PE088010	4	8888	17	15
PE088010	5	8888	20	5
PE088010	6	1	 	 
PE088011	1	1	18	18
PE088011	2	8888	19	1
PE088011	3	8888	26	1
PE088011	4	8888	36	2
PE088011	5	1	 	 
PE088013	1	1	24	7
PE088013	2	8888	30	6
PE088013	3	1	 	 
PE088014	1	1	5	21
PE088014	2	8888	31	7
PE088014	3	8888	31	13
PE088014	4	8888	32	13
PE088014	5	1	 	 
PE088015	1	1	0	14
PE088015	2	1	 	 
PE088016	1	1	12	8
PE088016	2	8888	22	8
PE088016	3	1	 	 
PE088018	1	1	22	12
PE088018	2	8888	25	5
PE088018	3	1	 	 
PE088019	1	1	29	1
PE088019	2	1	 	 
PE088022	1	1	8	1
PE088022	2	8888	16	13
PE088022	3	1	 	 
PE088026	1	1	32	13
PE088026	2	8888	38	1
PE088026	3	8888	40	12
PE088026	4	1	 	 
PE088027	1	24	19	13
PE088027	2	8888	21	1
PE088027	3	8888	29	15
PE088027	4	0	33	8
PE088027	5	1	 	 
PE088028	1	1	1	8
PE088028	2	1	 	 
PE088029	1	1	24	13
PE088029	2	8888	34	8
PE088029	3	1	 	 
PE088032	1	1	11	7
PE088032	2	8888	15	4
PE088032	3	1	 	 
PE098001	1	9999	5	2
PE098001	2	8888	8	1
PE098001	3	8888	26	13
PE098001	4	9	 	 
PE098002	1	5	20	13
PE098002	2	9	 	 
PE098003	1	9	49	1
PE098003	2	28	 	 
PE098004	1	5	21	5
PE098004	2	9	 	 
PE098007	1	1	0	1
PE098007	2	8888	28	8
PE098007	3	9	 	 
PE098008	1	6	13	1
PE098008	2	8888	19	13
PE098008	3	9	 	 
PE098013	1	5	17	1
PE098013	2	0	19	15
PE098013	3	8888	19	1
PE098013	4	0	23	5
PE098013	5	10	 	 
PE098018	1	10	13	21
PE098018	2	8888	23	15
PE098018	3	8888	35	13
PE098018	4	1	 	 
PE098020	1	1	19	15
PE098020	2	8888	19	19
PE098020	3	8888	33	1
PE098020	4	8888	 	 
PE098027	1	10	8	1
PE098027	2	8888	17	1
PE098027	3	8888	17	1
PE098027	4	3	 	 
PE098028	1	1	15	1
PE098028	2	0	20	1
PE098028	3	0	22	15
PE098028	4	8888	24	8
PE098028	5	3	 	 
PE098029	1	33	3	12
PE098029	2	15	 	 
PE108002	1	10	16	1
PE108002	2	8888	20	15
PE108002	3	8888	21	13
PE108002	4	82	 	 
PE108004	1	82	27	8
PE108004	2	82	 	 
PE108005	1	1	2	21
PE108005	2	8888	6	8
PE108005	3	8888	28	5
PE108005	4	1	 	 
PE108007	1	1	1	3
PE108007	2	8888	2	12
PE108007	3	8888	2	2
PE108007	4	8888	8	21
PE108007	5	8888	9	12
PE108007	6	8888	13	4
PE108007	7	8888	15	15
PE108007	8	8888	27	5
PE108007	9	82	 	 
PE108008	1	88	15	1
PE108008	2	82	 	 
PE108009	1	1	1	10
PE108009	2	8888	20	13
PE108009	3	82	 	 
PE108010	1	9999	1	13
PE108010	2	82	 	 
PE108011	1	1	5	1
PE108011	2	8888	11	2
PE108011	3	0	12	4
PE108011	4	0	15	19
PE108011	5	8888	20	13
PE108011	6	82	 	 
PE108013	1	26	0	12
PE108013	2	8888	1	1
PE108013	3	8888	5	2
PE108013	4	82	 	 
PE108015	1	68	18	8
PE108015	2	8888	20	1
PE108015	3	82	 	 
PE108017	1	1	1	1
PE108017	2	8888	9	8
PE108017	3	8888	33	1
PE108017	4	8888	38	1
PE108017	5	8888	41	1
PE108017	6	8888	43	1
PE108017	7	82	 	 
PE108022	1	13	9	2
PE108022	2	82	 	 
PE108023	1	1	8	2
PE108023	2	8888	19	13
PE108023	3	82	 	 
PE108025	1	1	27	5
PE108025	2	1	 	 
PE108027	1	1	15	2
PE108027	2	8888	20	13
PE108027	3	82	 	 
PE108029	1	88	4	15
PE108029	2	82	 	 
PE118001	1	35	20	1
PE118001	2	1	 	 
PE118004	1	1	19	13
PE118004	2	1	 	 
PE118006	1	1	22	15
PE118006	2	1	 	 
PE118007	1	30	4	1
PE118007	2	8888	14	1
PE118007	3	8888	15	1
PE118007	4	1	 	 
PE118010	1	23	18	13
PE118010	2	8888	32	2
PE118010	3	1	 	 
PE118011	1	74	20	5
PE118011	2	1	 	 
PE118012	1	1	18	13
PE118012	2	1	 	 
PE118013	1	9999	8	1
PE118013	2	0	20	8
PE118013	3	1	 	 
PE118014	1	1	12	1
PE118014	2	8888	12	1
PE118014	3	8888	31	2
PE118014	4	8888	35	2
PE118014	5	30	 	 
PE118015	1	0	7	2
PE118015	2	8888	14	2
PE118015	3	0	16	15
PE118015	4	1	 	 
PE118016	1	1	37	1
PE118016	2	20	 	 
PE118018	1	38	0	10
PE118018	2	1	 	 
PE118019	1	1	18	13
PE118019	2	1	 	 
PE118022	1	13	6	1
PE118022	2	8888	21	13
PE118022	3	1	 	 
PE118023	1	42	12	12
PE118023	2	8888	17	13
PE118023	3	71	 	 
PE118029	1	49	5	1
PE118029	2	8888	10	1
PE118029	3	26	 	 
PE128002	1	1	16	18
PE128002	2	8888	23	7
PE128002	3	8888	26	5
PE128002	4	8888	27	6
PE128002	5	8888	29	5
PE128002	6	1	 	 
PE128003	1	1	3	5
PE128003	2	8888	10	4
PE128003	3	8888	11	4
PE128003	4	8888	14	3
PE128003	5	8888	17	4
PE128003	6	1	 	 
PE128004	1	1	12	8
PE128004	2	1	 	 
PE128005	1	1	0	1
PE128005	2	8888	9	14
PE128005	3	1	 	 
PE128006	1	1	27	4
PE128006	2	8888	29	1
PE128006	3	8888	32	5
PE128006	4	8888	35	13
PE128006	5	8888	53	8
PE128006	6	1	 	 
PE128007	1	9999	25	12
PE128007	2	8888	28	1
PE128007	3	8888	29	13
PE128007	4	1	 	 
PE128008	1	9999	7	3
PE128008	2	8888	24	15
PE128008	3	8888	26	5
PE128008	4	1	 	 
PE128009	1	1	7	7
PE128009	2	8888	13	13
PE128009	3	8888	14	6
PE128009	4	8888	15	8
PE128009	5	8888	23	8
PE128009	6	8888	23	8
PE128009	7	1	 	 
PE128010	1	1	1	14
PE128010	2	8888	7	12
PE128010	3	8888	14	4
PE128010	4	8888	23	7
PE128010	5	8888	26	1
PE128010	6	8888	37	6
PE128010	7	1	 	 
PE128011	1	1	14	2
PE128011	2	8888	16	15
PE128011	3	1	 	 
PE128012	1	1	11	5
PE128012	2	1	 	 
PE128013	1	1	1	1
PE128013	2	8888	2	4
PE128013	3	8888	3	5
PE128013	4	1	 	 
PE128014	1	1	5	8
PE128014	2	1	 	 
PE128016	1	15	3	1
PE128016	2	8888	14	1
PE128016	3	8888	15	13
PE128016	4	8888	16	16
PE128016	5	1	 	 
PE128017	1	1	17	1
PE128017	2	8888	22	13
PE128017	3	1	 	 
PE128018	1	1	28	5
PE128018	2	8888	30	5
PE128018	3	8888	37	5
PE128018	4	1	 	 
PE128019	1	1	14	14
PE128019	2	8888	20	1
PE128019	3	8888	21	3
PE128019	4	1	 	 
PE128020	1	13	2	1
PE128020	2	8888	5	3
PE128020	3	8888	16	16
PE128020	4	8888	18	13
PE128020	5	1	 	 
PE128021	1	6	2	8
PE128021	2	8888	4	8
PE128021	3	8888	26	5
PE128021	4	1	 	 
PE128022	1	1	9	14
PE128022	2	1	 	 
PE128023	1	1	10	15
PE128023	2	8888	18	5
PE128023	3	8888	32	7
PE128023	4	1	 	 
PE128024	1	12	18	1
PE128024	2	8888	18	4
PE128024	3	8888	20	14
PE128024	4	1	 	 
PE128026	1	1	26	2
PE128026	2	1	 	 
PE128027	1	1	5	5
PE128027	2	8888	10	2
PE128027	3	8888	23	13
PE128027	4	1	 	 
PE128028	1	1	10	8
PE128028	2	8888	12	1
PE128028	3	8888	14	1
PE128028	4	8888	15	15
PE128028	5	1	 	 
PE128031	1	1	20	13
PE128031	2	8888	20	5
PE128031	3	8888	25	1
PE128031	4	8888	27	1
PE128031	5	8888	29	6
PE128031	6	8888	34	5
PE128031	7	1	 	 
PE128032	1	1	24	1
PE128032	2	8888	26	5
PE128032	3	1	 	 
PE128034	1	1	3	5
PE128034	2	1	 	 
PE128037	1	1	7	5
PE128037	2	8888	20	4
PE128037	3	8888	21	12
PE128037	4	1	 	 
PE128038	1	1	15	2
PE128038	2	8888	19	15
PE128038	3	8888	26	1
PE128038	4	8888	27	5
PE128038	5	8888	38	1
PE128038	6	8888	39	15
PE128038	7	1	 	 
PE128039	1	1	10	14
PE128039	2	8888	16	2
PE128039	3	8888	24	13
PE128039	4	8888	24	14
PE128039	5	1	 	 
PE128040	1	1	14	1
PE128040	2	8888	23	13
PE128040	3	8888	25	6
PE128040	4	1	 	 
PE128041	1	1	12	4
PE128041	2	8888	23	13
PE128041	3	1	 	 
PE128042	1	9	18	5
PE128042	2	8888	23	6
PE128042	3	8888	23	5
PE128042	4	1	 	 
PE128043	1	1	4	5
PE128043	2	8888	11	14
PE128043	3	8888	37	1
PE128043	4	8888	37	1
PE128043	5	8888	40	1
PE128043	6	8888	40	1
PE128043	7	1	 	 
PE128044	1	1	2	14
PE128044	2	8888	11	12
PE128044	3	8888	15	9
PE128044	4	1	 	 
PE128046	1	1	2	6
PE128046	2	8888	8	14
PE128046	3	8888	25	13
PE128046	4	1	 	 
PE128047	1	1	2	7
PE128047	2	8888	6	5
PE128047	3	1	 	 
PE128048	1	1	27	1
PE128048	2	1	 	 
PE128049	1	5	12	1
PE128049	2	8888	13	1
PE128049	3	8888	15	1
PE128049	4	8888	18	1
PE128049	5	8888	20	12
PE128049	6	8888	21	12
PE128049	7	8888	24	16
PE128049	8	1	 	 
PE128050	1	1	12	15
PE128050	2	8888	22	5
PE128050	3	1	 	 
PE128051	1	1	17	13
PE128051	2	8888	36	4
PE128051	3	1	 	 
PE138002	1	0	5	1
PE138002	2	8888	17	13
PE138002	3	0	18	15
PE138002	4	1	 	 
PE138003	1	9999	15	14
PE138003	2	1	 	 
PE138004	1	1	15	1
PE138004	2	8888	28	5
PE138004	3	1	 	 
PE138005	1	3	14	2
PE138005	2	8888	19	2
PE138005	3	8888	24	13
PE138005	4	8888	43	2
PE138005	5	1	 	 
PE138007	1	6	17	1
PE138007	2	8888	28	14
PE138007	3	1	 	 
PE138008	1	9999	6	2
PE138008	2	8888	16	2
PE138008	3	8888	26	8
PE138008	4	1	 	 
PE138009	1	1	29	1
PE138009	2	8888	30	8
PE138009	3	1	 	 
PE138010	1	1	53	15
PE138010	2	8888	53	6
PE138010	3	1	 	 
PE138011	1	13	11	10
PE138011	2	8888	14	1
PE138011	3	8888	17	13
PE138011	4	8888	19	8
PE138011	5	1	 	 
PE138012	1	1	2	14
PE138012	2	8888	22	14
PE138012	3	8888	22	12
PE138012	4	8888	24	14
PE138012	5	1	 	 
PE138013	1	1	15	1
PE138013	2	0	24	5
PE138013	3	1	 	 
PE138014	1	1	29	10
PE138014	2	1	 	 
PE138015	1	1	17	13
PE138015	2	8888	17	5
PE138015	3	1	 	 
PE138016	1	62	10	2
PE138016	2	8888	23	10
PE138016	3	8888	23	15
PE138016	4	8888	24	14
PE138016	5	1	 	 
PE138017	1	4	23	8
PE138017	2	1	 	 
PE138020	1	1	8	4
PE138020	2	8888	15	9
PE138020	3	8888	19	1
PE138020	4	8888	19	1
PE138020	5	8888	23	13
PE138020	6	8888	24	18
PE138020	7	8888	25	4
PE138020	8	8888	25	3
PE138020	9	1	 	 
PE138021	1	1	21	5
PE138021	2	8888	22	4
PE138021	3	8888	22	5
PE138021	4	1	 	 
PE138022	1	21	8	1
PE138022	2	8888	15	1
PE138022	3	8888	16	1
PE138022	4	8888	17	1
PE138022	5	8888	24	1
PE138022	6	8888	26	14
PE138022	7	1	 	 
PE138023	1	1	0	13
PE138023	2	8888	15	13
PE138023	3	8888	17	15
PE138023	4	8888	18	15
PE138023	5	8888	15	13
PE138023	6	8888	26	8
PE138023	7	1	 	 
PE138024	1	32	13	2
PE138024	2	0	16	1
PE138024	3	0	18	1
PE138024	4	0	23	13
PE138024	5	8888	24	8
PE138024	6	8888	24	8
PE138024	7	1	 	 
PE138025	1	87	8	1
PE138025	2	8888	9	1
PE138025	3	8888	16	1
PE138025	4	8888	17	15
PE138025	5	8888	19	13
PE138025	6	8888	23	5
PE138025	7	1	 	 
PE138026	1	1	11	1
PE138026	2	8888	18	8
PE138026	3	8888	22	8
PE138026	4	8888	29	1
PE138026	5	1	 	 
PE138027	1	1	4	8
