childid	foodid	foodcode	foodnum	foodamt	foodcost
PE118029	1	8	36	3	.5
PE118029	2	9	160	1	.5
PE118029	3	1	160	1	.5
PE118030	1	4	1	5	2
PE118030	2	10	12	2	5
PE128002	1	1	180	1	1
PE128002	2	9	180	1	.200000002980232
PE128004	1	1	240	4	.5
PE128004	2	1	180	3	.200000002980232
PE128004	3	9	180	3	.100000001490116
PE128005	1	1	12	2	2
PE128005	2	3	12	1	1.5
PE128006	1	10	288	3	.5
PE128007	1	1	240	4	.5
PE128009	1	1	24	3	2
PE128009	2	3	24	1	1
PE128009	3	1	180	1	.5
PE128009	4	9	180	1	.100000001490116
PE128011	1	1	12	9	2.09999990463257
PE128011	2	3	12	6	2.5
PE128014	1	10	240	2	.5
PE128015	1	1	240	4	.5
PE128015	2	1	180	1	.200000002980232
PE128015	3	9	180	1	.100000001490116
PE128016	1	10	360	3	.5
PE128016	2	10	240	2	1.5
PE128018	1	1	144	3	2
PE128018	2	3	144	3	1
PE128019	1	3	24	2	2
PE128019	2	1	24	8	2.09999990463257
PE128020	1	1	48	2	2.09999990463257
PE128020	2	3	12	1	1
PE128020	3	10	180	1	.5
PE128020	4	9	80	2	.200000002980232
PE128021	1	1	240	2	.5
PE128021	2	10	120	5	1
PE128022	1	10	240	2	.5
PE128024	1	10	288	3	.5
PE128028	1	1	48	3	2.20000004768372
PE128028	2	1	240	1	.5
PE128028	3	9	240	1	.100000001490116
PE128029	1	1	210	2	1
PE128031	1	10	240	2	1
PE128031	2	2	220	2	.5
PE128032	1	6	220	1	.5
PE128032	2	10	220	1	.5
PE128034	1	1	12	5	2.20000004768372
PE128034	2	3	12	2	1.5
PE128037	1	10	288	4	.5
PE128041	1	10	240	2	2
PE128042	1	1	108	2	1
PE128042	2	3	108	1	1
PE128044	1	1	12	8	2
PE128044	2	3	12	8	2
PE128045	1	1	40	1	1
PE128045	2	9	40	1	.100000001490116
PE128046	1	10	144	3	.5
PE128046	2	3	8	1	3
PE128046	3	1	8	2	2
PE128047	1	10	240	2	.5
PE128050	1	1	52	1	2.20000004768372
PE128050	2	3	52	1	1
PE128051	1	1	20	2	.5
PE128051	2	1	180	2	.800000011920929
PE128051	3	9	180	2	.200000002980232
PE138009	1	3	3	3	4
PE138016	1	10	240	4	1
PE138023	1	10	120	5	.100000001490116
PE138024	1	10	72	4	.5
PE138028	1	1	24	2	2
PE138028	2	3	48	4	1
PE138030	1	1	80	2	.5
PE138030	2	9	80	2	.100000001490116
PE138034	1	1	160	3	.5
PE138034	2	9	160	3	.200000002980232
PE138036	1	10	220	4	.5
PE138036	2	1	320	2	.5
PE138036	3	9	320	2	.200000002980232
PE138037	1	9	148	1	.200000002980232
PE138037	2	1	148	1	.200000002980232
PE138039	1	10	240	4	.5
PE138042	1	6	2	1	2
PE138042	2	8	2	1	2
PE138042	3	5	2	1	4.5
PE138042	4	1	2	2	1
PE138044	1	1	10	1	.5
PE138044	2	9	10	1	.200000002980232
PE138046	1	10	230	4	.5
PE138048	1	10	160	6	.5
PE138048	2	10	180	1	.800000011920929
PE138053	1	10	160	2	.5
PE138053	2	1	140	1	.5
PE138053	3	9	140	1	.100000001490116
PE148001	1	1	48	2	2
PE148001	2	3	48	1	1.79999995231628
PE148002	1	3	240	400	1
PE148002	2	1	240	2	2.5
PE148004	1	1	48	5	2
PE148004	2	8	48	1000	1.79999995231628
PE148004	3	10	40	1	.5
PE148004	4	9	40	1	.100000001490116
PE148005	1	3	48	1	1.5
PE148005	2	1	48	5	1.70000004768372
PE148006	1	1	48	2	2
PE148006	2	3	48	2	2
PE148010	1	1	48	6	1.20000004768372
PE148010	2	3	48	1	1.5
PE148011	1	1	48	2	2
PE148011	2	3	48	1	1.5
PE148011	3	10	240	2	1
PE148014	1	1	48	2	1.5
PE148014	2	3	48	500	.5
PE148015	1	1	280	2	.5
PE148015	2	9	280	2	.200000002980232
PE148017	1	1	48	2	1.5
PE148017	2	3	48	250	.5
PE148018	1	1	12	8	1.5
PE148018	2	8	12	4	2.5
PE148018	3	10	180	3	.5
PE148018	4	9	180	3	.200000002980232
PE148019	1	1	48	2	1.60000002384186
PE148019	2	8	48	1	1
PE148021	1	1	48	3	1
PE148021	2	3	48	1	.800000011920929
PE148021	3	1	25	1	.5
PE148021	4	9	25	1	.100000001490116
PE148022	1	3	48	125	.5
PE148022	2	1	48	205	.5
PE148024	1	1	12	4	1.5
PE148024	2	8	12	2	2
PE148025	1	1	12	6	1.5
PE148025	2	8	12	2	1.5
PE148026	1	1	48	3	2.20000004768372
PE148026	2	8	48	1	2
PE148026	3	10	180	2	3.5
PE148026	4	10	190	2	1
PE148026	5	9	190	2	.200000002980232
PE148027	1	1	48	3	1
PE148027	2	3	48	.25	2
PE148028	1	1	12	3	1.20000004768372
PE148028	2	8	12	1	2
PE148028	3	10	240	3	1
PE148029	1	1	48	2	1
PE148029	2	3	48	1	1.5
PE148030	1	1	146	3	1.79999995231628
PE148030	2	8	146	1	1
PE148030	3	1	140	1	.5
PE148030	4	9	140	1	.200000002980232
PE148030	5	10	140	1	1
PE148031	1	1	12	4	1.20000004768372
PE148031	2	8	12	2	2
PE148031	3	10	180	1	.5
PE148033	1	1	48	2	1.5
PE148033	2	3	48	2	2
PE148034	1	1	24	2	1.79999995231628
PE148034	2	8	24	750	2.09999990463257
PE148034	3	10	15	1	.5
PE148034	4	9	15	1	.100000001490116
PE148035	1	1	48	2	2
PE148035	2	3	48	1	.699999988079071
PE148035	3	10	144	1	2.5
PE148037	1	1	24	3	1.5
PE148037	2	3	24	1	1.5
PE148038	1	1	48	1	1
PE148038	2	3	24	1	1
PE148039	1	1	48	2	1.79999995231628
PE148039	2	3	48	1	1
PE148040	1	1	48	3	1
PE148040	2	3	48	1	1.5
PE148040	3	10	40	12	1
PE148041	1	1	12	4	1.20000004768372
PE148041	2	8	12	2	1.5
PE148042	1	1	48	2	1.20000004768372
PE148042	2	3	48	58	1.5
PE148043	1	1	48	6	1.5
PE148043	2	8	48	2	2
PE148043	3	9	10	1	.300000011920929
PE148043	4	10	10	1	1
PE148045	1	1	42	2	1.70000004768372
PE148045	2	8	42	1	1
PE148046	1	1	48	1	2.20000004768372
PE148046	2	3	24	.5	1.5
PE148047	1	1	48	2	1.5
PE148047	2	3	48	1	1.20000004768372
