childid	plotid	larea	lunit	lown	luse	trans	transid1	transid2	collat	collat1	collat2
PE018039	1	90	1	6	4	 	 	 	 	 	 
PE018040	1	88	1	4	4	2	5	6	1	5	6
PE018041	1	162	1	4	4	2	1	2	1	1	2
PE018042	1	75	1	4	4	2	1	2	1	1	2
PE018043	1	262.5	1	4	4	1	4	 	1	4	 
PE018044	1	138	1	4	4	1	1	2	1	1	2
PE018045	1	28	1	4	4	2	1	 	1	1	 
PE018046	1	180	1	4	4	1	1	2	1	1	2
PE018046	2	5	2	4	8	1	1	2	1	1	2
PE018047	1	60	1	4	4	0	 	 	0	 	 
PE018048	1	132	1	4	4	2	1	2	1	1	2
PE018048	2	5000	1	4	1	2	1	2	1	1	2
PE018049	1	192	1	4	4	0	 	 	1	1	2
PE018050	1	154	1	4	4	4	1	2	1	1	2
PE028001	1	60	1	4	4	1	1	2	1	1	2
PE028002	1	90	1	4	4	1	1	2	1	1	2
PE028003	1	60	1	2	4	 	 	 	 	 	 
PE028003	2	120	1	2	14	 	 	 	 	 	 
PE028003	3	1	2	1	1	 	 	 	 	 	 
PE028004	1	60	1	4	4	1	2	3	1	2	3
PE028006	1	45	1	4	4	4	1	 	1	1	 
PE028007	1	165	1	4	4	0	 	 	1	1	 
PE028007	2	1	8	4	1	0	 	 	1	1	 
PE028008	1	96	1	4	4	0	 	 	1	1	2
PE028008	2	2	8	4	1	0	 	 	1	1	2
PE028009	1	100	1	4	4	1	1	2	1	1	2
PE028009	2	1.5	2	4	1	1	1	2	1	1	2
PE028010	1	112	1	4	4	1	1	2	1	1	2
PE028010	2	100	1	4	14	1	1	2	1	1	2
PE028011	1	16	1	4	4	2	18	1	1	18	1
PE028011	2	250	1	4	1	2	18	1	1	18	1
PE028012	1	360	1	4	4	1	1	 	0	 	 
PE028012	2	2	8	4	1	1	1	 	0	 	 
PE028012	3	2	8	4	1	1	1	 	0	 	 
PE028013	1	108	1	4	4	1	1	2	1	1	2
PE028013	2	1	2	3	1	 	 	 	 	 	 
PE028014	1	96	1	4	4	1	1	2	1	1	2
PE028015	1	75	1	4	4	2	1	2	1	1	2
PE028015	2	1	2	4	1	2	1	2	1	1	2
PE028015	3	2500	1	4	1	4	1	3	1	1	3
PE028016	1	169	1	4	4	4	1	2	1	1	2
PE028016	2	1.5	2	4	1	4	1	2	1	1	2
PE028017	1	90	1	4	4	1	1	2	1	1	2
PE028017	2	11000	1	4	1	1	1	2	1	1	2
PE028018	1	400	1	4	4	1	1	2	1	2	1
PE028018	2	2500	1	4	1	1	1	2	1	2	1
PE028019	1	25	1	4	4	2	1	 	1	1	 
PE028020	1	420	1	4	4	1	1	2	1	1	2
PE028020	2	12500	1	4	1	1	1	2	1	1	2
PE028021	1	100	1	4	4	0	 	 	1	3	 
PE028021	2	2	2	4	1	0	 	 	1	3	 
PE028022	1	94	1	4	4	1	1	2	1	1	2
PE028022	2	1250	1	2	1	 	 	 	 	 	 
PE028023	1	96	1	4	4	2	1	2	1	1	2
PE028023	2	1	2	4	1	2	1	2	1	1	2
PE028024	1	140	1	4	4	1	1	 	1	1	 
PE028024	2	1	2	4	1	1	1	 	1	1	 
PE028024	3	4	2	1	1	 	 	 	 	 	 
PE028025	1	49	1	4	4	2	1	2	1	1	2
PE028025	2	42	1	4	1	2	1	2	1	1	2
PE038001	1	400	1	4	4	1	2	3	0	 	 
PE038001	2	500	1	4	1	1	2	3	0	 	 
PE038002	1	40	1	4	4	1	1	2	1	1	2
PE038002	2	1	2	4	1	1	1	2	1	1	2
PE038002	3	2	2	4	1	1	1	2	1	1	2
PE038002	4	2	2	4	1	1	1	2	1	1	2
PE038002	5	1	2	4	1	1	1	2	1	1	2
PE038002	6	1	2	4	1	1	1	2	1	1	2
PE038003	1	100	1	4	4	0	 	 	0	 	 
PE038003	2	5000	1	4	1	0	 	 	0	 	 
PE038003	3	1	2	1	2	 	 	 	 	 	 
PE038004	1	100	1	4	4	1	1	2	1	1	2
PE038004	2	1	2	3	1	 	 	 	 	 	 
PE038004	3	1	2	3	1	 	 	 	 	 	 
PE038004	4	1	2	3	1	 	 	 	 	 	 
PE038004	5	100	1	4	12	1	1	2	1	1	2
PE038006	1	24	1	4	4	2	1	2	1	1	2
PE038006	2	1	2	2	1	 	 	 	 	 	 
PE038006	3	1	2	1	1	 	 	 	 	 	 
PE038007	1	400	1	4	4	1	1	 	1	1	 
PE038007	2	27	2	4	1	1	1	 	1	1	 
PE038008	1	2	2	4	4	4	1	2	1	1	2
PE038008	2	2	2	4	1	4	1	2	1	1	2
PE038008	3	5	2	4	1	4	1	2	1	1	2
PE038009	1	25	1	4	4	4	3	4	1	3	4
PE038009	2	2	2	4	1	4	3	4	1	3	4
PE038009	3	2	2	4	1	4	3	4	1	3	4
PE038009	4	50	1	4	1	4	3	4	1	3	4
PE038009	5	50	1	4	1	4	3	4	1	3	4
PE038009	6	50	1	4	2	4	3	4	1	3	4
PE038010	1	40	1	2	4	 	 	 	 	 	 
PE038011	1	195	1	4	4	1	1	2	1	1	2
PE038011	2	1	2	4	2	1	1	2	1	1	2
PE038011	3	7500	1	4	2	1	1	2	1	1	2
PE038011	4	1	2	4	1	1	1	2	1	1	2
PE038011	5	1	2	4	1	1	1	2	1	1	2
PE038012	1	270	1	4	4	4	1	2	0	 	 
PE038012	2	270	1	4	1	2	1	2	0	 	 
PE038013	1	36	1	4	4	4	4	 	1	4	 
PE038013	2	100	1	4	4	4	1	2	1	1	2
PE038014	1	200	1	4	4	4	1	 	1	1	 
PE038015	1	150	1	4	4	1	3	4	1	3	4
PE038015	2	5000	1	4	1	1	3	4	1	3	4
PE038015	3	5000	1	4	1	1	3	4	1	3	4
PE038015	4	2500	1	4	1	1	3	4	1	3	4
PE038015	5	375	1	4	1	1	3	4	1	3	4
PE038016	1	82	1	4	4	1	1	2	1	1	2
PE038016	2	1.5	2	5	1	 	 	 	 	 	 
PE038016	3	1	2	5	1	 	 	 	 	 	 
PE038017	1	150	1	2	4	 	 	 	 	 	 
PE038017	2	250	1	1	1	 	 	 	 	 	 
PE038017	3	5000	1	1	2	 	 	 	 	 	 
PE038019	1	50	1	4	4	1	1	2	1	1	2
PE038019	2	2	2	4	1	1	1	2	1	1	2
PE038019	3	1	2	4	2	1	1	2	1	1	2
PE038019	4	1	2	4	1	1	1	2	1	1	2
PE038019	5	1	2	4	2	1	1	2	1	1	2
PE038019	6	1	2	4	1	1	1	2	1	1	2
PE038019	7	2500	1	4	1	1	1	2	1	1	2
PE038019	8	2500	1	4	1	1	1	2	1	1	2
PE038019	9	1	2	4	12	1	1	2	1	1	2
PE038019	10	5000	1	4	10	1	1	2	1	1	2
PE038019	11	7500	1	4	10	1	1	2	1	1	2
PE038019	12	7500	1	4	2	1	1	2	1	1	2
PE038019	13	2500	1	4	2	1	1	2	1	1	2
PE038019	14	7500	1	4	1	1	1	2	1	1	2
PE038019	15	7500	1	4	1	1	1	2	1	1	2
PE038019	16	7500	1	4	1	1	1	2	1	1	2
PE038020	1	130	1	4	4	1	1	2	1	1	2
PE038020	2	2500	1	4	1	1	1	2	1	1	2
PE038020	3	2500	1	4	1	1	1	2	1	1	2
PE038021	1	140	1	4	4	1	1	2	1	1	2
PE038021	2	6	2	5	1	 	 	 	 	 	 
PE038022	1	70	1	4	4	1	1	2	1	1	2
PE038022	2	2500	1	4	1	1	1	2	1	1	2
PE038023	1	100	1	4	4	1	1	2	1	1	2
PE038024	1	90	1	2	4	 	 	 	 	 	 
PE038024	2	28	1	4	4	1	2	 	1	2	 
PE038025	1	60	1	4	2	1	2	 	1	2	 
PE038025	2	.5	2	4	1	1	2	 	1	2	 
PE048001	1	90	1	1	4	 	 	 	 	 	 
PE048002	1	200	1	4	4	2	2	 	1	2	 
PE048002	2	1	2	4	1	2	2	 	1	2	 
PE048002	3	5000	1	4	1	2	2	 	1	2	 
PE048003	1	24	1	4	4	2	1	2	1	1	2
PE048003	2	50	1	4	1	2	1	2	1	1	2
PE048004	1	50	1	2	4	 	 	 	 	 	 
PE048004	2	5	1	2	1	 	 	 	 	 	 
PE048005	1	160	1	4	4	1	1	2	1	1	2
PE048005	2	1.5	2	4	1	1	1	2	1	1	2
PE048006	1	25	1	1	4	 	 	 	 	 	 
PE048006	2	1	2	4	1	1	1	2	1	1	2
PE048006	3	.5	2	4	1	1	1	2	1	1	2
PE048006	4	.5	2	4	1	1	1	2	1	1	2
PE048006	5	.5	2	4	1	1	1	2	1	1	2
PE048006	6	.5	2	4	1	1	1	2	1	1	2
PE048006	7	.5	2	4	1	1	1	2	1	1	2
PE048006	8	.5	2	4	1	1	1	2	1	1	2
PE048006	9	.5	2	4	1	1	1	2	1	1	2
PE048006	10	.5	2	4	1	1	1	2	1	1	2
PE048006	11	.5	2	4	1	1	1	2	1	1	2
PE048006	12	.5	2	4	1	1	1	2	1	1	2
PE048007	1	68	1	4	4	1	1	2	1	1	2
PE048007	2	10	2	4	2	1	1	2	1	1	2
PE048007	3	2	2	4	1	1	1	2	1	1	2
PE048007	4	1	2	4	1	1	1	2	1	1	2
PE048007	5	1	2	4	1	1	1	2	1	1	2
PE048008	1	40	1	4	4	1	1	2	1	1	2
PE048008	2	6	2	4	1	1	1	2	1	1	2
PE048008	3	80	1	4	8	1	1	2	1	1	2
PE048009	1	72	1	4	4	1	1	2	1	1	2
PE048009	2	20	2	4	1	1	1	2	1	1	2
PE048009	3	2	2	4	1	1	1	2	1	1	2
PE048009	4	2	2	4	1	1	1	2	1	1	2
PE048009	5	1	2	4	1	1	1	2	1	1	2
PE048009	6	5000	1	4	1	1	1	2	1	1	2
PE048009	7	100	1	4	4	1	1	2	1	1	2
PE048010	1	18	1	1	4	 	 	 	 	 	 
PE048010	2	22	1	4	4	1	1	2	1	1	2
PE048010	3	15	2	4	1	1	1	2	1	1	2
PE048010	4	1	2	4	1	1	1	2	1	1	2
PE048010	5	30	2	4	2	1	1	2	1	1	2
PE048011	1	88.5	1	4	4	1	1	2	1	1	2
PE048011	2	18	2	4	1	1	1	2	1	1	2
PE048011	3	12000	1	4	1	1	1	2	1	1	2
PE048011	4	2	2	4	2	1	1	2	1	1	2
PE048011	5	750	1	4	1	1	1	2	1	1	2
PE048012	1	66	1	4	4	1	1	2	1	1	2
PE048012	2	3	2	4	1	1	1	2	1	1	2
PE048012	3	1	2	4	2	1	1	2	1	1	2
PE048013	1	50	1	4	4	1	1	2	1	1	2
PE048013	2	6	2	4	1	1	1	2	1	1	2
PE048014	1	240	1	4	4	4	1	2	1	1	2
PE048014	2	1.5	2	4	1	2	1	2	1	1	2
PE048014	3	.5	2	4	1	2	1	2	0	 	 
PE048014	4	2.5	2	4	1	4	1	2	0	 	 
PE048014	5	3	2	4	1	2	1	2	0	 	 
PE048015	1	60	1	1	4	 	 	 	 	 	 
PE048015	2	220	1	4	4	1	1	2	1	1	2
PE048015	3	300	1	4	4	1	1	2	1	1	2
PE048015	4	600	1	4	11	1	1	2	1	1	2
PE048016	1	240	1	4	4	1	1	 	1	1	 
PE048016	2	200	1	4	3	1	1	 	1	1	 
PE048016	3	4	2	4	2	1	1	 	1	1	 
PE048016	4	3	2	4	2	1	1	 	1	1	 
PE048016	5	3	2	4	1	1	1	 	1	1	 
PE048016	6	1	2	4	1	1	1	 	1	1	 
PE048016	7	1	2	4	1	1	1	 	1	1	 
PE048016	8	3	2	4	1	0	 	 	0	 	 
PE048017	1	70	1	4	4	1	1	2	1	1	2
PE048017	2	4	2	4	14	1	1	2	1	1	2
PE048017	3	1	2	4	1	1	1	2	1	1	2
PE048017	4	1	2	4	1	1	1	2	1	1	2
PE048017	5	1	2	4	1	1	1	2	1	1	2
PE048018	1	80	1	4	4	2	1	2	1	1	2
PE048018	2	4	2	4	1	2	1	2	1	1	2
PE048018	3	1	2	4	1	2	1	2	1	1	2
PE048019	1	90	1	4	4	1	1	 	1	1	 
PE048019	2	3	2	4	1	1	1	 	1	1	 
PE048020	1	120	1	4	4	1	4	5	1	4	5
PE048020	2	3	2	4	1	1	4	5	1	4	5
PE048020	3	1.5	2	4	1	1	1	2	1	1	2
PE048020	4	1.5	2	4	10	1	4	5	1	4	5
PE048020	5	200	1	4	1	1	1	2	1	1	2
PE048021	1	40	1	4	4	1	1	 	1	1	 
PE048021	2	1	2	4	1	1	1	 	1	1	 
PE048022	1	190	1	4	4	1	1	2	1	1	2
PE048022	2	4.5	2	4	1	1	1	2	1	1	2
PE048023	1	140	1	2	4	 	 	 	 	 	 
PE048023	2	5	2	4	1	1	1	2	1	1	2
PE048023	3	6	2	4	11	1	1	2	1	1	2
PE048023	4	2	2	4	1	1	1	2	1	1	2
PE048024	1	100	1	4	4	1	1	2	1	1	2
PE048024	2	1.5	2	4	1	1	1	2	1	1	2
PE048024	3	1	2	4	1	1	1	2	1	1	2
PE048024	4	1	2	4	1	1	1	2	1	1	2
PE048025	1	210	1	4	4	2	1	2	1	1	2
PE048025	2	11	2	4	1	2	1	2	1	1	2
PE048025	3	6	2	4	2	2	1	2	1	1	2
PE048026	1	320	1	4	4	0	 	 	0	 	 
PE048026	2	6	2	4	1	1	1	2	1	1	2
PE048026	3	5	2	4	1	1	1	2	1	1	2
PE048026	4	5	2	4	1	1	1	2	1	1	2
PE048026	5	2	2	4	1	1	1	2	1	1	2
PE048026	6	1	2	4	1	1	1	2	1	1	2
PE048026	7	3200	1	4	1	1	1	2	1	1	2
PE058001	1	15	1	1	4	 	 	 	 	 	 
PE058001	2	6	2	4	6	3	1	2	1	1	2
PE058002	1	200	1	4	4	1	1	2	1	1	2
PE058002	2	3	2	4	6	1	1	2	1	1	2
PE058003	1	200	1	4	4	4	1	2	1	1	2
PE058004	1	200	1	4	4	1	1	2	1	1	2
PE058004	2	1.5	2	4	1	1	1	2	1	1	2
PE058005	1	800	1	4	4	4	1	2	0	 	 
PE058006	1	375	1	4	4	1	1	2	1	1	2
PE058006	2	1	2	1	1	 	 	 	 	 	 
PE058007	1	150	1	2	4	 	 	 	 	 	 
PE058008	1	300	1	4	4	 	 	 	 	 	 
PE058008	2	1	2	4	1	 	 	 	 	 	 
PE058008	3	1	2	1	1	 	 	 	 	 	 
PE058011	1	30	1	1	4	 	 	 	 	 	 
PE058011	2	.5	2	4	1	1	1	2	1	1	2
PE058011	3	250	1	3	1	 	 	 	 	 	 
PE058012	1	200	1	4	4	1	1	2	1	1	2
PE058012	2	2	2	4	1	1	1	2	1	1	2
PE058012	3	1.5	2	1	1	 	 	 	 	 	 
PE058013	1	15	1	1	4	 	 	 	 	 	 
PE058013	2	1	2	1	10	 	 	 	 	 	 
PE058014	1	85	1	4	4	1	1	2	1	1	2
PE058014	2	3	2	1	1	 	 	 	 	 	 
PE058014	3	280	1	4	4	1	1	2	1	1	2
PE058014	4	2	2	4	1	1	1	2	1	1	2
PE058015	1	300	1	4	4	1	1	2	1	1	2
PE058016	1	28	1	2	4	 	 	 	 	 	 
PE058016	2	170	1	4	4	1	2	 	1	2	 
PE058017	1	66	1	4	4	1	2	 	1	2	 
PE058017	2	29	2	4	1	1	2	 	1	2	 
PE058019	1	380	1	4	4	4	1	2	1	1	2
PE058019	2	1	2	4	1	4	1	2	1	1	2
PE058020	1	166	1	4	4	3	1	16	1	1	16
PE058020	2	6	2	4	1	3	1	16	1	1	16
PE058021	1	18	1	4	4	1	2	 	1	2	 
PE058021	2	1	2	4	1	1	2	 	1	2	 
PE058021	3	.5	2	4	1	1	2	 	1	2	 
PE058022	1	60	1	4	4	1	1	2	1	1	2
PE058022	2	2	2	4	1	1	1	2	1	1	2
PE058022	3	1	2	4	1	1	1	2	1	1	2
PE058023	1	450	1	4	4	1	1	2	1	1	2
PE058023	2	50	2	4	1	1	1	2	1	1	2
PE058023	3	2	2	4	1	1	1	2	1	1	2
PE058023	4	1.5	2	1	1	 	 	 	 	 	 
PE058025	1	450	1	4	4	1	1	2	1	1	2
PE058025	2	2	2	4	1	1	1	2	1	1	2
PE058025	3	1	2	4	2	1	1	2	1	1	2
PE058025	4	1	2	4	1	1	1	2	1	1	2
PE058026	1	45	1	4	4	1	1	2	1	1	2
PE058026	2	10	2	4	2	1	1	2	1	1	2
PE058026	3	3	2	4	1	1	1	2	1	1	2
PE058026	4	50	1	4	4	1	1	2	1	1	2
PE058027	1	375	1	4	4	4	1	2	1	1	2
PE058027	2	2500	1	4	1	4	1	2	1	1	2
PE058028	1	375	1	4	4	4	1	2	1	1	2
PE058028	2	2	2	4	1	4	1	2	1	1	2
PE058029	1	100	1	4	4	1	1	 	1	1	 
PE058029	2	1	2	4	1	1	1	 	1	1	 
PE058029	3	200	1	4	2	1	1	 	1	1	 
PE058030	1	770	1	4	4	1	1	 	1	1	 
PE058030	2	10	2	4	1	1	1	 	1	1	 
PE058030	3	4	2	4	1	1	1	 	1	1	 
PE058030	4	30	2	4	8	1	1	 	1	1	 
PE058030	5	40	2	4	8	1	1	 	1	1	 
PE068001	1	150	1	4	4	1	1	2	1	1	2
PE068002	1	480	1	4	4	1	1	2	1	1	2
PE068003	1	35	1	1	4	 	 	 	 	 	 
PE068004	1	275	1	4	1	1	2	 	1	2	 
PE068005	1	60	1	1	4	 	 	 	 	 	 
PE068006	1	138	1	4	4	4	1	2	1	1	2
PE068007	1	90	1	4	4	4	1	 	0	 	 
PE068007	2	1	2	4	1	4	1	 	0	 	 
PE068008	1	240	1	4	4	1	7	 	1	7	 
PE068009	1	160	1	4	4	1	1	2	1	1	2
PE068010	1	150	1	4	4	0	 	 	0	 	 
PE068011	1	90	1	1	4	 	 	 	 	 	 
PE068012	1	128	1	4	4	3	1	2	1	1	2
PE068013	1	140	1	4	4	1	2	 	1	2	 
PE068014	1	70	1	2	4	 	 	 	 	 	 
PE068015	1	96	1	4	4	3	1	2	1	1	2
PE068016	1	176	1	4	4	1	1	2	1	1	2
PE068016	2	90	1	4	8	1	1	2	1	1	2
PE068016	3	10.5	1	4	8	1	1	2	1	1	2
PE068017	1	40	1	2	4	 	 	 	 	 	 
PE068018	1	300	1	4	4	4	1	5	1	1	5
PE068019	1	240	1	4	4	4	1	2	1	1	2
PE068019	2	360	1	4	3	2	1	2	1	1	2
PE068020	1	450	1	4	4	1	3	 	1	3	 
PE068020	2	1	2	4	1	1	3	 	1	3	 
PE068020	3	6	2	4	12	1	3	 	1	3	 
PE068021	1	40	1	2	4	 	 	 	 	 	 
PE068022	1	140	1	4	4	1	1	 	1	1	 
PE068023	1	40	1	1	4	 	 	 	 	 	 
PE068024	1	50	1	3	4	 	 	 	 	 	 
PE068025	1	125	1	4	1	3	1	3	0	 	 
PE078001	1	80	1	4	4	0	 	 	0	 	 
PE078001	2	180	1	4	8	0	 	 	0	 	 
PE078002	1	90	1	2	4	 	 	 	 	 	 
PE078003	1	60	1	2	4	 	 	 	 	 	 
PE078003	2	100	1	4	8	1	1	 	1	1	 
PE078004	1	120	1	4	4	1	1	2	1	1	2
PE078004	2	370	1	4	4	1	1	2	1	1	2
PE078005	1	500	1	4	4	0	 	 	0	 	 
PE078006	1	40	1	1	4	 	 	 	 	 	 
PE078007	1	180	1	1	4	 	 	 	 	 	 
PE078008	1	120	1	4	4	1	1	 	1	1	 
PE078009	1	38	1	1	4	 	 	 	 	 	 
PE078010	1	140	1	4	4	0	 	 	0	 	 
PE078010	2	200	1	4	8	0	 	 	0	 	 
PE078011	1	35	1	1	4	 	 	 	 	 	 
PE078012	1	130	1	4	4	0	 	 	0	 	 
PE078013	1	78	1	4	4	0	 	 	1	2	 
PE078013	2	250	1	4	8	1	2	 	1	2	 
PE078014	1	60	1	2	4	 	 	 	 	 	 
PE078014	2	60	1	4	4	1	1	 	1	1	 
PE078014	3	1	2	4	8	1	1	 	1	1	 
PE078014	4	500	1	4	8	1	1	 	1	1	 
PE078015	1	110	1	1	4	 	 	 	 	 	 
PE078015	2	110	1	4	11	1	1	2	1	1	2
PE078016	1	40	1	1	4	 	 	 	 	 	 
PE078017	1	340	1	4	4	2	1	2	0	 	 
PE078017	2	500	1	4	8	2	1	2	0	 	 
PE078018	1	80	1	1	4	 	 	 	 	 	 
PE078019	1	50	1	4	4	4	2	 	0	 	 
PE078020	1	40	1	4	4	1	4	 	1	4	 
PE078021	1	40	1	2	4	 	 	 	 	 	 
PE078021	2	300	1	4	1	0	 	 	0	 	 
PE078022	1	120	1	4	4	1	4	 	1	4	 
PE078023	1	50	1	1	4	 	 	 	 	 	 
PE078024	1	200	1	4	4	1	3	 	1	3	 
PE078024	2	80	1	4	8	1	1	2	1	1	2
PE078026	1	120	1	4	4	0	 	 	0	 	 
PE078027	1	63	1	4	4	1	1	 	1	1	 
PE078028	1	98	1	4	4	1	1	2	1	1	2
PE078029	1	75	1	4	4	0	 	 	1	2	 
PE078030	1	60	1	1	4	 	 	 	 	 	 
PE078031	1	60	1	4	4	 	 	 	 	 	 
PE078032	1	90	1	1	4	 	 	 	 	 	 
PE078033	1	35	1	2	4	 	 	 	 	 	 
PE078034	1	40	1	1	4	 	 	 	 	 	 
PE078035	1	200	1	1	4	 	 	 	 	 	 
PE078036	1	210	1	2	4	 	 	 	 	 	 
PE078037	1	48	1	2	4	 	 	 	 	 	 
PE078038	1	1111	1	4	4	0	 	 	0	 	 
PE078039	1	60	1	4	4	0	 	 	0	 	 
PE078040	1	25	1	4	4	0	 	 	1	1	2
PE078041	1	130	1	4	4	0	 	 	1	2	 
PE078041	2	80	1	4	4	0	 	 	1	2	 
PE078042	1	168	1	4	4	1	1	2	1	1	2
PE078042	2	108	1	4	4	1	1	2	1	1	2
PE078043	1	32	1	1	4	 	 	 	 	 	 
PE078044	1	120	1	4	4	1	1	2	1	1	2
PE078044	2	60	1	4	3	1	1	2	1	1	2
PE078045	1	160	1	4	4	0	 	 	1	1	2
PE078045	2	400	1	4	1	0	 	 	0	 	 
PE078045	3	16	1	4	4	0	 	 	0	 	 
PE078046	1	30	1	1	4	 	 	 	 	 	 
PE078047	1	158	1	4	4	1	1	2	0	 	 
PE078048	1	120	1	4	4	1	1	2	1	1	2
PE078048	2	40	1	4	4	1	1	2	1	1	2
PE078049	1	76	1	4	4	1	1	 	0	 	 
PE078050	1	70	1	1	4	 	 	 	 	 	 
PE078051	1	240	1	4	4	2	1	 	1	1	 
PE078051	2	80	1	4	8	2	1	 	1	1	 
PE078052	1	96	1	7	4	 	 	 	 	 	 
PE088001	1	300	1	4	4	1	3	2	1	3	2
PE088002	1	240	1	4	4	1	2	 	1	2	 
PE088003	1	100	1	2	4	 	 	 	 	 	 
PE088004	1	300	1	2	4	 	 	 	 	 	 
PE088004	2	6	1	4	4	0	 	 	1	2	 
PE088004	3	7	2	4	8	0	 	 	1	3	 
PE088005	1	40	1	2	4	 	 	 	 	 	 
PE088007	1	300	1	4	4	1	2	 	1	2	 
PE088008	1	105	1	4	4	4	1	 	1	1	 
PE088009	1	140	1	2	4	 	 	 	 	 	 
PE088010	1	105	1	4	4	1	1	2	0	 	 
PE088011	1	90	1	2	4	 	 	 	 	 	 
PE088012	1	20	1	2	4	 	 	 	 	 	 
PE088013	1	300	1	1	4	 	 	 	 	 	 
PE088014	1	150	1	4	4	2	3	 	1	3	 
PE088015	1	270	1	2	4	 	 	 	 	 	 
PE088016	1	210	1	4	4	1	1	 	1	1	 
PE088017	1	300	1	2	4	 	 	 	 	 	 
PE088018	1	300	1	4	4	1	3	 	1	3	 
PE088019	1	60	1	1	4	 	 	 	 	 	 
PE088020	1	150	1	4	4	1	2	 	0	 	 
PE088021	1	90	1	4	4	1	1	2	1	1	2
PE088022	1	150	1	4	4	1	2	 	1	2	 
PE088023	1	300	1	2	4	 	 	 	 	 	 
PE088024	1	150	1	4	4	1	1	2	0	 	 
PE088025	1	100	1	4	4	4	5	 	1	5	 
PE088026	1	100	1	4	4	2	1	2	1	1	2
PE088026	2	20	1	4	4	2	1	2	1	1	2
PE088027	1	150	1	4	4	0	 	 	1	90	 
PE088028	1	270	1	4	4	1	6	7	1	6	7
PE088029	1	150	1	4	4	1	1	 	1	1	 
PE088031	1	150	1	4	4	1	1	 	1	1	 
PE088032	1	125	1	2	4	 	 	 	 	 	 
PE098001	1	200	1	4	4	1	1	 	1	1	 
PE098001	2	.5	2	4	1	1	1	 	1	1	 
PE098001	3	.5	2	4	1	1	1	 	1	1	 
PE098001	4	.5	2	4	1	1	1	 	1	1	 
PE098001	5	.5	2	4	1	1	1	 	1	1	 
PE098001	6	.5	2	4	1	1	1	 	1	1	 
PE098001	7	5	2	4	1	1	1	 	1	1	 
PE098001	8	.5	2	4	1	1	1	 	1	1	 
PE098001	9	.5	2	4	1	1	1	 	1	1	 
PE098002	1	500	1	4	4	0	 	 	0	 	 
PE098002	2	1000	1	4	11	0	 	 	0	 	 
PE098002	3	2500	1	4	8	0	 	 	1	80	 
PE098002	4	2500	1	4	2	0	 	 	1	80	 
PE098002	5	2500	1	4	2	0	 	 	0	 	 
PE098002	6	2500	1	4	2	0	 	 	0	 	 
PE098002	7	1000	1	4	2	0	 	 	0	 	 
PE098002	8	1000	1	4	2	0	 	 	0	 	 
PE098002	9	1000	1	2	2	 	 	 	 	 	 
PE098002	10	500	1	2	1	 	 	 	 	 	 
PE098002	11	500	1	2	1	 	 	 	 	 	 
