childid	rcbid	cocdborn	ageborn	whyborn
PE078012	11	1	 	 
PE078018	1	1	33	13
PE078018	2	1	 	 
PE078042	1	1	14	1
PE078042	2	8888	20	2
PE078042	3	8888	24	15
PE078042	4	1	 	 
PE078051	1	1	44	1
PE078051	2	8888	47	1
PE078051	3	1	 	 
PE088017	1	1	18	1
PE088017	2	8888	21	12
PE088017	3	1	 	 
PE088031	1	1	51	1
PE088031	2	8888	55	8
PE088031	3	1	 	 
PE098010	1	10	23	1
PE098010	2	8888	24	5
PE098010	3	10	 	 
PE098012	1	10	9	10
PE098012	2	8888	11	15
PE098012	3	8888	15	2
PE098012	4	8888	17	2
PE098012	5	8888	19	13
PE098012	6	8888	23	1
PE098012	7	10	 	 
PE098015	1	10	2	1
PE098015	2	8888	12	2
PE098015	3	8888	22	3
PE098015	4	10	 	 
PE098016	1	10	14	1
PE098016	2	8888	20	1
PE098016	3	8888	24	3
PE098016	4	10	 	 
PE098024	1	13	12	1
PE098024	2	8888	16	21
PE098024	3	13	 	 
PE108003	1	82	25	1
PE108003	2	8888	25	1
PE108003	3	8888	28	1
PE108003	4	8888	29	1
PE108003	5	8888	30	1
PE108003	6	8888	30	1
PE108003	7	82	 	 
PE108016	1	82	27	1
PE108016	2	8888	29	1
PE108016	3	82	 	 
PE108020	1	82	16	1
PE108020	2	8888	17	1
PE108020	3	8888	17	1
PE108020	4	8888	18	2
PE108020	5	82	 	 
PE108024	1	82	19	1
PE108024	2	0	20	3
PE108024	3	8888	21	4
PE108024	4	82	 	 
PE108026	1	82	24	1
PE108026	2	8888	26	7
PE108026	3	82	 	 
PE108028	1	82	18	1
PE108028	2	8888	22	5
PE108028	3	8888	30	1
PE108028	4	82	 	 
PE118002	1	1	13	1
PE118002	2	8888	26	15
PE118002	3	8888	30	1
PE118002	4	1	 	 
PE118008	1	1	30	1
PE118008	2	8888	30	1
PE118008	3	1	 	 
PE118017	1	1	32	1
PE118017	2	8888	32	1
PE118017	3	1	 	 
PE118020	1	49	18	13
PE118020	2	8888	32	15
PE118020	3	49	 	 
PE128015	1	1	20	13
PE128015	2	8888	25	7
PE128015	3	1	 	 
PE128029	1	1	16	13
PE128029	2	8888	25	4
PE128029	3	1	 	 
PE128033	1	1	7	1
PE128033	2	8888	14	5
PE128033	3	8888	23	10
PE128033	4	1	 	 
PE138031	1	1	15	1
PE138031	2	8888	27	5
PE138031	3	8888	46	1
PE138031	4	1	 	 
PE148003	1	1	16	1
PE148003	2	8888	20	1
PE148003	3	1	 	 
PE148005	1	1	10	1
PE148005	2	8888	20	4
PE148005	3	1	 	 
PE148017	1	1	23	4
PE148017	2	8888	26	1
PE148017	3	1	 	 
PE148019	1	1	22	13
PE148019	2	8888	25	6
PE148019	3	1	 	 
PE148051	1	1	28	5
PE148051	2	8888	34	6
PE148051	3	1	 	 
PE158021	1	16	17	1
PE158021	2	8888	22	13
PE158021	3	16	 	 
PE158053	1	35	12	1
PE158053	2	8888	16	8
PE158053	3	35	 	 
PE158057	1	42	18	1
PE158057	2	8888	23	1
PE158057	3	8888	23	3
PE158057	4	8888	27	1
PE158057	5	42	 	 
PE168002	1	19	19	1
PE168002	2	8888	 	3
PE168002	3	19	 	 
PE168003	1	19	1	12
PE168003	2	8888	17	9
PE168003	3	8888	17	1
PE168003	4	8888	18	1
PE168003	5	8888	19	1
PE168003	6	8888	19	13
PE168003	7	19	 	 
PE168006	1	88	25	9
PE168006	2	8888	27	12
PE168006	3	88	 	 
PE168017	1	66	12	9
PE168017	2	8888	15	12
PE168017	3	66	 	 
PE168021	1	132	14	12
PE168021	2	8888	18	13
PE168021	3	132	 	 
PE168025	1	65	16	1
PE168025	2	8888	17	12
PE168025	3	8888	22	1
PE168025	4	0	27	3
PE168025	5	65	 	 
PE178009	1	1	27	1
PE178009	2	8888	28	8
PE178009	3	8888	30	12
PE178009	4	8888	32	4
PE178009	5	8888	33	4
PE178009	6	1	 	 
PE178020	1	64	10	2
PE178020	2	8888	11	1
PE178020	3	8888	20	7
PE178020	4	64	 	 
PE178028	1	5	1	5
PE178028	2	8888	20	13
PE178028	3	5	 	 
PE178035	1	4	5	12
PE178035	2	8888	17	13
PE178035	3	4	 	 
PE188026	1	9	 	 
PE188026	2	8888	37	7
PE188026	3	9	 	 
PE198002	1	1	12	2
PE198002	2	8888	20	15
PE198002	3	8888	29	1
PE198002	4	8888	30	3
PE198002	5	1	 	 
PE208007	1	13	10	10
PE208007	2	8888	18	1
PE208007	3	8888	22	1
PE208007	4	8888	28	15
PE208007	5	13	 	 
PE208026	1	1	14	1
PE208026	2	8888	16	1
PE208026	3	8888	30	13
PE208026	4	1	 	 
