childid	cropid	crop	qntharv
PE118003	6	101	1
PE118004	1	44	3
PE118005	1	55	6
PE118005	2	44	2
PE118005	3	101	2
PE118005	4	50	6
PE118005	5	108	6
PE118005	6	75	5
PE118005	7	5	4
PE118006	1	44	10
PE118008	1	44	10
PE118008	2	55	10
PE118009	1	44	7
PE118009	2	55	3
PE118009	3	96	1
PE118009	4	86	1.5
PE118010	1	55	2
PE118010	2	5	2
PE118010	3	44	2
PE118011	1	75	2
PE118011	2	55	8
PE118011	3	44	2
PE118011	4	86	1
PE118011	5	5	2
PE118011	6	49	1
PE118012	1	44	50
PE118012	2	55	150
PE118012	3	75	50
PE118012	4	5	50
PE118013	1	55	400
PE118013	2	44	100
PE118013	3	75	30
PE118015	1	55	3
PE118015	2	44	90
PE118015	3	101	24
PE118015	4	75	50
PE118016	1	17	300
PE118016	2	4	1000
PE118017	1	44	3
PE118017	2	75	2
PE118017	3	5	2
PE118017	4	55	2
PE118018	1	44	2
PE118018	2	55	1
PE118018	3	5	1
PE118018	4	101	2
PE118019	1	44	3
PE118019	2	5	1
PE118019	3	55	1
PE118020	1	55	2
PE118020	2	44	6
PE118020	3	75	10
PE118020	4	5	6
PE118022	1	44	7
PE118022	2	75	1
PE118022	3	55	7
PE118022	4	101	1
PE118023	1	55	2
PE118023	2	96	2
PE118023	3	86	2
PE118023	4	95	2
PE118023	5	44	4
PE118023	6	5	1
PE118027	1	101	2
PE118027	2	44	4
PE118027	3	75	2.5
PE118027	4	99	1
PE118027	5	55	10
PE118027	6	86	1
PE118027	7	87	12
PE118027	8	5	2
PE118028	1	55	10
PE118028	2	75	72
PE118028	3	5	36
PE118028	4	96	3
PE118028	5	86	4
PE118028	6	101	48
PE118028	7	87	12
PE118028	8	44	5
PE118029	1	44	10
PE118029	2	75	1
PE118029	3	99	1
PE118029	4	101	12
PE118029	5	89	24
PE118029	6	86	2
PE118030	1	44	70
PE118030	2	55	70
PE118030	3	5	18
PE118030	4	102	110
PE118030	5	50	118
PE138027	1	17	20
PE138027	2	104	500
PE138028	1	44	300
PE138028	2	55	200
PE138028	3	99	150
PE138036	1	44	200
PE138039	1	55	2
PE138039	2	99	2
PE138039	3	101	2
PE138039	4	5	2
PE138042	1	44	17
PE138042	2	102	1000
PE138042	3	6	60
PE138042	4	12	50
PE138042	5	99	2
PE158001	1	51	10000
PE158001	2	4	3000
PE158003	1	51	500
PE158003	2	45	300
PE158003	3	108	300
PE158006	1	51	5
PE158006	2	4	600
PE158006	3	3	20
PE158007	1	108	1000
PE158008	1	51	10000
PE158008	2	85	5000
PE158008	3	44	10
PE158009	1	85	20
PE158009	2	89	2
PE158009	3	44	15
PE158009	4	108	3
PE158010	1	17	40
PE158010	2	90	30
PE158010	3	85	3000
PE158010	4	4	200
PE158011	1	85	1013
PE158011	2	89	80
PE158011	3	32	30
PE158011	4	51	5700
PE158011	5	54	70
PE158011	6	90	300
PE158011	7	17	730
PE158012	1	17	60
PE158012	2	90	1000
PE158012	3	44	200
PE158012	4	4	200
PE158012	5	3	300
PE158013	1	51	70000
PE158014	1	85	30
PE158016	1	51	50000
PE158016	2	4	8000
PE158016	3	90	2000
PE158016	4	51	5000
PE158017	1	51	12000
PE158017	2	109	40
PE158017	3	85	15
PE158017	4	4	480
PE158017	5	89	15
PE158017	6	53	10
PE158017	7	44	12
PE158017	8	108	18000
PE158019	1	51	40000
PE158019	2	85	600
PE158019	3	53	5
PE158021	1	51	1000
PE158021	2	107	8
PE158022	1	85	6000
PE158022	2	4	4800
PE158022	3	44	1000
PE158022	4	53	700
PE158022	5	89	500
PE158022	6	51	300
PE158022	7	51	4000
PE158023	1	85	100
PE158023	2	51	5000
PE158023	3	4	300
PE158024	1	51	600
PE158024	2	4	10
PE158024	3	44	200
PE158024	4	85	1000
PE158025	1	17	30
PE158031	1	90	7600
PE158031	2	4	3500
PE158031	3	85	4500
PE158031	4	53	1000
PE158031	5	17	500
PE158032	1	85	5000
PE158032	2	4	7000
PE158032	3	44	10000
PE158036	1	17	50
PE158037	1	90	500
PE158037	2	4	200
PE158037	3	51	200
PE158039	1	17	30
PE158039	2	53	20
PE158039	3	4	120
PE158040	1	17	40
PE158040	2	44	1500
PE158040	3	4	20
PE158040	4	3	1
PE158041	1	51	20
PE158041	2	85	8000
PE158042	1	17	20
PE158045	1	17	1
PE158045	2	85	10
PE158046	1	17	1500
PE158046	2	90	500
PE158046	3	4	84
PE158046	4	85	10000
PE158046	5	44	10000
PE158048	1	17	8
PE158048	2	53	6
PE158048	3	44	3
PE158048	4	51	400
PE158048	5	4	80
PE158048	6	3	80
PE158049	1	51	50000
PE158049	2	90	1000
PE158049	3	17	4
PE158050	1	17	15
PE158050	2	4	500
PE158050	3	108	200
PE158050	4	53	10
PE158051	1	90	50
PE158051	2	4	50
PE158052	1	85	30000
PE158053	1	17	10
PE158053	2	85	4000
PE158053	3	4	1000
PE158054	1	90	10
PE158054	2	85	60
PE158055	1	90	12
PE158055	2	85	17
PE158055	3	53	3
PE158056	1	85	200
PE158056	2	4	150
PE158056	3	51	300
PE168001	1	5	3
PE168001	2	55	5
PE168001	3	101	12
PE168001	4	99	6
PE168001	5	44	80
PE168002	1	44	2
PE168002	2	75	1
PE168002	3	55	2
PE168002	4	99	2
PE168002	5	101	2
PE168002	6	5	1
PE168003	1	44	150
PE168003	2	87	10
PE168004	1	44	11
PE168004	2	101	4
PE168004	3	99	3
PE168004	4	5	2
PE168004	5	75	80
PE168004	6	55	100
PE168004	7	108	50
PE168005	1	55	600
PE168005	2	44	200
PE168005	3	5	200
PE168005	4	75	100
PE168005	5	101	100
PE168005	6	99	50
PE168005	7	87	30
PE168006	1	5	300
PE168006	2	75	100
PE168006	3	99	100
PE168006	4	101	60
PE168006	5	55	300
PE168006	6	87	30
PE168006	7	44	50
PE168007	1	55	3
PE168007	2	5	1
PE168007	3	75	2
PE168007	4	99	30
PE168007	5	101	30
PE168007	6	96	15
PE168007	7	95	15
PE168008	1	44	6
PE168008	2	99	5
PE168008	3	55	12
PE168008	4	101	5
PE168008	5	5	6
PE168008	6	75	1
PE168008	7	86	3
PE168009	1	55	100
PE168009	2	5	50
PE168009	3	99	12
PE168009	4	44	20
PE168009	5	101	12
PE168010	1	55	5
PE168010	2	101	1
PE168010	3	99	1
PE168010	4	5	1
PE168010	5	75	2
PE168010	6	44	150
PE168011	1	55	700
PE168011	2	44	150
PE168011	3	5	100
PE168011	4	75	50
PE168011	5	86	40
PE168011	6	87	20
PE168011	7	101	30
PE168012	1	5	150
PE168012	2	75	50
PE168012	3	44	60
PE168012	4	101	200
PE168012	5	99	50
PE168012	6	86	200
PE168012	7	95	200
PE168012	8	87	12
PE168013	1	44	100
PE168013	2	101	100
PE168013	3	55	300
PE168013	4	5	150
PE168013	5	99	30
PE168013	6	88	20
PE168013	7	75	50
PE168015	1	5	100
PE168015	2	44	60
PE168015	3	55	150
PE168015	4	101	20
PE168015	5	75	50
PE168015	6	99	100
PE168016	1	55	1500
PE168016	2	5	240
PE168016	3	99	25
PE168016	4	86	120
PE168016	5	95	240
PE168016	6	44	10
PE168017	1	101	200
PE168017	2	5	250
PE168017	3	55	420
PE168017	4	44	100
PE168017	5	75	50
PE168017	6	99	20
PE168017	7	96	50
PE168018	1	5	60
PE168018	2	101	50
PE168018	3	55	80
PE168019	1	55	.5
PE168019	2	5	5
PE168019	3	99	10
PE168019	4	101	20
PE168020	1	55	500
PE168020	2	5	800
PE168020	3	44	200
PE168020	4	101	80
PE168020	5	99	80
PE168020	6	75	80
PE168020	7	87	50
PE168021	1	5	640
PE168021	2	75	300
PE168021	3	55	13500
PE168021	4	101	3
PE168021	5	99	6
PE168022	1	5	5
PE168022	2	75	2
PE168022	3	55	500
PE168022	4	44	3
PE168022	5	49	2
PE168023	1	5	4
PE168023	2	55	10
PE168023	3	75	4
PE168023	4	99	1
PE168023	5	44	2
PE168023	6	86	1
PE168023	7	95	2
PE168023	8	101	1
PE168024	1	5	3
PE168024	2	55	5
PE168024	3	44	1.5
PE168024	4	101	1
PE168024	5	99	.5
PE168024	6	75	2
PE168025	1	5	800
PE168025	2	55	1500
PE168025	3	86	200
PE168025	4	95	250
PE168025	5	96	2
PE178001	1	5	2
PE178001	2	55	2
PE178001	3	75	2
PE178002	1	5	400
PE178003	1	44	1
PE178003	2	55	2
PE178003	3	101	20
PE178003	4	75	4
PE178003	5	5	3
PE178004	1	5	300
PE178004	2	75	180
PE178006	1	55	10
PE178006	2	75	5
PE178006	3	101	70
PE178006	4	44	50
PE178006	5	5	30
PE178010	1	5	10
PE178010	2	55	10
PE178010	3	86	3
PE178010	4	96	3
PE178010	5	101	2
PE178015	1	55	9
PE178015	2	5	7
PE178015	3	75	1
PE178015	4	101	2
PE178015	5	44	1
PE178019	1	5	200
PE178019	2	55	350
PE178019	3	86	12
PE178019	4	75	100
PE178020	1	44	2
PE178020	2	5	3
PE178020	3	55	1
PE178020	4	75	1
PE178020	5	101	2
PE178021	1	55	300
PE178021	2	5	100
PE178021	3	75	100
PE178021	4	101	100
PE178021	5	86	50
PE178021	6	95	50
PE178022	1	5	3
PE178022	2	75	3
PE178022	3	55	3
PE178022	4	101	4
PE178022	5	86	4
PE178022	6	95	4
PE178024	1	75	130
PE178024	2	5	220
PE178025	1	75	50
PE178025	2	5	50
PE178026	1	5	280
PE178026	2	75	1000
PE178027	1	75	30
PE178027	2	5	20
PE178027	3	101	10
PE178028	1	75	2
PE178028	2	5	2
PE178028	3	44	2
PE178028	4	101	1
PE178028	5	99	1
PE178029	1	5	2
PE178029	2	101	2
PE178029	3	75	2
PE178029	4	44	2
PE178030	1	5	2
PE178030	2	75	2
PE178030	3	55	2
PE178031	1	75	300
PE178031	2	101	24
PE178033	1	75	500
PE178033	2	5	400
PE178033	3	101	100
PE178033	4	44	100
PE178033	5	99	24
PE178034	1	5	200
PE178034	2	75	150
PE178034	3	44	40
PE178035	1	101	.5
PE178035	2	75	2
PE178035	3	5	2
PE178036	1	75	500
PE178036	2	5	150
PE178036	3	44	100
PE178036	4	55	100
PE188001	1	101	24
PE188001	2	55	2
PE188001	3	5	1
PE188001	4	44	3
PE188001	5	86	2
PE188002	1	55	120
PE188002	2	44	5
PE188002	3	101	1
PE188002	4	5	2
PE188002	5	96	5
PE188004	1	55	7
PE188004	2	44	5
PE188004	3	5	5
PE188004	4	86	4
PE188004	5	101	2
PE188004	6	87	1.5
PE188005	1	55	110
PE188005	2	44	15
PE188005	3	75	5
PE188005	4	101	2
PE188005	5	86	37
PE188005	6	5	20
PE188005	7	99	1
PE188005	8	87	3
PE188006	1	55	6
PE188006	2	5	3
PE188006	3	86	1
PE188006	4	96	1
PE188006	5	44	2
PE188007	1	5	4
PE188007	2	55	13
PE188007	3	44	6
PE188007	4	101	4
PE188007	5	99	1
PE188007	6	82	6
PE188008	1	44	500
PE188008	2	55	300
PE188008	3	101	140
PE188008	4	5	120
PE188008	5	87	30
PE188008	6	86	150
PE188008	7	95	100
PE188009	1	44	3
PE188009	2	101	3
PE188009	3	5	2
PE188009	4	87	2
PE188010	1	55	3500
PE188010	2	44	250
PE188010	3	101	60
PE188010	4	75	300
PE188010	5	87	60
PE188011	1	55	70
PE188011	2	5	8
PE188011	3	99	1
PE188011	4	101	1
PE188011	5	86	2
PE188011	6	95	2
PE188012	1	44	210
PE188012	2	75	80
PE188012	3	5	160
PE188012	4	55	250
PE188012	5	87	30
PE188013	1	55	15
PE188013	2	44	2
PE188013	3	101	3
PE188013	4	87	2
PE188013	5	49	2
PE188015	1	44	300
PE188015	2	55	2000
PE188015	3	101	100
PE188015	4	5	180
PE188015	5	75	100
PE188015	6	96	320
PE188015	7	86	480
PE188016	1	5	4
PE188016	2	55	30
PE188016	3	82	1
PE188016	4	87	5
PE188016	5	44	10
PE188016	6	75	3
PE188016	7	101	4
PE188016	8	99	1
PE188017	1	55	12
PE188017	2	5	5
PE188017	3	44	3
PE188017	4	75	2
PE188017	5	101	2
PE188017	6	99	2
PE188018	1	55	30
PE188018	2	44	10
PE188018	3	101	5
PE188018	4	96	5
PE188018	5	86	1
PE188018	6	82	24
PE188018	7	99	24
PE188019	1	55	10
PE188019	2	44	10
PE188020	1	55	60
PE188020	2	44	4
PE188020	3	87	1
PE188020	4	86	50
PE188020	5	5	60
PE188020	6	96	3
PE188020	7	75	3
PE188020	8	99	1
PE188021	1	44	600
PE188021	2	55	1000
PE188021	3	101	100
PE188021	4	86	320
PE188021	5	96	280
PE188021	6	5	230
PE188022	1	5	320
PE188022	2	101	160
PE188022	3	44	700
PE188022	4	55	1000
PE188022	5	99	80
PE188022	6	87	100
PE188023	1	55	2850
PE188023	2	44	350
PE188023	3	96	1425
PE188023	4	86	1900
PE188023	5	101	140
PE188023	6	5	650
PE188023	7	87	23
PE188024	1	5	18
PE188024	2	55	30
PE188024	3	101	12
PE188024	4	44	10
PE188024	5	86	15
PE188025	1	55	40
PE188025	2	75	2
PE188025	3	5	1
PE188025	4	101	30
PE188025	5	99	1
PE188025	6	86	3
PE188025	7	95	2
PE188026	1	44	100
PE188026	2	55	1600
PE188026	3	101	80
PE188026	4	75	80
PE188026	5	5	160
PE188026	6	87	10
PE188027	1	44	70
PE188027	2	101	35
PE188027	3	99	22
PE188027	4	87	10
PE188027	5	5	12
PE198011	1	89	150
PE198011	2	53	200
PE198013	1	89	1300
PE198028	1	53	4000
PE198028	2	89	8000
PE208006	1	5	240
PE208006	2	55	640
PE208007	1	55	100
PE208007	2	5	100
PE208007	3	101	250
PE208007	4	87	50
PE208007	5	96	50
PE208009	1	55	48
PE208024	1	55	4000
PE208024	2	87	115
PE208024	3	101	161
PE208024	4	5	480
PE208024	5	49	240
PE208024	6	99	80
PE208025	1	51	4000
PE208025	2	108	2500
PE208025	3	17	200
PE208044	1	55	500
PE208044	2	5	150
PE208049	1	55	50
