PLACEID	STRTDINT	LOCLSITE	CHRINF1	CHRINF2	CHRINF3	POPSIZE	FAMLOC	PAVEDN	UNPAVEDN	TRACKSN	OTTRANN	FACTORY	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
201	08/12/2013 18:29:00	VN201	1	88	 	12158	3614	1	1	0	0	1	0	1	88	 	1	88	 	1	88	 	1	2	3	4	5	6	7	8	9	10
217	09/12/2013 08:33:05	VN217	1	88	 	12945	3185	1	1	1	0	1	0	1	88	 	1	88	 	1	88	 	2	3	4	5	6	88	 	 	 	 
215	04/12/2013 13:32:32	VN215	1	2	88	4123	1043	1	1	0	0	1	0	2	10	1	2	10	3	2	10	1	5	6	7	8	9	10	88	 	 	 
211	03/01/2014 08:04:09	VN211	1	88	 	10053	2270	1	1	1	0	2	1	1	88	 	1	88	 	1	88	 	2	3	3	4	5	6	7	8	9	88
745	01/03/2014 08:05:09	VN745	1	88	 	8414	2277	1	0	0	0	2	0	1	88	 	1	88	 	1	88	 	2	2	4	88	 	 	 	 	 	 
744	08/03/2014 07:10:25	VN744	1	88	 	14278	3547	1	0	0	0	2	0	1	88	 	1	88	 	2	88	 	2	3	88	 	 	 	 	 	 	 
709	04/03/2014 20:50:34	VN709	1	2	88	21723	4781	1	0	0	0	1	0	1	88	 	2	88	 	1	88	 	3	4	88	 	 	 	 	 	 	 
708	04/03/2014 13:01:07	VN708	1	88	 	8766	1862	1	0	0	0	2	0	1	88	 	2	88	 	3	88	 	2	4	88	 	 	 	 	 	 	 
613	06/03/2014 10:14:42	VN613	1	2	88	11398	2349	1	0	0	0	0	1	1	88	 	2	88	 	1	88	 	3	4	88	 	 	 	 	 	 	 
741	22/07/2014 08:54:34	VN741	1	88	 	32882	7951	1	0	0	0	2	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
610	03/03/2014 08:12:40	VN610	1	88	 	20358	5104	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
732	30/07/2014 08:02:11	VN732	1	88	 	11454	3312	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
218	01/08/2014 14:05:37	VN218	1	88	 	11076	2517	1	1	1	0	0	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
742	02/06/2014 11:48:08	VN742	1	88	 	35286	9264	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
703	24/02/2014 14:03:10	VN703	1	88	 	56198	17855	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
701	26/02/2014 09:01:45	VN701	1	88	 	11116	4161	1	1	0	0	1	1	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
707	23/07/2014 09:56:19	VN707	1	88	 	22507	5160	1	1	1	0	1	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
702	25/07/2014 08:56:27	VN702	1	88	 	62155	3836	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
729	25/02/2014 16:05:40	VN729	1	2	4	16480	4324	1	0	0	0	1	0	2	5	88	2	3	3	1	2	3	7	5	6	2	3	8	88	 	 	 
714	03/03/2014 13:50:04	VN714	1	2	88	11677	2961	1	0	0	0	2	0	2	88	 	2	88	 	2	1	88	4	3	2	88	 	 	 	 	 	 
706	04/03/2014 08:30:17	VN706	1	88	 	17858	4280	1	0	0	0	1	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
735	28/05/2014 14:47:51	VN735	1	88	 	82051	18685	1	1	1	0	0	0	1	88	 	1	88	 	1	88	 	1	88	 	 	 	 	 	 	 	 
705	05/03/2014 07:11:40	VN705	1	88	 	6500	1785	1	1	1	0	2	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
716	04/03/2014 09:07:49	VN716	1	88	 	10617	1900	1	0	0	0	0	0	1	88	 	1	88	 	1	88	 	3	4	88	 	 	 	 	 	 	 
609	07/03/2014 08:11:01	VN609	1	88	 	10033	2999	1	1	1	0	1	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
723	25/02/2014 15:08:00	VN723	1	5	1	12768	3062	1	0	0	0	1	0	1	3	4	1	2	5	1	5	88	6	7	8	88	 	 	 	 	 	 
704	06/03/2014 08:03:26	VN704	1	88	 	3347	1418	0	1	1	0	0	0	1	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
713	13/03/2014 08:58:54	VN713	1	88	 	25898	6968	1	0	0	0	0	1	1	88	 	1	88	 	1	88	 	3	88	 	 	 	 	 	 	 	 
640	25/02/2014 09:29:19	VN640	1	2	3	10668	2472	1	0	1	0	1	0	3	4	1	4	3	1	1	4	88	6	5	7	88	 	 	 	 	 	 
712	12/03/2014 09:18:08	VN712	1	88	 	18481	3388	1	0	0	0	1	0	88	88	 	1	88	 	1	88	 	2	88	 	 	 	 	 	 	 	 
629	04/03/2014 08:51:40	VN629	1	2	4	13611	2966	1	0	0	0	1	0	1	3	4	1	2	3	1	2	3	5	6	7	8	88	 	 	 	 	 
