CHILDCODE	LIDR5	GAVCRDR5	WHORCVR5	TKEOUTR5	LOANMTR5	LOANYRR5	AMTCRDR5	INTRTR5	AMTINTR5	FINPAYR5	PYTIMER5	NOBACKR5
51050	1	 	 	 	 	 	 	 	 	 	 	 
61002	1	8	0	1	3	2008	300	-88	 	1	1	 
61003	1	10	17	13	2	2009	700	-88	 	0	 	 
61004	1	10	20	41	1	2009	500	-88	 	1	1	 
61005	1	10	18	2	11	2008	100	-88	 	1	1	 
61005	2	10	18	2	4	2009	50	-88	 	1	1	 
61005	3	10	18	1	4	2009	100	-88	 	0	 	 
61005	4	8	18	2	2	2009	50	-88	 	0	 	 
61007	1	8	8	2	1	2009	1000	-88	 	1	1	 
61008	1	7	1	14	8	2008	6000	15	 	0	 	 
61008	2	7	1	14	8	2007	4000	-77	1000	1	1	 
61009	1	7	1	14	8	2008	7000	18	 	0	 	 
61009	2	7	1	14	8	2007	6000	18	 	1	1	 
61009	3	7	1	14	8	2006	5000	18	 	1	1	 
61010	1	8	2	16	11	2008	600	0	 	1	1	 
61011	1	7	1	1	7	2008	7000	18	 	0	 	 
61012	1	7	1	14	6	2008	8000	-77	1000	0	 	 
61012	2	7	1	14	6	2007	6000	-77	-77	1	1	 
61012	3	7	1	14	6	2006	6000	-77	-77	1	1	 
61014	1	10	19	19	3	2009	30000	-88	 	1	1	 
61015	1	7	1	14	7	2008	9000	-77	-77	0	 	 
61015	2	7	1	14	7	2007	7000	-77	-77	1	1	 
61021	1	8	0	13	3	2009	2000	-88	 	1	1	 
61022	1	10	0	16	1	2009	153	0	 	1	1	 
61022	2	10	0	7	2	2008	400	0	 	1	1	 
61023	1	7	0	14	7	2008	6000	-77	1100	0	 	 
61023	2	7	0	1	7	2007	6000	-77	1100	1	1	 
61026	1	7	2	1	7	2008	6000	18	 	0	 	 
61026	2	7	2	1	7	2007	5000	18	 	1	1	 
61026	3	7	1	1	7	2006	3000	18	 	1	1	 
61029	1	7	2	1	9	2008	9000	18	 	0	 	 
61029	2	7	2	1	9	2007	7000	18	 	1	1	 
61029	3	7	2	1	9	2006	6000	18	 	1	1	 
61031	1	8	2	16	2	2009	2500	0	 	0	 	 
61033	1	8	1	10	2	2009	6000	0	 	0	 	 
61033	2	7	2	1	8	2008	6000	18	 	0	 	 
61033	3	7	2	1	8	2007	6000	18	 	1	1	 
61033	4	7	2	1	8	2006	5000	18	 	1	1	 
61038	1	7	1	14	8	2008	7000	-77	1620	0	 	 
61038	2	7	1	14	8	2007	4500	-77	700	1	1	 
61038	3	7	1	14	8	2006	3000	-77	400	1	1	 
61043	1	7	2	1	7	2008	3000	-77	-77	0	 	 
61044	1	7	2	16	10	2008	9000	18	 	0	 	 
61046	1	7	2	1	7	2008	7000	18	 	0	 	 
61046	2	7	2	1	7	2007	5000	18	 	1	1	 
61046	3	7	2	1	7	2006	4000	18	 	1	1	 
61049	1	7	1	14	8	2008	4000	-77	1000	0	 	 
61049	2	7	1	14	8	2007	3600	-77	400	1	1	 
61049	3	7	1	1	8	2006	3000	-77	600	1	1	 
61050	1	7	2	14	10	2008	8000	18	 	0	 	 
61051	1	10	0	11	2	2009	400	0	 	0	 	 
61051	2	10	0	2	11	2008	2000	0	 	0	 	 
61051	3	10	0	2	3	2007	320	0	 	1	0	11
61052	1	7	1	1	8	2008	4000	-77	4570	0	 	 
61052	2	7	1	1	8	2007	4000	-77	4570	1	1	 
61052	3	7	1	1	8	2006	4000	-77	4570	1	1	 
61056	1	7	1	13	11	2008	10000	18	 	0	 	 
61057	1	7	3	2	12	2007	10000	18	 	1	1	 
61059	1	4	2	7	9	2008	3000	10	 	0	 	 
61059	2	4	2	18	11	2008	500	5	 	0	 	 
61059	3	8	0	10	3	2009	800	0	 	0	 	 
71007	1	7	0	19	77	2006	5000	-77	1500	1	1	 
71012	1	10	1	1	7	2008	7000	0	 	0	 	 
71013	1	7	1	1	4	2008	5000	60	 	0	 	 
71014	1	7	0	1	5	2006	10000	18	 	0	 	 
71014	2	7	0	1	5	2007	7000	18	 	1	1	 
71014	3	7	0	1	5	2006	3000	18	 	1	1	 
71018	1	7	17	14	3	2008	6000	-77	1000	0	 	 
71020	1	7	0	2	1	2009	7600	5	 	0	 	 
71022	1	7	2	14	7	2008	10000	18	 	0	 	 
71022	2	7	2	14	7	2007	8000	18	 	1	1	 
71024	1	7	1	1	7	2009	5000	18	 	0	 	 
71024	2	15	2	4	2	2009	500	5	 	0	 	 
71024	3	7	1	1	7	2007	4000	18	 	1	1	 
71024	4	7	1	1	7	2006	2000	18	 	1	1	 
71026	1	4	1	11	1	2009	100	10	 	0	 	 
71026	2	4	15	7	2	2009	100	10	 	0	 	 
71026	3	8	15	7	77	2007	200	0	 	1	1	 
71029	1	6	2	6	4	2008	3000	15	 	0	 	 
71029	2	8	2	6	1	2009	2000	0	 	0	 	 
71031	1	7	18	19	4	2008	8000	18	 	0	 	 
71033	1	7	2	14	8	2008	8000	18	 	0	 	 
71033	2	7	2	14	8	2007	6000	18	 	1	1	 
71033	3	7	2	14	8	2006	4000	18	 	1	1	 
71034	1	7	5	4	4	2008	3500	18	 	0	 	 
71039	1	7	1	1	7	2008	2500	18	 	0	 	 
71042	1	7	2	1	1	2007	5000	18	 	0	 	 
71044	1	7	17	8	6	2008	7000	-77	-77	0	 	 
71045	1	7	4	8	6	2008	2500	-77	550	0	 	 
71045	2	10	4	1	12	2008	100	-77	36	1	1	 
71047	1	7	2	1	8	2008	4000	18	 	0	 	 
71047	2	7	2	1	7	2007	5000	18	 	1	1	 
71047	3	7	2	1	8	2006	3000	18	 	1	1	 
81001	1	2	20	13	11	2008	500000	7	 	0	 	 
81002	1	10	17	2	1	2008	300	0	 	0	 	 
81002	2	8	17	2	6	2007	400	0	 	0	 	 
81003	1	10	1	16	2	2009	1000	0	 	1	1	 
81003	2	10	2	10	1	2009	200	0	 	1	1	 
81003	3	8	1	2	6	2008	300	0	 	1	1	 
81003	4	11	1	6	12	2008	2000	0	 	1	1	 
81004	1	15	4	1	9	2008	2600	-77	900	0	 	 
81007	1	8	2	1	12	2008	500	0	 	1	1	 
81007	2	8	2	1	1	2008	1000	0	 	1	1	 
81008	1	9	2	2	1	2009	1000	0	 	0	 	 
81009	1	7	2	1	9	2008	2000	16	 	0	 	 
81009	2	7	2	1	9	2006	2000	16	 	1	1	 
81010	1	7	1	1	9	2008	4600	17	 	1	1	 
81010	2	7	1	7	9	2007	2000	17	 	1	1	 
81011	1	8	16	2	4	2007	4000	0	 	1	1	 
81011	2	1	16	2	2	2008	800	0	 	1	1	 
81012	1	8	21	4	3	2008	300	0	 	1	1	 
81012	2	10	21	6	7	2008	150	0	 	1	1	 
81012	3	10	21	4	12	2007	300	0	 	1	1	 
81014	1	8	1	7	6	2007	2000	0	 	1	1	 
81014	2	10	1	2	12	2008	300	0	 	1	1	 
81016	1	10	2	1	2	2009	100	0	 	1	1	 
81016	2	10	2	2	8	2008	200	0	 	1	1	 
81017	1	15	2	14	8	2008	2600	10	 	1	1	 
81017	2	10	1	6	2	2009	300	0	 	1	1	 
81017	3	10	1	15	2	2008	200	0	 	1	1	 
81019	1	9	1	2	4	2008	500	0	 	1	1	 
81019	2	9	1	2	7	2008	600	0	 	1	1	 
81019	3	9	1	2	8	2008	1000	0	 	1	1	 
81019	4	9	1	2	11	2008	2000	0	 	1	1	 
81021	1	7	7	1	5	2007	3500	15	 	0	 	 
81022	1	8	19	1	5	2008	5000	0	 	1	1	 
81024	1	7	2	1	8	2008	2000	17	 	0	 	 
81025	1	8	1	7	1	2009	800	0	 	1	1	 
81025	2	7	1	1	2	2008	15000	17	 	1	1	 
81025	3	8	0	18	3	2007	200	0	 	1	1	 
81026	1	15	2	1	9	2007	2600	-77	900	1	1	 
81028	1	8	1	13	1	2009	2000	0	 	1	1	 
81029	1	2	2	1	11	2008	1000	10	 	1	1	 
81029	2	10	1	1	4	2008	3000	0	 	1	1	 
81030	1	10	0	2	3	2009	100	0	 	1	1	 
81031	1	7	2	12	8	2007	2400	10	 	0	 	 
81031	2	10	2	2	2	2008	250	0	 	1	1	 
81032	1	10	9	2	13	2008	300	0	 	1	1	 
81032	2	10	9	2	12	2008	200	0	 	1	1	 
81033	1	7	3	14	8	2007	2600	-77	460	1	1	 
81033	2	7	3	14	8	2008	2700	-77	1300	0	 	 
81034	1	10	19	3	5	2007	2000	0	 	1	1	 
81035	1	10	17	6	1	2009	300	0	 	1	1	 
81035	2	10	17	13	10	2008	400	0	 	1	1	 
81038	1	10	2	4	2	2009	200	0	 	1	1	 
81038	2	10	1	4	5	2008	150	0	 	1	1	 
81039	1	8	1	4	6	2009	200	0	 	1	1	 
81039	2	10	1	4	3	2008	300	0	 	1	1	 
81039	3	8	1	7	6	2007	400	0	 	1	1	 
81039	4	11	1	4	7	2006	200	0	 	1	1	 
81040	1	8	1	2	8	2008	150	0	 	1	1	 
81045	1	8	2	8	5	2006	2000	0	 	1	1	 
81047	1	7	19	1	5	2007	5000	15	 	1	1	 
81047	2	7	19	1	5	2008	10000	15	 	0	 	 
81048	1	10	2	2	2	2009	100	0	 	1	1	 
81048	2	10	2	2	8	2008	200	0	 	1	1	 
81048	3	10	2	2	10	2008	100	0	 	1	1	 
81049	1	10	20	2	1	2009	300	0	 	1	1	 
81049	2	10	20	17	3	2008	200	0	 	1	1	 
81049	3	8	0	4	6	2008	280	0	 	1	1	 
91002	1	10	16	18	5	2009	200	0	 	1	1	 
91002	2	8	16	6	3	2008	350	0	 	1	1	 
91005	1	10	8	4	77	2008	200	0	 	1	1	 
91006	1	7	17	8	2	2008	9300	15	 	1	1	 
91007	1	7	2	2	9	2008	1800	-77	300	0	 	 
91007	2	7	2	10	9	2007	3500	-77	595	1	1	 
91007	3	7	2	1	8	2006	2800	-77	450	1	1	 
91007	4	10	1	10	1	2008	1000	0	 	0	 	 
91008	1	7	4	1	10	2007	3150	10	 	1	1	 
91008	2	7	4	1	10	2008	3250	10	 	0	 	 
91010	1	8	2	15	1	2009	200	0	 	0	 	 
91012	1	7	6	19	11	2008	60000	-77	5000	0	 	 
91012	2	8	6	19	5	2007	20000	0	 	0	 	 
91012	3	6	6	10	10	2007	70000	7	 	0	 	 
91013	1	8	2	2	11	2008	2000	0	 	0	 	 
91013	2	7	2	6	8	2007	5000	-77	850	0	 	 
91013	3	7	2	1	8	2006	3000	-77	510	1	1	 
91014	1	10	0	1	2	2009	200	0	 	0	 	 
91015	1	8	0	1	8	2008	6000	10	 	0	 	 
91015	2	10	2	1	2	2009	400	0	 	0	 	 
91015	3	10	2	1	11	2008	300	0	 	1	1	 
91016	1	7	2	1	7	2008	3800	17	 	0	 	 
91016	2	7	2	2	12	2007	3000	17	 	1	1	 
91016	3	7	2	1	6	2006	2500	17	 	1	1	 
91018	1	7	2	1	9	2007	4000	17	 	0	 	 
91019	1	5	0	14	4	2009	6000	0	 	0	 	 
91020	1	10	0	4	2	2009	400	0	 	1	1	 
91020	2	10	0	4	4	2008	200	0	 	1	1	 
91021	1	10	1	7	8	2008	300	0	 	0	 	 
91021	2	7	1	1	12	2007	2000	10	 	1	1	 
91021	3	7	1	1	11	2008	3200	10	 	0	 	 
91022	1	7	1	1	5	2006	5000	15	 	1	1	 
91022	2	7	1	1	4	2008	3500	15	 	0	 	 
91022	3	8	1	1	1	2008	3000	0	 	0	 	 
91023	1	10	18	7	11	2008	600	0	 	1	1	 
91025	1	7	1	1	7	2008	5000	-77	1000	0	 	 
91025	2	7	1	1	7	2007	5000	-77	1000	1	1	 
91025	3	7	1	1	7	2006	5000	-77	1000	1	1	 
91027	1	8	2	1	11	2007	400	0	 	1	1	 
91027	2	10	0	15	1	2008	200	0	 	1	1	 
91028	1	7	8	1	10	2007	3000	15	 	0	 	 
91029	1	7	0	1	9	2008	3000	10	 	0	 	 
91030	1	10	1	1	10	2008	300	0	 	1	1	 
91030	2	10	1	6	1	2009	200	0	 	0	 	 
91030	3	8	1	15	1	2009	800	0	 	1	1	 
91031	1	4	1	1	12	2007	1000	0	 	1	1	 
91033	1	8	0	1	9	2008	1500	0	 	0	 	 
91034	1	7	5	1	11	2007	5000	15	 	1	1	 
91034	2	7	5	1	12	2008	5000	15	 	0	 	 
91034	3	10	0	7	2	2008	4000	0	 	0	 	 
91035	1	7	1	1	5	2006	2000	15	 	1	1	 
91035	2	7	1	1	6	2007	2500	17	 	1	1	 
91035	3	7	1	1	9	2008	3000	17	 	0	 	 
91040	1	7	2	1	5	2007	3500	15	 	1	1	 
91040	2	7	2	1	5	2008	7000	17	 	0	 	 
91041	1	7	1	1	5	2008	10000	17	 	0	 	 
91041	2	7	1	1	6	2007	8000	17	 	1	1	 
91041	3	7	2	8	5	2006	5000	17	 	0	 	 
91042	1	8	18	1	2	2008	4000	0	 	1	1	 
91042	2	8	0	2	3	2009	200	0	 	1	1	 
91044	1	6	1	1	10	2008	1400	-77	100	0	 	 
91046	1	8	0	4	11	2008	200	0	 	1	1	 
91048	1	7	2	1	6	2007	5000	15	 	0	 	 
91048	2	7	2	7	4	2008	100	0	 	0	 	 
101003	1	10	3	2	4	2009	400	0	 	0	 	 
101006	1	7	21	1	9	2007	2300	10	 	1	1	 
101006	2	8	21	14	5	2008	1000	0	 	1	1	 
101012	1	4	2	3	10	2006	30000	10	 	1	1	 
101012	2	7	2	19	10	2007	20000	7	 	1	1	 
101012	3	7	2	19	10	2008	20000	7	 	0	 	 
101012	4	4	2	19	8	2008	50000	10	 	1	1	 
101012	5	4	2	19	1	2009	30000	10	 	0	 	 
101017	1	10	2	16	1	2009	500	0	 	1	1	 
101017	2	10	2	16	10	2008	2000	0	 	1	1	 
101017	3	10	2	16	7	2008	150	0	 	1	1	 
101017	4	8	2	16	5	2007	400	0	 	1	1	 
101017	5	8	5	16	1	2007	300	0	 	1	1	 
101018	1	7	2	4	5	2006	15000	-77	3000	1	1	 
101018	2	7	2	8	5	2007	18000	-77	3900	1	1	 
101018	3	7	2	4	5	2008	15000	-77	300	1	1	 
101021	1	8	2	4	5	2007	10000	0	 	1	1	 
101022	1	2	2	4	3	2008	50000	16	 	0	 	 
101025	1	8	3	4	12	2008	1000	0	 	0	 	 
101025	2	10	3	3	5	2008	2000	0	 	0	 	 
101025	3	10	3	4	3	2006	500	0	 	1	0	11
101031	1	7	1	13	8	2008	8000	12	 	0	 	 
101031	2	7	1	2	3	2007	4300	12	 	1	1	 
101032	1	10	1	7	1	2009	200	0	 	1	1	 
101032	2	10	1	7	12	2008	300	0	 	1	1	 
101032	3	10	1	7	8	2008	300	0	 	1	1	 
101035	1	8	1	41	8	2007	70000	0	 	1	1	 
101037	1	8	5	2	8	2008	30000	0	 	0	 	 
101037	2	8	5	15	10	2008	20000	0	 	0	 	 
101044	1	5	2	8	9	2006	10000	1	 	1	0	12
101044	2	2	1	8	5	2008	8000	1	 	1	1	 
101045	1	7	2	4	1	2006	2500	15	 	1	1	 
101045	2	7	2	4	1	2007	4000	15	 	1	1	 
101045	3	7	2	4	1	2008	5000	15	 	1	1	 
101045	4	7	2	4	1	2009	7000	15	 	1	1	 
111003	1	9	2	2	10	2007	800	-77	900	0	 	 
111004	1	9	17	1	10	2008	1500	10	 	0	 	 
111004	2	9	17	1	10	2008	800	5	 	0	 	 
111004	3	9	17	1	10	2008	250	5	 	0	 	 
111004	4	9	17	1	10	2007	1300	10	 	1	1	 
111004	5	9	17	1	10	2007	700	10	 	1	1	 
111004	6	9	17	1	10	2007	250	5	 	1	1	 
111005	1	7	1	1	7	2006	6000	15	 	1	1	 
111005	2	7	1	1	7	2008	3200	15	 	0	 	 
111005	3	10	1	6	1	2009	2000	0	 	1	1	 
111005	4	9	1	2	10	2008	500	25	 	0	 	 
111006	1	10	13	2	3	2009	200	0	 	1	1	 
111008	1	9	1	2	10	2006	250	50	 	1	1	 
111008	2	9	2	1	10	2006	250	50	 	1	1	 
111008	3	9	1	1	10	2007	250	50	 	1	1	 
111008	4	9	2	1	10	2007	250	50	 	1	1	 
111008	5	9	1	1	10	2008	250	50	 	0	 	 
111008	6	9	2	1	10	2008	250	50	 	0	 	 
111008	7	8	2	6	11	2008	500	0	 	0	 	 
111009	1	9	1	1	8	2008	3000	-77	300	0	 	 
111009	2	9	1	1	7	2008	3000	-77	300	0	 	 
111012	1	9	1	1	10	2006	500	50	 	1	1	 
111012	2	9	2	2	10	2006	70	50	 	1	1	 
111012	3	9	1	1	10	2007	500	50	 	1	1	 
111012	4	9	1	2	10	2007	150	50	 	1	1	 
111012	5	9	1	1	10	2008	500	50	 	0	 	 
111012	6	9	2	2	10	2008	150	50	 	0	 	 
111013	1	9	1	1	7	2007	2000	-77	2240	0	 	 
111017	1	7	19	1	6	2008	8000	10	 	0	 	 
111019	1	7	1	1	8	2007	3000	15	 	1	1	 
111021	1	7	1	1	7	2008	6000	13	 	0	 	 
111025	1	7	2	1	9	2008	4000	15	 	0	 	 
111027	1	10	0	2	11	2007	2000	0	 	0	 	 
111031	1	7	1	1	7	2008	3000	13	 	0	 	 
111032	1	7	1	1	10	2006	20000	17	 	1	1	 
111044	1	9	1	2	12	2008	150	-77	200	1	1	 
111045	1	8	0	8	12	2006	9500	0	 	1	1	 
111045	2	8	0	8	3	2009	1000	0	 	0	 	 
111047	1	9	2	2	10	2006	300	-77	50	1	1	 
111047	2	9	2	2	10	2007	400	-77	50	1	1	 
111047	3	9	2	2	10	2008	300	-77	50	0	 	 
111048	1	7	1	14	8	2008	18000	15	 	0	 	 
111048	2	9	1	2	10	2008	1500	-77	1650	0	 	 
121002	1	 	 	 	 	 	 	 	 	 	 	 
121003	1	8	2	19	2	2009	200	0	 	1	1	 
121005	1	8	0	41	4	2008	500	0	 	0	 	 
121005	2	8	19	41	4	2008	500	0	 	0	 	 
121005	3	8	19	1	10	2008	600	0	 	1	1	 
121008	1	10	0	2	2	2008	100	0	 	0	 	 
121009	1	10	0	2	3	2008	1000	0	 	1	1	 
121010	1	10	22	3	11	2008	100000	0	 	0	 	 
121011	2	8	2	2	10	2008	100	0	 	1	1	 
121012	1	8	1	7	5	2008	5000	0	 	1	0	11
121012	2	10	1	2	5	2008	2000	0	 	0	 	 
121013	1	10	0	19	12	2007	100000	0	 	1	1	 
121013	2	10	0	19	9	2006	50000	0	 	1	1	 
121015	1	9	1	1	1	2009	2000	0	 	0	 	 
121015	2	10	1	7	2	2009	800	0	 	0	 	 
121015	3	10	1	10	6	2008	17000	0	 	0	 	 
121015	4	10	1	10	5	2008	8000	-77	10000	0	 	 
121018	1	8	1	2	1	2009	1000	0	 	1	1	 
121018	2	2	1	1	11	2008	1200	16	 	0	 	 
121018	3	2	1	1	10	2007	1240	16	 	1	1	 
121020	1	10	20	19	4	2009	20000	0	 	0	 	 
121020	2	10	20	19	7	2008	10000	0	 	1	1	 
121021	1	10	0	6	5	2008	4000	0	 	1	0	12
121022	1	8	6	7	7	2008	1500	0	 	1	1	 
121022	2	10	6	6	11	2008	200	0	 	1	1	 
121022	3	10	6	2	3	2009	300	0	 	0	 	 
121024	1	10	0	19	1	2009	5000	0	 	1	0	6
121026	1	8	0	19	4	2009	7000	0	 	0	 	 
121026	2	10	0	10	3	2009	500	0	 	1	1	 
121027	1	7	18	19	1	2009	4000	10	 	0	 	 
121028	1	8	1	2	3	2008	7000	0	 	0	 	 
121028	2	2	1	1	11	2008	6000	-77	-77	0	 	 
121030	1	7	0	19	10	2008	30000	10	 	0	 	 
121031	1	10	0	19	5	2009	20000	0	 	0	 	 
121034	1	10	0	3	5	2009	5000	0	 	0	 	 
121034	2	10	0	3	3	2009	5000	0	 	1	1	 
121037	1	8	0	19	4	2009	10000	0	 	0	 	 
121037	2	8	0	8	5	2008	20000	7	 	0	 	 
121038	1	10	0	19	4	2008	2000	0	 	1	1	 
121039	1	7	2	2	7	2007	4000	-77	-77	0	 	 
121040	1	10	0	2	12	2008	270	0	 	1	1	 
121043	1	3	2	19	11	2007	2000	15	 	1	1	 
121043	2	3	2	19	10	2008	2000	15	 	0	 	 
121047	1	10	0	19	12	2007	200000	0	 	1	1	 
121050	1	10	0	2	9	2008	200	0	 	1	1	 
121053	1	10	0	19	5	2008	10000	0	 	1	0	6
121055	1	10	0	2	1	2009	300	0	 	1	1	 
121057	1	9	1	14	3	2007	7500	0	 	1	1	 
131001	1	10	1	8	10	2008	3000	0	 	0	 	 
131001	2	6	1	3	1	2009	2000	15	 	0	 	 
131002	1	15	2	4	11	2007	1000	-77	240	1	1	 
131002	2	15	2	4	10	2008	650	-77	120	0	 	 
131002	3	15	2	4	11	2006	500	-77	120	1	1	 
131002	4	10	4	2	1	2009	500	0	 	0	 	 
131004	1	6	2	4	4	2008	1500	-77	600	0	 	 
131004	2	10	2	2	1	2009	200	0	 	0	 	 
131005	1	7	2	19	11	2007	5000	15	 	0	 	 
131005	2	5	1	2	1	2009	2000	0	 	0	 	 
131006	1	10	1	2	3	2009	700	-77	100	0	 	 
