CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	GETMOMBIRTH	GETCHILDBIRTH	THSVILR5	BURBRLR5	BRNREGR5	BRNZONR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	TYPATDR5	WHYNOTR5	AGEGRDR5
11009	12	0	4	 	17	20	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	13	0	4	 	8	11	 	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	14	0	4	 	16	19	 	2	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	15	3	1	 	 	31	 	1	16	 	 	 	 	 	 	 	1	0	99	98	1	39	0	 	 	 	 	 	 
11009	16	3	1	 	 	0	1	2	15	 	 	 	 	 	 	23	 	0	9	15	 	 	 	 	 	 	 	 	 
11010	0	 	1	 	18	21	 	2	0	0	0	 	 	 	 	26	0	0	99	2	1	34	3	 	 	 	 	 	 
11010	1	 	1	 	66	69	 	2	5	0	0	 	 	 	 	 	3	0	99	99	1	28	0	 	 	 	 	 	 
11010	2	 	1	 	47	50	 	1	1	0	0	 	 	 	 	18	3	0	99	99	1	8	0	 	 	 	 	 	 
11012	0	1	1	 	19	22	 	2	0	0	0	 	 	 	 	14	0	0	98	98	1	39	1	 	 	 	 	 	 
11012	1	1	1	 	91	94	 	1	22	0	0	 	 	 	 	19	1	0	99	99	0	 	 	 	 	 	 	 	 
11012	2	1	1	 	71	74	 	2	13	0	0	 	 	 	 	5	1	0	99	99	0	 	 	 	 	 	 	 	 
11012	3	0	4	 	33	36	 	1	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	4	0	4	 	25	28	 	2	20	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	15	1	1	 	13	16	 	2	19	0	0	 	 	 	 	15	0	0	98	98	 	 	 	1	4	0	 	17	17
11012	16	0	4	 	9	12	 	1	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	17	0	4	 	19	22	 	2	20	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	18	3	1	 	 	30	 	2	14	 	 	 	 	 	 	 	0	0	2	1	1	9	0	 	 	 	 	 	 
11014	0	 	1	 	18	21	 	1	0	0	0	 	 	 	 	23	0	0	98	1	1	10	0	 	 	 	 	 	 
11014	1	 	1	 	49	52	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	7	0	 	 	 	 	 	 
11014	2	 	2	 	46	49	 	2	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	3	 	1	 	17	20	 	2	7	0	0	 	 	 	 	23	0	0	98	1	1	9	0	 	 	 	 	 	 
11014	4	 	1	 	16	19	 	1	7	0	0	 	 	 	 	23	0	0	98	1	1	10	0	 	 	 	 	 	 
11014	15	 	1	 	11	14	 	2	7	0	0	 	 	 	 	23	0	0	98	1	 	 	 	1	6	1	4	 	 
11014	16	 	2	 	10	13	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	17	 	2	 	10	13	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	0	 	2	 	18	21	 	1	0	0	0	 	 	 	 	7	0	0	99	99	 	 	 	 	 	 	 	 	 
11015	1	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	2	 	1	 	29	32	 	2	9	0	0	 	 	 	 	 	4	0	99	99	1	8	0	 	 	 	 	 	 
11015	3	 	1	 	21	24	 	1	9	0	0	 	 	 	 	7	2	0	99	98	1	10	0	 	 	 	 	 	 
11015	4	 	4	 	33	36	 	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	0	1	1	 	18	21	 	2	0	0	0	 	 	 	 	22	0	0	98	98	1	12	0	 	 	 	 	 	 
11016	1	 	 	 	81	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	2	0	4	 	56	59	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	3	0	4	 	24	27	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	4	1	1	 	20	23	 	2	7	0	0	 	 	 	 	0	1	0	98	98	1	7	0	 	 	 	 	 	 
11016	5	0	4	 	65	68	 	1	22	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	6	0	4	 	54	57	 	2	19	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	7	0	4	 	19	22	 	1	19	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	8	3	1	 	 	28	 	1	16	 	 	 	 	 	 	 	1	0	98	98	1	77	0	 	 	 	 	 	 
11017	0	 	1	 	18	21	 	1	0	0	0	 	 	 	 	23	0	0	16	1	1	38	3	 	 	 	 	 	 
11017	1	 	1	 	46	49	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	4	0	 	 	 	 	 	 
11017	2	 	4	 	34	37	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	3	 	1	 	28	31	 	1	7	0	0	 	 	 	 	23	0	0	16	1	1	10	0	 	 	 	 	 	 
11017	4	 	4	 	26	29	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	5	 	1	 	23	26	 	2	7	0	0	 	 	 	 	23	0	0	16	1	1	9	0	 	 	 	 	 	 
11017	16	 	1	 	42	45	 	2	1	0	0	 	 	 	 	0	1	0	98	98	0	 	 	 	 	 	 	 	 
11018	0	 	1	 	19	22	 	1	0	0	0	 	 	 	 	23	0	0	2	1	1	10	0	 	 	 	 	 	 
11018	1	 	1	 	61	64	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	7	0	 	 	 	 	 	 
11018	2	 	1	 	43	46	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	10	0	 	 	 	 	 	 
11018	3	 	4	 	27	30	 	2	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	4	 	1	 	21	24	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	42	3	 	 	 	 	 	 
11018	15	 	1	 	14	17	 	1	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	10	1	1	 	 
11018	16	 	1	 	9	12	 	2	7	0	0	 	 	 	 	23	 	0	2	1	 	 	 	1	6	1	1	 	 
11018	17	 	4	 	21	24	 	2	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	18	 	1	 	 	18	 	2	19	 	 	 	 	 	 	19	0	0	98	99	1	10	0	 	 	 	 	 	 
11019	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	2	99	1	33	1	 	 	 	 	 	 
11019	1	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	2	 	1	 	51	54	 	2	1	0	0	 	 	 	 	 	3	0	98	99	1	28	0	 	 	 	 	 	 
11019	3	 	4	 	30	33	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	4	 	4	 	26	29	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	5	 	4	 	24	27	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	15	 	4	 	12	15	 	1	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	2	1	1	12	0	 	 	 	 	 	 
11021	1	 	1	 	56	59	 	1	1	0	0	 	 	 	 	 	1	0	98	99	1	8	0	 	 	 	 	 	 
11021	2	 	1	 	46	49	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	5	0	 	 	 	 	 	 
11021	3	 	4	 	31	34	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	4	 	4	 	27	30	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	5	 	1	 	25	28	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	12	0	 	 	 	 	 	 
11021	6	 	1	 	22	25	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	35	0	 	 	 	 	 	 
11021	15	 	1	 	14	17	 	2	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	9	1	4	 	 
11021	16	 	1	 	12	15	 	1	7	0	0	 	 	 	 	23	0	0	2	1	 	 	 	1	7	1	4	 	 
11022	0	 	1	 	19	22	 	1	0	0	0	 	 	 	 	26	0	0	99	98	1	9	0	 	 	 	 	 	 
11022	1	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	2	 	1	 	65	68	 	2	5	0	0	 	 	 	 	 	3	0	99	99	1	28	0	 	 	 	 	 	 
11022	3	 	4	 	32	35	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	4	 	4	 	29	32	 	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	5	 	4	 	24	27	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	6	 	4	 	23	26	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	7	 	4	 	22	25	 	2	19	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	8	 	1	 	19	22	 	1	19	0	0	 	 	 	 	14	0	0	99	98	1	9	0	 	 	 	 	 	 
11022	9	 	4	 	29	32	 	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	10	 	1	 	 	32	 	2	19	 	 	 	 	 	 	19	0	0	98	98	1	1	1	 	 	 	 	 	 
11024	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	1	0	2	1	1	27	0	 	 	 	 	 	 
11024	1	 	1	 	64	67	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	4	0	 	 	 	 	 	 
11024	2	 	1	 	55	58	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	3	0	 	 	 	 	 	 
11024	3	 	1	 	34	37	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	43	0	 	 	 	 	 	 
11024	4	 	1	 	32	35	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	11	0	 	 	 	 	 	 
11024	5	 	4	 	29	32	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	6	 	4	 	25	28	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	7	 	1	 	23	26	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	22	0	 	 	 	 	 	 
11024	8	 	3	2009	38	41	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	9	 	4	 	7	10	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	98	1	1	43	3	 	 	 	 	 	 
11025	1	 	1	 	56	59	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	12	0	 	 	 	 	 	 
11025	2	 	4	 	49	52	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	3	 	1	 	41	44	 	2	13	0	0	 	 	 	 	0	1	0	98	98	0	 	 	 	 	 	 	 	 
11025	4	 	4	 	31	34	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	5	 	1	 	29	32	 	2	7	0	0	 	 	 	 	23	0	0	98	1	1	8	0	 	 	 	 	 	 
11025	6	 	1	 	28	31	 	2	7	0	0	 	 	 	 	23	0	0	98	1	1	10	0	 	 	 	 	 	 
11025	7	 	1	 	25	28	 	2	7	0	0	 	 	 	 	23	0	0	98	1	1	43	0	 	 	 	 	 	 
11025	8	 	1	 	21	24	 	2	7	0	0	 	 	 	 	23	0	0	98	1	1	38	3	 	 	 	 	 	 
11025	15	 	1	 	14	17	 	1	7	0	0	 	 	 	 	23	0	0	98	1	 	 	 	1	21	1	1	 	 
11025	16	 	1	 	12	15	 	2	7	0	0	 	 	 	 	23	0	0	98	1	 	 	 	1	9	2	1	 	 
11026	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	26	0	0	99	98	1	26	3	 	 	 	 	 	 
11026	1	 	1	 	61	64	 	1	6	0	0	 	 	 	 	 	1	0	98	99	1	12	0	 	 	 	 	 	 
11026	2	 	1	 	56	59	 	2	5	0	0	 	 	 	 	0	1	0	99	99	1	28	0	 	 	 	 	 	 
11026	3	 	4	 	31	34	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	4	 	4	 	35	38	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	5	 	1	 	27	30	 	2	13	0	0	 	 	 	 	23	0	0	2	1	1	10	0	 	 	 	 	 	 
11026	6	 	4	 	25	28	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	7	 	4	 	23	26	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	1	98	1	26	3	 	 	 	 	 	 
11027	1	 	1	 	38	42	 	2	1	0	0	 	 	 	 	 	3	0	99	99	1	3	0	 	 	 	 	 	 
11027	2	 	1	 	36	39	 	2	13	0	0	 	 	 	 	7	4	0	99	99	1	3	0	 	 	 	 	 	 
11027	3	 	4	 	34	37	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	4	 	4	 	33	36	 	1	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	5	 	1	 	32	35	 	2	13	0	0	 	 	 	 	7	4	0	99	99	1	7	0	 	 	 	 	 	 
11027	6	 	1	 	29	32	 	2	13	0	0	 	 	 	 	7	4	0	99	99	1	2	0	 	 	 	 	 	 
11027	15	 	4	 	15	18	 	1	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	16	 	1	 	9	12	 	2	14	0	0	 	 	 	 	15	 	0	6	98	 	 	 	1	4	1	4	 	 
11028	0	 	1	 	18	21	 	1	0	0	0	 	 	 	 	23	0	0	2	99	1	9	0	 	 	 	 	 	 
11028	1	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	2	 	1	 	48	51	 	2	1	0	0	 	 	 	 	 	4	0	99	99	1	28	0	 	 	 	 	 	 
11028	3	 	4	 	36	39	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	4	 	1	 	30	33	 	1	7	0	0	 	 	 	 	23	0	0	2	99	0	 	 	 	 	 	 	 	 
11028	5	 	2	 	28	31	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	6	 	2	 	24	27	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	7	 	1	 	22	25	 	1	7	0	0	 	 	 	 	22	0	1	2	99	1	7	0	 	 	 	 	 	 
11028	15	 	1	 	15	18	 	2	7	0	0	 	 	 	 	23	0	0	2	99	1	6	0	 	 	 	 	 	 
11028	16	 	4	 	8	12	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	17	 	4	 	8	12	 	2	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	0	 	1	 	18	21	 	2	0	0	0	 	 	 	 	23	0	0	1	99	1	12	0	 	 	 	 	 	 
11029	1	 	1	 	54	57	 	2	1	0	0	 	 	 	 	 	3	0	99	99	0	 	 	 	 	 	 	 	 
11029	2	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	3	 	4	 	34	37	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	4	 	1	 	30	33	 	1	7	0	0	 	 	 	 	23	0	0	1	99	1	4	0	 	 	 	 	 	 
11029	5	 	4	 	26	29	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	15	 	1	 	14	17	 	1	13	0	0	 	 	 	 	26	0	0	1	99	 	 	 	1	11	1	1	 	 
11029	16	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	17	 	1	 	24	27	 	1	7	0	0	 	 	 	 	23	0	0	1	99	1	12	0	 	 	 	 	 	 
11029	18	 	1	 	6	9	 	2	15	0	0	 	 	 	 	26	 	0	98	98	 	 	 	1	2	1	4	 	 
11030	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	0	1	0	98	99	1	22	0	 	 	 	 	 	 
11030	1	 	4	 	55	58	 	2	13	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	 	4	 	31	34	 	2	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	 	4	 	29	32	 	2	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	4	 	4	 	22	25	 	2	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	6	 	1	 	 	32	 	1	25	 	 	 	 	 	 	 	1	0	98	98	1	9	0	 	 	 	 	 	 
11031	0	 	1	 	19	22	 	1	0	0	0	 	 	 	 	23	0	0	2	1	1	36	3	 	 	 	 	 	 
11031	1	 	1	 	64	67	 	1	1	0	0	 	 	 	 	 	1	0	99	99	1	6	0	 	 	 	 	 	 
11031	2	 	1	 	52	55	 	2	1	0	0	 	 	 	 	0	1	0	99	99	1	5	0	 	 	 	 	 	 
11031	3	 	3	2007	34	37	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	4	 	1	 	32	35	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	8	0	 	 	 	 	 	 
11031	5	 	1	 	29	32	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	22	0	 	 	 	 	 	 
11031	6	 	4	 	27	30	 	2	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	7	 	1	 	25	28	 	1	7	0	0	 	 	 	 	23	0	0	2	1	1	10	0	 	 	 	 	 	 
11031	8	 	4	 	22	25	 	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	15	 	1	 	15	18	 	2	7	0	0	 	 	 	 	23	0	0	2	1	1	9	1	 	 	 	 	 	 
11032	0	 	1	 	19	22	 	2	0	0	0	 	 	 	 	23	0	0	2	1	1	10	0	 	 	 	 	 	 
