CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
31036	1	 	 	 	 	 
31036	2	 	 	 	 	 
31036	3	 	 	 	 	 
31037	1	 	 	 	 	 
31037	2	 	 	 	 	 
31037	3	 	 	 	 	 
31038	1	 	 	 	 	 
31038	2	 	 	 	 	 
31038	3	 	 	 	 	 
31039	1	10	3	3	3	5000
31039	2	88	 	 	 	 
31039	3	88	 	 	 	 
31042	1	23	7	23	7	5000
31042	2	88	 	 	 	 
31042	3	88	 	 	 	 
31043	1	 	 	 	 	 
31043	2	 	 	 	 	 
31043	3	 	 	 	 	 
31044	1	12	3	8	3	600
31044	2	88	 	 	 	 
31044	3	88	 	 	 	 
31045	1	 	 	 	 	 
31045	2	 	 	 	 	 
31045	3	 	 	 	 	 
31046	1	 	 	 	 	 
31046	2	 	 	 	 	 
31046	3	 	 	 	 	 
31047	1	 	 	 	 	 
31047	2	 	 	 	 	 
31047	3	 	 	 	 	 
31050	1	 	 	 	 	 
31050	2	 	 	 	 	 
31050	3	 	 	 	 	 
41001	1	 	 	 	 	 
41001	2	 	 	 	 	 
41001	3	 	 	 	 	 
41002	1	26	1	25	1	800
41002	2	1	1	11	1	150
41002	3	88	 	 	 	 
41003	1	 	 	 	 	 
41003	2	 	 	 	 	 
41003	3	 	 	 	 	 
41005	1	 	 	 	 	 
41005	2	 	 	 	 	 
41005	3	 	 	 	 	 
41006	1	25	1	24	1	12000
41006	2	88	 	 	 	 
41006	3	88	 	 	 	 
41007	1	 	 	 	 	 
41007	2	 	 	 	 	 
41007	3	 	 	 	 	 
41008	1	13	7	7	7	1340
41008	2	88	 	 	 	 
41008	3	88	 	 	 	 
41009	1	 	 	 	 	 
41009	2	 	 	 	 	 
41009	3	 	 	 	 	 
41010	1	 	 	 	 	 
41010	2	 	 	 	 	 
41010	3	 	 	 	 	 
41011	1	30	10	26	0	 
41011	2	88	 	 	 	 
41011	3	88	 	 	 	 
41012	1	 	 	 	 	 
41012	2	 	 	 	 	 
41012	3	 	 	 	 	 
41013	1	 	 	 	 	 
41013	2	 	 	 	 	 
41013	3	 	 	 	 	 
41014	1	 	 	 	 	 
41014	2	 	 	 	 	 
41014	3	 	 	 	 	 
41015	1	 	 	 	 	 
41015	2	 	 	 	 	 
41015	3	 	 	 	 	 
41016	1	 	 	 	 	 
41016	2	 	 	 	 	 
41016	3	 	 	 	 	 
41017	1	 	 	 	 	 
41017	2	 	 	 	 	 
41017	3	 	 	 	 	 
41018	1	 	 	 	 	 
41018	2	 	 	 	 	 
41018	3	 	 	 	 	 
41020	1	 	 	 	 	 
41020	2	 	 	 	 	 
41020	3	 	 	 	 	 
41021	1	15	29	12	29	2200
41021	2	88	 	 	 	 
41021	3	88	 	 	 	 
41022	1	 	 	 	 	 
41022	2	 	 	 	 	 
41022	3	 	 	 	 	 
41023	1	 	 	 	 	 
41023	2	 	 	 	 	 
41023	3	 	 	 	 	 
41024	1	23	6	23	6	600
41024	2	88	 	 	 	 
41024	3	88	 	 	 	 
41025	1	 	 	 	 	 
41025	2	 	 	 	 	 
41025	3	 	 	 	 	 
41026	1	 	 	 	 	 
41026	2	 	 	 	 	 
41026	3	 	 	 	 	 
41027	1	 	 	 	 	 
41027	2	 	 	 	 	 
41027	3	 	 	 	 	 
41028	1	 	 	 	 	 
41028	2	 	 	 	 	 
41028	3	 	 	 	 	 
41029	1	 	 	 	 	 
41029	2	 	 	 	 	 
41029	3	 	 	 	 	 
41030	1	 	 	 	 	 
41030	2	 	 	 	 	 
41030	3	 	 	 	 	 
41031	1	 	 	 	 	 
41031	2	 	 	 	 	 
41031	3	 	 	 	 	 
41032	1	15	5	12	5	350
41032	2	88	 	 	 	 
41032	3	88	 	 	 	 
41034	1	 	 	 	 	 
41034	2	 	 	 	 	 
41034	3	 	 	 	 	 
41035	1	23	3	23	3	1700
41035	2	24	2	23	2	608
41035	3	88	 	 	 	 
41036	1	15	10	26	9	1000
41036	2	88	 	 	 	 
41036	3	88	 	 	 	 
41037	1	15	3	12	3	700
41037	2	13	1	7	1	200
41037	3	88	 	 	 	 
41038	1	30	30	26	30	4000
41038	2	88	 	 	 	 
41038	3	88	 	 	 	 
41039	1	30	1	24	1	5000
41039	2	88	 	 	 	 
41039	3	88	 	 	 	 
41040	1	30	2	26	2	5000
41040	2	88	 	 	 	 
41040	3	88	 	 	 	 
41041	1	1	3	11	3	100
41041	2	88	 	 	 	 
41041	3	88	 	 	 	 
41042	1	 	 	 	 	 
41042	2	 	 	 	 	 
41042	3	 	 	 	 	 
41043	1	15	25	29	25	5000
41043	2	88	 	 	 	 
41043	3	88	 	 	 	 
41044	1	 	 	 	 	 
41044	2	 	 	 	 	 
41044	3	 	 	 	 	 
41045	1	 	 	 	 	 
41045	2	 	 	 	 	 
41045	3	 	 	 	 	 
41046	1	 	 	 	 	 
41046	2	 	 	 	 	 
41046	3	 	 	 	 	 
41047	1	4	2	11	2	300
41047	2	1	6	11	6	480
41047	3	30	2	11	2	1600
41048	1	 	 	 	 	 
41048	2	 	 	 	 	 
41048	3	 	 	 	 	 
41049	1	 	 	 	 	 
41049	2	 	 	 	 	 
41049	3	 	 	 	 	 
41050	1	15	10	26	10	800
41050	2	19	3	26	3	180
41050	3	88	 	 	 	 
51001	1	1	1	29	1	75
51001	2	88	 	 	 	 
51001	3	88	 	 	 	 
51002	1	 	 	 	 	 
51002	2	 	 	 	 	 
51002	3	 	 	 	 	 
51003	1	30	8	31	8	-77
51003	2	15	10	12	10	10240
51003	3	88	 	 	 	 
51004	1	4	6	11	6	500
51004	2	1	2	11	2	240
51004	3	88	 	 	 	 
51005	1	 	 	 	 	 
51005	2	 	 	 	 	 
51005	3	 	 	 	 	 
51006	1	 	 	 	 	 
51006	2	 	 	 	 	 
51006	3	 	 	 	 	 
51007	1	15	25	12	25	200
51007	2	88	 	 	 	 
51007	3	88	 	 	 	 
51008	1	15	2	12	2	190
51008	2	88	 	 	 	 
51008	3	88	 	 	 	 
51009	1	 	 	 	 	 
51009	2	 	 	 	 	 
51009	3	 	 	 	 	 
