CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5
71030	1	17	6	2003	9999	1	70
71031	1	8	6	2007	9999	5	0
71031	2	5	13	2008	9999	2	18
71033	1	1	5	2004	9999	7	70
71033	2	17	6	2004	9999	7	70
71033	3	8	6	2001	2008	5	2
71033	4	5	13	2002	9999	1	2
71033	5	20	11	2007	2007	2	80
71034	1	5	13	2007	9999	1	5
71035	1	1	5	2003	9999	2	17
71037	1	17	6	1999	9999	1	70
71038	1	1	5	2003	9999	2	1
71039	1	1	5	2003	9999	2	1
71040	1	25	39	2004	9999	1	1
71040	2	17	6	1998	9999	6	70
71043	1	18	30	2001	2008	7	90
71044	1	17	6	1970	9999	1	70
71045	1	8	6	2002	9999	5	0
71045	2	17	6	2003	9999	6	70
71045	3	1	5	2003	9999	2	4
71045	4	20	11	2006	2006	2	4
71045	5	5	13	2008	9999	1	4
71047	1	5	13	2006	9999	1	2
71047	2	1	4	2000	9999	7	70
71049	1	1	5	1990	9999	5	1
81001	1	5	36	2008	9999	1	20
81002	1	1	5	1998	9999	2	17
81002	2	8	6	2007	9999	5	0
81003	1	1	5	1996	9999	1	70
81003	2	17	6	2003	9999	7	70
81003	3	20	33	2008	9999	7	70
81004	1	1	5	2000	9999	5	70
81004	2	20	33	2008	9999	7	70
81004	3	5	58	2006	9999	1	4
81005	1	1	5	2000	9999	5	70
81005	2	17	6	1999	9999	6	70
81005	3	20	33	2008	9999	7	70
81007	1	1	5	1998	9999	1	70
81007	2	17	6	2003	9999	7	70
81007	3	20	33	2008	9999	7	70
81008	1	1	5	1996	9999	5	70
81008	2	8	6	1996	2007	5	2
81008	3	17	6	1999	9999	5	70
81008	4	20	33	2008	9999	7	80
81009	1	17	6	1999	9999	6	70
81009	2	8	6	1999	9999	6	2
81009	3	1	5	1996	9999	4	70
81009	4	5	13	2003	9999	7	2
81009	5	20	33	2008	9999	7	70
81010	1	1	5	1996	9999	5	70
81010	2	17	6	1999	9999	6	70
81010	3	20	33	2008	9999	7	70
81010	4	5	13	2007	9999	1	1
81011	1	1	5	2007	2008	2	70
81012	1	17	6	2006	9999	7	70
81012	2	20	33	2008	9999	7	70
81013	1	20	33	2008	9999	7	80
81013	2	8	6	2007	9999	5	0
81013	3	17	6	2007	9999	5	70
81014	1	1	5	1999	9999	1	70
81014	2	17	6	2002	9999	3	70
81014	3	20	33	2008	9999	7	70
81014	4	3	39	2000	2007	7	70
81015	1	1	5	2002	9999	1	70
81015	2	20	33	2008	9999	7	70
81016	1	1	5	1996	9999	5	70
81016	2	20	33	2008	9999	7	80
81016	3	17	6	1999	9999	5	70
81017	1	1	5	1998	9999	1	70
81017	2	17	6	2000	9999	7	70
81017	3	5	58	2008	9999	1	0
81017	4	20	33	2008	9999	7	70
81018	1	1	5	2002	9999	1	70
81018	2	3	39	2008	9999	7	70
81018	3	20	33	2008	9999	7	80
81019	1	1	5	1995	9999	5	70
81019	2	20	33	2008	9999	7	70
81019	3	17	6	2000	9999	5	70
81020	1	1	5	1996	9999	6	70
81020	2	20	33	2008	9999	7	70
81020	3	17	6	2000	9999	5	70
81021	1	1	5	2004	9999	1	70
81021	2	20	33	2008	2008	7	70
81021	3	5	13	2002	9999	1	7
81022	1	1	5	2000	9999	1	70
81023	1	17	6	2003	9999	7	70
81023	2	1	5	2000	9999	1	70
81023	3	20	33	2008	9999	7	70
81024	1	1	5	1986	9999	4	70
81024	2	17	6	1999	9999	6	70
81024	3	5	13	2000	9999	7	2
81025	1	1	5	1995	9999	5	70
81025	2	17	6	1999	9999	6	70
81025	3	20	33	2008	9999	7	70
81025	4	5	13	2008	9999	7	2
81025	5	10	50	1997	9999	7	70
81025	6	8	6	1999	9999	5	2
81026	1	1	5	2002	9999	5	70
81026	2	3	39	2002	2007	5	70
81026	3	20	33	2008	9999	7	70
81026	4	5	58	2000	2008	1	2
81027	1	1	5	1996	9999	5	70
81027	2	8	6	1999	9999	6	2
81027	3	17	6	1999	9999	6	70
81027	4	20	33	2008	9999	7	70
81028	1	1	5	2002	9999	1	70
81028	2	20	33	2008	9999	7	70
81029	1	1	5	1990	9999	5	70
81029	2	17	6	1999	9999	6	70
81029	3	20	33	2008	9999	7	70
81030	1	1	5	2004	9999	1	70
81030	2	20	33	2008	9999	7	70
81031	1	1	5	1999	9999	1	70
81031	2	17	6	2004	9999	7	70
81031	3	3	39	2002	2007	7	70
81031	4	5	58	2008	9999	1	2
81031	5	20	33	2008	9999	7	70
81032	1	1	5	2007	9999	5	70
81032	2	8	6	2008	9999	5	70
81032	3	20	33	2008	9999	7	70
81032	4	17	6	2009	9999	6	70
81033	1	1	5	1996	9999	5	70
81033	2	20	33	2008	9999	7	70
81033	3	5	13	2007	9999	1	3
81033	4	17	6	2001	9999	5	70
81034	1	1	5	2004	9999	1	70
81034	2	20	33	2008	9999	7	70
81035	1	1	5	1999	9999	1	70
81035	2	17	6	2007	9999	7	70
81035	3	8	6	2009	9999	8	0
81035	4	20	33	2008	9999	7	70
81036	1	17	6	1999	9999	6	70
81036	2	8	6	1999	9999	5	2
81036	3	1	5	1996	9999	5	70
81036	4	20	33	2008	9999	7	70
81037	1	17	6	1999	9999	6	70
81037	2	20	33	2008	9999	7	70
81037	3	1	5	1995	9999	5	70
81037	4	3	39	2005	9999	6	70
81038	1	1	5	1999	9999	1	70
81038	2	3	39	2002	9999	7	70
81038	3	17	6	2003	9999	7	70
81038	5	20	33	2008	9999	7	70
81039	1	1	5	1996	9999	5	70
81039	2	17	6	1999	9999	5	70
81039	3	20	33	2008	9999	7	70
81040	1	1	5	2002	9999	1	70
81040	2	20	33	2008	9999	7	70
81041	1	1	5	2002	9999	1	70
81041	2	20	33	2008	9999	7	70
81043	1	1	5	1996	9999	1	70
81043	2	17	6	2002	9999	7	70
81043	3	3	39	2000	2007	7	70
81043	4	20	33	2008	9999	7	70
81044	1	1	5	1999	9999	1	70
81044	2	17	6	2005	9999	3	70
81044	3	20	33	2008	9999	7	70
81045	1	1	5	1996	9999	5	70
81045	2	17	6	1999	9999	6	70
81045	3	3	39	2007	9999	6	70
81045	4	20	33	2008	9999	7	70
