CHILDCODE	LANDIDR5	LNDTYPR5	TOTLNDR5	UNTLNDR5	PRIRRR5	TOTLIVR5	UNTLIVR5
41016	2	Y	0	 	 	21	17
41017	1	Y	0	 	 	420	17
41017	2	N	 	 	 	 	 
41018	1	Y	0	 	 	250	17
41018	2	N	 	 	 	 	 
41020	1	N	 	 	 	 	 
41020	2	Y	0	 	 	32	17
41021	1	Y	2	4	5	235	17
41021	2	N	 	 	 	 	 
41022	1	Y	0	 	 	120	17
41022	2	N	 	 	 	 	 
41023	1	Y	0	 	 	120	17
41023	2	N	 	 	 	 	 
41024	1	Y	2	4	5	120	17
41024	2	Y	0	 	 	6	17
41025	1	N	 	 	 	 	 
41025	2	Y	0	 	 	16	17
41026	1	N	 	 	 	 	 
41026	2	Y	0	 	 	6	17
41027	1	Y	0	 	 	120	17
41027	2	N	 	 	 	 	 
41028	1	Y	1	4	5	120	17
41028	2	N	 	 	 	 	 
41029	1	N	 	 	 	 	 
41029	2	Y	0	 	 	4	17
41030	1	N	 	 	 	 	 
41030	2	Y	0	 	 	12	17
41031	1	Y	0	 	 	200	17
41031	2	N	 	 	 	 	 
41032	1	Y	0	 	 	120	17
41032	2	N	 	 	 	 	 
41034	1	N	 	 	 	 	 
41034	2	Y	0	 	 	6	17
41035	1	Y	0	 	 	150	17
41035	2	Y	0	 	 	6	17
41036	1	Y	0	 	 	120	17
41036	2	N	 	 	 	 	 
41037	1	Y	0	 	 	120	17
41037	2	N	 	 	 	 	 
41038	1	N	 	 	 	 	 
41038	2	Y	0	 	 	20	17
41039	1	N	 	 	 	 	 
41039	2	Y	0	 	 	16	17
41040	1	Y	1	4	5	297	17
41040	2	N	 	 	 	 	 
41041	1	Y	1	4	5	150	17
41041	2	N	 	 	 	 	 
41042	1	N	 	 	 	 	 
41042	2	Y	0	 	 	150	17
41043	1	Y	0	 	 	250	17
41043	2	N	 	 	 	 	 
41044	1	Y	1	4	5	175	17
41044	2	N	 	 	 	 	 
41045	1	Y	1	6	5	250	18
41045	2	N	 	 	 	 	 
41046	1	Y	0	 	 	105	17
41046	2	N	 	 	 	 	 
41047	1	Y	10	4	5	200	17
41047	2	N	 	 	 	 	 
41048	1	Y	0	 	 	500	17
41048	2	N	 	 	 	 	 
41049	1	Y	2	4	5	40	17
41049	2	N	 	 	 	 	 
41050	1	Y	3	4	5	100	17
41050	2	N	 	 	 	 	 
51001	1	Y	2	4	5	120	17
51001	2	N	 	 	 	 	 
51002	1	N	 	 	 	 	 
51002	2	Y	0	 	 	20	17
51003	1	Y	5	4	5	300	17
51003	2	N	 	 	 	 	 
51004	1	Y	2	4	5	200	17
51004	2	N	 	 	 	 	 
51005	1	N	 	 	 	 	 
51005	2	Y	0	 	 	50	17
51006	1	N	 	 	 	 	 
51006	2	Y	0	 	 	40	17
51007	1	N	 	 	 	 	 
51007	2	Y	0	 	 	12	17
51008	1	Y	6	4	5	20	17
51008	2	Y	0	 	 	10	17
51009	1	Y	1	4	5	-88	 
51009	2	Y	0	 	 	20	17
51010	1	N	 	 	 	 	 
51010	2	Y	0	 	 	300	17
51012	1	N	 	 	 	 	 
51012	2	Y	0	 	 	25	17
51013	1	Y	5	4	5	150	17
51013	2	N	 	 	 	 	 
51014	1	N	 	 	 	 	 
51014	2	Y	0	 	 	16	17
51015	1	N	 	 	 	 	 
51015	2	N	 	 	 	 	 
51016	1	Y	3	4	5	300	17
51016	2	N	 	 	 	 	 
51017	1	Y	1	4	5	150	17
51017	2	N	 	 	 	 	 
51018	1	Y	3	4	5	150	17
51018	2	Y	2	4	5	200	17
51021	1	Y	1	4	5	16	17
51021	2	N	 	 	 	 	 
51022	1	Y	1	4	5	100	17
51022	2	N	 	 	 	 	 
51024	1	Y	1	4	5	30	17
51024	2	N	 	 	 	 	 
51025	1	Y	3	4	5	150	17
51025	2	Y	.25	4	4	0	 
51026	1	N	 	 	 	 	 
51026	2	Y	0	 	 	10	17
51027	1	Y	1	4	5	30	17
51027	2	N	 	 	 	 	 
51028	1	Y	3	4	5	150	17
51028	2	N	 	 	 	 	 
51029	1	Y	1	4	4	-88	 
51029	2	Y	0	 	 	12	17
51030	1	N	 	 	 	 	 
51030	2	Y	0	 	 	12	4
51031	1	N	 	 	 	 	 
51031	2	Y	0	 	 	4	17
51032	1	Y	2	4	5	.25	4
51032	2	Y	1	4	5	-88	 
51033	1	Y	2	4	5	28	17
51033	2	Y	3	4	5	150	17
51034	1	Y	0	 	 	49	17
51034	2	N	 	 	 	 	 
51035	1	N	 	 	 	 	 
51035	2	Y	0	 	 	50	17
51036	1	Y	4	4	5	150	17
51036	2	N	 	 	 	 	 
51037	1	Y	2	4	5	0	 
51037	2	N	 	 	 	 	 
51038	1	N	 	 	 	 	 
51038	2	Y	0	 	 	12	17
51039	1	Y	2	4	5	20	17
51039	2	Y	1	4	5	-88	 
51041	1	Y	1	4	5	95	17
51041	2	N	 	 	 	 	 
51042	1	Y	4	4	5	49	17
51042	2	N	 	 	 	 	 
51043	1	Y	1	4	5	75	17
51043	2	N	 	 	 	 	 
51044	1	Y	3	2	1	600	17
51044	2	N	 	 	 	 	 
51046	1	Y	2	4	5	30	17
51046	2	N	 	 	 	 	 
51047	1	N	 	 	 	 	 
51047	2	Y	0	 	 	24	17
51048	1	N	 	 	 	 	 
51048	2	Y	0	 	 	14	17
51050	1	Y	2	4	5	28	17
51050	2	Y	0	 	 	35	17
61002	1	N	 	 	 	 	 
61002	2	Y	1.25	4	4	.25	4
61003	1	N	 	 	 	 	 
61003	2	N	 	 	 	 	 
61004	1	N	 	 	 	 	 
61004	2	Y	2.5	4	5	-88	 
61005	1	Y	1	4	5	100	17
61005	2	N	 	 	 	 	 
61007	1	N	 	 	 	 	 
61007	2	N	 	 	 	 	 
61008	1	Y	3	4	1	1	4
61008	2	Y	2	4	5	0	 
61009	1	Y	4	4	1	20	17
61009	2	Y	2	4	5	2	4
61010	1	Y	20000	17	5	500	17
61010	2	N	 	 	 	 	 
61011	1	Y	20000	17	5	500	17
61011	2	N	 	 	 	 	 
61012	1	Y	8	4	1	1	4
61012	2	N	 	 	 	 	 
61014	1	Y	25	2	1	1000	17
61014	2	N	 	 	 	 	 
61015	1	Y	10	4	1	1	4
61015	2	N	 	 	 	 	 
61016	1	Y	4	4	1	2	4
61016	2	N	 	 	 	 	 
61018	1	N	 	 	 	 	 
61018	2	N	 	 	 	 	 
61019	1	Y	2500	17	5	500	17
61019	2	N	 	 	 	 	 
61020	1	Y	6	4	1	1	4
61020	2	Y	2	4	5	-88	 
61021	1	N	 	 	 	 	 
61021	2	Y	0	 	 	10.5	17
61022	1	Y	2	4	5	0	 
61022	2	Y	0	 	 	12	17
61023	1	Y	2	4	5	1	4
61023	2	Y	1	4	5	-88	 
61024	1	Y	1.5	4	5	.5	4
61024	2	Y	1.5	4	5	-88	 
61025	1	Y	4	4	5	-88	 
61025	2	N	 	 	 	 	 
61026	1	Y	4.5	4	5	1	4
61026	2	N	 	 	 	 	 
61027	1	Y	5	4	1	1000	17
61027	2	Y	3	4	5	.25	4
61029	1	Y	7	4	5	1000	17
61029	2	N	 	 	 	 	 
61031	1	Y	10000	17	5	500	17
61031	2	N	 	 	 	 	 
61033	1	Y	8	4	5	1000	17
61033	2	N	 	 	 	 	 
61034	1	Y	3	4	5	.5	4
61034	2	Y	3	4	5	0	 
61036	1	N	 	 	 	 	 
61036	2	Y	0	 	 	9	17
61037	1	Y	4	4	5	.5	4
61037	2	N	 	 	 	 	 
61038	1	Y	6	4	1	1000	17
61038	2	Y	1	4	5	-88	 
61039	1	Y	2	4	5	.119999997317791	4
61039	2	Y	2	4	5	0	 
61043	1	Y	6	4	1	1	4
61043	2	Y	2	4	2	0	 
61044	1	Y	10000	17	5	1000	17
61044	2	Y	10000	17	5	0	 
61046	1	Y	4	4	5	150	17
61046	2	N	 	 	 	 	 
61049	1	Y	4	4	5	1	4
61049	2	N	 	 	 	 	 
61050	1	Y	4	4	5	.25	4
61050	2	Y	2.5	4	5	-88	 
61051	1	N	 	 	 	 	 
61051	2	Y	0	 	 	4	17
61052	1	Y	6	4	1	1	4
61052	2	Y	2.5	4	1	-88	 
61054	1	Y	6.75	4	1	.25	4
61054	2	N	 	 	 	 	 
61056	1	Y	4	4	5	335	2
61056	2	N	 	 	 	 	 
61057	1	N	 	 	 	 	 
61057	2	Y	0	 	 	42	17
61058	1	Y	10000	17	1	500	17
61058	2	N	 	 	 	 	 
61059	1	Y	3	4	1	1000	17
61059	2	N	 	 	 	 	 
71001	1	Y	10000	17	5	1000	17
71001	2	N	 	 	 	 	 
71002	1	N	 	 	 	 	 
71002	2	N	 	 	 	 	 
71003	1	Y	5	4	5	1000	17
71003	2	N	 	 	 	 	 
71004	1	N	 	 	 	 	 
71004	2	Y	0	 	 	8	17
71006	1	N	 	 	 	 	 
71006	2	Y	0	 	 	800	17
71007	1	Y	6	4	5	2	3
71007	2	Y	4	4	5	0	 
71008	1	Y	4	4	5	1000	17
71008	2	N	 	 	 	 	 
71009	1	Y	7	4	5	1000	17
71009	2	N	 	 	 	 	 
71010	1	N	 	 	 	 	 
71010	2	Y	0	 	 	16	17
71012	1	Y	7500	17	5	1000	17
71012	2	N	 	 	 	 	 
71013	1	Y	5000	17	5	400	17
71013	2	N	 	 	 	 	 
71014	1	Y	3	4	5	500	17
71014	2	N	 	 	 	 	 
71015	1	Y	3	4	5	600	17
71015	2	N	 	 	 	 	 
71016	1	Y	3	4	5	1000	17
71016	2	N	 	 	 	 	 
71017	1	N	 	 	 	 	 
71017	2	Y	0	 	 	30	17
71018	1	Y	.5	4	5	-88	 
71018	2	Y	2	4	5	100	17
71019	1	Y	0	 	 	1000	17
71019	2	N	 	 	 	 	 
71020	1	N	 	 	 	 	 
71020	2	Y	0	 	 	20	17
71021	1	Y	10000	17	5	1000	17
71021	2	N	 	 	 	 	 
71022	1	Y	4	4	4	1000	17
71022	2	Y	1	4	4	0	 
71024	1	Y	3.25	4	5	1000	4
71024	2	N	 	 	 	 	 
71025	1	Y	15000	17	5	1000	17
71025	2	N	 	 	 	 	 
71026	1	Y	2	4	5	500	17
71026	2	N	 	 	 	 	 
71028	1	Y	4	4	5	1	4
71028	2	N	 	 	 	 	 
71029	1	Y	2	4	5	500	17
71029	2	N	 	 	 	 	 
71030	1	Y	6	4	5	500	17
71030	2	N	 	 	 	 	 
71031	1	N	 	 	 	 	 
71031	2	Y	2	4	5	250	17
71032	1	N	 	 	 	 	 
71032	2	Y	0	 	 	21	17
71033	1	Y	3	4	5	1000	17
71033	2	Y	1	4	5	-88	 
71034	1	Y	2	4	5	1	4
71034	2	Y	0	 	 	200	17
71035	1	Y	7500	17	5	1000	17
71035	2	N	 	 	 	 	 
71037	1	Y	3	4	1	1000	17
71037	2	Y	2	4	5	-88	 
71038	1	Y	15000	17	5	600	17
71038	2	N	 	 	 	 	 
71039	1	Y	15000	17	5	1000	17
71039	2	N	 	 	 	 	 
71040	1	Y	5	4	5	.5	4
71040	2	N	 	 	 	 	 
71042	1	Y	150	17	5	90	17
71042	2	N	 	 	 	 	 
71043	1	Y	.5	4	5	500	17
71043	2	N	 	 	 	 	 
71044	1	Y	5	4	5	1000	17
71044	2	N	 	 	 	 	 
71045	1	Y	1	4	5	500	17
71045	2	Y	1	4	5	-88	 
71047	1	Y	2	4	5	1000	17
71047	2	N	 	 	 	 	 
71049	1	Y	6	4	5	.5	4
71049	2	Y	2	4	5	0	 
81001	1	Y	2	4	5	200	17
81001	2	Y	2	4	5	0	 
81002	1	Y	4	4	5	400	17
81002	2	N	 	 	 	 	 
81003	1	Y	9	5	1	1000	17
81003	2	N	 	 	 	 	 
81004	1	Y	4	4	1	500	17
81004	2	N	 	 	 	 	 
81005	1	Y	1	5	5	500	17
81005	2	N	 	 	 	 	 
81006	1	N	 	 	 	 	 
81006	2	Y	0	 	 	161	17
81007	1	Y	9	5	1	1000	17
81007	2	N	 	 	 	 	 
81008	1	Y	8	4	1	500	17
81008	2	N	 	 	 	 	 
81009	1	Y	2	5	5	1000	17
81009	2	N	 	 	 	 	 
81010	1	Y	6	5	5	600	17
81010	2	N	 	 	 	 	 
81011	1	Y	.25	2	5	0	 
81011	2	Y	0	 	 	18	17
81012	1	Y	2	5	5	0	 
81012	2	Y	0	 	 	70	17
81013	1	Y	1	4	4	12	17
81013	2	N	 	 	 	 	 
81014	1	Y	2	2	4	2	4
81014	2	N	 	 	 	 	 
81015	1	Y	5	5	5	500	17
81015	2	N	 	 	 	 	 
81016	1	Y	8	4	1	1000	17
81016	2	N	 	 	 	 	 
81017	1	Y	8	5	1	1200	17
81017	2	N	 	 	 	 	 
81018	1	Y	2	4	5	1250	17
81018	2	N	 	 	 	 	 
81019	1	Y	3	4	5	1000	17
81019	2	Y	3	4	5	0	 
81020	1	Y	7	4	3	1000	17
81020	2	N	 	 	 	 	 
81021	1	Y	3	4	5	1	4
81021	2	N	 	 	 	 	 
81022	1	Y	2	5	4	0	 
81022	2	Y	0	 	 	24	17
81023	1	Y	3	5	5	1000	17
81023	2	N	 	 	 	 	 
81024	1	Y	4	5	5	200	17
81024	2	N	 	 	 	 	 
81025	1	Y	2	5	3	200	17
81025	2	N	 	 	 	 	 
81026	1	Y	1	5	5	800	17
81026	2	N	 	 	 	 	 
81027	1	Y	8	5	1	1	5
81027	2	N	 	 	 	 	 
81028	1	Y	1	5	5	500	17
81028	2	N	 	 	 	 	 
81029	1	Y	7	5	5	1	5
81029	2	N	 	 	 	 	 
81030	1	Y	1	4	5	150	17
81030	2	N	 	 	 	 	 
81031	1	Y	4	5	5	1000	17
81031	2	N	 	 	 	 	 
81032	1	Y	2	4	4	1000	17
81032	2	N	 	 	 	 	 
81033	1	Y	5.5	4	5	1000	17
81033	2	N	 	 	 	 	 
81034	1	Y	1	5	5	250	17
81034	2	N	 	 	 	 	 
81035	1	Y	2	5	5	0	 
81035	2	Y	0	 	 	80	17
81036	1	Y	2	5	4	400	17
81036	2	N	 	 	 	 	 
81037	1	Y	5	5	1	600	17
81037	2	N	 	 	 	 	 
81038	1	Y	3	5	5	1000	17
81038	2	N	 	 	 	 	 
81039	1	Y	1000	17	5	200	17
81039	2	N	 	 	 	 	 
81040	1	Y	2	5	1	250	17
81040	2	N	 	 	 	 	 
81041	1	Y	4	4	1	500	17
81041	2	N	 	 	 	 	 
81043	1	Y	1.5	2	5	500	17
81043	2	N	 	 	 	 	 
81044	1	Y	2	5	5	200	17
81044	2	Y	12	5	4	0	 
81045	1	Y	4	5	5	1000	17
81045	2	N	 	 	 	 	 
81046	1	Y	0	 	 	250	17
81046	2	N	 	 	 	 	 
81047	1	Y	2	5	1	500	17
81047	2	N	 	 	 	 	 
81048	1	Y	6	4	5	1000	17
81048	2	N	 	 	 	 	 
81049	1	Y	2	5	5	700	17
81049	2	Y	1	5	5	0	 
91001	1	N	 	 	 	 	 
91001	2	Y	45	17	88	0	 
91002	1	Y	1.5	5	5	500	17
91002	2	Y	2	5	5	0	 
91003	1	N	 	 	 	 	 
91003	2	Y	0	 	 	25	16
91004	1	N	 	 	 	 	 
91004	2	Y	0	 	 	20	17
91005	1	N	 	 	 	 	 
91005	2	Y	0	 	 	48	17
91006	1	Y	0	 	 	250	17
91006	2	N	 	 	 	 	 
91007	1	Y	6	4	5	2000	17
91007	2	Y	3.5	4	5	0	 
91008	1	Y	1.5	5	5	150	17
91008	2	Y	5	5	5	0	 
91010	1	Y	6	4	5	1000	17
91010	2	N	 	 	 	 	 
91011	1	N	 	 	 	 	 
91011	2	Y	0	 	 	50	17
91012	1	Y	12	4	5	80	17
91012	2	Y	2	4	5	0	 
91013	1	Y	4	4	5	200	17
91013	2	Y	2	4	5	0	 
91014	1	Y	2	5	5	100	17
91014	2	N	 	 	 	 	 
91015	1	Y	9	4	5	500	17
91015	2	N	 	 	 	 	 
91016	1	Y	2	5	5	1	5
91016	2	Y	3	5	3	0	 
91017	1	N	 	 	 	 	 
91017	2	Y	0	 	 	40	17
91018	1	Y	2	2	5	1000	17
91018	2	N	 	 	 	 	 
91019	1	N	 	 	 	 	 
91019	2	Y	0	 	 	24	17
91020	1	N	 	 	 	 	 
91020	2	Y	0	 	 	24	17
91021	1	Y	8	4	5	750	17
91021	2	N	 	 	 	 	 
91022	1	Y	4	2	5	600	17
91022	2	N	 	 	 	 	 
91023	1	N	 	 	 	 	 
91023	2	Y	3	4	5	24	17
91024	1	Y	7	4	5	1	4
91024	2	N	 	 	 	 	 
91025	1	Y	4	4	5	1000	17
91025	2	Y	2	4	5	0	 
91026	1	Y	1.5	2	5	1000	17
91026	2	Y	2.5	2	5	0	 
91027	1	Y	10	4	5	1000	17
91027	2	Y	2	4	5	0	 
91028	1	Y	2	4	5	200	17
91028	2	N	 	 	 	 	 
91029	1	Y	5	4	5	1000	17
91029	2	Y	4	4	5	0	 
91030	1	Y	4.5	4	5	500	17
91030	2	N	 	 	 	 	 
91031	1	Y	3.5	2	5	2000	17
91031	2	N	 	 	 	 	 
91032	1	Y	6	4	5	120	17
91032	2	N	 	 	 	 	 
91033	1	Y	1	2	5	250	17
91033	2	N	 	 	 	 	 
91034	1	Y	0	 	 	72	17
91034	2	Y	6	4	5	0	 
91035	1	Y	1.5	2	5	500	17
91035	2	N	 	 	 	 	 
91036	1	Y	6	5	5	1000	17
91036	2	N	 	 	 	 	 
91037	1	Y	3	2	5	500	17
91037	2	Y	2	2	5	0	 
91038	1	Y	4	2	5	20000	17
91038	2	Y	2	4	5	0	 
91040	1	Y	3	2	5	1000	17
91040	2	N	 	 	 	 	 
91041	1	Y	10	4	5	1000	17
91041	2	N	 	 	 	 	 
91042	1	N	 	 	 	 	 
91042	2	Y	5	4	5	100	17
91043	1	Y	2	4	5	250	17
91043	2	N	 	 	 	 	 
91044	1	Y	8	4	5	1000	17
91044	2	N	 	 	 	 	 
91045	1	N	 	 	 	 	 
91045	2	Y	0	 	 	12	17
91046	1	Y	8	4	5	1000	17
91046	2	N	 	 	 	 	 
91047	1	Y	2	2	5	1200	17
91047	2	N	 	 	 	 	 
91048	1	Y	8	5	5	1000	17
91048	2	N	 	 	 	 	 
91049	1	Y	1	4	5	1000	17
91049	2	Y	3	4	5	0	 
91050	1	Y	1	4	5	500	17
91050	2	Y	5	4	5	0	 
101001	1	Y	2	4	5	217	17
101001	2	Y	0	 	 	20	17
101003	1	N	 	 	 	 	 
101003	2	Y	0	 	 	12	17
101004	1	N	 	 	 	 	 
101004	2	Y	0	 	 	12	17
