placeid	rsid	module	section	ageres	sexres	capac	livres
PE03C04	15	1	5	38	2	7	38
PE03C04	16	1	5	26	2	7	26
PE03C04	17	1	5	23	2	7	23
PE03C04	18	1	5	44	2	7	44
PE03C04	19	1	1	55	2	8	55
PE03C04	20	1	1	50	2	8	50
PE03C04	21	1	1	41	2	8	41
PE03C04	22	1	1	24	1	8	24
PE03C04	23	1	1	62	1	8	62
PE03C04	24	1	1	29	1	8	29
PE03C04	25	2	5	38	2	2	38
PE03C05	1	1	1	52	1	3	52
PE03C05	2	1	1	29	1	2	29
PE03C05	3	1	1	46	1	2	46
PE03C05	4	1	1	58	1	1	58
PE03C05	5	1	1	49	2	1	49
PE03C05	6	1	1	32	2	1	32
PE03C05	7	1	1	30	1	1	30
PE03C05	8	1	1	28	2	8	28
PE03C05	9	1	1	43	2	8	27
PE03C05	10	1	1	38	1	8	38
PE03C05	11	1	1	40	1	8	40
PE03C05	12	1	1	23	1	8	23
PE03C05	13	1	5	29	2	7	29
PE03C05	14	1	5	34	2	7	34
PE03C05	15	1	5	28	2	7	28
PE03C05	16	1	5	34	2	7	34
PE03C05	17	1	5	44	2	7	44
PE03C05	18	2	1	30	2	4	2
PE03C05	19	2	1	34	2	4	0
PE03C05	20	2	5	38	2	2	15
PE03C05	88	 	 	 	 	 	 
PE03C06	1	1	1	45	1	1	45
PE03C06	2	1	1	50	1	2	50
PE03C06	3	1	1	31	1	1	31
PE03C06	4	2	4	28	1	3	28
PE03C06	5	1	1	36	1	8	36
PE03C06	6	1	1	18	1	8	18
PE03C06	7	2	1	50	1	4	25
PE03C06	8	2	1	55	1	4	55
PE03C06	9	1	1	28	2	6	28
PE03C06	10	1	1	50	2	6	50
PE03C06	11	1	1	52	1	8	52
PE03C06	12	2	3	42	2	4	42
PE03C06	13	1	5	32	1	7	32
PE03C06	14	1	5	28	2	7	28
PE03C06	15	1	5	34	2	7	34
PE03C06	16	1	5	44	2	7	44
PE03C06	17	1	5	26	2	7	26
PE03C06	18	1	5	23	2	7	23
PE03C06	19	2	5	38	2	2	38
PE03C06	88	 	 	 	 	 	 
PE03C07	1	1	1	49	1	1	23
PE03C07	2	1	1	47	2	1	16
PE03C07	3	1	1	23	2	1	23
PE03C07	4	1	1	46	2	1	20
PE03C07	5	1	1	30	2	1	30
PE03C07	6	1	1	40	1	2	40
