placeid	locentid	codeloc	routeacc	transpor	timeschl
PE20C02	5	6	1	13	8
PE20C03	1	6	1	1	200
PE20C03	2	6	1	1	30
PE20C03	3	6	1	7	30
PE20C03	4	6	1	1	25
PE20C03	5	6	1	7	45
PE20C04	1	6	2	1	10
PE20C04	2	6	2	1	20
PE20C04	3	6	2	1	5
PE20C04	4	6	2	1	5
PE20C04	5	6	2	1	15
PE20C05	1	6	1	1	3
PE20C05	2	6	1	1	5
PE20C05	3	6	1	1	7
PE20C05	4	6	1	1	6
PE20C05	5	6	1	7	10
PE80C01	1	6	1	1	15
PE80C01	2	6	1	1	5
PE80C01	3	6	1	7	10
PE80C01	4	6	1	7	10
PE80C01	5	6	1	7	15
PE80C02	1	1	1	1	10
PE80C02	2	6	1	6	5
PE80C02	3	6	1	1	15
PE80C03	1	6	2	1	5
PE80C03	2	6	2	1	15
PE80C03	3	6	2	5	15
PE80C03	4	6	2	5	15
PE80C04	1	1	1	1	10
PE80C05	1	6	1	1	5
PE80C05	2	6	1	1	10
PE80C05	3	6	1	1	15
PE80C05	4	6	1	1	15
PE80C05	5	6	1	1	10
PE80C06	1	6	2	1	5
PE80C06	2	6	2	1	10
PE80C06	3	6	2	1	15
PE80C06	4	6	2	1	10
PE80C06	5	6	2	1	5
PE80C07	1	6	1	1	-77
PE80C07	2	6	1	5	10
PE80C07	3	6	1	5	10
PE80C08	1	6	1	2	5
PE80C09	1	6	1	6	8
PE80C09	2	6	1	6	10
PE80C09	3	6	1	6	5
PE80C10	1	1	1	1	15
