placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp	typehlp1	youask1	enough1	typehlp2	youask2	enough2	typehlp3	youask3	enough3
PE11C01	1	7	21	500	1	4	4	0	88	88	88	88	88	88	88	88	88
PE11C02	1	9	2	40	0	88	88	0	88	88	88	88	88	88	88	88	88
PE11C03	1	7	21	0	1	4	88	0	88	88	88	88	88	88	88	88	88
PE11C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE11C05	1	3	24	3000	1	88	88	0	88	88	88	88	88	88	88	88	88
PE11C05	2	7	21	3000	1	88	88	1	7	1	0	88	88	88	88	88	88
PE11C06	1	7	36	550	1	0	0	1	6	1	0	88	88	88	88	88	88
PE11C06	2	88	-88	-88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE11C06	3	88	88	-88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE11C06	4	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE11C06	5	88	88	-88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE11C07	1	4	11	100	1	88	88	1	7	0	0	5	0	0	88	88	88
PE12C02	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE12C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE13C02	1	4	36	70	1	4	88	1	2	0	1	4	1	0	5	0	1
PE13C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE13C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE14C02	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE14C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE14C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE15C01	1	10	24	80	0	88	88	1	7	0	0	88	88	88	88	88	88
PE15C02	1	2	25	100	1	4	88	1	5	1	0	88	88	88	88	88	88
PE15C02	2	6	25	5	0	88	88	0	5	1	0	88	88	88	88	88	88
PE15C02	3	2	4	25	1	88	88	1	 	 	 	 	 	 	 	 	 
PE15C02	4	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE15C02	5	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE15C03	1	2	25	20	1	88	88	1	5	1	0	88	88	88	88	88	88
PE15C03	2	2	15	30	1	4	88	1	5	1	1	3	1	1	88	88	88
PE15C03	3	10	24	200	1	88	88	1	7	1	0	88	88	88	88	88	88
PE15C05	1	10	12	-77	1	0	0	1	7	1	0	88	88	88	88	88	88
PE15C06	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE15C07	1	10	24	120	1	88	88	1	6	1	1	88	88	88	88	88	88
PE15C07	2	4	13	10	1	4	88	1	7	1	1	4	1	0	5	1	0
PE15C08	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE15C09	1	5	24	60	1	4	88	1	5	1	0	2	1	0	4	1	0
PE15C09	2	9	24	600	1	4	88	1	5	1	0	2	1	0	4	1	0
PE15C09	3	9	11	100	1	4	88	1	5	1	0	2	1	0	4	1	0
PE16C01	1	7	24	99	1	88	88	0	88	88	88	88	88	88	88	88	88
PE16C01	2	9	24	99	1	88	88	0	88	88	88	88	88	88	88	88	88
PE16C03	1	7	12	25	1	0	0	0	88	88	88	88	88	88	88	88	88
PE16C03	2	7	12	25	1	0	0	0	88	88	88	88	88	88	88	88	88
PE16C04	1	7	1	100	2	88	88	0	88	88	88	88	88	88	88	88	88
PE16C05	1	7	24	200	1	88	88	0	88	88	88	88	88	88	88	88	88
PE16C05	2	7	24	200	1	88	88	0	88	88	88	88	88	88	88	88	88
PE16C06	1	7	24	63	1	88	88	1	2	1	0	88	88	88	88	88	88
PE16C06	2	7	24	63	1	88	88	1	2	1	0	88	88	88	88	88	88
PE16C07	1	7	24	50	1	0	0	0	88	88	88	88	88	88	88	88	88
PE16C08	1	7	7	 	1	88	88	0	88	88	88	88	88	88	88	88	88
PE17C01	1	3	12	470	0	88	88	1	2	0	0	7	0	0	88	88	88
PE17C02	1	4	12	4	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C03	1	3	36	300	1	88	88	1	2	1	0	7	1	0	88	88	88
PE17C03	2	7	20	300	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C04	1	7	12	50	1	3	88	0	88	88	88	88	88	88	88	88	88
PE17C04	2	9	12	50	1	3	88	0	88	88	88	88	88	88	88	88	88
PE17C05	1	7	12	275	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C05	2	3	12	275	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C06	1	7	12	120	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C08	1	3	36	149	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C08	2	7	12	149	0	88	88	0	88	88	88	88	88	88	88	88	88
PE17C09	1	7	9	1083	1	3	88	1	4	1	0	7	1	0	88	88	88
PE17C10	1	3	36	2500	1	88	88	1	7	1	0	7	1	0	88	88	88
PE17C11	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE18C01	1	7	24	40	0	88	88	0	88	88	88	88	88	88	88	88	88
PE18C01	2	9	24	40	0	88	88	0	88	88	88	88	88	88	88	88	88
PE18C01	3	9	24	40	0	88	88	0	88	88	88	88	88	88	88	88	88
PE18C02	1	7	12	1824	1	88	88	1	7	1	0	88	0	0	88	0	0
PE18C03	1	7	12	350	1	1	0	1	2	1	0	88	0	88	88	88	88
PE18C04	1	3	36	300	1	0	0	0	88	88	88	88	88	88	88	88	88
PE18C04	2	7	36	300	1	0	0	0	88	88	88	88	88	88	88	88	88
PE18C04	3	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE18C04	4	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE18C04	5	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE18C05	1	7	12	37	1	88	88	1	2	1	0	88	88	88	88	88	88
PE18C06	1	7	12	40	1	0	0	0	88	88	88	88	88	88	88	88	88
PE18C07	1	7	24	200	1	88	88	1	2	1	0	5	1	0	7	1	0
PE19C01	1	 	0	88	88	88	88	88	 	 	 	 	 	 	 	 	 
PE19C02	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE19C03	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE19C04	1	5	44	100	0	88	88	0	88	88	88	88	88	88	88	88	88
PE19C05	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE20C01	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE20C02	1	6	24	10000	1	88	88	0	88	88	88	88	88	88	88	88	88
PE20C02	2	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE20C03	1	6	24	100	1	88	88	1	7	1	0	88	88	88	88	88	88
PE20C04	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE20C05	1	7	24	715	1	88	88	1	7	1	0	88	88	88	88	88	88
PE80C01	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C02	1	6	12	150	1	0	0	1	5	1	0	3	1	0	7	1	0
PE80C02	2	5	12	160	1	0	0	1	2	1	0	5	1	0	7	1	0
PE80C03	1	6	14	1200	1	88	88	1	3	0	1	5	0	1	4	0	1
PE80C03	2	5	13	11	1	88	88	1	3	0	1	5	0	1	1	0	1
PE80C03	3	2	9	780	1	88	88	1	5	0	1	88	88	88	88	88	88
PE80C04	1	5	16	592	1	0	0	1	5	1	0	88	88	88	88	88	88
PE80C04	2	9	17	320	1	0	0	1	5	1	0	88	88	88	88	88	88
PE80C04	3	6	9	170	1	0	0	1	2	0	0	88	88	88	88	88	88
PE80C05	1	6	1	600	1	0	0	1	2	1	0	88	88	88	88	88	88
PE80C05	2	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C05	3	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C05	4	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C05	5	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C06	1	2	39	70	1	1	1	1	5	1	0	5	1	0	2	1	0
PE80C06	2	2	29	90	1	1	1	1	5	1	0	5	1	0	2	1	0
PE80C06	3	2	22	80	1	1	1	1	5	1	0	5	1	0	2	1	0
PE80C06	4	2	6	120	1	1	1	1	5	1	0	5	1	0	2	1	0
PE80C07	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C08	1	0	0	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
PE80C10	1	0	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88
