FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R2INDX	IN180100	3	21	200	-88
R2INDX	IN190003	1	13	15000	2000
R2INDX	IN190004	1	13	1000	500
R2INDX	IN190007	1	13	300	100
R2INDX	IN190008	1	13	200	400
R2INDX	IN190014	1	13	200	3000
R2INDX	IN190020	1	13	160	300
R2INDX	IN190021	1	13	200	500
R2INDX	IN190022	1	13	500	300
R2INDX	IN190023	1	21	100	300
R2INDX	IN190024	1	7	100	260
R2INDX	IN190025	1	13	100	250
R2INDX	IN190025	2	21	50	-88
R2INDX	IN190029	1	13	1000	300
R2INDX	IN190034	1	13	-88	250
R2INDX	IN190035	1	13	600	1000
R2INDX	IN190036	1	13	-88	500
R2INDX	IN190037	1	13	1000	2000
R2INDX	IN190038	1	13	300	500
R2INDX	IN190039	1	13	-88	150
R2INDX	IN190042	1	13	2000	1000
R2INDX	IN190043	1	13	300	1000
R2INDX	IN190047	1	13	200	400
R2INDX	IN190047	2	7	100	150
R2INDX	IN190049	1	7	200	1000
R2INDX	IN190051	1	13	1300	500
R2INDX	IN190053	1	13	50	250
R2INDX	IN190054	1	14	-88	500
R2INDX	IN190054	2	21	100	-88
R2INDX	IN190055	1	13	200	900
R2INDX	IN190055	2	21	250	88
R2INDX	IN190056	1	13	1200	-88
R2INDX	IN190057	1	7	100	200
R2INDX	IN190057	2	13	-88	1000
R2INDX	IN190060	1	13	2500	-88
R2INDX	IN190061	1	13	2000	-88
R2INDX	IN190062	1	13	-88	1300
R2INDX	IN190063	1	13	-88	3000
R2INDX	IN190063	2	21	150	-88
R2INDX	IN190070	1	13	400	200
R2INDX	IN190071	1	13	-88	300
R2INDX	IN190071	2	19	100	150
R2INDX	IN190073	1	13	4000	500
R2INDX	IN190073	2	19	-88	1000
R2INDX	IN190073	3	21	600	-88
R2INDX	IN190079	1	13	-88	1000
R2INDX	IN190080	1	13	400	2000
R2INDX	IN190081	1	13	-88	600
R2INDX	IN190082	1	13	-88	400
R2INDX	IN190083	1	13	100	800
R2INDX	IN190083	2	14	-88	250
R2INDX	IN190086	1	13	100	300
R2INDX	IN190087	1	19	1000	200
R2INDX	IN190087	2	13	600	400
R2INDX	IN190087	3	21	101	-88
R2INDX	IN190093	1	13	-88	1000
R2INDX	IN190094	1	13	300	1000
R2INDX	IN190096	1	13	300	400
R2INDX	IN190098	1	13	800	1500
R2INDX	IN190099	1	13	400	500
R2INDX	IN190100	1	13	100	500
R2INDX	IN200001	1	6	500	0
R2INDX	IN200003	1	5	2000	200
R2INDX	IN200010	1	6	600	-88
R2INDX	IN200013	1	6	9600	-88
R2INDX	IN200033	1	6	2000	0
R2INDX	IN200064	1	6	2000	-88
R2INDX	IN200069	1	6	3000	0
R2INDX	IN200069	2	13	4000	0
R2INDX	IN200075	1	5	50000	0
R2INDX	IN200075	2	13	100000	0
R2INDX	IN200087	1	6	600	-77
