FORMNO	CHILDID	CRECHID	AGECRECH	CRECHDUR	CRECHTYP	PAYCRECH	CRCHQUAL	DAYSCREC	HRSCRECH	CRECHVIS
R2INDX	IN180007	1	26	2	3	0	3	6	2	0
R2INDX	IN180008	1	25	2	1	0	3	6	2	1
R2INDX	IN180012	1	26	2	3	0	3	4	3	0
R2INDX	IN180013	1	30	1	3	0	3	3	3	1
R2INDX	IN180014	1	32	1	3	0	3	3	2	1
R2INDX	IN180022	1	25	2	3	0	3	4	2	1
R2INDX	IN180030	1	37	2	3	1	3	4	3	1
R2INDX	IN180035	1	28	3	3	0	2	6	4	1
R2INDX	IN180036	1	28	3	3	0	2	6	5	0
R2INDX	IN180038	1	25	3	3	0	3	6	5	1
R2INDX	IN180041	1	26	3	3	0	2	6	2	1
R2INDX	IN180043	1	30	2	3	0	3	4	2	1
R2INDX	IN180047	1	30	1	3	0	3	3	2	1
R2INDX	IN180049	1	30	1	3	1	3	2	2	0
R2INDX	IN180053	1	25	3	3	0	3	6	3	1
R2INDX	IN180054	1	24	2	3	0	3	4	2	0
R2INDX	IN180056	1	30	2	3	0	3	6	2	1
R2INDX	IN180058	1	30	2	1	0	2	5	2	0
R2INDX	IN180062	1	30	1	3	0	3	3	2	1
R2INDX	IN180069	1	37	2	3	0	2	6	3	0
R2INDX	IN180070	1	30	1	3	0	2	5	3	0
R2INDX	IN180074	1	30	2	3	0	3	3	2	1
R2INDX	IN180076	1	30	2	3	0	3	3	2	1
R2INDX	IN180077	1	26	2	3	0	3	4	3	0
R2INDX	IN180078	1	25	2	3	0	3	4	3	1
R2INDX	IN180079	1	25	2	3	0	3	6	5	1
R2INDX	IN180082	1	30	2	3	0	2	5	3	0
R2INDX	IN180083	1	25	1	3	0	3	4	4	0
R2INDX	IN180085	1	24	2	3	0	3	4	2	1
R2INDX	IN180086	1	27	1	3	0	3	4	1	0
R2INDX	IN180087	1	22	3	3	0	4	4	3	1
R2INDX	IN180088	1	30	2	3	0	2	6	4	1
R2INDX	IN180091	1	30	1	3	0	3	4	3	0
R2INDX	IN180094	1	28	2	3	0	2	6	4	0
R2INDX	IN180096	1	30	2	3	0	4	3	2	1
R2INDX	IN180099	1	28	2	3	0	2	6	3	1
R2INDX	IN190004	1	20	3	3	0	2	4	2	1
R2INDX	IN190005	1	21	3	3	0	2	4	4	1
R2INDX	IN190006	1	24	2	3	0	3	4	2	1
R2INDX	IN190008	1	30	1	3	0	3	5	4	0
R2INDX	IN190009	1	26	2	3	0	3	6	4	1
R2INDX	IN190010	1	26	3	3	0	3	6	3	1
R2INDX	IN190016	1	26	2	3	1	3	6	3	1
R2INDX	IN190020	1	30	1	3	0	3	6	5	1
R2INDX	IN190023	1	30	1	3	0	3	3	2	0
R2INDX	IN190026	1	30	1	3	0	3	3	2	0
R2INDX	IN190033	1	24	2	3	0	3	4	4	1
R2INDX	IN190034	1	24	3	3	0	2	6	4	1
R2INDX	IN190036	1	20	3	3	0	2	4	4	0
R2INDX	IN190042	1	30	1	3	0	2	6	4	0
R2INDX	IN190046	1	25	2	3	0	2	6	5	1
R2INDX	IN190047	1	24	3	3	0	2	6	3	1
R2INDX	IN190049	1	30	1	3	0	3	4	2	1
R2INDX	IN190051	1	25	2	3	0	3	6	4	0
R2INDX	IN190052	1	25	2	3	0	3	6	5	1
R2INDX	IN190053	1	32	1	3	0	3	3	1	0
R2INDX	IN190055	1	30	1	3	0	3	4	1	1
R2INDX	IN190061	1	24	2	3	0	2	6	3	1
R2INDX	IN190062	1	25	2	3	1	3	6	3	1
R2INDX	IN190063	1	30	1	3	0	3	4	1	1
R2INDX	IN190064	1	18	3	3	0	3	6	3	1
R2INDX	IN190065	1	25	2	3	0	3	6	3	1
R2INDX	IN190066	1	25	2	3	0	2	6	3	1
R2INDX	IN190067	1	25	2	3	0	3	4	4	0
R2INDX	IN190068	1	25	2	3	0	3	5	2	0
R2INDX	IN190086	1	26	2	3	0	2	5	3	1
R2INDX	IN190087	1	24	3	3	0	2	6	3	1
R2INDX	IN190094	1	25	2	3	0	3	6	3	1
R2INDX	IN200002	1	25	2	3	0	3	6	5	1
R2INDX	IN200009	1	34	2	1	1	77	6	6	1
R2INDX	IN200011	1	18	3	3	0	3	6	2	1
R2INDX	IN200018	1	35	2	3	0	1	6	4	1
R2INDX	IN200027	1	34	1	1	1	2	6	6	1
R2INDX	IN200032	1	30	2	1	1	2	6	6	1
R2INDX	IN200043	1	35	2	3	0	1	6	6	1
R2INDX	IN200044	1	21	2	3	0	3	6	6	1
R2INDX	IN200045	1	14	2	3	1	1	6	6	1
R2INDX	IN200057	1	18	2	3	0	2	6	6	0
R2INDX	IN200060	1	15	3	3	0	2	6	6	1
R2INDX	IN200069	1	30	1	1	1	1	6	6	1
R2INDX	IN200083	1	30	2	1	1	1	6	0	0
R2INDX	IN200092	1	36	3	3	0	2	6	6	1
R2INDX	IN200101	1	24	3	3	0	2	6	4	0
