CHILDCODE	R2SchCode
40053	923
40054	 
40055	287
40056	2332
40057	 
40058	 
40059	294
40060	 
40061	 
40062	 
40063	 
40064	294
40065	 
40066	 
40067	294
40068	 
40069	 
40070	 
40071	 
40073	 
40074	940
40075	 
40076	2335
40077	 
40078	 
40079	 
40080	 
40081	 
40082	301
40083	941
40084	950
40085	 
40086	 
40087	950
40088	2322
40089	918
40090	2338
40091	2338
40092	 
40093	 
40094	918
40095	2340
40096	 
40097	 
40098	2341
40099	 
40100	 
50001	 
50002	 
50003	 
50004	 
50005	 
50006	 
50007	 
50008	 
50009	 
50010	 
50011	 
50012	 
50013	 
50014	 
50015	 
50016	1734
50017	 
50018	 
50019	 
50020	 
50021	 
50022	 
50023	 
50024	 
50025	 
50026	71
50027	 
50028	 
50029	 
50030	71
50031	 
50032	 
50033	 
50034	71
50035	71
50036	 
50037	61
50038	61
50039	61
50040	61
50041	 
50042	61
50043	 
50044	61
50045	61
50046	 
50047	 
50048	 
50049	 
50050	953
50051	 
50052	953
50053	 
50054	953
50055	953
50056	953
50057	 
50058	 
50059	954
50060	 
50061	2343
50063	 
50064	954
50065	 
50066	954
50067	954
50068	 
50069	64
50070	 
50071	64
50072	64
50073	 
50074	 
50075	 
50076	64
50077	 
50078	 
50079	 
50080	 
50081	64
50082	 
50083	 
50084	 
50085	 
50086	 
50087	69
50088	 
50089	 
50090	 
50091	 
50092	69
50093	 
50094	 
50095	 
50096	 
50097	 
50098	69
50099	 
50100	 
60001	 
60002	 
60003	 
60004	 
60005	 
60006	392
60007	392
60008	 
60009	392
60010	 
60011	2347
60012	2348
60013	394
60014	 
60015	394
60016	394
60017	394
60018	 
60019	 
60020	394
60021	66
60022	 
60023	2350
60024	2350
60025	394
60026	 
60027	386
60028	386
60029	396
60030	 
60031	396
60032	396
60033	 
60034	396
60035	396
60036	 
60037	396
60038	 
60039	396
60040	 
60041	 
60042	 
60043	1606
60044	2352
60045	 
60046	 
60047	 
60048	389
60049	389
60050	 
60051	 
60052	389
60053	 
60054	2355
60055	 
60056	388
60057	388
60058	976
60059	976
60060	976
60061	976
60062	 
60063	 
60064	2357
60065	1605
60066	1605
60067	1605
60068	1605
60069	1605
60070	1605
60071	 
60072	1605
60073	1605
60074	2359
60075	 
60076	 
60077	 
60078	393
60079	393
60080	393
60081	1602
60082	 
60083	 
60084	1602
60085	 
60086	 
60087	 
60089	983
60090	 
60091	979
60092	 
60093	 
60094	 
60096	 
60097	983
60098	 
60099	 
60100	 
70001	2362
70002	 
70003	 
70004	 
70005	986
70006	 
70007	 
70008	 
70009	419
70010	419
70011	 
70012	 
70013	419
70014	419
70015	 
70016	 
70017	419
70018	 
70019	 
70020	 
70021	 
70022	 
70023	2369
70024	 
70025	 
70026	 
70027	 
70028	 
70029	 
70030	 
70031	2370
70032	 
70033	2369
70034	 
70035	 
70036	 
70038	 
70039	424
70040	 
70041	424
70042	 
70043	424
70045	 
70046	677
70047	2372
70048	 
70049	 
70050	677
70051	677
70052	677
70053	 
70054	677
70055	677
70056	677
70057	677
70058	 
70059	 
70060	 
70061	 
70062	 
70063	 
70064	 
70065	677
70066	677
70067	 
70068	415
70069	415
70070	 
70071	415
70072	 
70074	 
70075	415
70076	 
70077	 
70078	 
70079	 
70080	415
70081	 
70082	 
70083	2378
70084	 
70085	 
70086	2378
70087	416
70088	 
70089	 
70090	 
70091	 
70092	999
70093	 
70094	415
70095	425
70096	425
70097	 
70098	 
70099	999
70100	999
80001	356
80002	361
80003	356
80004	1012
80005	356
80006	1843
80007	 
80008	1012
80009	356
80010	358
80011	358
80012	358
80013	358
80014	358
80015	 
80016	 
80017	 
80018	358
80019	1012
80020	1012
80021	358
80022	358
80023	358
80024	358
80025	358
80026	358
80027	1012
80028	361
80029	1012
80030	361
80031	357
80032	 
80033	 
80034	 
80035	1012
80036	 
80037	357
80038	1741
80039	 
80040	361
80041	357
80042	1703
80043	 
80044	 
80045	360
80046	360
80047	360
80048	360
80049	 
80050	749
80051	 
80052	1676
80053	1676
80054	 
80055	1012
80056	1012
80057	 
80058	1676
80059	1676
80060	1676
80061	 
80062	1676
80063	 
80064	1688
80065	1688
80066	 
80067	 
80068	1961
80069	353
80070	 
80071	1961
80072	1683
80073	1683
80074	 
80075	1683
80076	1683
80077	2382
80078	361
80079	 
80080	1001
80081	361
80082	361
80083	 
80084	361
80085	361
80086	361
80087	 
80088	361
80089	 
80090	1936
80091	 
80092	 
80093	 
80094	1005
80095	 
80096	 
80097	 
80099	 
80100	361
90001	1020
90002	806
90003	 
90004	 
90005	806
90006	806
90007	 
90008	806
90009	806
90010	817
90011	817
90012	817
90013	817
90014	 
90015	817
90016	 
90017	806
90018	817
90019	 
90020	806
90021	806
90022	 
90023	2383
90024	 
90025	 
90026	 
90027	2384
90028	2384
90029	823
90030	 
90031	2385
90032	823
90033	823
90034	2385
90035	 
90036	 
90037	 
90038	817
90039	 
90040	 
90041	806
90042	 
90043	 
90044	1029
90045	1029
90046	 
90047	1029
90049	 
90050	 
90051	1022
90052	1022
90053	1022
90054	 
90055	 
90057	1002
90058	812
90059	1022
90060	1021
90061	 
90062	1021
90063	 
90064	 
90065	1021
90066	 
90067	2389
90068	 
90069	810
90071	810
90072	 
90073	1027
90074	817
90075	817
90076	 
90077	817
90078	817
90079	 
90080	2391
90081	1732
90082	 
90083	800
90084	1732
90085	2392
90086	1031
90087	 
90088	1031
90089	 
90090	1031
90091	2394
90092	 
90093	 
90094	 
90095	1699
90096	 
90097	1699
90098	1699
90099	1699
90100	1699
100002	 
100003	 
100004	 
100005	 
100006	 
100008	 
100009	2397
100010	 
100011	 
100012	2398
100013	 
100014	 
100015	 
100016	770
100018	 
100019	 
100021	 
100023	 
100024	 
100025	 
100026	2403
100028	1047
100029	1048
100030	 
100032	 
100033	 
100034	 
100035	 
100036	 
100037	 
100038	 
100039	 
100040	1048
100041	 
100042	1750
100043	 
100044	 
100046	1750
100047	 
100049	 
100050	 
100051	 
100052	 
100053	 
100054	1048
100055	 
100057	835
100058	 
100059	 
100060	 
100061	 
100062	1045
100063	 
100064	 
100065	 
100066	 
100067	 
100069	 
100070	 
100071	 
100072	 
100073	 
100074	 
100075	 
100076	 
100077	 
100078	 
100079	 
100080	 
100081	 
100082	 
100083	 
100084	 
100085	 
100086	780
100087	 
100089	 
100090	 
100091	 
100092	 
100093	 
100094	 
100095	 
100096	 
100097	 
100098	765
100099	 
100100	2410
110001	 
110002	440
110003	 
110004	 
110005	440
110007	 
110008	 
110009	 
110010	2412
110011	 
110012	 
110013	 
110014	 
110015	 
110016	 
110017	 
110018	446
110019	 
110020	 
110021	 
110022	 
110023	 
110024	 
110025	 
110027	446
110028	 
110029	 
110030	446
110031	446
110033	441
110034	 
110035	 
110036	443
110037	443
110038	 
110039	443
110040	443
110041	443
110042	 
110043	443
110044	442
110045	442
110046	442
110047	442
110048	 
110050	 
110051	 
110052	 
110053	442
110054	442
110055	442
110056	442
110057	 
110058	442
110059	 
110060	 
110061	 
110063	2418
110064	442
110065	444
110066	 
110067	444
110068	 
110069	 
110070	444
110071	444
110072	444
110073	 
110074	444
110075	444
110076	 
110077	444
110078	 
110079	444
110080	444
110081	444
110082	 
110083	444
110084	 
110085	 
110086	444
110087	444
110088	 
110089	 
110090	 
110091	444
110092	 
110093	 
110094	444
110095	 
110096	 
110097	 
110098	 
110099	 
110100	444
110102	444
110103	 
110104	 
120001	 
120002	 
120003	476
120004	 
120005	476
120006	476
120007	 
120008	476
120009	 
120010	 
120011	2423
120012	 
120013	 
120014	 
120015	 
120016	 
120017	 
120018	 
120019	 
120020	 
120021	 
120022	 
120023	 
120024	 
120025	 
120026	 
120027	1072
120028	 
120029	 
120030	 
120031	 
120032	 
120033	 
120034	 
120035	 
120036	 
120037	476
120038	 
120039	 
120040	1072
120041	1072
120042	1072
120043	1072
120044	 
120045	 
120046	 
120047	479
120048	479
120049	 
120050	479
120051	 
120052	479
120053	 
120054	 
120055	 
120056	479
120057	479
120058	 
120059	 
120060	 
120061	 
120062	 
120063	 
120064	480
120065	 
120066	480
120067	480
120068	 
120069	 
120070	480
120071	 
120072	 
120073	2424
120074	2424
120075	 
120076	2424
120077	 
120078	 
120079	2425
120080	 
120081	1086
120082	 
120083	1086
120084	 
120085	1086
120086	 
120087	1086
120088	1086
120089	 
120090	 
120091	 
120092	 
120093	2429
120094	 
120095	1086
120096	 
120097	 
120098	 
120099	1086
120100	 
120101	 
120102	 
130002	 
130003	 
130004	503
130005	503
130006	 
130007	 
130008	2431
130009	 
130010	503
130011	 
130012	 
130013	 
130015	 
130016	492
130018	 
130019	 
130020	 
130021	492
130022	 
130023	 
130024	492
130025	 
130026	 
130027	 
130028	 
130029	492
130030	2434
130031	492
130032	 
130033	 
130034	492
130035	 
130036	492
130037	492
130038	1717
130039	 
130040	 
130041	 
130042	 
130043	456
130044	 
130045	 
130046	456
130047	 
130048	 
130049	456
130050	456
130051	456
130052	 
130053	 
130054	 
130055	501
130056	501
130057	 
130058	1684
130059	 
130060	 
130061	 
130062	 
130063	 
130064	456
130065	456
130066	1098
130067	1098
130068	 
130069	 
130070	 
130071	495
130072	495
130073	495
130074	495
130075	 
130076	 
130077	 
130078	 
130079	493
130080	493
130081	 
130082	455
130083	 
130084	 
130085	 
130086	498
130087	 
130088	 
130089	498
130090	 
130091	498
130092	 
130093	 
130094	2439
130095	 
130096	 
130097	 
130098	 
130099	498
130100	498
130101	 
140001	 
140002	 
140004	 
140005	 
140006	 
140007	 
140008	 
140009	2093
140010	 
140011	 
140012	2093
140013	2442
140014	 
140016	 
140017	 
140018	 
140019	694
140020	 
140021	1115
140022	 
140023	 
140024	2222
140025	 
140026	700
140027	 
140028	1719
140029	 
140030	2444
140031	 
140032	 
140033	 
140034	 
140035	 
140036	 
140037	 
140038	 
140040	 
140041	 
140042	 
140043	 
140044	 
140045	1540
140046	 
140047	710
140048	 
140049	 
140050	 
140051	694
140052	 
140053	 
140054	1115
140055	 
140056	 
140057	 
140058	 
140059	 
140060	 
140061	 
140062	1347
140063	1901
140064	 
140065	 
140066	 
140067	 
140068	 
140069	 
140070	 
140071	 
140072	 
140073	 
140074	 
140075	1374
140076	 
140078	 
140079	 
140080	 
140081	 
140082	 
140083	 
140084	 
140085	 
140086	1122
140087	 
140088	 
140089	2452
140090	 
140091	 
140092	 
140093	 
140094	1505
140095	 
140096	 
140097	 
140098	 
140099	 
140100	 
150001	256
150002	1156
150003	 
150004	2014
150005	276
150006	 
150007	 
150008	 
150009	1142
150010	 
150011	 
150012	 
150013	 
150014	 
150015	 
150016	9999
150017	1142
150018	265
150019	2459
150020	 
150021	2554
150022	 
150023	 
150024	 
150025	 
150026	254
150027	265
150028	 
150029	 
150030	 
150031	254
150032	 
150033	 
150034	 
150035	 
150036	254
150037	265
150038	265
150039	1157
150040	 
150041	253
150042	 
150043	 
150044	2460
150045	253
150046	253
150047	 
150048	2461
150049	2462
150050	2462
150052	251
150053	 
150054	261
150055	 
150056	 
150057	251
150058	251
150059	 
150060	261
150062	 
150063	 
150064	 
150065	2465
150066	1757
150067	 
150068	 
150069	1757
150070	 
150071	1721
150072	1158
150073	 
150074	 
150075	1160
150076	 
150077	1159
150078	 
150079	 
150080	 
150081	2466
150082	1159
150083	1159
150084	2009
150085	 
150086	 
150087	 
150088	1158
150089	 
150090	 
150091	 
150092	1708
150093	 
150094	 
150095	 
150096	2467
150097	 
150098	1148
150099	256
150100	256
160001	2070
160002	 
160003	 
160004	 
160005	 
160006	2469
160007	1360
160008	 
160009	2471
160010	 
160011	2079
160012	 
160013	2473
160014	2475
160015	150
160016	150
160017	 
160018	 
160019	150
160020	150
160021	150
160022	 
160023	150
160024	 
160025	 
160026	150
160027	150
160028	152
160029	158
160030	 
160031	 
160032	159
160033	150
160034	 
160035	 
160036	2480
160037	 
160038	 
160039	 
160040	 
160041	 
160042	 
160043	 
160044	 
160045	 
160046	1951
160047	158
160048	 
160049	 
160050	 
160051	 
160052	158
160053	158
160054	1951
160055	158
160056	158
160058	 
160059	 
160060	158
160061	 
160062	2485
160063	1175
160064	1175
160065	 
160066	1175
160067	 
160068	1175
160069	 
160070	2486
160071	2486
160072	1175
160073	1175
160074	1175
160075	 
160076	1175
160077	1181
160078	1181
160079	 
160080	 
160081	1819
160082	2489
160083	 
160084	2490
160086	 
160087	 
160088	 
160089	2491
160090	 
160091	 
160092	 
160093	1181
160094	2493
160095	 
160096	 
160097	152
160098	1183
160099	 
160100	1163
170001	527
170002	 
170003	527
170004	527
170005	 
170006	527
170007	 
170008	 
170009	 
170010	 
170011	 
170012	527
170013	2495
170014	 
170015	 
170016	527
170017	527
170018	 
170019	 
170020	 
170021	1192
170022	1192
170023	 
170024	1192
170025	 
170026	 
170027	 
170028	526
170029	526
170030	1192
170031	531
170032	531
170033	 
170034	531
170035	 
170036	531
170037	531
170038	1194
170039	1194
170040	2496
170041	531
170042	 
170043	1196
170044	 
170045	1196
170046	1196
170047	 
170048	1196
170049	 
170050	532
170051	 
170052	 
170053	 
170054	 
170055	523
170056	 
170057	 
170058	 
170059	 
170060	532
170061	 
170062	 
170063	532
170064	532
170065	 
170066	 
170067	 
170068	 
170069	530
170070	 
170071	 
170072	530
170073	 
170074	 
170075	530
170076	 
170077	 
170078	 
170079	 
170080	533
170081	 
170082	 
170083	530
170084	530
170086	 
170087	 
170088	 
170089	 
170091	530
170092	 
170093	 
170094	529
170095	 
170096	 
170097	 
170098	529
170099	529
170100	 
180001	564
180002	 
180003	 
180004	 
180005	 
180006	 
180007	564
180008	2210
180009	1200
180010	 
180011	1200
180012	 
180013	1200
180014	1600
180015	1200
180016	1411
180017	 
180018	 
180019	1200
180020	567
180021	 
180022	 
180023	 
180024	 
180025	567
180027	 
180028	 
180030	567
180031	 
180032	 
180033	567
180034	 
180035	 
180036	567
180038	 
180039	 
180040	 
180041	565
180042	 
180043	565
180044	565
180045	 
180046	 
180047	565
180048	565
180049	 
180050	565
180051	 
180052	2505
180053	565
180054	565
180055	 
180056	565
180057	2507
180058	 
180059	559
180060	559
180061	 
180062	 
180063	 
180064	 
180065	 
180066	 
180067	 
180068	 
180069	560
180070	 
180071	 
180072	 
180073	 
180074	 
180075	560
180076	560
180077	 
180078	563
180079	 
180080	 
180081	1334
180082	 
180083	 
180084	1219
180085	2510
180086	 
180087	 
180088	 
180089	 
180090	 
180091	 
180093	 
180094	 
180095	 
180096	572
180097	572
180098	 
180099	 
180100	 
190001	237
190002	 
190003	 
190004	 
190005	 
190006	 
190007	 
190008	 
190009	 
190010	 
190011	 
190012	 
190013	 
190014	 
190015	 
190016	 
190017	 
190018	 
190020	 
190021	 
190022	 
190023	 
190024	 
190025	 
190026	 
190027	 
190029	 
190030	 
190031	 
190032	 
190033	 
190034	239
190035	 
190036	 
190037	 
190038	 
190039	 
190040	1710
190041	 
190042	 
190043	235
190044	 
190045	 
190046	 
190047	235
190049	 
190050	 
190051	 
190052	 
190053	 
190054	236
190055	 
190056	236
190057	 
190058	 
190059	 
190060	236
190061	 
190062	 
190063	236
190064	236
190065	236
190066	 
190067	 
190068	 
190069	236
190070	 
190071	 
190072	 
190073	236
190074	236
190075	236
190076	236
190077	1196
190078	 
190079	1196
190080	 
190081	236
190082	236
190083	 
190084	 
190085	 
190086	 
190087	 
190088	241
190089	 
190090	241
190091	 
190092	 
190093	 
190094	241
190095	1239
190096	 
190097	 
190098	 
190099	 
190100	 
200001	 
200002	 
200003	197
200004	2519
200005	 
200006	 
200007	 
200008	223
200009	 
200010	 
200011	 
200012	 
200013	 
200014	 
200015	 
200016	 
200017	2521
200018	 
200019	 
200020	1416
200021	197
200022	1649
200023	 
200024	 
200025	 
200026	197
200027	 
200028	197
200029	2521
200030	 
200031	1416
200032	 
200033	 
200034	 
200035	2521
200036	178
200038	 
200039	 
200040	 
200041	 
200042	2530
200043	 
200044	 
200045	 
200047	2531
200048	2533
200049	 
200050	 
200051	2522
200052	2534
200053	 
200054	 
200055	2530
200056	2537
200057	 
200058	 
200060	 
200061	 
200062	 
200063	 
200064	 
200065	 
200066	 
200067	 
200069	 
200070	 
200071	 
200072	 
200074	 
200075	 
200076	 
200077	 
200078	 
200079	 
200080	187
200081	 
200082	 
200083	 
200084	2547
200085	1247
200086	2548
200087	 
200088	 
200090	 
200091	 
200092	 
200093	 
200094	 
200096	 
200098	 
200099	 
200100	2553
200101	 
200105	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
