formno	childid	id	age	memsex	relate	livhse	grade	still	chgrade	chstill	whynot	agegrade	agestsch	hhschtyp	perf	schoolen	disab	act1	months1	days1	hours1	act2	months2	days2	hours2	act3	months3	days3	hours3	sleep	chcare	hhchore	npaywork	paywork	school	study	play	inegsday	inegwage	inegchld	inegvill	inegcomp
R2INDX	IN010013	1	29	1	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010013	2	25	2	1	1	7	0	 	 	 	 	 	 	 	 	0	9	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010013	3	6	1	7	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	4	0	10	 	 	 	 	 
R2INDX	IN010014	0	5	2	0	1	 	 	1	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	3	4	 	 	 	 	 
R2INDX	IN010014	1	69	2	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010014	2	33	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	7	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010014	3	26	2	1	1	7	0	 	 	 	 	 	 	 	 	0	15	12	7	4	9	12	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010014	4	6	2	7	1	 	 	2	1	 	 	6	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	1	0	0	0	7	3	3	 	 	 	 	 
R2INDX	IN010015	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	5	2	8	 	 	 	 	 
R2INDX	IN010015	1	39	1	1	1	14	0	 	 	 	 	 	 	 	 	0	9	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010015	2	34	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	3	9	4	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010015	3	11	2	7	1	 	 	6	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	1	0	0	5	2	7	 	 	 	 	 
R2INDX	IN010016	0	5	1	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	1	0	0	8	2	4	 	 	 	 	 
R2INDX	IN010016	1	64	2	6	1	0	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010016	2	30	1	1	1	0	0	 	 	 	 	 	 	 	 	0	11	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010016	3	26	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010016	4	8	1	7	1	 	 	2	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	2	1	0	0	8	2	2	 	 	 	 	 
R2INDX	IN010017	0	5	2	0	1	 	 	1	1	 	 	5	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
R2INDX	IN010017	1	39	1	1	1	6	1	 	 	 	 	 	 	 	 	0	13	8	6	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010017	2	30	2	1	1	6	1	 	 	 	 	 	 	 	 	0	10	11	7	5	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010017	3	10	2	7	1	 	 	3	1	 	 	5	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
R2INDX	IN010018	0	5	2	0	1	 	 	1	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	6	2	6	 	 	 	 	 
R2INDX	IN010018	1	30	1	1	1	2	0	 	 	 	 	 	 	 	 	0	13	11	6	14	10	12	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010018	2	25	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010018	3	4	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010019	0	5	1	0	1	 	 	1	1	 	 	5	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	8	3	3	 	 	 	 	 
R2INDX	IN010019	1	59	2	6	1	0	0	 	 	 	 	 	 	 	 	0	15	12	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010019	2	39	1	1	1	10	0	 	 	 	 	 	 	 	 	0	6	10	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010019	3	32	2	1	1	14	0	 	 	 	 	 	 	 	 	0	15	12	7	2	11	5	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010019	4	9	2	7	1	 	 	3	1	 	 	5	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	8	3	3	 	 	 	 	 
R2INDX	IN010020	0	5	1	0	1	 	 	1	1	 	 	5	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	8	2	4	 	 	 	 	 
R2INDX	IN010020	1	76	1	5	1	1	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010020	2	62	2	5	1	5	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010020	3	34	1	1	1	10	0	 	 	 	 	 	 	 	 	0	12	10	7	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010020	4	25	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010020	5	13	2	7	1	 	 	7	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	2	0	0	8	3	2	 	 	 	 	 
R2INDX	IN010020	6	7	1	7	1	 	 	1	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	8	2	4	 	 	 	 	 
R2INDX	IN010021	0	5	2	0	1	 	 	1	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	12	0	0	0	0	7	1	4	 	 	 	 	 
R2INDX	IN010021	1	28	1	1	1	2	0	 	 	 	 	 	 	 	 	0	9	6	4	5	12	6	4	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010021	2	24	2	1	1	4	0	 	 	 	 	 	 	 	 	0	15	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010021	3	4	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010021	4	0	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010023	0	5	1	0	1	 	 	1	1	 	 	4	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	9	2	3	 	 	 	 	 
R2INDX	IN010023	1	54	2	6	1	0	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010023	2	29	1	1	1	14	0	 	 	 	 	 	 	 	 	0	1	8	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010023	3	28	2	1	1	14	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010023	4	1	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010024	0	5	2	0	1	 	 	0	1	 	 	5	2	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	8	1	6	 	 	 	 	 
R2INDX	IN010024	1	28	2	1	1	10	0	 	 	 	 	 	 	 	 	0	12	10	6	6	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010024	2	7	1	7	1	 	 	1	1	 	 	5	2	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	8	1	6	 	 	 	 	 
R2INDX	IN010025	0	5	1	0	1	 	 	0	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	1	6	 	 	 	 	 
R2INDX	IN010025	1	71	2	6	1	5	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010025	2	46	1	1	1	10	0	 	 	 	 	 	 	 	 	0	10	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010025	3	42	2	13	1	7	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010025	4	39	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010025	5	23	1	13	1	10	0	 	 	 	 	 	 	 	 	0	10	12	6	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010025	6	24	2	13	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
