FORMNO	CHILDID	PLOTID	LAREA	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CRPRAIN1	CRPRAIN2	CROPDRY1	CROPDRY2	IRRIGAT	PERIRRIG
R2INDX	IN020043	5	1.5	1	5	1	1	3	1	51000	37200	71	88	88	88	1	4
R2INDX	IN020043	6	1	1	5	1	1	3	1	34000	24800	71	88	88	88	1	4
R2INDX	IN020043	7	4	1	5	1	1	3	1	48000	30800	53	88	88	88	1	4
R2INDX	IN020043	8	6	2	5	0	0	88	1	255000	196800	71	88	88	88	1	4
R2INDX	IN020043	9	3	1	5	1	1	3	1	102000	72000	71	88	88	88	1	4
R2INDX	IN020043	10	5.5	1	5	1	1	3	1	187000	136400	71	88	88	88	1	4
R2INDX	IN020044	1	.06	1	1	1	1	1	0	-88	1000	 	 	 	 	 	 
R2INDX	IN020044	2	1	1	5	1	1	1	1	6000	4000	18	88	88	88	0	88
R2INDX	IN020045	1	.03	1	1	0	0	88	0	-88	88	 	 	 	 	 	 
R2INDX	IN020046	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020047	1	.04	6	1	3	0	88	0	-88	3000	 	 	 	 	 	 
R2INDX	IN020048	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020048	2	.02	6	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020049	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020049	2	10	31	5	0	0	88	1	421600	315000	71	88	88	88	1	4
R2INDX	IN020050	1	.05	1	1	1	1	1	0	-88	1500	 	 	 	 	 	 
R2INDX	IN020050	2	1	1	9	1	1	1	1	6000	0	 	 	 	 	 	 
R2INDX	IN020051	1	.02	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020052	1	.03	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020053	1	.08	1	1	1	1	1	 	 	 	 	 	 	 	 	 
R2INDX	IN020053	2	1	1	5	1	1	1	1	8000	6500	18	88	88	88	0	88
R2INDX	IN020053	3	1	1	5	1	1	1	1	6250	4950	53	88	88	88	1	1
R2INDX	IN020053	4	1.5	1	5	1	1	1	1	600	-88	52	88	88	88	0	88
R2INDX	IN020053	5	1.5	1	5	1	1	1	1	600	-88	52	88	88	88	0	88
R2INDX	IN020054	1	.03	1	1	1	1	1	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020055	1	.02	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN020056	1	.04	1	1	1	1	1	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020056	2	.04	1	1	1	1	2	0	-88	50000	 	 	 	 	 	 
R2INDX	IN020056	3	9	1	9	1	1	1	1	54000	-88	 	 	 	 	 	 
R2INDX	IN020056	4	5	1	5	1	1	1	1	148750	66910	67	88	88	88	1	4
R2INDX	IN020056	5	5	1	5	1	1	1	1	148750	66910	67	88	88	88	1	4
R2INDX	IN020056	6	2	1	5	1	1	1	1	10200	11400	18	88	88	88	1	4
R2INDX	IN020056	7	1	1	5	1	1	1	1	29750	13382	67	88	88	88	1	4
R2INDX	IN020056	8	3	1	5	1	1	1	1	40500	28500	53	88	88	88	1	4
R2INDX	IN020057	1	.1	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020057	2	2	1	5	1	1	1	1	12000	7000	53	88	88	88	1	3
R2INDX	IN020058	1	.1	1	1	0	0	88	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020058	2	1	4	5	0	0	88	1	6000	3500	53	88	88	88	0	88
R2INDX	IN020059	1	.03	1	1	1	1	1	0	-88	2000	 	 	 	 	 	 
R2INDX	IN020060	1	.02	2	1	0	0	88	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020061	1	.05	1	1	1	1	3	0	-88	-88	 	 	 	 	 	 
R2INDX	IN020061	2	1	1	5	1	1	3	1	5040	4050	88	88	53	88	1	4
R2INDX	IN020061	3	1	1	5	1	1	3	1	3600	3000	88	88	18	88	0	88
R2INDX	IN020062	1	.02	1	2	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020063	1	.04	1	1	1	1	1	0	-88	500	 	 	 	 	 	 
R2INDX	IN020064	1	.06	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020064	2	1	1	9	1	1	2	1	3000	0	 	 	 	 	 	 
R2INDX	IN020065	1	.2	1	1	1	1	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN020065	2	10	1	5	1	1	90	1	315250	340000	71	88	88	88	1	4
R2INDX	IN020065	3	1	1	9	1	1	2	1	5000	0	 	 	 	 	 	 
R2INDX	IN020066	1	.06	1	1	1	1	2	0	-88	1500	 	 	 	 	 	 
R2INDX	IN020066	2	1.5	1	9	1	1	1	1	8000	0	 	 	 	 	 	 
R2INDX	IN020067	1	.03	1	1	1	1	1	0	-88	10000	 	 	 	 	 	 
R2INDX	IN020068	1	.03	1	2	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020069	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R2INDX	IN020069	2	1	1	9	1	1	2	1	2000	0	 	 	 	 	 	 
R2INDX	IN020070	1	.05	1	1	0	0	88	0	-88	5000	 	 	 	 	 	 
R2INDX	IN020070	2	.5	1	5	1	1	1	1	4200	2500	53	88	88	88	0	88
R2INDX	IN020070	3	.5	1	6	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020071	1	.03	1	1	1	1	90	0	-88	0	 	 	 	 	 	 
R2INDX	IN020071	2	1	1	5	0	0	88	1	10800	6100	53	88	88	88	1	4
R2INDX	IN020071	3	.5	1	5	0	0	88	1	4000	1950	18	88	88	88	1	4
R2INDX	IN020072	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020072	2	3	1	5	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020073	1	.05	1	1	1	1	3	0	-88	30000	 	 	 	 	 	 
R2INDX	IN020074	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020074	2	1	1	5	1	1	1	1	5000	3500	53	88	88	88	0	88
R2INDX	IN020074	3	1	1	5	1	1	1	0	-88	1500	48	18	88	88	0	88
R2INDX	IN020075	1	.04	1	1	0	1	1	0	-88	500	 	 	 	 	 	 
R2INDX	IN020075	2	.5	1	5	0	1	1	1	3000	2000	53	88	88	88	0	88
R2INDX	IN020075	3	.5	1	6	0	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020076	1	.05	1	1	1	1	1	1	6600	4620	53	88	30	88	0	88
R2INDX	IN020076	2	1.5	1	5	1	1	1	 	 	 	 	 	 	 	 	 
R2INDX	IN020078	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020078	2	1	1	5	1	1	1	1	2000	3000	53	88	88	88	0	88
R2INDX	IN020079	1	.04	1	1	0	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020080	1	.04	1	1	1	1	3	0	-88	800	 	 	 	 	 	 
R2INDX	IN020080	2	.05	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN020080	3	1	1	5	1	1	3	1	11250	5800	53	88	88	88	0	88
R2INDX	IN020081	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020082	1	.05	1	1	1	1	1	0	-88	10000	 	 	 	 	 	 
R2INDX	IN020082	2	1.5	1	5	1	1	1	1	5000	4500	53	88	88	88	0	88
R2INDX	IN020083	1	.01	1	1	0	0	88	0	-88	0	53	88	88	88	1	4
R2INDX	IN020083	2	1	2	5	0	0	88	1	8000	7200	 	 	 	 	 	 
R2INDX	IN020084	1	.05	1	1	1	1	1	0	-88	1000	 	 	 	 	 	 
R2INDX	IN020085	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020085	2	2	2	9	1	1	1	1	4000	0	 	 	 	 	 	 
R2INDX	IN020086	1	.02	1	1	1	1	1	0	-88	6000	 	 	 	 	 	 
R2INDX	IN020087	1	.04	1	1	0	0	88	0	-88	1000	 	 	 	 	 	 
R2INDX	IN020088	1	.04	1	1	0	0	88	0	-88	4550	 	 	 	 	 	 
R2INDX	IN020089	1	.08	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020089	2	1	1	9	1	1	1	1	2000	0	 	 	 	 	 	 
R2INDX	IN020090	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020091	1	.05	1	1	1	1	1	0	-88	1500	 	 	 	 	 	 
R2INDX	IN020092	1	.04	1	1	1	1	3	0	-88	700	 	 	 	 	 	 
R2INDX	IN020092	2	1	1	9	1	1	3	1	5000	0	48	88	88	88	0	88
R2INDX	IN020092	3	3	1	9	1	1	1	1	9000	0	71	88	88	88	1	4
R2INDX	IN020092	4	4	1	9	1	1	1	1	20000	0	48	88	88	88	0	88
R2INDX	IN020093	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020094	1	.05	1	1	1	1	1	0	-88	1000	 	 	 	 	 	 
R2INDX	IN020094	2	1	1	7	1	1	1	1	5000	0	48	88	88	88	0	88
R2INDX	IN020095	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020095	2	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020096	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R2INDX	IN020096	2	.05	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R2INDX	IN020096	3	1.5	1	9	1	1	3	1	3000	0	 	 	 	 	 	 
R2INDX	IN020097	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R2INDX	IN020097	2	2	1	5	1	1	1	1	21000	13000	53	88	88	88	1	4
R2INDX	IN020097	3	3	1	5	1	1	1	1	30000	8000	48	88	88	88	0	88
R2INDX	IN020097	4	2	1	5	1	1	1	1	21000	13000	53	88	88	88	1	4
R2INDX	IN020097	5	1	1	11	1	1	1	 	 	 	 	 	 	 	 	 
R2INDX	IN020098	1	.04	1	1	1	1	1	0	-88	1000	 	 	 	 	 	 
R2INDX	IN020099	1	.05	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
