CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
70001	1	7	1	0	 	1
70002	1	7	1	0	 	1
70003	1	5	2	1	0	1
70004	1	7	1	0	 	1
70004	2	7	1	0	 	2
70005	1	7	1	0	 	1
70006	1	7	1	0	 	1
70006	2	7	1	0	 	2
70007	1	20	1	0	 	1
70007	2	24	1	0	 	2
70007	3	7	1	0	 	2
70008	1	7	1	0	 	1
70009	1	7	3	0	 	1
70009	2	24	3	0	 	2
70009	3	20	3	0	 	2
70010	1	7	1	0	 	1
70010	2	7	1	0	 	2
70010	3	20	1	0	 	2
70011	1	7	1	0	 	1
70011	2	7	1	0	 	2
70012	1	7	1	0	 	1
70012	2	7	1	0	 	2
70012	3	7	2	1	0	2
70012	4	7	1	0	 	2
70013	1	7	1	0	 	1
70013	2	24	1	0	 	2
70014	1	20	1	0	 	1
70014	2	7	1	0	 	2
70014	3	7	1	0	 	2
70015	1	7	1	0	 	1
70016	1	5	2	1	1	1
70016	2	7	1	0	 	2
70016	3	24	1	0	 	2
70017	1	7	1	0	 	1
70017	2	7	1	0	 	2
70018	1	7	1	0	 	1
70018	2	7	1	0	 	2
70019	1	7	1	0	 	1
70019	2	24	1	0	 	2
70019	3	20	1	0	 	2
70020	1	7	1	0	 	1
70020	2	24	2	0	 	2
70021	1	7	1	0	 	1
70021	2	20	1	0	 	2
70021	3	24	1	0	 	2
70022	1	7	1	0	 	1
70022	2	24	1	0	 	2
70023	1	7	1	0	 	1
70023	2	7	1	0	 	2
70024	1	7	1	0	 	1
70025	1	24	1	0	 	1
70025	2	20	1	0	 	2
70026	1	7	1	0	 	1
70026	2	20	1	0	 	2
70027	1	24	1	0	 	1
70027	2	20	1	0	 	2
70028	1	7	1	0	 	1
70029	1	24	1	0	 	1
70030	1	5	2	1	2	1
70030	2	7	1	0	 	2
70031	1	7	1	0	 	1
70031	2	24	1	0	 	2
70031	3	20	2	0	 	2
70032	1	7	3	0	 	1
70032	2	7	1	0	 	2
70032	3	20	2	0	 	2
70033	1	7	1	0	 	1
70034	1	7	1	0	 	1
70034	2	24	1	0	 	2
70035	1	24	1	0	 	1
70035	2	7	1	0	 	2
70036	1	7	1	0	 	1
70036	2	24	1	0	 	2
70037	1	20	1	0	 	1
70037	2	7	1	0	 	2
70038	1	7	1	0	 	1
70038	2	7	1	0	 	2
70039	1	7	1	0	 	1
