CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
21008	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21009	1	12	9	24	 	 	9	1	120	2	 	 	 	 	1	9	3
21009	2	2	3	20	 	 	4	0	 	 	 	 	 	 	1	3	2
21009	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	1	5	3	10	 	 	8	1	130	2	 	 	 	 	0	0	3
21010	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21012	1	5	3	20	 	 	8	1	130	2	 	 	 	 	0	3	3
21012	2	21	4	30	 	 	4	0	 	 	 	 	 	 	1	12	2
21012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21014	1	5	9	25	 	 	9	1	250	2	 	 	 	 	1	9	3
21014	2	12	3	20	 	 	6	1	300	2	 	 	 	 	1	3	3
21014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21015	1	6	10	25	 	 	8	1	5000	4	 	 	 	 	0	0	3
21015	2	1	1	20	 	 	8	1	250	2	 	 	 	 	0	1	3
21015	3	2	1	20	 	 	8	1	250	2	 	 	 	 	1	2	3
21016	1	12	8	25	 	 	8	1	300	2	 	 	 	 	1	8	3
21016	2	1	4	20	 	 	8	0	 	 	 	 	 	 	1	4	2
