CHILDCODE	SCHCSTIDR5	FEESR5
41032	1	-77
41032	2	-77
41032	3	-77
41032	4	-77
41033	1	-77
41033	2	-77
41033	3	-77
41033	4	-77
41034	1	-77
41034	2	-77
41034	3	-77
41034	4	-77
41035	1	-77
41035	2	-77
41035	3	-77
41035	4	-77
41036	1	 
41036	2	 
41036	3	 
41036	4	 
41037	1	-77
41037	2	-77
41037	3	-77
41037	4	-77
41039	1	3000
41039	2	2000
41039	3	0
41039	4	0
41040	1	14000
41040	2	1600
41040	3	4000
41040	4	0
41041	1	1000
41041	2	1600
41041	3	0
41041	4	0
41042	1	-77
41042	2	-77
41042	3	-77
41042	4	-77
41043	1	 
41043	2	 
41043	3	 
41043	4	 
41044	1	10000
41044	2	1500
41044	3	0
41044	4	0
41045	1	-77
41045	2	-77
41045	3	-77
41045	4	-77
41046	1	0
41046	2	0
41046	3	0
41046	4	0
41047	1	600
41047	2	900
41047	3	0
41047	4	0
41048	1	-77
41048	2	-77
41048	3	-77
41048	4	-77
41049	1	-77
41049	2	-77
41049	3	-77
41049	4	-77
51001	1	650
51001	2	500
51001	3	2000
51001	4	0
51002	1	-9999
51002	2	-9999
51002	3	-9999
51002	4	-9999
51003	1	500
51003	2	850
51003	3	0
51003	4	300
51004	1	1000
51004	2	1500
51004	3	0
51004	4	0
51005	1	500
51005	2	850
51005	3	4000
51005	4	0
51006	1	 
51006	2	 
51006	3	 
51006	4	 
51007	1	500
51007	2	2000
51007	3	16000
51007	4	0
51008	1	5000
51008	2	1280
51008	3	10000
51008	4	0
51009	1	2700
51009	2	1250
51009	3	0
51009	4	0
51010	1	750
51010	2	1650
51010	3	0
51010	4	0
51011	1	5000
51011	2	900
51011	3	3000
51011	4	0
51012	1	 
51012	2	 
51012	3	 
51012	4	 
51013	1	 
51013	2	 
51013	3	 
51013	4	 
51014	1	 
51014	2	 
51014	3	 
51014	4	 
51016	1	0
51016	2	2500
51016	3	0
51016	4	0
51017	1	 
51017	2	 
51017	3	 
51017	4	 
51018	1	-77
51018	2	-77
51018	3	-77
51018	4	-77
51019	1	 
51019	2	 
51019	3	 
51019	4	 
51020	1	3000
51020	2	1500
51020	3	0
51020	4	0
51022	1	 
51022	2	 
51022	3	 
51022	4	 
51023	1	 
51023	2	 
51023	3	 
51023	4	 
51024	1	 
51024	2	 
51024	3	 
51024	4	 
51025	1	 
51025	2	 
51025	3	 
51025	4	 
51026	1	-77
51026	2	-77
51026	3	-77
51026	4	-77
51027	1	0
51027	2	1300
51027	3	0
51027	4	0
51028	1	 
51028	2	 
51028	3	 
51028	4	 
51029	1	-77
51029	2	-77
51029	3	-77
51029	4	-77
51030	1	8000
51030	2	1500
51030	3	0
51030	4	0
51031	1	0
51031	2	2500
51031	3	0
51031	4	0
51032	1	15000
51032	2	6000
51032	3	0
51032	4	0
51033	1	-77
51033	2	-77
51033	3	-77
51033	4	-77
51034	1	 
51034	2	 
51034	3	 
51034	4	 
51035	1	0
51035	2	-77
51035	3	-77
51035	4	-77
51036	1	0
51036	2	5000
51036	3	0
51036	4	0
51037	1	-77
51037	2	-77
51037	3	-77
51037	4	-77
51038	1	-77
51038	2	-77
51038	3	-77
51038	4	-77
51039	1	20000
51039	2	1000
51039	3	0
51039	4	0
51040	1	-77
51040	2	-77
51040	3	-77
51040	4	-77
51041	1	-77
51041	2	-77
51041	3	-77
51041	4	-77
51042	1	500
51042	2	1400
51042	3	0
51042	4	0
51043	1	-77
51043	2	-77
51043	3	-77
51043	4	-77
51044	1	4000
51044	2	1500
51044	3	0
51044	4	0
51045	1	3000
51045	2	1500
51045	3	0
51045	4	0
51046	1	 
51046	2	 
51046	3	 
51046	4	 
51047	1	 
51047	2	 
51047	3	 
51047	4	 
51048	1	600
51048	2	2000
51048	3	0
51048	4	0
51049	1	-77
51049	2	-77
51049	3	-77
51049	4	-77
51050	1	 
51050	2	 
51050	3	 
51050	4	 
61001	1	500
61001	2	4000
61001	3	0
61001	4	0
61002	1	0
61002	2	2500
61002	3	0
61002	4	1500
61003	1	 
61003	2	 
61003	3	 
61003	4	 
61004	1	-77
61004	2	-77
61004	3	-77
61004	4	-77
61005	1	 
61005	2	 
61005	3	 
61005	4	 
61006	1	 
61006	2	 
61006	3	 
61006	4	 
61007	1	-77
61007	2	-77
61007	3	-77
61007	4	-77
61008	1	0
61008	2	12000
61008	3	26500
61008	4	0
61009	1	0
61009	2	1620
61009	3	0
61009	4	5000
61010	1	0
61010	2	1000
61010	3	25000
61010	4	0
61011	1	 
61011	2	 
61011	3	 
61011	4	 
61012	1	 
61012	2	 
61012	3	 
61012	4	 
61013	1	1500
61013	2	1300
61013	3	1000
61013	4	0
61014	1	0
61014	2	0
61014	3	0
61014	4	0
61015	1	-77
61015	2	-7
61015	3	-77
61015	4	-77
61016	1	1500
61016	2	1000
61016	3	0
61016	4	0
61017	1	5000
61017	2	2000
61017	3	0
61017	4	3000
61018	1	1000
61018	2	1700
61018	3	2000
61018	4	0
61019	1	1200
61019	2	2000
61019	3	0
61019	4	0
61020	1	2000
61020	2	1500
61020	3	0
61020	4	0
61021	1	 
61021	2	 
61021	3	 
61021	4	 
61022	1	 
61022	2	 
61022	3	 
61022	4	 
61023	1	 
61023	2	 
61023	3	 
61023	4	 
61024	1	0
61024	2	700
61024	3	0
61024	4	0
61025	1	-77
61025	2	-77
61025	3	-77
61025	4	-77
61026	1	 
61026	2	 
61026	3	 
61026	4	 
61027	1	 
61027	2	 
61027	3	 
61027	4	 
61028	1	 
61028	2	 
61028	3	 
61028	4	 
61029	1	-77
61029	2	-77
61029	3	-77
61029	4	-77
61030	1	 
61030	2	 
61030	3	 
61030	4	 
61031	1	 
61031	2	 
61031	3	 
61031	4	 
61032	1	 
61032	2	 
61032	3	 
61032	4	 
61033	1	-77
61033	2	-77
61033	3	-77
61033	4	-77
61034	1	0
61034	2	1000
61034	3	0
61034	4	800
61035	1	500
61035	2	1500
61035	3	5000
61035	4	0
61036	1	 
61036	2	 
61036	3	 
61036	4	 
61037	1	 
61037	2	 
61037	3	 
61037	4	 
61038	1	-77
61038	2	-77
61038	3	-77
61038	4	-77
61039	1	500
61039	2	2000
61039	3	0
61039	4	0
61040	1	 
61040	2	 
61040	3	 
61040	4	 
61041	1	-77
61041	2	-77
61041	3	-77
61041	4	-77
61042	1	 
