CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
41040	1	1	1	1	1
41040	2	7	1	1	1
41040	3	5	4	3	3
41041	1	1	1	1	1
41041	2	7	3	1	1
41042	1	1	1	1	1
41042	2	7	4	3	3
41042	3	5	4	3	3
41043	1	1	1	1	1
41043	2	7	5	4	4
41044	1	1	1	1	1
41044	2	7	2	1	1
41044	3	5	4	2	3
41045	1	1	1	1	1
41045	2	7	5	3	2
41046	1	1	1	1	1
41046	2	7	4	2	2
41047	1	1	1	1	1
41047	2	7	2	1	1
41047	3	5	5	4	4
41048	1	1	1	1	1
41048	2	7	2	1	1
41049	1	1	1	1	1
41049	2	7	2	1	1
41049	3	5	5	4	3
51001	1	1	1	1	1
51001	2	7	3	2	2
51001	3	5	5	2	2
51002	1	1	1	1	1
51002	2	7	4	2	1
51002	3	5	5	2	1
51004	1	1	1	1	1
51004	2	7	4	4	4
51005	1	1	1	2	2
51005	2	7	4	2	2
51005	3	5	5	4	4
51006	1	1	2	2	2
51006	2	7	4	3	2
51006	3	5	5	4	5
51007	1	1	2	2	2
51007	2	7	2	2	2
51007	3	5	5	4	4
51008	1	1	1	1	1
51008	2	7	2	1	1
51008	3	5	5	3	3
51009	1	1	1	1	2
51009	2	7	4	2	2
51009	3	5	5	4	4
51010	1	1	1	1	1
51010	2	7	3	1	2
51010	3	5	4	1	2
51011	1	1	1	1	1
51011	2	7	4	2	2
51011	3	5	5	4	5
51012	1	1	1	2	2
51013	1	1	1	5	5
51014	1	1	3	5	5
51016	1	1	2	1	2
51016	2	7	3	2	2
51016	3	5	5	3	5
51017	1	1	1	1	1
51017	2	5	4	4	4
51017	3	7	4	2	4
51018	1	1	1	1	1
51018	2	7	4	3	3
51019	1	1	1	5	5
51019	2	5	4	5	5
51020	1	1	1	1	2
51020	2	7	5	2	2
51022	1	1	2	2	2
51022	2	7	5	5	4
51023	1	1	1	1	1
51023	2	5	4	4	3
51023	3	7	4	4	3
51024	1	1	1	1	1
51024	2	5	3	5	5
