childid	outid	remrel	remqnt	remtype
PE141035	1	1	2	2
PE141037	1	2	1	2
PE141038	1	2	1	1
PE141039	1	3	3	2
PE141039	2	2	3	2
PE141045	1	2	2	2
PE141052	1	3	2	2
PE141056	1	6	12	1
PE141069	1	2	1	2
PE141072	1	3	1	1
PE141072	2	3	1	1
PE141078	1	3	12	1
PE141079	1	6	12	2
PE141080	1	5	1	2
PE141087	1	2	1	3
PE141088	1	3	12	2
PE141092	1	1	11	2
PE141094	1	4	12	1
PE141094	2	4	12	1
PE141096	1	3	3	1
PE141098	1	1	3	1
PE141103	1	3	2	3
PE151002	1	5	1	1
PE151005	1	3	1	2
PE151014	1	3	6	3
PE151014	2	3	8	3
PE151016	1	3	4	1
PE151020	1	2	4	2
PE151021	1	3	2	1
PE151023	1	3	4	1
PE151024	1	2	8	2
PE151035	1	2	36	1
PE151038	1	6	4	1
PE151043	1	2	3	3
PE151047	1	3	8	2
PE151052	1	3	6	3
PE151061	1	5	3	2
PE151063	1	2	2	2
PE151064	1	1	12	2
PE151064	2	6	12	2
PE151066	1	1	2	2
PE151066	2	6	1	2
PE151066	3	2	2	2
PE151076	1	3	3	2
PE151078	1	3	1	1
PE151084	1	2	3	2
PE151085	1	5	7	2
PE151090	1	2	12	1
PE151091	1	2	2	1
PE151092	1	3	3	2
PE151092	2	2	3	2
PE151095	1	2	2	3
PE151100	1	3	2	2
PE151101	1	1	2	2
PE151103	1	4	2	2
PE151104	1	3	10	2
PE151104	2	3	10	2
PE151106	1	6	1	1
PE151110	1	6	1	2
PE151110	2	6	1	2
PE161004	1	3	5	1
PE161006	1	2	2	2
PE161007	1	2	2	2
PE161009	1	6	1	2
PE161011	1	1	2	2
PE161012	1	1	1	1
PE161015	1	3	4	2
PE161015	2	2	3	2
PE161017	1	2	4	2
PE161018	1	2	3	2
PE161019	1	2	2	2
PE161020	1	2	2	2
PE161023	1	6	2	2
PE161028	1	2	5	2
PE161031	1	3	12	1
PE161031	2	2	12	1
PE161031	3	3	12	1
PE161035	1	2	2	2
PE161038	1	6	1	1
PE161042	1	3	3	1
PE161045	1	2	3	2
PE161047	1	2	5	2
PE161047	2	1	8	2
PE161049	1	1	2	1
PE161051	1	1	12	2
PE161052	1	3	4	1
PE161052	2	3	4	1
PE161056	1	2	1	2
PE161058	1	3	3	2
PE161060	1	2	3	1
PE161060	2	2	3	2
PE161061	1	3	11	2
PE161061	2	1	11	1
PE161062	1	2	3	1
PE161063	1	3	3	2
PE161068	1	2	3	2
PE161071	1	3	4	3
PE161083	1	2	1	1
PE161087	1	1	2	2
PE161088	1	2	1	2
PE161089	1	2	7	2
PE161090	1	1	3	2
PE161092	1	2	4	2
PE161093	1	2	1	2
PE161094	1	2	6	2
PE161099	1	1	5	2
PE161105	1	3	8	1
PE161107	1	3	12	1
PE161108	1	2	2	2
PE171002	1	4	48	3
PE171010	1	1	2	1
PE171011	1	2	3	2
PE171017	1	3	10	1
PE171023	1	2	2	2
PE171028	1	4	9	1
PE171030	1	2	3	2
PE171030	2	3	3	3
PE171032	1	3	36	3
PE171045	1	2	3	2
PE171054	1	2	3	2
PE171063	1	2	3	2
PE171066	1	2	2	2
PE171069	1	1	6	2
PE171071	1	3	12	1
PE171071	2	2	1	2
PE171072	1	1	4	2
PE171075	1	6	1	2
PE171076	1	1	1	1
PE171078	1	2	4	2
PE171081	1	4	3	3
PE171082	1	4	2	2
PE171090	1	3	2	2
PE171092	1	4	3	2
PE171093	1	3	1	2
PE171094	1	3	1	2
PE171098	1	2	2	2
PE171100	1	4	1	2
PE171102	1	4	2	2
PE181003	1	4	2	1
PE181006	1	2	1	2
PE181012	1	2	3	2
PE181014	1	3	2	2
PE181014	2	3	2	2
PE181020	1	1	3	2
PE181020	2	1	2	2
PE181030	1	1	1	1
PE181031	1	3	2	2
PE181032	1	2	1	1
PE181041	1	3	1	2
PE181042	1	2	3	2
PE181050	1	1	3	2
PE181052	1	4	3	1
PE181052	2	4	3	2
PE181056	1	1	1	2
PE181057	1	3	5	2
PE181058	1	1	2	1
PE181060	1	3	2	2
PE181061	1	6	2	1
PE181065	1	3	3	2
PE181068	1	4	2	2
PE181072	1	3	5	2
PE181073	1	1	1	1
PE181074	1	2	1	2
PE181077	1	4	1	2
PE181078	1	4	1	2
PE181084	1	4	1	2
PE181085	1	2	3	2
PE181087	1	6	1	2
PE181089	1	4	3	2
PE181090	1	1	6	1
PE181095	1	3	3	2
PE181096	1	4	3	2
PE181097	1	2	1	2
PE181098	1	2	1	2
PE181101	1	2	6	2
PE181101	2	6	5	2
PE191002	1	4	12	3
PE191011	1	6	3	2
PE191012	1	2	2	2
PE191013	1	6	2	2
PE191013	2	5	1	2
PE191017	1	2	2	2
PE191020	1	3	3	1
PE191023	1	3	2	2
PE191025	1	1	12	1
PE191025	2	1	3	1
PE191027	1	1	2	2
PE191041	1	4	6	3
PE191042	1	6	3	2
PE191043	1	4	4	1
PE191045	1	2	1	1
PE191050	1	2	1	3
PE191058	1	3	1	2
PE191062	1	2	1	2
PE191066	1	4	12	1
PE191071	1	3	1	2
PE191074	1	3	12	1
PE191076	1	4	12	3
PE191079	1	3	3	1
PE191080	1	2	27	3
PE191090	1	6	1	2
PE191100	1	3	4	2
PE191101	1	5	1	2
PE191102	1	1	2	2
PE191103	1	6	3	1
PE191104	1	3	2	2
PE201011	1	6	3	2
PE201019	1	3	1	2
PE201032	1	6	1	1
PE201039	1	1	6	2
PE201041	1	3	1	2
PE201047	1	3	1	2
PE201050	1	3	6	2
PE201061	1	6	5	3
PE201063	1	1	3	2
PE201065	1	1	12	2
PE201066	1	2	2	1
PE201066	2	2	2	1
PE201069	1	1	2	3
PE201069	2	4	12	3
PE201077	1	2	12	1
PE201080	1	3	1	1
PE201085	1	1	3	1
PE201085	2	3	2	1
PE201086	1	3	2	2
PE201087	1	3	3	2
